Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.457935333251953, 8.336461067199707, 5.099443435668945, 4.5376200675964355, 3.951486825942993, 3.7518069744110107, 3.3457818031311035, 3.1322736740112305, 2.9922125339508057, 2.9262969493865967, 2.8684799671173096, 2.86033296585083, 2.651296615600586, 2.6771788597106934, 2.6932201385498047, 2.74149227142334, 2.666836738586426, 2.5255136489868164, 2.589650869369507, 2.552664279937744, 2.5388095378875732];[1.3664692640304565, 1.3700252771377563, 0.9674279689788818, 0.8732345700263977, 0.6934123039245605, 0.629771888256073, 0.508876621723175, 0.43285679817199707, 0.3791278600692749, 0.354852557182312, 0.33928316831588745, 0.3315826654434204, 0.24658434092998505, 0.25839051604270935, 0.2680777609348297, 0.2911633253097534, 0.26235339045524597, 0.20618771016597748, 0.2302863448858261, 0.21453748643398285, 0.2064744532108307];[-73.45442199707031, -18.492477416992188, -7.292414665222168, -6.262056350708008, -5.092743396759033, -4.843127250671387, -4.013914585113525, -3.6410653591156006, -3.4241783618927, -3.335196018218994, -3.233081340789795, -3.2803399562835693, -2.8928916454315186, -2.9466094970703125, -2.9943888187408447, -3.0534141063690186, -2.9621741771698, -2.706388473510742, -2.8332479000091553, -2.7480859756469727, -2.7408952713012695]
100;[16.432859420776367, 8.422624588012695, 8.257598876953125, 3.4134202003479004, 2.9970507621765137, 2.951178550720215, 2.7676873207092285, 2.7438583374023438, 2.6625521183013916, 2.4586312770843506, 2.4500069618225098, 2.4513919353485107, 2.427912950515747, 2.321535110473633, 2.4704720973968506, 2.3672549724578857, 2.3111672401428223, 2.3127498626708984, 2.276369571685791, 2.301642417907715, 2.3057456016540527];[1.3662739992141724, 1.4021700620651245, 1.2417304515838623, 0.49640563130378723, 0.35975369811058044, 0.3539098799228668, 0.2749950885772705, 0.2710879147052765, 0.24088220298290253, 0.15173159539699554, 0.15723495185375214, 0.15704862773418427, 0.14511270821094513, 0.09873193502426147, 0.1683073192834854, 0.1220654770731926, 0.10132894665002823, 0.09939465671777725, 0.09232630580663681, 0.10155694931745529, 0.10284987092018127];[-72.65760040283203, -17.642112731933594, -23.135879516601562, -3.785332679748535, -3.205378532409668, -3.229992628097534, -2.94857120513916, -2.9723219871520996, -2.858457088470459, -2.528266191482544, -2.551898717880249, -2.566925287246704, -2.5281031131744385, -2.359607219696045, -2.6143927574157715, -2.456976890563965, -2.376796245574951, -2.370579719543457, -2.328981399536133, -2.375498056411743, -2.376925468444824]
150;[16.43834686279297, 8.329156875610352, 8.251099586486816, 4.626572132110596, 3.7931292057037354, 3.529783010482788, 2.695517063140869, 2.7190091609954834, 2.5008010864257812, 2.624260663986206, 2.508333444595337, 2.449139356613159, 2.3601157665252686, 2.3018500804901123, 2.2633180618286133, 2.2099454402923584, 2.2151899337768555, 2.1703052520751953, 2.1685848236083984, 2.190634250640869, 2.197690486907959];[1.3703761100769043, 1.3573373556137085, 1.3079110383987427, 0.8810497522354126, 0.6558333039283752, 0.5759533047676086, 0.24598030745983124, 0.26119285821914673, 0.17166878283023834, 0.22625629603862762, 0.1800847053527832, 0.15716874599456787, 0.1195526197552681, 0.093119315803051, 0.0764608159661293, 0.05639151483774185, 0.05413132533431053, 0.03840034082531929, 0.040435973554849625, 0.04321304336190224, 0.04453060030937195];[-71.99467468261719, -18.964250564575195, -21.782365798950195, -6.390224456787109, -4.728874683380127, -4.276915550231934, -2.862560510635376, -2.941970109939575, -2.590804100036621, -2.7816543579101562, -2.6226232051849365, -2.5458359718322754, -2.4256486892700195, -2.339951753616333, -2.2902255058288574, -2.225428581237793, -2.2304859161376953, -2.160097599029541, -2.1681041717529297, -2.1914708614349365, -2.204998731613159]
200;[16.43805503845215, 8.287946701049805, 8.23388385772705, 4.094126224517822, 3.678623914718628, 3.659271478652954, 3.518798828125, 3.399953842163086, 3.373518943786621, 2.7830874919891357, 3.080864906311035, 3.0657994747161865, 2.6256656646728516, 2.5970563888549805, 2.4623382091522217, 2.457115411758423, 2.339451789855957, 2.437394142150879, 2.4222748279571533, 2.376929759979248, 2.331268787384033];[1.3676366806030273, 1.319850206375122, 1.2940887212753296, 0.7434915900230408, 0.6073719263076782, 0.6073777079582214, 0.5650508999824524, 0.5153683423995972, 0.5120598077774048, 0.2989317774772644, 0.41491058468818665, 0.41313594579696655, 0.236037939786911, 0.22349528968334198, 0.1652338057756424, 0.16578376293182373, 0.11522123217582703, 0.15693821012973785, 0.1558118760585785, 0.13072629272937775, 0.10989049822092056];[-73.33580780029297, -19.36699676513672, -21.675989151000977, -5.208219051361084, -4.486862659454346, -4.653820037841797, -4.503633975982666, -4.261788845062256, -4.301887035369873, -3.0877180099487305, -3.684634208679199, -3.684267520904541, -2.833695650100708, -2.7850446701049805, -2.597419023513794, -2.5798985958099365, -2.4096994400024414, -2.554410934448242, -2.550189256668091, -2.470221757888794, -2.4162204265594482]
250;[16.437007904052734, 11.857465744018555, 11.654614448547363, 11.620840072631836, 5.0943989753723145, 5.099060535430908, 5.059962272644043, 5.0486741065979, 5.0334086418151855, 3.6575000286102295, 3.632211923599243, 3.3055226802825928, 2.9277870655059814, 2.9152235984802246, 2.702662467956543, 2.6940603256225586, 2.6950976848602295, 2.4589104652404785, 2.4168362617492676, 2.3763363361358643, 2.3217058181762695];[1.3703639507293701, 1.2865972518920898, 1.334995985031128, 1.3503798246383667, 0.8791678547859192, 0.9006977081298828, 0.8906713724136353, 0.9015551209449768, 0.8945704102516174, 0.5972654223442078, 0.588064432144165, 0.4937834143638611, 0.3544454276561737, 0.3601180911064148, 0.2744103968143463, 0.27250558137893677, 0.2665228545665741, 0.16873611509799957, 0.1465221643447876, 0.1341117024421692, 0.10996439307928085];[-73.51893615722656, -52.891204833984375, -53.5949821472168, -53.14033508300781, -9.048066139221191, -9.332465171813965, -9.435083389282227, -9.626384735107422, -9.522502899169922, -5.103265762329102, -5.098159313201904, -4.298279285430908, -3.4440720081329346, -3.4325547218322754, -3.021394968032837, -3.0085506439208984, -3.0342230796813965, -2.6037282943725586, -2.528785467147827, -2.4860048294067383, -2.408036231994629]
300;[16.454437255859375, 11.728179931640625, 4.285861968994141, 3.8970742225646973, 3.9543938636779785, 3.462820053100586, 3.099597692489624, 2.7593674659729004, 2.714839220046997, 2.618021249771118, 2.6346969604492188, 2.639878749847412, 2.599093437194824, 2.539985418319702, 2.5089426040649414, 2.480917453765869, 2.44645094871521, 2.4171762466430664, 2.368255853652954, 2.357228994369507, 2.3147315979003906];[1.3678582906723022, 1.2996101379394531, 0.7469697594642639, 0.6359502077102661, 0.666124701499939, 0.5302119255065918, 0.41205158829689026, 0.28065022826194763, 0.265169233083725, 0.22666923701763153, 0.24088580906391144, 0.24193039536476135, 0.22642508149147034, 0.20512033998966217, 0.192043736577034, 0.18276990950107574, 0.16641587018966675, 0.15000846982002258, 0.12978382408618927, 0.12437009811401367, 0.10569879412651062];[-71.66529083251953, -50.59743118286133, -5.6911845207214355, -5.107254505157471, -5.380486488342285, -4.217663288116455, -3.5491645336151123, -2.960299015045166, -2.9086055755615234, -2.759000778198242, -2.8254153728485107, -2.8402326107025146, -2.778775691986084, -2.7103235721588135, -2.661170244216919, -2.639242172241211, -2.573305368423462, -2.5304548740386963, -2.453658103942871, -2.445071220397949, -2.383790969848633]
350;[16.454273223876953, 8.432483673095703, 5.626932144165039, 5.178357124328613, 4.655195236206055, 4.363243579864502, 4.229189395904541, 3.8064000606536865, 3.109206438064575, 3.1014699935913086, 3.0362300872802734, 2.9344189167022705, 2.8480069637298584, 2.787050724029541, 2.7737789154052734, 2.690330743789673, 2.6032660007476807, 2.5821759700775146, 2.4815611839294434, 2.5422909259796143, 2.554776191711426];[1.3681061267852783, 1.4081408977508545, 1.0872327089309692, 1.0292940139770508, 0.8988083004951477, 0.8174667954444885, 0.7776597738265991, 0.672511875629425, 0.4326254725456238, 0.4287722110748291, 0.4125920236110687, 0.3658018410205841, 0.3325452506542206, 0.30865609645843506, 0.30322158336639404, 0.27290019392967224, 0.23932962119579315, 0.2246229499578476, 0.1797615885734558, 0.20653751492500305, 0.21707767248153687];[-71.6885757446289, -17.921178817749023, -8.851770401000977, -7.888472080230713, -6.895563125610352, -6.468239784240723, -6.181270122528076, -5.124138355255127, -3.614542245864868, -3.6131114959716797, -3.537306308746338, -3.36161470413208, -3.2267649173736572, -3.130668878555298, -3.100270986557007, -2.976717233657837, -2.830981969833374, -2.786761522293091, -2.640578508377075, -2.7309601306915283, -2.783144474029541]
400;[16.441415786743164, 11.574609756469727, 11.521367073059082, 11.445574760437012, 11.445354461669922, 4.683492660522461, 4.506643772125244, 3.1669089794158936, 3.2230727672576904, 3.1746320724487305, 3.1889488697052, 3.020869255065918, 2.6951470375061035, 2.6977529525756836, 2.6652581691741943, 2.3808531761169434, 2.409139394760132, 2.378041982650757, 2.2882156372070312, 2.319385290145874, 2.291743278503418];[1.3683990240097046, 1.3064651489257812, 1.3515723943710327, 1.3718386888504028, 1.390817403793335, 0.8415620923042297, 0.7875167727470398, 0.4369582235813141, 0.4558633863925934, 0.4388907551765442, 0.4507443606853485, 0.3792005479335785, 0.2598968744277954, 0.26154786348342896, 0.251393586397171, 0.1284690648317337, 0.14411477744579315, 0.1360260248184204, 0.08879082649946213, 0.10784762352705002, 0.09840843081474304];[-71.52444458007812, -49.92558670043945, -50.96083068847656, -50.46354675292969, -51.8060417175293, -7.57811164855957, -7.464649677276611, -3.7976388931274414, -4.013673305511475, -3.8884592056274414, -3.951010227203369, -3.688847541809082, -3.0179054737091064, -3.0423498153686523, -2.9802868366241455, -2.4764559268951416, -2.53824520111084, -2.4795730113983154, -2.3456430435180664, -2.413872718811035, -2.3642258644104004]
450;[16.430538177490234, 8.318917274475098, 4.41668701171875, 3.959127187728882, 3.8679800033569336, 3.0832831859588623, 2.687910795211792, 2.695734977722168, 2.5977694988250732, 2.390558958053589, 2.253413677215576, 2.2772834300994873, 2.40439772605896, 2.3597888946533203, 2.345731735229492, 2.430757999420166, 2.3776040077209473, 2.3418619632720947, 2.3378820419311523, 2.299008846282959, 2.2680962085723877];[1.367666482925415, 1.3235777616500854, 0.7970910668373108, 0.6424969434738159, 0.6215665340423584, 0.3981840908527374, 0.2526519000530243, 0.25623637437820435, 0.20921573042869568, 0.12429880350828171, 0.06949420273303986, 0.07963884621858597, 0.1450331062078476, 0.12124907225370407, 0.11863196641206741, 0.15532168745994568, 0.12772302329540253, 0.11463744193315506, 0.11497452110052109, 0.09499519318342209, 0.08581416308879852];[-72.12503051757812, -19.365198135375977, -5.722222805023193, -5.157367706298828, -5.178945541381836, -3.5201287269592285, -2.869980573654175, -2.868774175643921, -2.7515883445739746, -2.424013137817383, -2.2252190113067627, -2.288792610168457, -2.482570171356201, -2.4211835861206055, -2.3989686965942383, -2.5373406410217285, -2.452061176300049, -2.4119629859924316, -2.408808469772339, -2.3401904106140137, -2.3170218467712402]
500;[16.416690826416016, 11.644715309143066, 4.593051433563232, 3.6817188262939453, 3.2641124725341797, 2.6785271167755127, 2.545539617538452, 2.440716505050659, 2.462047576904297, 2.3314008712768555, 2.2609610557556152, 2.187546491622925, 2.194230079650879, 2.144296169281006, 2.1252782344818115, 2.1312787532806396, 2.150334119796753, 2.1527280807495117, 2.160637140274048, 2.1641054153442383, 2.164823532104492];[1.366329550743103, 1.2967100143432617, 0.8289234042167664, 0.6013799905776978, 0.45346519351005554, 0.23418183624744415, 0.18203197419643402, 0.14061319828033447, 0.15357987582683563, 0.0979745015501976, 0.073891282081604, 0.03367093950510025, 0.034329529851675034, 0.01827128604054451, 0.013259755447506905, 0.01389220915734768, 0.022662438452243805, 0.02540222555398941, 0.03096742182970047, 0.030769553035497665, 0.033181868493556976];[-72.73931121826172, -49.96091842651367, -6.106013298034668, -4.318116188049316, -3.7108776569366455, -2.7401633262634277, -2.5904183387756348, -2.4493231773376465, -2.4923110008239746, -2.340242862701416, -2.256521701812744, -2.1568496227264404, -2.1611058712005615, -2.103027105331421, -2.078524589538574, -2.1004045009613037, -2.124614953994751, -2.1399190425872803, -2.1451783180236816, -2.1565752029418945, -2.1707983016967773]
