Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 8.354119300842285, 8.191970825195312, 8.11572265625, 3.5861330032348633, 3.3724071979522705, 2.8577263355255127, 3.0075788497924805, 2.760725975036621, 2.6594748497009277, 3.0428507328033447, 2.9581403732299805, 2.719209671020508, 2.7422521114349365, 2.6413683891296387, 2.5444655418395996, 2.4546384811401367, 2.6125457286834717, 2.5841896533966064, 2.7680983543395996, 2.6913158893585205];[1.397889256477356, 1.529331922531128, 1.4754315614700317, 1.4320515394210815, 0.7364286184310913, 0.6670970320701599, 0.4714696407318115, 0.5404133796691895, 0.4341369569301605, 0.3946405053138733, 0.5684508681297302, 0.5315904021263123, 0.43105068802833557, 0.4416944980621338, 0.40123558044433594, 0.35854271054267883, 0.32063648104667664, 0.39308398962020874, 0.376886785030365, 0.46041762828826904, 0.42818790674209595];[-73.03792572021484, -17.419902801513672, -19.743650436401367, -21.9864559173584, -4.249876022338867, -3.9210364818573, -3.1276440620422363, -3.3951544761657715, -3.0013625621795654, -2.8597898483276367, -3.5146400928497314, -3.3900437355041504, -2.9902374744415283, -3.038966417312622, -2.8747947216033936, -2.711238384246826, -2.593642234802246, -2.8544564247131348, -2.7919342517852783, -3.1322672367095947, -3.006121873855591]
100;[16.369844436645508, 8.69985580444336, 7.6857123374938965, 7.491765022277832, 7.3526105880737305, 7.085887432098389, 7.007182598114014, 4.84140682220459, 4.860507965087891, 4.7781901359558105, 3.815171480178833, 4.066506862640381, 4.177029609680176, 4.43214225769043, 4.425519943237305, 4.405361652374268, 3.8332152366638184, 3.730154514312744, 3.3634276390075684, 3.385742425918579, 3.162829637527466];[1.3970413208007812, 1.523327350616455, 1.3863328695297241, 1.3575211763381958, 1.3188432455062866, 1.2615398168563843, 1.2366242408752441, 0.9939348697662354, 1.002264142036438, 0.9783342480659485, 0.7805973887443542, 0.8761615753173828, 0.9009344577789307, 0.9659615159034729, 0.9613337516784668, 0.959215521812439, 0.8215568661689758, 0.7816466689109802, 0.6776049733161926, 0.6861412525177002, 0.6090588569641113];[-72.28092193603516, -18.81867218017578, -17.587160110473633, -18.77300453186035, -18.902921676635742, -18.518047332763672, -18.8782958984375, -8.741827011108398, -9.031766891479492, -8.990876197814941, -5.659417629241943, -6.230461597442627, -6.724575042724609, -7.564919948577881, -7.540715217590332, -7.44868278503418, -5.712240219116211, -5.534101486206055, -4.547433376312256, -4.616800308227539, -4.0673089027404785]
150;[16.36842918395996, 8.07870101928711, 8.011078834533691, 8.099453926086426, 8.122232437133789, 8.174759864807129, 8.136307716369629, 8.124832153320312, 6.881641864776611, 6.111783504486084, 6.5652689933776855, 5.42464542388916, 5.393211841583252, 4.873102188110352, 5.196022987365723, 5.060894966125488, 4.7216033935546875, 4.381659984588623, 4.1890130043029785, 4.0355000495910645, 3.8694770336151123];[1.3987120389938354, 1.397926926612854, 1.379178762435913, 1.3688446283340454, 1.441773533821106, 1.4370777606964111, 1.41899836063385, 1.4161878824234009, 1.3240324258804321, 1.2499158382415771, 1.368932843208313, 1.2328652143478394, 1.227344036102295, 1.1421459913253784, 1.2258402109146118, 1.2074379920959473, 1.1352230310440063, 1.0507007837295532, 0.9920365810394287, 0.953501284122467, 0.8953530788421631];[-71.65807342529297, -17.632678985595703, -20.578763961791992, -22.9050350189209, -22.789281845092773, -23.306245803833008, -23.881641387939453, -24.199356079101562, -17.440296173095703, -13.6097412109375, -15.117806434631348, -10.215322494506836, -10.279903411865234, -8.367332458496094, -9.344725608825684, -8.934813499450684, -7.858025074005127, -6.897513389587402, -6.351995468139648, -5.968820095062256, -5.528216361999512]
200;[16.373374938964844, 8.230447769165039, 4.635940074920654, 5.032594203948975, 4.669000148773193, 4.5102057456970215, 4.399351119995117, 3.4536194801330566, 3.537332057952881, 2.9739837646484375, 2.6146328449249268, 2.5179789066314697, 2.736114740371704, 3.019036293029785, 3.4192919731140137, 3.3083648681640625, 3.0719308853149414, 3.1204867362976074, 2.9909393787384033, 2.8294239044189453, 2.9906506538391113];[1.395896315574646, 1.4416903257369995, 0.977639377117157, 1.0692960023880005, 0.9691243767738342, 0.9176665544509888, 0.878675103187561, 0.6576420664787292, 0.703875720500946, 0.5165054202079773, 0.37994518876075745, 0.3351574242115021, 0.43553388118743896, 0.5506131649017334, 0.6917145252227783, 0.654700756072998, 0.5720425844192505, 0.588999330997467, 0.5398121476173401, 0.4775938391685486, 0.555939257144928];[-72.9843521118164, -18.13976287841797, -6.0590620040893555, -7.813787460327148, -7.422451019287109, -7.361572742462158, -7.3827223777771, -4.619544506072998, -4.773800849914551, -3.5095059871673584, -2.828207015991211, -2.7162024974823, -3.061260461807251, -3.6678967475891113, -4.647397994995117, -4.392242431640625, -3.8093514442443848, -3.9493601322174072, -3.693027973175049, -3.3636903762817383, -3.6331653594970703]
250;[16.361940383911133, 11.4152250289917, 11.382943153381348, 11.34931755065918, 4.53925895690918, 4.333532810211182, 3.2168240547180176, 2.7317090034484863, 2.702021598815918, 2.5141124725341797, 2.4935388565063477, 2.3842575550079346, 2.8948428630828857, 3.1831512451171875, 3.263852596282959, 3.3071038722991943, 3.422534704208374, 3.5404369831085205, 3.858109712600708, 3.993356227874756, 3.9583044052124023];[1.397222876548767, 1.4090766906738281, 1.411360740661621, 1.437656044960022, 0.9745210409164429, 0.9160265922546387, 0.6078317165374756, 0.41871556639671326, 0.4088403284549713, 0.33166542649269104, 0.3224799335002899, 0.28132879734039307, 0.48454535007476807, 0.5924014449119568, 0.6205211281776428, 0.6516342163085938, 0.6972572207450867, 0.7352369427680969, 0.8625137209892273, 0.9095640778541565, 0.9046518802642822];[-73.10462188720703, -45.18124008178711, -48.297359466552734, -48.46477127075195, -6.800620079040527, -6.4908013343811035, -3.850270986557007, -2.9091994762420654, -2.8917975425720215, -2.6275832653045654, -2.6233444213867188, -2.4878177642822266, -3.4656338691711426, -4.161023139953613, -4.314781665802002, -4.378795146942139, -4.660221576690674, -4.975953578948975, -5.646910190582275, -5.987689971923828, -5.858262538909912]
300;[16.380901336669922, 11.549386024475098, 4.318996429443359, 3.3766965866088867, 3.0422399044036865, 2.553384780883789, 2.7527313232421875, 2.9057657718658447, 2.7423737049102783, 2.701968193054199, 3.2544305324554443, 3.4396426677703857, 3.3316030502319336, 3.3097922801971436, 3.278365135192871, 2.983133316040039, 3.102069139480591, 2.8982839584350586, 2.8859496116638184, 2.75152587890625, 2.649423122406006];[1.3972654342651367, 1.3178657293319702, 0.9004747271537781, 0.6475183963775635, 0.5331929922103882, 0.32977691292762756, 0.4246019721031189, 0.498606413602829, 0.42330247163772583, 0.41466328501701355, 0.6329229474067688, 0.6946108937263489, 0.6584349870681763, 0.6511762142181396, 0.6399258971214294, 0.5382437705993652, 0.5886850953102112, 0.5064660906791687, 0.5000956654548645, 0.4493507444858551, 0.408853679895401];[-71.25759887695312, -49.836307525634766, -5.660716533660889, -3.7359120845794678, -3.3309695720672607, -2.5592517852783203, -2.9021472930908203, -3.206343412399292, -2.964038372039795, -2.9195034503936768, -4.107570171356201, -4.572656154632568, -4.338670253753662, -4.356116771697998, -4.350214958190918, -3.628495454788208, -3.8653182983398438, -3.4380059242248535, -3.4368155002593994, -3.1597039699554443, -2.9623470306396484]
350;[16.37685203552246, 8.206419944763184, 5.543381214141846, 4.628749847412109, 5.007597923278809, 4.6592020988464355, 5.461270332336426, 5.201743125915527, 4.948646068572998, 4.941041946411133, 4.940725326538086, 4.792818069458008, 4.859120845794678, 4.761711120605469, 4.435944080352783, 4.076646327972412, 3.9824047088623047, 3.9387216567993164, 3.6304614543914795, 3.4221885204315186, 3.1734607219696045];[1.3971993923187256, 1.4074331521987915, 1.2189453840255737, 1.0332568883895874, 1.1575140953063965, 1.077274203300476, 1.2288291454315186, 1.1643528938293457, 1.1215976476669312, 1.1284912824630737, 1.1283293962478638, 1.095795750617981, 1.1270867586135864, 1.0897059440612793, 1.0211763381958008, 0.9438937306404114, 0.9146058559417725, 0.8918899297714233, 0.7986587285995483, 0.7161427140235901, 0.6318967938423157];[-71.22865295410156, -18.576189041137695, -8.336037635803223, -6.415678024291992, -7.806457996368408, -6.984157562255859, -9.782437324523926, -9.145933151245117, -8.418418884277344, -8.534518241882324, -8.550552368164062, -8.164970397949219, -8.383318901062012, -8.196288108825684, -7.126053333282471, -6.016468524932861, -5.860589027404785, -5.794039249420166, -4.988792419433594, -4.559514999389648, -3.9868075847625732]
400;[16.363100051879883, 11.404099464416504, 4.778563022613525, 3.839318037033081, 2.9986910820007324, 3.6976091861724854, 4.08790397644043, 3.709555149078369, 4.125370979309082, 3.5893795490264893, 3.338801860809326, 3.147143602371216, 3.504509687423706, 3.304734706878662, 3.208343744277954, 3.1246073246002197, 3.138566017150879, 3.112607479095459, 3.1889801025390625, 3.077587842941284, 2.813147783279419];[1.3982000350952148, 1.3489165306091309, 1.039373755455017, 0.8159721493721008, 0.5045143365859985, 0.737540602684021, 0.9022350907325745, 0.7652920484542847, 0.8678556680679321, 0.7318113446235657, 0.654439389705658, 0.5986820459365845, 0.7179626226425171, 0.6540768146514893, 0.6247382164001465, 0.5929344892501831, 0.6057308316230774, 0.5959680080413818, 0.624586284160614, 0.5842905044555664, 0.4680682122707367];[-71.06763458251953, -46.458290100097656, -6.476016998291016, -4.686611175537109, -3.2799036502838135, -4.9109272956848145, -5.697486400604248, -5.062956809997559, -6.385934829711914, -4.895133972167969, -4.298424243927002, -3.8860833644866943, -4.759063720703125, -4.2567830085754395, -4.090308666229248, -3.925482988357544, -3.9421093463897705, -3.8956573009490967, -4.035382270812988, -3.8085501194000244, -3.342322587966919]
450;[16.369915008544922, 8.210775375366211, 3.6556506156921387, 3.0437395572662354, 2.5214033126831055, 2.3063771724700928, 2.301340103149414, 2.2325475215911865, 2.766145706176758, 3.4736380577087402, 3.380523443222046, 3.6647350788116455, 3.4335334300994873, 3.0943832397460938, 3.479445695877075, 3.6043829917907715, 3.4217865467071533, 3.582310676574707, 3.6854300498962402, 3.8349030017852783, 4.065797805786133];[1.396751880645752, 1.271072506904602, 0.7196807861328125, 0.5081698894500732, 0.30051058530807495, 0.2185813933610916, 0.22590352594852448, 0.19927410781383514, 0.4397461712360382, 0.7346999645233154, 0.7034712433815002, 0.811916708946228, 0.7315331101417542, 0.5971375107765198, 0.748211681842804, 0.7910071611404419, 0.7291211485862732, 0.7899121642112732, 0.8284339904785156, 0.8853233456611633, 0.9645177721977234];[-71.8649673461914, -21.152055740356445, -4.021317005157471, -3.3188693523406982, -2.4604313373565674, -2.2153005599975586, -2.2386717796325684, -2.177375555038452, -3.001049280166626, -4.345565319061279, -4.206571578979492, -4.862967014312744, -4.366919040679932, -3.683298349380493, -4.508150577545166, -4.826317310333252, -4.407955169677734, -4.812524795532227, -5.057920455932617, -5.468758583068848, -6.050631046295166]
500;[16.342056274414062, 11.428986549377441, 11.374725341796875, 6.765385627746582, 5.020857810974121, 4.212469577789307, 4.116871356964111, 3.864455223083496, 3.23527193069458, 3.102062702178955, 3.128175973892212, 3.567594051361084, 3.368255615234375, 3.6852002143859863, 3.399693012237549, 3.3378231525421143, 3.5163915157318115, 3.164508581161499, 3.130997896194458, 3.0580294132232666, 2.9062612056732178];[1.3953099250793457, 1.3962005376815796, 1.428046464920044, 1.2971985340118408, 1.0970932245254517, 0.9381366968154907, 0.9224317669868469, 0.8516659736633301, 0.6384351849555969, 0.5880277752876282, 0.601031482219696, 0.7705127000808716, 0.7015845775604248, 0.8221891522407532, 0.7208094000816345, 0.7021936178207397, 0.7709589600563049, 0.6263589262962341, 0.6157824993133545, 0.5846045613288879, 0.526728093624115];[-72.40740203857422, -46.267364501953125, -47.6234016418457, -15.160423278808594, -8.119754791259766, -5.888011455535889, -5.8046441078186035, -5.1978349685668945, -3.8361806869506836, -3.5993552207946777, -3.683706045150757, -4.625941753387451, -4.252074718475342, -4.934722900390625, -4.326231002807617, -4.220686435699463, -4.644507884979248, -3.90207576751709, -3.8346071243286133, -3.6985671520233154, -3.3925018310546875]
