Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 8.140886306762695, 4.35774564743042, 4.032912731170654, 3.743886709213257, 2.9114785194396973, 2.833575487136841, 2.4398229122161865, 2.295057535171509, 2.078033447265625, 2.1026952266693115, 2.1303796768188477, 2.033663749694824, 2.002690315246582, 2.0130834579467773, 1.9826222658157349, 1.9672809839248657, 1.9238030910491943, 1.9156759977340698, 1.8730708360671997, 1.914686918258667];[1.397889256477356, 1.3081696033477783, 0.934753954410553, 0.8472157120704651, 0.7580557465553284, 0.48272308707237244, 0.461050420999527, 0.2915900945663452, 0.22773534059524536, 0.13691845536231995, 0.1534600406885147, 0.16742238402366638, 0.12322168052196503, 0.11502309888601303, 0.11638327687978745, 0.10701113939285278, 0.10201025009155273, 0.08058623969554901, 0.07739762961864471, 0.06370331346988678, 0.07799980044364929];[-73.03792572021484, -19.90842056274414, -5.400935173034668, -4.993784427642822, -4.694431781768799, -3.14750337600708, -3.081399917602539, -2.459754467010498, -2.258399248123169, -1.9813238382339478, -2.0317161083221436, -2.079223871231079, -1.959385633468628, -1.9205026626586914, -1.9329742193222046, -1.900231957435608, -1.8912233114242554, -1.8314323425292969, -1.819769024848938, -1.781193733215332, -1.8243058919906616]
100;[16.369844436645508, 8.236339569091797, 4.973143100738525, 4.166943073272705, 4.04855489730835, 3.358103036880493, 3.221710443496704, 2.8411760330200195, 2.4666788578033447, 2.4792819023132324, 2.371023654937744, 2.2169010639190674, 2.2015342712402344, 2.097301483154297, 2.017763614654541, 1.972873568534851, 1.9075742959976196, 1.914361596107483, 1.8786391019821167, 1.8674185276031494, 1.8927656412124634];[1.3970413208007812, 1.4210187196731567, 1.0948063135147095, 0.8987433910369873, 0.866464376449585, 0.6602745056152344, 0.6086793541908264, 0.46578526496887207, 0.3086804449558258, 0.3185926675796509, 0.27118170261383057, 0.20594990253448486, 0.19792740046977997, 0.1533975750207901, 0.12258653342723846, 0.10036396980285645, 0.07422453165054321, 0.07952973991632462, 0.0626705214381218, 0.05817660316824913, 0.0673837661743164];[-72.28092193603516, -19.263132095336914, -6.662341117858887, -5.513497352600098, -5.46806526184082, -3.940887689590454, -3.740964412689209, -3.0658159255981445, -2.5321619510650635, -2.542372226715088, -2.402639150619507, -2.1925723552703857, -2.177001953125, -2.035653591156006, -1.952244520187378, -1.8965041637420654, -1.8099658489227295, -1.828189730644226, -1.7763479948043823, -1.768476128578186, -1.787785291671753]
150;[16.36842918395996, 8.136062622070312, 8.004867553710938, 3.440277099609375, 3.1939330101013184, 3.166445255279541, 2.7705435752868652, 2.5294253826141357, 2.3946945667266846, 2.241691827774048, 2.13822340965271, 2.007187604904175, 1.9518734216690063, 1.922797679901123, 1.7992401123046875, 1.8020652532577515, 1.7752946615219116, 1.769120216369629, 1.7758421897888184, 1.7956452369689941, 1.7971899509429932];[1.3987120389938354, 1.4081144332885742, 1.3038952350616455, 0.6676406860351562, 0.5918270945549011, 0.5835376977920532, 0.42807188630104065, 0.32456207275390625, 0.2782883048057556, 0.2112320512533188, 0.16822318732738495, 0.1098434254527092, 0.09070944786071777, 0.08178601413965225, 0.025959758087992668, 0.028493480756878853, 0.019817151129245758, 0.017213277518749237, 0.016749227419495583, 0.027563581243157387, 0.027863645926117897];[-71.65807342529297, -18.09330940246582, -21.928451538085938, -3.8924362659454346, -3.5539183616638184, -3.529168128967285, -2.920217275619507, -2.5668609142303467, -2.419516086578369, -2.2100822925567627, -2.0853354930877686, -1.9122369289398193, -1.8599811792373657, -1.826959490776062, -1.6750378608703613, -1.6822911500930786, -1.6567654609680176, -1.648372769355774, -1.6487987041473389, -1.67986261844635, -1.6840661764144897]
200;[16.373374938964844, 8.238615989685059, 4.860447883605957, 3.957498073577881, 3.4815454483032227, 2.888850688934326, 2.794147253036499, 2.652054786682129, 2.6607489585876465, 2.7041542530059814, 2.5115020275115967, 2.566941261291504, 2.534876585006714, 2.388854742050171, 2.3061025142669678, 2.199061632156372, 2.146585702896118, 2.130460262298584, 2.0882043838500977, 2.0584776401519775, 1.9867677688598633];[1.395896315574646, 1.4385687112808228, 1.0535818338394165, 0.8530406355857849, 0.6788356304168701, 0.47203677892684937, 0.44007623195648193, 0.3798946440219879, 0.394363671541214, 0.4129871129989624, 0.3341136574745178, 0.35834136605262756, 0.3486328125, 0.28397178649902344, 0.2527722120285034, 0.20292499661445618, 0.1782393455505371, 0.17309504747390747, 0.15684378147125244, 0.14095832407474518, 0.11370489001274109];[-72.9843521118164, -17.936973571777344, -6.540985584259033, -4.863173007965088, -4.1045732498168945, -3.09367299079895, -2.989450693130493, -2.7710258960723877, -2.8253061771392822, -2.901594638824463, -2.6199862957000732, -2.7003283500671387, -2.6721155643463135, -2.4508895874023438, -2.3541107177734375, -2.19216251373291, -2.1283936500549316, -2.1091387271881104, -2.0485315322875977, -2.0098986625671387, -1.9251043796539307]
250;[16.361940383911133, 11.409566879272461, 4.789144992828369, 3.7206878662109375, 2.9286022186279297, 2.504009485244751, 2.4621219635009766, 2.313066005706787, 2.3454947471618652, 2.1215615272521973, 2.059840679168701, 2.0590670108795166, 2.1477701663970947, 2.1567163467407227, 2.156973361968994, 2.148451805114746, 2.167546272277832, 2.182582139968872, 2.0714099407196045, 2.0646798610687256, 1.9349032640457153];[1.397222876548767, 1.408389687538147, 1.0577845573425293, 0.7382427453994751, 0.4716552495956421, 0.3064686059951782, 0.2956780195236206, 0.2368013709783554, 0.25077053904533386, 0.1576404720544815, 0.128854438662529, 0.13680678606033325, 0.17228646576404572, 0.18221819400787354, 0.18172462284564972, 0.17969800531864166, 0.1873966008424759, 0.20052365958690643, 0.14900721609592438, 0.1463504135608673, 0.08986181020736694];[-73.10462188720703, -45.30500793457031, -6.398720741271973, -4.562908172607422, -3.067643404006958, -2.4832167625427246, -2.458763837814331, -2.2965755462646484, -2.3427274227142334, -2.041215181350708, -1.9662981033325195, -1.986518383026123, -2.115601062774658, -2.132392406463623, -2.1227617263793945, -2.1269495487213135, -2.165908098220825, -2.1849234104156494, -2.02340030670166, -2.0232067108154297, -1.8589860200881958]
300;[16.380901336669922, 11.537755012512207, 4.546953201293945, 4.670388221740723, 4.196719169616699, 2.9403698444366455, 2.888604164123535, 2.7339954376220703, 2.3939995765686035, 2.198488473892212, 2.079920768737793, 2.040215253829956, 2.0958569049835205, 1.9864532947540283, 2.0024874210357666, 1.9601974487304688, 1.942691683769226, 1.9317680597305298, 1.9190396070480347, 1.9032634496688843, 1.9451282024383545];[1.3972654342651367, 1.318778395652771, 0.9395076036453247, 1.008774757385254, 0.8475627899169922, 0.4862802028656006, 0.471903920173645, 0.4177544116973877, 0.2757503390312195, 0.19440391659736633, 0.1426205188035965, 0.12840934097766876, 0.15043048560619354, 0.10488977283239365, 0.11533352732658386, 0.09725119918584824, 0.09191254526376724, 0.08620187640190125, 0.082636259496212, 0.07556315511465073, 0.0940774604678154];[-71.25759887695312, -49.2015266418457, -6.362619400024414, -6.843846321105957, -6.217299938201904, -3.2503368854522705, -3.2358715534210205, -3.069490909576416, -2.4435694217681885, -2.1758949756622314, -2.009589672088623, -1.9664896726608276, -2.050921678543091, -1.9033973217010498, -1.935187578201294, -1.879240870475769, -1.8581310510635376, -1.8526146411895752, -1.836411714553833, -1.816688060760498, -1.8741604089736938]
350;[16.37685203552246, 8.232129096984863, 4.477870941162109, 3.432253360748291, 2.9934277534484863, 2.6646969318389893, 2.436021089553833, 2.3578715324401855, 2.1643285751342773, 2.1292638778686523, 2.1038472652435303, 2.0498464107513428, 1.970741868019104, 2.0165483951568604, 1.962863564491272, 1.9422186613082886, 1.8736087083816528, 1.8850451707839966, 1.8573846817016602, 1.8437823057174683, 1.8196181058883667];[1.3971993923187256, 1.4164166450500488, 0.9579677581787109, 0.6639565825462341, 0.5076350569725037, 0.37975701689720154, 0.28579017519950867, 0.2533441185951233, 0.17115622758865356, 0.15793853998184204, 0.15159042179584503, 0.12752193212509155, 0.09722685068845749, 0.11515931040048599, 0.09439647942781448, 0.09054896980524063, 0.06149189919233322, 0.06399266421794891, 0.05565105751156807, 0.048319198191165924, 0.040132250636816025];[-71.22865295410156, -18.906105041503906, -5.726326942443848, -3.845977783203125, -3.2290101051330566, -2.7378082275390625, -2.432844638824463, -2.3351800441741943, -2.0927531719207764, -2.049802780151367, -2.0344815254211426, -1.9682221412658691, -1.8775759935379028, -1.9235059022903442, -1.866346001625061, -1.8510295152664185, -1.774733304977417, -1.7856979370117188, -1.7585023641586304, -1.7389938831329346, -1.7208954095840454]
400;[16.363100051879883, 11.43808364868164, 4.260543346405029, 3.7805068492889404, 3.4320921897888184, 3.3841357231140137, 3.369478464126587, 3.288447856903076, 2.6781411170959473, 2.294771671295166, 2.3020598888397217, 2.310445547103882, 2.1943771839141846, 2.143634080886841, 2.1289823055267334, 1.9990549087524414, 1.9615505933761597, 1.8967872858047485, 1.880113124847412, 1.885977029800415, 1.866011619567871];[1.3982000350952148, 1.34676194190979, 0.9170868396759033, 0.7644404768943787, 0.6425224542617798, 0.6314738988876343, 0.6324479579925537, 0.6041080951690674, 0.3922651410102844, 0.23504208028316498, 0.23870030045509338, 0.24673400819301605, 0.19509483873844147, 0.17848683893680573, 0.1735830307006836, 0.11353223770856857, 0.09888636320829391, 0.07068581879138947, 0.06374714523553848, 0.06725780665874481, 0.062601238489151];[-71.06763458251953, -47.0036506652832, -5.211127758026123, -4.652282238006592, -4.245102882385254, -4.276744842529297, -4.2898030281066895, -4.235803127288818, -2.975695848464966, -2.299675703048706, -2.317265272140503, -2.3448233604431152, -2.1784141063690186, -2.1319949626922607, -2.1147146224975586, -1.932225227355957, -1.8846713304519653, -1.8013311624526978, -1.7755612134933472, -1.788062572479248, -1.7729049921035767]
450;[16.369915008544922, 8.217978477478027, 4.0132832527160645, 3.070119619369507, 2.672029733657837, 2.472318649291992, 2.419527292251587, 2.2304160594940186, 2.135406732559204, 1.9394996166229248, 1.920989990234375, 1.8997496366500854, 1.8899598121643066, 1.8992286920547485, 1.8473423719406128, 1.8070601224899292, 1.7972440719604492, 1.8087393045425415, 1.8094971179962158, 1.8286899328231812, 1.8145804405212402];[1.396751880645752, 1.2653237581253052, 0.8319475650787354, 0.509850263595581, 0.36622703075408936, 0.2969558835029602, 0.27981963753700256, 0.20077364146709442, 0.16298669576644897, 0.07857650518417358, 0.07155588269233704, 0.06587191671133041, 0.06290075182914734, 0.07100775092840195, 0.04535156115889549, 0.032656099647283554, 0.025374338030815125, 0.032374247908592224, 0.03480004146695137, 0.04302741587162018, 0.03805212676525116];[-71.8649673461914, -21.226015090942383, -4.724597454071045, -3.188753604888916, -2.682962417602539, -2.480289936065674, -2.402247190475464, -2.176509141921997, -2.0633111000061035, -1.817354679107666, -1.7989190816879272, -1.7879148721694946, -1.776665449142456, -1.8002362251281738, -1.7226465940475464, -1.6925030946731567, -1.6716116666793823, -1.6915197372436523, -1.6982088088989258, -1.7210643291473389, -1.707881212234497]
500;[16.342056274414062, 11.400782585144043, 4.925191402435303, 4.395947456359863, 3.788864850997925, 3.1771044731140137, 2.7900731563568115, 2.6297037601470947, 2.511193037033081, 2.35002064704895, 2.2596182823181152, 2.2534573078155518, 2.2336955070495605, 2.1591615676879883, 2.0608222484588623, 2.0386247634887695, 1.9694033861160278, 1.9488320350646973, 1.9275755882263184, 1.923233151435852, 1.8758978843688965];[1.3953099250793457, 1.386016845703125, 1.0855964422225952, 0.984943687915802, 0.7945592999458313, 0.590424120426178, 0.43945610523223877, 0.3724087178707123, 0.32652175426483154, 0.26227840781211853, 0.2225881963968277, 0.21745264530181885, 0.21397385001182556, 0.1803223043680191, 0.1408204436302185, 0.13430272042751312, 0.10126166045665741, 0.09305085241794586, 0.08514159917831421, 0.08264502882957458, 0.06396608054637909];[-72.40740203857422, -46.09587860107422, -6.691091537475586, -5.831632614135742, -4.750949382781982, -3.5925583839416504, -3.0129330158233643, -2.7374515533447266, -2.588153123855591, -2.3629517555236816, -2.246105909347534, -2.2533724308013916, -2.232646942138672, -2.1247167587280273, -1.9935108423233032, -1.9717909097671509, -1.8917486667633057, -1.8601672649383545, -1.8416147232055664, -1.8428667783737183, -1.7851883172988892]
