Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.457935333251953, 9.685998916625977, 7.099844932556152, 4.746868133544922, 3.741156578063965, 3.1494393348693848, 2.959066152572632, 2.875678300857544, 2.674267530441284, 2.5862371921539307, 2.4940245151519775, 2.4625675678253174, 2.3835833072662354, 2.400658130645752, 2.435239315032959, 2.4810779094696045, 2.401918411254883, 2.3360207080841064, 2.4040966033935547, 2.399242877960205, 2.379166603088379];[1.3664692640304565, 1.177578091621399, 1.1760462522506714, 0.9004864692687988, 0.6431915760040283, 0.4387347400188446, 0.3718147277832031, 0.34109991788864136, 0.2551648020744324, 0.21915484964847565, 0.1857662796974182, 0.16843414306640625, 0.1321849375963211, 0.14054490625858307, 0.1579681634902954, 0.18064555525779724, 0.14792566001415253, 0.12424346804618835, 0.14939503371715546, 0.1473958045244217, 0.13598930835723877];[-73.45442199707031, -21.599750518798828, -15.100273132324219, -6.7708916664123535, -4.64850378036499, -3.619032621383667, -3.333479642868042, -3.2232799530029297, -2.899515151977539, -2.769036054611206, -2.621286630630493, -2.599263906478882, -2.4772796630859375, -2.5101330280303955, -2.576101064682007, -2.633833885192871, -2.539515495300293, -2.428438663482666, -2.542609453201294, -2.520327091217041, -2.500322103500366]
100;[16.432859420776367, 9.68050765991211, 8.403441429138184, 4.401906490325928, 3.212080955505371, 2.9167861938476562, 2.6122727394104004, 2.5085952281951904, 2.4205453395843506, 2.3064041137695312, 2.276904344558716, 2.272209644317627, 2.252805233001709, 2.2003142833709717, 2.3115434646606445, 2.261545419692993, 2.2193665504455566, 2.208439350128174, 2.1794326305389404, 2.188749313354492, 2.1882517337799072];[1.3662739992141724, 1.1749838590621948, 1.3638763427734375, 0.7947011590003967, 0.45157039165496826, 0.3486216068267822, 0.21722662448883057, 0.17809350788593292, 0.1426609307527542, 0.08987069129943848, 0.0844094529747963, 0.08100993931293488, 0.06965965032577515, 0.04617305099964142, 0.10091377049684525, 0.07746268063783646, 0.061583053320646286, 0.05434034764766693, 0.049915626645088196, 0.051762767136096954, 0.05084228515625];[-72.65760040283203, -21.804319381713867, -16.63402557373047, -5.788646697998047, -3.6770474910736084, -3.229109764099121, -2.7245709896087646, -2.6030828952789307, -2.4849042892456055, -2.3201308250427246, -2.3083128929138184, -2.3052895069122314, -2.2760939598083496, -2.1983609199523926, -2.3728444576263428, -2.3064374923706055, -2.2498040199279785, -2.2264349460601807, -2.1958837509155273, -2.2149510383605957, -2.211008071899414]
150;[16.43834686279297, 11.907048225402832, 8.225452423095703, 6.3106818199157715, 5.1254472732543945, 4.722603797912598, 4.3403544425964355, 3.5631213188171387, 2.8543860912323, 2.858489990234375, 2.7587532997131348, 2.6984190940856934, 2.4895806312561035, 2.347276210784912, 2.2942981719970703, 2.2146077156066895, 2.169294595718384, 2.1335675716400146, 2.117495536804199, 2.1461000442504883, 2.157109260559082];[1.3703761100769043, 1.274117350578308, 1.2577463388442993, 1.1341774463653564, 0.9478000402450562, 0.8775708675384521, 0.7590882778167725, 0.5637404322624207, 0.3242109715938568, 0.3311846852302551, 0.2930639386177063, 0.26908743381500244, 0.18151652812957764, 0.11812994629144669, 0.09412513673305511, 0.061292342841625214, 0.035718370229005814, 0.024152109399437904, 0.01910519227385521, 0.02497076243162155, 0.028341006487607956];[-71.99467468261719, -46.324623107910156, -21.240304946899414, -12.572113990783691, -8.904047966003418, -7.87992000579834, -7.094698429107666, -4.874528408050537, -3.268446922302246, -3.257542133331299, -3.102761745452881, -3.016117811203003, -2.6625466346740723, -2.4311468601226807, -2.3553147315979004, -2.246415615081787, -2.1749250888824463, -2.121574640274048, -2.107414960861206, -2.1388776302337646, -2.158431053161621]
200;[16.43805503845215, 9.633517265319824, 8.377496719360352, 8.231464385986328, 8.209635734558105, 8.237447738647461, 8.177292823791504, 8.150959014892578, 5.050543308258057, 2.984934091567993, 2.9091687202453613, 2.8845343589782715, 2.553419828414917, 2.455564260482788, 2.414363145828247, 2.4180774688720703, 2.2777411937713623, 2.364928722381592, 2.380890369415283, 2.3501365184783936, 2.261458396911621];[1.3676366806030273, 1.1740500926971436, 1.3696837425231934, 1.2773303985595703, 1.2513655424118042, 1.266984224319458, 1.250838041305542, 1.2443132400512695, 0.9077976942062378, 0.3810262680053711, 0.35325583815574646, 0.347046434879303, 0.20873773097991943, 0.1645144522190094, 0.1470497101545334, 0.15178586542606354, 0.09042558819055557, 0.12730783224105835, 0.14023557305335999, 0.12136605381965637, 0.08040394634008408];[-73.33580780029297, -22.183435440063477, -16.522138595581055, -24.127147674560547, -25.322948455810547, -26.157032012939453, -26.780874252319336, -26.6558895111084, -9.84592342376709, -3.5409128665924072, -3.4046740531921387, -3.3746044635772705, -2.7471442222595215, -2.581965923309326, -2.548170804977417, -2.545095920562744, -2.3385207653045654, -2.4631381034851074, -2.5088469982147217, -2.448227882385254, -2.319195508956909]
250;[16.437007904052734, 12.166027069091797, 11.656760215759277, 11.62518310546875, 7.993967056274414, 6.467806339263916, 5.662146091461182, 4.067566394805908, 3.077183723449707, 2.7120370864868164, 2.6406965255737305, 2.6276044845581055, 2.515791893005371, 2.500030517578125, 2.430018663406372, 2.403564691543579, 2.4045498371124268, 2.313977003097534, 2.271009683609009, 2.24857759475708, 2.2375893592834473];[1.3703639507293701, 1.2702569961547852, 1.3367714881896973, 1.3589342832565308, 1.1815646886825562, 1.0751659870147705, 0.9811237454414368, 0.7077687978744507, 0.41143128275871277, 0.27430543303489685, 0.24467816948890686, 0.24139466881752014, 0.18835808336734772, 0.19209475815296173, 0.1583363562822342, 0.14838890731334686, 0.14299993216991425, 0.10550186783075333, 0.08299467712640762, 0.07864691317081451, 0.07371892780065536];[-73.51893615722656, -51.676692962646484, -54.32960510253906, -54.36448287963867, -24.498430252075195, -15.844978332519531, -12.270581245422363, -6.27163553237915, -3.6826393604278564, -3.0048820972442627, -2.9017341136932373, -2.8960466384887695, -2.6913459300994873, -2.6802563667297363, -2.564701795578003, -2.521362781524658, -2.540797472000122, -2.389629364013672, -2.319336414337158, -2.3034822940826416, -2.2940685749053955]
300;[16.454437255859375, 9.674405097961426, 6.8422040939331055, 5.427436351776123, 4.8385210037231445, 3.575979709625244, 2.920689105987549, 2.7027008533477783, 2.598559856414795, 2.4644336700439453, 2.4906420707702637, 2.481440544128418, 2.4439499378204346, 2.3793320655822754, 2.3728418350219727, 2.355623483657837, 2.291301965713501, 2.2595884799957275, 2.250699043273926, 2.2303316593170166, 2.2306413650512695];[1.3678582906723022, 1.180633783340454, 1.0950360298156738, 0.9328263998031616, 0.8636584281921387, 0.5706499218940735, 0.34994420409202576, 0.2608073055744171, 0.22036264836788177, 0.1646338850259781, 0.18149948120117188, 0.17637565732002258, 0.1616753190755844, 0.13670922815799713, 0.13463519513607025, 0.12924084067344666, 0.09908542037010193, 0.08086520433425903, 0.07787726819515228, 0.06837102770805359, 0.0694117471575737];[-71.66529083251953, -19.90605354309082, -15.661388397216797, -10.232474327087402, -8.239274024963379, -4.551395416259766, -3.2667760848999023, -2.9413652420043945, -2.7773053646087646, -2.5614511966705322, -2.628678560256958, -2.6211516857147217, -2.5656321048736572, -2.4821484088897705, -2.47349214553833, -2.464956283569336, -2.35693097114563, -2.309943437576294, -2.2941622734069824, -2.270660400390625, -2.2784464359283447]
350;[16.454273223876953, 9.707172393798828, 7.283203125, 5.197727203369141, 4.317065715789795, 4.004687786102295, 3.889570951461792, 3.528834581375122, 3.066507577896118, 3.0312421321868896, 2.9933578968048096, 2.880448579788208, 2.786797523498535, 2.7078747749328613, 2.700579881668091, 2.629132032394409, 2.5481293201446533, 2.5165698528289795, 2.4279816150665283, 2.489828586578369, 2.50577449798584];[1.3681061267852783, 1.182518720626831, 1.2467641830444336, 1.0195666551589966, 0.8176160454750061, 0.7272712588310242, 0.6894788146018982, 0.5878759622573853, 0.4216110110282898, 0.4067138731479645, 0.4005666673183441, 0.3484550416469574, 0.31142953038215637, 0.27878254652023315, 0.27640604972839355, 0.25024640560150146, 0.2182079702615738, 0.19900374114513397, 0.1585346758365631, 0.18621163070201874, 0.197369784116745];[-71.6885757446289, -22.67919921875, -15.632863998413086, -8.025796890258789, -6.191659450531006, -5.679942607879639, -5.455589771270752, -4.593582630157471, -3.6026535034179688, -3.55133056640625, -3.520376682281494, -3.3147764205932617, -3.158237934112549, -3.0276739597320557, -3.010244131088257, -2.9049692153930664, -2.76546049118042, -2.7058539390563965, -2.575676918029785, -2.6688432693481445, -2.724376916885376]
400;[16.441415786743164, 11.904789924621582, 11.50175666809082, 11.434050559997559, 11.44433879852295, 7.941440582275391, 6.2624688148498535, 4.112320423126221, 3.292370080947876, 3.038644790649414, 3.004337787628174, 2.9288721084594727, 2.631850481033325, 2.4454245567321777, 2.3948612213134766, 2.266221761703491, 2.2879772186279297, 2.2840096950531006, 2.225663661956787, 2.2549071311950684, 2.2259316444396973];[1.3683990240097046, 1.2658623456954956, 1.3622604608535767, 1.3829959630966187, 1.394983172416687, 1.2240643501281738, 1.0495524406433105, 0.7046440839767456, 0.4809962809085846, 0.39476561546325684, 0.38813164830207825, 0.3550395965576172, 0.240566685795784, 0.16062813997268677, 0.1415386199951172, 0.07953908294439316, 0.09256967902183533, 0.09676256775856018, 0.06314025074243546, 0.08139657229185104, 0.07079249620437622];[-71.52444458007812, -49.11654281616211, -51.4025993347168, -51.53107452392578, -53.055519104003906, -23.936281204223633, -15.181204795837402, -6.399428844451904, -4.273124694824219, -3.673555612564087, -3.6222193241119385, -3.503277063369751, -2.9128658771514893, -2.5881757736206055, -2.5132274627685547, -2.3087856769561768, -2.3554787635803223, -2.344141721725464, -2.263199806213379, -2.322810411453247, -2.274296522140503]
450;[16.430538177490234, 9.645525932312012, 6.767482280731201, 5.299671649932861, 4.685315132141113, 3.2378242015838623, 2.513767957687378, 2.458197832107544, 2.3924930095672607, 2.2470955848693848, 2.1520187854766846, 2.171766996383667, 2.2222321033477783, 2.2071502208709717, 2.1989972591400146, 2.2642431259155273, 2.231480360031128, 2.1884288787841797, 2.1885199546813965, 2.1602609157562256, 2.1348650455474854];[1.367666482925415, 1.1778945922851562, 1.0821858644485474, 0.8831434845924377, 0.7951652407646179, 0.449931800365448, 0.18308262526988983, 0.16084450483322144, 0.12650136649608612, 0.06526729464530945, 0.02826719358563423, 0.035863667726516724, 0.06560999155044556, 0.054321158677339554, 0.05475807562470436, 0.08234447240829468, 0.06367235630750656, 0.047449368983507156, 0.049338649958372116, 0.0330486074090004, 0.02655496448278427];[-72.12503051757812, -21.78878402709961, -14.732980728149414, -9.751147270202637, -7.930150032043457, -3.9442949295043945, -2.6296095848083496, -2.5332698822021484, -2.4567973613739014, -2.2428500652313232, -2.1137499809265137, -2.160193681716919, -2.2406787872314453, -2.2164788246154785, -2.2063093185424805, -2.306164503097534, -2.253520965576172, -2.200857639312744, -2.2063779830932617, -2.151121139526367, -2.1364710330963135]
500;[16.416690826416016, 12.025672912597656, 8.17199420928955, 4.825304985046387, 3.252777099609375, 2.499411106109619, 2.337703227996826, 2.2601842880249023, 2.2866029739379883, 2.207179307937622, 2.1617655754089355, 2.142146110534668, 2.1517133712768555, 2.130017042160034, 2.111347198486328, 2.119302749633789, 2.138658046722412, 2.143615961074829, 2.1502013206481934, 2.137237071990967, 2.152139663696289];[1.366329550743103, 1.263440728187561, 1.1800309419631958, 0.8419407606124878, 0.44588416814804077, 0.16204310953617096, 0.0966174528002739, 0.06714463979005814, 0.08171708881855011, 0.04679376631975174, 0.033522721379995346, 0.01694752275943756, 0.018338151276111603, 0.014930651523172855, 0.010041880421340466, 0.011150249280035496, 0.02028830535709858, 0.023852603510022163, 0.028902703896164894, 0.02136380225419998, 0.02994847297668457];[-72.73931121826172, -49.037784576416016, -22.186420440673828, -7.134397983551025, -3.7819368839263916, -2.5099494457244873, -2.3289785385131836, -2.2314631938934326, -2.2749874591827393, -2.192486524581909, -2.141896963119507, -2.1132004261016846, -2.1209638118743896, -2.100036382675171, -2.0746657848358154, -2.0991623401641846, -2.123309850692749, -2.141960859298706, -2.1467363834381104, -2.133307456970215, -2.1636526584625244]
