Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 9.546963691711426, 8.32006549835205, 4.679693698883057, 3.3946008682250977, 2.869749069213867, 2.6953775882720947, 2.6820592880249023, 2.578342914581299, 2.4450130462646484, 2.652808904647827, 2.53291392326355, 2.4582834243774414, 2.539734125137329, 2.5414068698883057, 2.408344268798828, 2.365966796875, 2.474773645401001, 2.4340622425079346, 2.5368356704711914, 2.4503743648529053];[1.397889256477356, 1.2428826093673706, 1.494755744934082, 1.067063808441162, 0.6488751769065857, 0.4654253423213959, 0.405242919921875, 0.4041553735733032, 0.3591168224811554, 0.30636295676231384, 0.39604809880256653, 0.34668856859207153, 0.31584298610687256, 0.35314151644706726, 0.35626038908958435, 0.2986411154270172, 0.28396594524383545, 0.3300718367099762, 0.3100837767124176, 0.3557208180427551, 0.320140540599823];[-73.03792572021484, -22.55229949951172, -16.0282039642334, -6.643720626831055, -4.123619556427002, -3.1610302925109863, -2.992382287979126, -2.9796643257141113, -2.8327550888061523, -2.618199348449707, -3.010324716567993, -2.7982048988342285, -2.704824209213257, -2.8439016342163086, -2.8597543239593506, -2.6009180545806885, -2.5415427684783936, -2.751631259918213, -2.655965805053711, -2.8541510105133057, -2.704404354095459]
100;[16.369844436645508, 9.730602264404297, 8.029265403747559, 7.2258405685424805, 5.958812236785889, 5.272463321685791, 5.120047569274902, 4.373058795928955, 4.131251811981201, 3.9577436447143555, 3.4382433891296387, 3.383732795715332, 3.541064500808716, 3.9350273609161377, 4.130145072937012, 4.210108757019043, 4.161931037902832, 4.1274733543396, 3.9121780395507812, 3.7462518215179443, 3.6432888507843018];[1.3970413208007812, 1.2297972440719604, 1.394801378250122, 1.338565707206726, 1.2252203226089478, 1.0784316062927246, 1.0283702611923218, 0.9085522294044495, 0.8631071448326111, 0.8145244121551514, 0.6767789721488953, 0.6773693561553955, 0.7296173572540283, 0.8450642228126526, 0.8895627856254578, 0.910469651222229, 0.8847640752792358, 0.8635439872741699, 0.8167891502380371, 0.7758046984672546, 0.7433335781097412];[-72.28092193603516, -24.2219295501709, -19.428953170776367, -18.033632278442383, -11.895681381225586, -10.040257453918457, -9.978095054626465, -7.246156215667725, -6.6212477684021, -6.261010646820068, -4.707021713256836, -4.467527866363525, -4.965301990509033, -6.085239410400391, -6.687005519866943, -6.9253249168396, -6.929689407348633, -6.95643424987793, -6.265019416809082, -5.76838493347168, -5.4955902099609375]
150;[16.36842918395996, 11.7294340133667, 7.968465805053711, 4.744898319244385, 3.93435001373291, 3.651332139968872, 3.4113030433654785, 3.2879416942596436, 3.449033737182617, 4.260045051574707, 5.14712381362915, 4.894029140472412, 4.883546829223633, 4.600709438323975, 4.651536464691162, 4.539124011993408, 4.29774808883667, 3.965606689453125, 3.618760108947754, 3.3478777408599854, 3.0958728790283203];[1.3987120389938354, 1.2951855659484863, 1.309807538986206, 1.0122209787368774, 0.868476390838623, 0.7859443426132202, 0.7014727592468262, 0.6583477258682251, 0.7303076982498169, 0.983060359954834, 1.1731033325195312, 1.1288938522338867, 1.1260679960250854, 1.072187900543213, 1.0972740650177002, 1.0828161239624023, 1.0225595235824585, 0.9263187646865845, 0.8050826191902161, 0.7118682861328125, 0.6049060225486755];[-71.65807342529297, -45.57699203491211, -20.287504196166992, -6.747747421264648, -5.175449371337891, -4.6118879318237305, -4.161684513092041, -3.980241060256958, -4.356439590454102, -6.383946418762207, -9.343125343322754, -8.49779224395752, -8.596896171569824, -7.617488861083984, -7.685885429382324, -7.342006683349609, -6.632542133331299, -5.757343292236328, -4.89509916305542, -4.304199695587158, -3.7638049125671387]
200;[16.373374938964844, 9.570503234863281, 6.786386489868164, 5.426663398742676, 4.923886299133301, 4.085172653198242, 3.608966112136841, 3.5207931995391846, 3.615354061126709, 3.1099355220794678, 2.5196666717529297, 2.237116575241089, 2.3332769870758057, 2.552400588989258, 2.936723232269287, 3.064246892929077, 2.925640344619751, 2.899247169494629, 2.774033308029175, 2.557614803314209, 2.5719728469848633];[1.395896315574646, 1.2349286079406738, 1.198683500289917, 1.0876766443252563, 0.9964829087257385, 0.8382269144058228, 0.6989883184432983, 0.6753828525543213, 0.7249297499656677, 0.5657166242599487, 0.3419315218925476, 0.21773862838745117, 0.262668639421463, 0.3604139983654022, 0.5190948843955994, 0.5658124089241028, 0.512683629989624, 0.503511905670166, 0.4538256525993347, 0.36499443650245667, 0.37506476044654846];[-72.9843521118164, -21.058748245239258, -14.293963432312012, -9.656776428222656, -8.705767631530762, -6.085537910461426, -5.101807117462158, -4.9339070320129395, -5.116657733917236, -3.888456106185913, -2.7022902965545654, -2.2770395278930664, -2.405665397644043, -2.7851788997650146, -3.5673999786376953, -3.878122329711914, -3.5457897186279297, -3.506882429122925, -3.2680206298828125, -2.857159376144409, -2.894502639770508]
250;[16.361940383911133, 11.701009750366211, 11.372668266296387, 11.34238052368164, 11.331368446350098, 7.910074234008789, 4.655673503875732, 2.7695717811584473, 2.367445945739746, 2.169811964035034, 2.214439630508423, 2.0054497718811035, 2.18306827545166, 2.4883971214294434, 2.704807758331299, 2.814021348953247, 2.9039390087127686, 3.128795862197876, 3.451955795288086, 3.6889116764068604, 3.7876062393188477];[1.397222876548767, 1.3104645013809204, 1.4233416318893433, 1.4497549533843994, 1.4468536376953125, 1.3588906526565552, 0.9939918518066406, 0.4391400218009949, 0.2684006989002228, 0.1845865249633789, 0.20479704439640045, 0.11701755225658417, 0.1913299560546875, 0.3367109000682831, 0.4281787574291229, 0.48251163959503174, 0.5196388959884644, 0.613325297832489, 0.7391777038574219, 0.821088433265686, 0.8563652634620667];[-73.10462188720703, -44.661109924316406, -48.80270004272461, -49.49429702758789, -51.186920166015625, -23.06574058532715, -7.814703464508057, -2.988726854324341, -2.3956122398376465, -2.1259148120880127, -2.2024505138397217, -1.9309585094451904, -2.162461042404175, -2.6403441429138184, -3.009225368499756, -3.22407603263855, -3.410170316696167, -3.8792150020599365, -4.578618049621582, -5.1607584953308105, -5.392992973327637]
300;[16.380901336669922, 9.470562934875488, 8.317658424377441, 8.111120223999023, 8.101290702819824, 4.737645149230957, 3.1025545597076416, 2.97731351852417, 2.9380805492401123, 2.9564013481140137, 3.401080846786499, 3.663966417312622, 3.3679254055023193, 3.312869071960449, 3.2828073501586914, 3.2335991859436035, 3.3510096073150635, 3.100238084793091, 3.026336431503296, 2.847038984298706, 2.619981288909912];[1.3972654342651367, 1.2507573366165161, 1.4592524766921997, 1.3145333528518677, 1.310336947441101, 0.9711881875991821, 0.5572301149368286, 0.5188493132591248, 0.49812451004981995, 0.5145275592803955, 0.6643504500389099, 0.7397701740264893, 0.6569567322731018, 0.6427499651908875, 0.6326867938041687, 0.6152300834655762, 0.6595777869224548, 0.5734584331512451, 0.5455772876739502, 0.4832123816013336, 0.39485272765159607];[-71.25759887695312, -20.422880172729492, -16.737913131713867, -24.080293655395508, -25.926485061645508, -8.171696662902832, -3.729868173599243, -3.5754687786102295, -3.5375146865844727, -3.5760507583618164, -4.704442024230957, -5.444235801696777, -4.617392539978027, -4.522042274475098, -4.5046162605285645, -4.387142181396484, -4.640731334686279, -4.025954723358154, -3.877419948577881, -3.459974765777588, -2.9843883514404297]
350;[16.37685203552246, 9.543535232543945, 8.393697738647461, 4.734100818634033, 4.79631233215332, 4.235443592071533, 4.641268730163574, 4.396501064300537, 4.4860968589782715, 4.678796768188477, 4.60958194732666, 4.5362772941589355, 4.407642364501953, 4.214743137359619, 4.0123491287231445, 3.871135950088501, 3.6908819675445557, 3.5475997924804688, 3.3375954627990723, 3.1121737957000732, 2.9420480728149414];[1.3971993923187256, 1.2409751415252686, 1.5001033544540405, 1.0683552026748657, 1.1131043434143066, 0.9774938225746155, 1.0888534784317017, 1.0325804948806763, 1.055374264717102, 1.1096605062484741, 1.0891659259796143, 1.0673606395721436, 1.0410438776016235, 0.9894095063209534, 0.9326003789901733, 0.8956516981124878, 0.8332984447479248, 0.7763534784317017, 0.6982631087303162, 0.6051509380340576, 0.5344616174697876];[-71.22865295410156, -20.364185333251953, -16.51746368408203, -6.525494575500488, -7.378127574920654, -5.930606842041016, -7.113798141479492, -6.486666202545166, -6.862836837768555, -7.544586181640625, -7.3921003341674805, -7.2729949951171875, -6.940140247344971, -6.385782241821289, -5.850263595581055, -5.457738876342773, -5.085953235626221, -4.771578788757324, -4.305952072143555, -3.8548126220703125, -3.5604193210601807]
400;[16.363100051879883, 11.746260643005371, 8.039128303527832, 4.7504963874816895, 2.924668550491333, 3.313643455505371, 3.886176347732544, 3.663159132003784, 4.044990062713623, 3.6409125328063965, 3.226545810699463, 2.9595367908477783, 3.1188290119171143, 3.0057711601257324, 2.950152635574341, 2.8445892333984375, 2.8626320362091064, 2.784409284591675, 2.865339756011963, 2.7745134830474854, 2.5926930904388428];[1.3982000350952148, 1.2929725646972656, 1.3097102642059326, 1.0140248537063599, 0.4755125343799591, 0.6164390444755554, 0.8387138247489929, 0.749558687210083, 0.8823702931404114, 0.7771505117416382, 0.637907087802887, 0.5388304591178894, 0.6047546863555908, 0.5599082112312317, 0.5400564074516296, 0.49327975511550903, 0.5058408379554749, 0.4713844358921051, 0.5078423619270325, 0.4657631814479828, 0.3825169801712036];[-71.06763458251953, -45.745426177978516, -20.33002471923828, -6.759266376495361, -3.2148449420928955, -4.1482625007629395, -5.335008144378662, -5.045773983001709, -5.975926399230957, -4.861729621887207, -3.9224393367767334, -3.4263999462127686, -3.730416774749756, -3.4945809841156006, -3.4407684803009033, -3.2714486122131348, -3.3085436820983887, -3.1629302501678467, -3.297048330307007, -3.153953790664673, -2.8353207111358643]
450;[16.369915008544922, 9.545781135559082, 6.797302722930908, 3.972733974456787, 2.5146825313568115, 2.0808773040771484, 2.0543875694274902, 2.020129442214966, 2.3468658924102783, 2.7444159984588623, 2.7049334049224854, 2.9342398643493652, 2.902911424636841, 2.6985485553741455, 2.802030563354492, 2.9562036991119385, 2.9136624336242676, 3.0309600830078125, 3.182656764984131, 3.4070403575897217, 3.72324275970459];[1.396751880645752, 1.2494961023330688, 1.2017592191696167, 0.8158900737762451, 0.3013865351676941, 0.12840276956558228, 0.12571029365062714, 0.11415641754865646, 0.2613333463668823, 0.43012526631355286, 0.4173988997936249, 0.504223108291626, 0.4918041229248047, 0.4143182635307312, 0.4535463750362396, 0.5087504386901855, 0.49602416157722473, 0.5517327785491943, 0.6179184913635254, 0.7159681916236877, 0.8390514254570007];[-71.8649673461914, -19.729446411132812, -14.576704978942871, -4.850543022155762, -2.457587718963623, -1.955740213394165, -1.9472733736038208, -1.9259974956512451, -2.4144909381866455, -3.098785638809204, -3.057408094406128, -3.5611302852630615, -3.548259973526001, -3.134409189224243, -3.358522415161133, -3.712587833404541, -3.6274781227111816, -3.810612440109253, -4.061279773712158, -4.532980442047119, -5.21457576751709]
500;[16.342056274414062, 11.743003845214844, 11.375162124633789, 7.870789051055908, 6.681248664855957, 5.152413845062256, 4.221459865570068, 3.6978726387023926, 3.179854154586792, 2.9117980003356934, 2.892484426498413, 3.2887330055236816, 3.158006191253662, 3.400911331176758, 3.2071008682250977, 3.096047878265381, 3.2794647216796875, 3.1072161197662354, 2.9088809490203857, 2.7950828075408936, 2.651993989944458];[1.3953099250793457, 1.3072915077209473, 1.435951828956604, 1.3605132102966309, 1.271928310394287, 1.0946186780929565, 0.9326847195625305, 0.7916072607040405, 0.6176138520240784, 0.5133723020553589, 0.5075569152832031, 0.6733987927436829, 0.6258318424224854, 0.712659478187561, 0.6412069201469421, 0.6012296676635742, 0.6657214164733887, 0.6008705496788025, 0.5217012166976929, 0.4693998694419861, 0.41087931394577026];[-72.40740203857422, -46.507266998291016, -48.21208572387695, -21.64572525024414, -15.950020790100098, -9.349222183227539, -6.349426746368408, -4.976484298706055, -3.8152053356170654, -3.2987923622131348, -3.2953808307647705, -4.063531875610352, -3.8322207927703857, -4.380959987640381, -3.9859418869018555, -3.775791645050049, -4.2351579666137695, -3.816987991333008, -3.4200689792633057, -3.2286465167999268, -2.9888930320739746]
