Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 9.497349739074707, 8.268205642700195, 8.106151580810547, 8.105914115905762, 4.7266621589660645, 3.4884204864501953, 2.3317556381225586, 2.0966434478759766, 1.8940881490707397, 1.9344366788864136, 1.967704176902771, 1.9004669189453125, 1.8810935020446777, 1.889845371246338, 1.8698513507843018, 1.8681198358535767, 1.8390041589736938, 1.8375802040100098, 1.8115123510360718, 1.8493801355361938];[1.397889256477356, 1.2370944023132324, 1.4453377723693848, 1.3534042835235596, 1.3366312980651855, 0.980039119720459, 0.7021459341049194, 0.24936462938785553, 0.14669781923294067, 0.06337707489728928, 0.08597255498170853, 0.10077343136072159, 0.07036438584327698, 0.06689845025539398, 0.06787422299385071, 0.062483180314302444, 0.06260668486356735, 0.04793303459882736, 0.04780787602066994, 0.040743302553892136, 0.0528898760676384];[-73.03792572021484, -21.600332260131836, -16.113975524902344, -22.759660720825195, -24.60425567626953, -8.14122486114502, -4.58573579788208, -2.330549955368042, -2.0190470218658447, -1.7738080024719238, -1.8390752077102661, -1.887027382850647, -1.8066809177398682, -1.7856043577194214, -1.7935458421707153, -1.773858904838562, -1.7779852151870728, -1.738122820854187, -1.7377407550811768, -1.716436743736267, -1.7531228065490723]
100;[16.369844436645508, 9.556768417358398, 7.155275821685791, 4.5203680992126465, 3.6705641746520996, 3.0056307315826416, 2.8766684532165527, 2.5557849407196045, 2.2453794479370117, 2.236818552017212, 2.129045248031616, 2.0309810638427734, 2.0118584632873535, 1.9617915153503418, 1.8791165351867676, 1.8340154886245728, 1.8202145099639893, 1.8277161121368408, 1.8026764392852783, 1.7961018085479736, 1.8228126764297485];[1.3970413208007812, 1.2432968616485596, 1.3437784910202026, 1.0115662813186646, 0.7568019032478333, 0.5303542017936707, 0.48015961050987244, 0.35031089186668396, 0.2165963500738144, 0.21685977280139923, 0.1699000895023346, 0.12938304245471954, 0.11868138611316681, 0.09847866743803024, 0.06622655689716339, 0.04449694976210594, 0.040486887097358704, 0.04546705633401871, 0.03384530171751976, 0.031091250479221344, 0.04070891812443733];[-72.28092193603516, -20.755599975585938, -14.09705924987793, -6.016845226287842, -4.693832874298096, -3.3823745250701904, -3.1987922191619873, -2.664790153503418, -2.2386975288391113, -2.219759464263916, -2.087690591812134, -1.965207815170288, -1.9390997886657715, -1.8765912055969238, -1.7891263961791992, -1.7341434955596924, -1.7156829833984375, -1.7318416833877563, -1.6951864957809448, -1.6907762289047241, -1.713800311088562]
150;[16.36842918395996, 11.752058982849121, 7.952470302581787, 5.876094818115234, 3.662198781967163, 3.0954430103302, 2.537429094314575, 2.3150181770324707, 2.224407434463501, 2.0673623085021973, 1.9611316919326782, 1.8726330995559692, 1.8269490003585815, 1.8004809617996216, 1.7619099617004395, 1.7666382789611816, 1.7557252645492554, 1.7556287050247192, 1.7662878036499023, 1.7711306810379028, 1.7772283554077148];[1.3987120389938354, 1.3022360801696777, 1.3069517612457275, 1.11882746219635, 0.7239418029785156, 0.5577559471130371, 0.3353213965892792, 0.2385309338569641, 0.20991909503936768, 0.14017556607723236, 0.09606241434812546, 0.05746864154934883, 0.041406769305467606, 0.03370680660009384, 0.014054813422262669, 0.01729988120496273, 0.01509057730436325, 0.014508703723549843, 0.015618018805980682, 0.02040715515613556, 0.02240201085805893];[-71.65807342529297, -46.57252883911133, -20.246305465698242, -11.731825828552246, -4.7073588371276855, -3.540858507156372, -2.6036627292633057, -2.3049983978271484, -2.2171378135681152, -2.002153158187866, -1.8742165565490723, -1.7630418539047241, -1.719423532485962, -1.6919147968292236, -1.641435146331787, -1.6502058506011963, -1.6427723169326782, -1.6408172845840454, -1.6461913585662842, -1.6611589193344116, -1.6689331531524658]
200;[16.373374938964844, 9.565958023071289, 6.9541425704956055, 4.366331100463867, 3.149631977081299, 2.5443265438079834, 2.4097518920898438, 2.27351450920105, 2.308274745941162, 2.369755506515503, 2.264518976211548, 2.341341018676758, 2.3238327503204346, 2.2285361289978027, 2.1686832904815674, 2.076029062271118, 2.030515432357788, 2.0140750408172607, 1.9837830066680908, 1.9601749181747437, 1.9010624885559082];[1.395896315574646, 1.2398282289505005, 1.2629450559616089, 0.9441362023353577, 0.5642640590667725, 0.3322068154811859, 0.27932342886924744, 0.22260402143001556, 0.2451646775007248, 0.2718771696090698, 0.23010341823101044, 0.26372456550598145, 0.2599116265773773, 0.21669656038284302, 0.19539853930473328, 0.15265291929244995, 0.13097767531871796, 0.12547709047794342, 0.11408434063196182, 0.10099132359027863, 0.07955265790224075];[-72.9843521118164, -20.95733642578125, -14.529664039611816, -5.706013202667236, -3.4901185035705566, -2.602806806564331, -2.4337007999420166, -2.247138500213623, -2.319916009902954, -2.4140820503234863, -2.280393362045288, -2.387692928314209, -2.3770570755004883, -2.239168643951416, -2.174595355987549, -2.041092872619629, -1.9866939783096313, -1.9678937196731567, -1.9242292642593384, -1.8931156396865845, -1.8271002769470215]
250;[16.361940383911133, 11.684947967529297, 8.167332649230957, 4.725538730621338, 3.3687784671783447, 2.3820672035217285, 2.193052053451538, 2.094108819961548, 2.0752952098846436, 2.0328798294067383, 1.922265648841858, 1.8911770582199097, 1.9201345443725586, 1.9559322595596313, 1.9178825616836548, 1.9157557487487793, 1.9680840969085693, 1.969560980796814, 1.9352940320968628, 1.915598750114441, 1.8756194114685059];[1.397222876548767, 1.3065295219421387, 1.3856985569000244, 1.0360684394836426, 0.6271299123764038, 0.26084497570991516, 0.18591320514678955, 0.14922916889190674, 0.1403951495885849, 0.12651771306991577, 0.0750223696231842, 0.06910993158817291, 0.0775044709444046, 0.09918568283319473, 0.08088820427656174, 0.08055475354194641, 0.10202725231647491, 0.10902557522058487, 0.09244128316640854, 0.08418571203947067, 0.06814630329608917];[-73.10462188720703, -44.987125396728516, -19.797868728637695, -6.368029594421387, -3.971240282058716, -2.364851713180542, -2.131610870361328, -2.034827470779419, -2.013521194458008, -1.9625909328460693, -1.813666582107544, -1.7948113679885864, -1.8305473327636719, -1.8868695497512817, -1.825140118598938, -1.832095742225647, -1.9018787145614624, -1.9110703468322754, -1.8602627515792847, -1.8435755968093872, -1.7996916770935059]
300;[16.380901336669922, 9.466102600097656, 8.308523178100586, 4.739501953125, 3.187107801437378, 2.650942802429199, 2.3392646312713623, 2.0954816341400146, 2.005211114883423, 1.950768232345581, 1.915207862854004, 1.8794167041778564, 1.948240041732788, 1.8736990690231323, 1.8912817239761353, 1.8673521280288696, 1.846315860748291, 1.8360852003097534, 1.822373390197754, 1.8179244995117188, 1.8538763523101807];[1.3972654342651367, 1.2480428218841553, 1.464901328086853, 1.0267335176467896, 0.5952789187431335, 0.37999290227890015, 0.2501380145549774, 0.15086790919303894, 0.11067751795053482, 0.08951817452907562, 0.075665682554245, 0.06303362548351288, 0.09007895737886429, 0.060303498059511185, 0.07025306671857834, 0.060735784471035004, 0.053016651421785355, 0.04767218977212906, 0.04408131167292595, 0.041696980595588684, 0.056909140199422836];[-71.25759887695312, -19.891132354736328, -16.850341796875, -7.028546333312988, -3.573025703430176, -2.758061408996582, -2.3205442428588867, -2.0241081714630127, -1.9061765670776367, -1.8544280529022217, -1.8135546445846558, -1.7769684791564941, -1.8675870895385742, -1.7734382152557373, -1.8028596639633179, -1.7737127542495728, -1.7465612888336182, -1.741032600402832, -1.7249155044555664, -1.718910574913025, -1.7644234895706177]
350;[16.37685203552246, 9.537280082702637, 6.768075466156006, 4.069713592529297, 2.8258368968963623, 2.3457443714141846, 2.133315086364746, 2.079489231109619, 1.9536950588226318, 1.9409958124160767, 1.9407157897949219, 1.8949058055877686, 1.8327276706695557, 1.8774675130844116, 1.8328520059585571, 1.8240851163864136, 1.790702223777771, 1.8001203536987305, 1.7773420810699463, 1.7708293199539185, 1.7542204856872559];[1.3971993923187256, 1.2531577348709106, 1.210903525352478, 0.8416473269462585, 0.4428240954875946, 0.24737806618213654, 0.16059385240077972, 0.13767722249031067, 0.08678174763917923, 0.08264122903347015, 0.08669213950634003, 0.06594560295343399, 0.042803529649972916, 0.06040620431303978, 0.043038491159677505, 0.04434182122349739, 0.029910895973443985, 0.03203706443309784, 0.02508048713207245, 0.02105548605322838, 0.015747645869851112];[-71.22865295410156, -21.461894989013672, -14.32986068725586, -5.061687469482422, -3.0044162273406982, -2.3099045753479004, -2.055441379547119, -1.9886939525604248, -1.8485256433486938, -1.8339096307754517, -1.8478716611862183, -1.7906079292297363, -1.7231173515319824, -1.7686457633972168, -1.7214199304580688, -1.720687747001648, -1.6858426332473755, -1.695003867149353, -1.6727752685546875, -1.6624430418014526, -1.649692177772522]
400;[16.363100051879883, 11.814824104309082, 8.116634368896484, 6.0491814613342285, 4.903390884399414, 3.0912017822265625, 2.450035810470581, 2.225494861602783, 2.126288414001465, 1.9706417322158813, 1.9815049171447754, 1.983552098274231, 1.951871395111084, 1.906245470046997, 1.9012905359268188, 1.8510578870773315, 1.8596138954162598, 1.8142993450164795, 1.8115828037261963, 1.8155909776687622, 1.8006927967071533];[1.3982000350952148, 1.297391653060913, 1.3116428852081299, 1.1467856168746948, 0.9640088081359863, 0.5361385345458984, 0.29361066222190857, 0.2061174511909485, 0.16387782990932465, 0.09786506742238998, 0.10139235854148865, 0.10677861422300339, 0.09308730810880661, 0.07736721634864807, 0.07664010673761368, 0.05338449403643608, 0.058359526097774506, 0.038722291588783264, 0.038049448281526566, 0.04033194109797478, 0.03799598291516304];[-71.06763458251953, -46.32807540893555, -20.779638290405273, -12.681940078735352, -8.908228874206543, -3.661649703979492, -2.512021541595459, -2.2203400135040283, -2.0898513793945312, -1.8728832006454468, -1.8836145401000977, -1.9045733213424683, -1.8662089109420776, -1.8216356039047241, -1.8197085857391357, -1.757124900817871, -1.7682074308395386, -1.7106149196624756, -1.7046552896499634, -1.712593674659729, -1.704216718673706]
450;[16.369915008544922, 9.588268280029297, 7.010265350341797, 5.1315484046936035, 3.208324670791626, 2.344313859939575, 2.220573663711548, 2.0641846656799316, 1.9934124946594238, 1.8431761264801025, 1.8246787786483765, 1.8175842761993408, 1.793999195098877, 1.8028788566589355, 1.7842590808868408, 1.7533133029937744, 1.7587028741836548, 1.7761139869689941, 1.771546483039856, 1.7836209535598755, 1.7651453018188477];[1.396751880645752, 1.2457972764968872, 1.2925862073898315, 0.9982591271400452, 0.5691297650337219, 0.24552486836910248, 0.1994791030883789, 0.13470524549484253, 0.10716533660888672, 0.0427621491253376, 0.0359681136906147, 0.035321738570928574, 0.026592081412672997, 0.03358444571495056, 0.02265535295009613, 0.01378144882619381, 0.01247047446668148, 0.022290492430329323, 0.022085120901465416, 0.02715517207980156, 0.02038397081196308];[-71.8649673461914, -19.951740264892578, -14.436995506286621, -8.785808563232422, -3.683302640914917, -2.3245792388916016, -2.1606392860412598, -1.9828792810440063, -1.901781439781189, -1.7186819314956665, -1.699595332145691, -1.7024592161178589, -1.6750918626785278, -1.6928263902664185, -1.6601835489273071, -1.6388680934906006, -1.6369221210479736, -1.663382887840271, -1.6628069877624512, -1.6758500337600708, -1.6580041646957397]
500;[16.342056274414062, 11.74029541015625, 11.3795804977417, 7.638120651245117, 5.862217426300049, 3.841224431991577, 2.6372344493865967, 2.4122934341430664, 2.2250704765319824, 2.142098903656006, 2.054647922515869, 2.0540573596954346, 2.0586888790130615, 2.0278100967407227, 1.9629648923873901, 1.9203068017959595, 1.8814053535461426, 1.8603471517562866, 1.8421876430511475, 1.8390353918075562, 1.805824637413025];[1.3953099250793457, 1.3047648668289185, 1.4036352634429932, 1.318097710609436, 1.1424930095672607, 0.7888709902763367, 0.37861719727516174, 0.284534215927124, 0.20615200698375702, 0.17454199492931366, 0.1380637288093567, 0.13432465493679047, 0.14190097153186798, 0.1270798295736313, 0.10231189429759979, 0.08687213808298111, 0.0664113461971283, 0.05825187265872955, 0.05164326727390289, 0.04958328232169151, 0.037209730595350266];[-72.40740203857422, -45.93828582763672, -49.1777458190918, -20.130308151245117, -12.361467361450195, -5.266270637512207, -2.7750084400177, -2.4428818225860596, -2.199892997741699, -2.0983355045318604, -1.9928536415100098, -1.9985814094543457, -2.014615058898926, -1.967287540435791, -1.8839470148086548, -1.838186502456665, -1.7918484210968018, -1.7621341943740845, -1.7469693422317505, -1.7483237981796265, -1.7087970972061157]
