Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.457935333251953, 13.876546859741211, 11.500654220581055, 9.932487487792969, 9.101317405700684, 9.916678428649902, 10.375138282775879, 10.369795799255371, 10.255539894104004, 9.906667709350586, 9.856688499450684, 9.490255355834961, 9.385950088500977, 9.13378620147705, 9.350400924682617, 9.473540306091309, 9.371691703796387, 9.221099853515625, 8.951169967651367, 8.828330039978027, 8.668425559997559];[1.3664692640304565, 1.279911756515503, 1.1786456108093262, 1.1580313444137573, 1.2777997255325317, 1.2864702939987183, 1.3765969276428223, 1.3100917339324951, 1.355005145072937, 1.303358554840088, 1.3470327854156494, 1.2842670679092407, 1.328728437423706, 1.2799758911132812, 1.345200777053833, 1.3473002910614014, 1.341685175895691, 1.3365005254745483, 1.3158515691757202, 1.3302632570266724, 1.3019648790359497];[-73.45442199707031, -49.617897033691406, -34.64341354370117, -22.98247528076172, -26.365392684936523, -33.93019104003906, -38.380672454833984, -40.61457824707031, -37.35209655761719, -36.5833625793457, -34.143409729003906, -33.91286849975586, -31.001924514770508, -31.881933212280273, -32.74118423461914, -34.304447174072266, -33.550682067871094, -31.943553924560547, -30.82062530517578, -29.888469696044922, -28.764806747436523]
100;[16.432859420776367, 14.86606216430664, 13.002498626708984, 10.84811782836914, 10.473222732543945, 10.624305725097656, 10.732751846313477, 10.675427436828613, 10.7537841796875, 10.835598945617676, 10.830572128295898, 10.74820327758789, 10.69611930847168, 10.651819229125977, 10.714858055114746, 10.547754287719727, 10.520113945007324, 10.426811218261719, 10.149023056030273, 10.107369422912598, 10.217934608459473];[1.3662739992141724, 1.3162351846694946, 1.2456369400024414, 1.2098031044006348, 1.2629094123840332, 1.3200387954711914, 1.3203617334365845, 1.3409162759780884, 1.3270689249038696, 1.3460197448730469, 1.355129361152649, 1.349656581878662, 1.3428218364715576, 1.3372083902359009, 1.3403346538543701, 1.3289161920547485, 1.3431406021118164, 1.3308098316192627, 1.3159440755844116, 1.3253177404403687, 1.3295691013336182];[-72.65760040283203, -58.06187057495117, -43.638465881347656, -36.864620208740234, -36.36366271972656, -41.822486877441406, -42.2097282409668, -43.6121826171875, -45.904850006103516, -47.35736846923828, -48.264774322509766, -47.72185516357422, -47.50146484375, -47.983253479003906, -48.1110954284668, -47.18378829956055, -46.8326301574707, -46.234615325927734, -44.2371826171875, -43.43919372558594, -44.811126708984375]
150;[16.43834686279297, 13.791125297546387, 11.6199369430542, 10.546170234680176, 10.520544052124023, 10.829874038696289, 10.755677223205566, 10.573373794555664, 10.3236722946167, 10.3196439743042, 10.120255470275879, 9.904058456420898, 9.729472160339355, 9.686487197875977, 9.813047409057617, 9.780766487121582, 9.690485954284668, 9.676400184631348, 9.681353569030762, 9.747087478637695, 9.736865043640137];[1.3703761100769043, 1.276512861251831, 1.2281309366226196, 1.2595062255859375, 1.3328224420547485, 1.3433436155319214, 1.3338279724121094, 1.3280361890792847, 1.3162188529968262, 1.3348878622055054, 1.3253120183944702, 1.314625859260559, 1.3151260614395142, 1.2946581840515137, 1.2991691827774048, 1.2885702848434448, 1.2937487363815308, 1.2823193073272705, 1.2814970016479492, 1.298902153968811, 1.2923964262008667];[-71.99467468261719, -50.5901985168457, -41.49738311767578, -33.480064392089844, -41.164451599121094, -44.14887619018555, -44.33869171142578, -42.427215576171875, -40.327552795410156, -39.7198371887207, -38.363067626953125, -36.5474739074707, -35.65644073486328, -36.76902389526367, -38.58672332763672, -38.59254455566406, -37.87688446044922, -38.271053314208984, -39.170989990234375, -39.22307586669922, -39.70350646972656]
200;[16.43805503845215, 13.525249481201172, 11.689092636108398, 11.15271282196045, 10.919503211975098, 11.113945007324219, 11.014266014099121, 10.813626289367676, 10.685873031616211, 10.539542198181152, 10.33388900756836, 10.097195625305176, 10.047262191772461, 9.932703971862793, 9.733402252197266, 9.507104873657227, 9.377235412597656, 9.372516632080078, 9.161051750183105, 9.063873291015625, 9.01091194152832];[1.3676366806030273, 1.2828574180603027, 1.232270359992981, 1.3061870336532593, 1.3564382791519165, 1.376914381980896, 1.3685827255249023, 1.360062599182129, 1.3449325561523438, 1.360782504081726, 1.3285809755325317, 1.3353397846221924, 1.313148856163025, 1.3136311769485474, 1.3031479120254517, 1.2978285551071167, 1.2651234865188599, 1.2799984216690063, 1.2629221677780151, 1.2493802309036255, 1.2416815757751465];[-73.33580780029297, -56.5393180847168, -42.5434684753418, -42.798133850097656, -44.255252838134766, -48.63980484008789, -47.98347473144531, -44.94182205200195, -45.45652770996094, -44.10799789428711, -42.02089309692383, -39.736942291259766, -40.41958236694336, -39.31106185913086, -37.72185516357422, -35.611751556396484, -35.377838134765625, -35.34700012207031, -33.75448226928711, -33.38947296142578, -33.213924407958984]
250;[16.437007904052734, 13.426605224609375, 11.930617332458496, 11.301053047180176, 10.85192584991455, 11.020956993103027, 11.154476165771484, 11.18730354309082, 11.052168846130371, 10.964788436889648, 10.70096206665039, 10.459203720092773, 10.416755676269531, 10.338517189025879, 10.246892929077148, 10.09951400756836, 9.927972793579102, 9.74870777130127, 9.604545593261719, 9.320229530334473, 9.099215507507324];[1.3703639507293701, 1.2826658487319946, 1.2589969635009766, 1.2587000131607056, 1.2628368139266968, 1.2943722009658813, 1.3096853494644165, 1.3314765691757202, 1.3206841945648193, 1.332484245300293, 1.3279032707214355, 1.3223180770874023, 1.3214126825332642, 1.3232126235961914, 1.3337680101394653, 1.320503830909729, 1.3101937770843506, 1.3078794479370117, 1.2989888191223145, 1.2852163314819336, 1.2708660364151];[-73.51893615722656, -54.984832763671875, -49.013511657714844, -44.671966552734375, -44.29618835449219, -47.503116607666016, -49.58991622924805, -51.646034240722656, -49.41294479370117, -49.11811447143555, -46.76802062988281, -44.29928207397461, -44.87812805175781, -43.97223663330078, -43.505897521972656, -42.38215255737305, -40.861183166503906, -39.1794548034668, -37.5519905090332, -35.63667297363281, -34.09323501586914]
300;[16.454437255859375, 13.569411277770996, 12.244746208190918, 11.531072616577148, 11.07928466796875, 11.086945533752441, 10.882741928100586, 10.892765045166016, 10.727347373962402, 10.611799240112305, 10.453385353088379, 10.350521087646484, 10.213102340698242, 10.033169746398926, 9.977683067321777, 9.848135948181152, 9.964946746826172, 9.845107078552246, 9.754831314086914, 9.708313941955566, 9.588713645935059];[1.3678582906723022, 1.2810920476913452, 1.2669858932495117, 1.2726006507873535, 1.2991467714309692, 1.3121839761734009, 1.3087347745895386, 1.3126542568206787, 1.3008564710617065, 1.2976537942886353, 1.2873291969299316, 1.2896255254745483, 1.2814427614212036, 1.2739801406860352, 1.2798435688018799, 1.2786340713500977, 1.2843722105026245, 1.270572304725647, 1.275611162185669, 1.2788398265838623, 1.279545545578003];[-71.66529083251953, -54.2412223815918, -51.72141647338867, -47.20860290527344, -46.6594123840332, -47.52357482910156, -46.05357360839844, -47.99772644042969, -46.424720764160156, -47.18564987182617, -45.4932861328125, -45.16348648071289, -43.61490249633789, -42.428367614746094, -41.480323791503906, -40.765045166015625, -42.264122009277344, -40.94805145263672, -40.19518280029297, -40.0445556640625, -38.91405487060547]
350;[16.454273223876953, 13.8367338180542, 11.61393928527832, 10.723224639892578, 10.595550537109375, 10.6243896484375, 10.596632957458496, 10.355694770812988, 10.128617286682129, 10.035540580749512, 9.878247261047363, 9.678447723388672, 9.49301528930664, 9.237317085266113, 9.097665786743164, 8.998645782470703, 9.051301956176758, 8.851912498474121, 8.50082015991211, 8.291382789611816, 7.892058849334717];[1.3681061267852783, 1.2859272956848145, 1.2235342264175415, 1.2648288011550903, 1.3753770589828491, 1.3852818012237549, 1.3807061910629272, 1.3786529302597046, 1.3645434379577637, 1.3921928405761719, 1.3739453554153442, 1.3604202270507812, 1.3648544549942017, 1.3362469673156738, 1.3361603021621704, 1.3111857175827026, 1.3268414735794067, 1.3127859830856323, 1.2911405563354492, 1.2808952331542969, 1.2519553899765015];[-71.6885757446289, -51.541812896728516, -40.170867919921875, -34.529197692871094, -39.217140197753906, -41.737648010253906, -40.74879837036133, -38.3621940612793, -36.977386474609375, -36.752925872802734, -35.68525695800781, -34.42300033569336, -33.07453536987305, -31.734176635742188, -30.73339080810547, -31.422597885131836, -31.405466079711914, -29.4500675201416, -27.453359603881836, -25.591625213623047, -23.381881713867188]
400;[16.441415786743164, 13.38924789428711, 11.764122009277344, 10.873849868774414, 10.358602523803711, 10.636340141296387, 10.759088516235352, 10.872814178466797, 10.826369285583496, 10.65456771850586, 10.61240005493164, 10.508199691772461, 10.319694519042969, 10.231975555419922, 10.243595123291016, 10.180139541625977, 10.215737342834473, 10.224457740783691, 10.216196060180664, 10.13534164428711, 9.963705062866211];[1.3683990240097046, 1.2802228927612305, 1.2408541440963745, 1.2457726001739502, 1.2888236045837402, 1.3280580043792725, 1.3080990314483643, 1.335274338722229, 1.3235899209976196, 1.31891667842865, 1.3359932899475098, 1.3323698043823242, 1.3273180723190308, 1.335424780845642, 1.3376059532165527, 1.3276543617248535, 1.3526475429534912, 1.3601514101028442, 1.3504427671432495, 1.3648377656936646, 1.3493763208389282];[-71.52444458007812, -55.541221618652344, -43.258975982666016, -37.4840202331543, -37.33037567138672, -40.924922943115234, -44.904151916503906, -47.088409423828125, -47.61775207519531, -44.956661224365234, -44.75296401977539, -43.947994232177734, -41.95375061035156, -41.82505416870117, -41.6489143371582, -41.529354095458984, -42.20928192138672, -41.874942779541016, -42.615535736083984, -42.052696228027344, -40.426109313964844]
450;[16.430538177490234, 14.846074104309082, 12.630687713623047, 10.97753620147705, 10.742510795593262, 10.680274963378906, 10.89749526977539, 10.895573616027832, 10.749897003173828, 10.647154808044434, 10.470512390136719, 10.450879096984863, 10.563348770141602, 10.460002899169922, 10.266061782836914, 10.095458030700684, 9.825429916381836, 9.646807670593262, 9.4769926071167, 9.416049003601074, 9.245244979858398];[1.367666482925415, 1.3216328620910645, 1.242231011390686, 1.2134226560592651, 1.298404335975647, 1.322037935256958, 1.3492273092269897, 1.3329697847366333, 1.3401069641113281, 1.328623652458191, 1.3250892162322998, 1.3271453380584717, 1.3406962156295776, 1.3305696249008179, 1.3339489698410034, 1.3129801750183105, 1.3022797107696533, 1.2844345569610596, 1.2845577001571655, 1.2647970914840698, 1.2673420906066895];[-72.12503051757812, -58.61912155151367, -43.30763244628906, -36.54755401611328, -40.573123931884766, -44.16720199584961, -47.750038146972656, -47.72959518432617, -46.831504821777344, -45.82833480834961, -43.607276916503906, -45.24162673950195, -45.02587890625, -44.52396011352539, -42.20920944213867, -40.86021423339844, -38.777584075927734, -37.37140655517578, -35.953128814697266, -36.329833984375, -34.828433990478516]
500;[16.416690826416016, 13.969695091247559, 11.199566841125488, 10.13394546508789, 10.724246978759766, 10.915300369262695, 10.816100120544434, 10.764665603637695, 10.650169372558594, 10.58990478515625, 10.459084510803223, 10.515727996826172, 10.456611633300781, 10.436714172363281, 10.396833419799805, 10.243752479553223, 10.12670612335205, 10.140491485595703, 10.110239028930664, 10.018150329589844, 9.979203224182129];[1.366329550743103, 1.2711176872253418, 1.1662263870239258, 1.2440086603164673, 1.32708740234375, 1.328857421875, 1.3286733627319336, 1.3141121864318848, 1.3246444463729858, 1.3046287298202515, 1.3100100755691528, 1.3085150718688965, 1.3010064363479614, 1.2925890684127808, 1.3088182210922241, 1.305246114730835, 1.2990412712097168, 1.2906217575073242, 1.2934340238571167, 1.2873120307922363, 1.287169337272644];[-72.73931121826172, -48.98908996582031, -32.38588333129883, -32.690940856933594, -44.18812942504883, -45.890724182128906, -44.8751335144043, -46.38996887207031, -44.486549377441406, -46.719932556152344, -44.41643524169922, -45.75856399536133, -45.103797912597656, -45.16163635253906, -44.89488220214844, -43.898868560791016, -42.34830093383789, -43.41838073730469, -43.210975646972656, -42.50309753417969, -42.683074951171875]
