Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 13.559499740600586, 11.266096115112305, 9.901595115661621, 10.418501853942871, 10.75115966796875, 10.616947174072266, 10.671953201293945, 10.504337310791016, 10.516408920288086, 10.588245391845703, 10.367698669433594, 10.212132453918457, 9.941027641296387, 9.639920234680176, 9.648380279541016, 9.652538299560547, 9.450738906860352, 9.266589164733887, 9.2622709274292, 9.198714256286621];[1.397889256477356, 1.3142716884613037, 1.221505880355835, 1.2940843105316162, 1.3278930187225342, 1.3396506309509277, 1.3304812908172607, 1.3500962257385254, 1.3390933275222778, 1.364091157913208, 1.370894432067871, 1.35540771484375, 1.346152663230896, 1.3372997045516968, 1.3396623134613037, 1.3296276330947876, 1.3519400358200073, 1.328718900680542, 1.332181692123413, 1.334740400314331, 1.344353199005127];[-73.03792572021484, -49.51707077026367, -32.20326232910156, -31.6656436920166, -42.452476501464844, -45.07964324951172, -45.12684631347656, -45.2061882019043, -43.186561584472656, -43.61642074584961, -43.85542297363281, -43.05426788330078, -41.960594177246094, -38.92039489746094, -36.4719352722168, -38.004695892333984, -38.145050048828125, -36.971988677978516, -34.851806640625, -34.68339920043945, -34.57133483886719]
100;[16.369844436645508, 14.397054672241211, 11.862563133239746, 10.895421981811523, 10.612271308898926, 10.36883544921875, 10.342761993408203, 10.521327018737793, 10.38473129272461, 10.313892364501953, 10.261329650878906, 9.89443588256836, 9.51873779296875, 9.120803833007812, 8.69316291809082, 8.326793670654297, 7.808473110198975, 7.409796714782715, 6.834773063659668, 6.340362548828125, 6.192317485809326];[1.3970413208007812, 1.3417611122131348, 1.262446641921997, 1.3473782539367676, 1.4438143968582153, 1.4504989385604858, 1.4109163284301758, 1.445625901222229, 1.4426791667938232, 1.4211465120315552, 1.4325937032699585, 1.4227502346038818, 1.408534049987793, 1.4068527221679688, 1.3927772045135498, 1.3719301223754883, 1.3281344175338745, 1.310823917388916, 1.2655268907546997, 1.2358722686767578, 1.224792242050171];[-72.28092193603516, -52.438663482666016, -40.68720626831055, -38.93109130859375, -38.10405349731445, -38.21742248535156, -40.18095397949219, -41.44147872924805, -41.389041900634766, -41.90888977050781, -40.1845588684082, -37.54253005981445, -34.820858001708984, -31.617185592651367, -28.28842544555664, -25.553598403930664, -22.815919876098633, -20.245359420776367, -17.246837615966797, -14.713647842407227, -14.149113655090332]
150;[16.36842918395996, 13.689594268798828, 11.058547019958496, 9.549249649047852, 8.777545928955078, 7.612483024597168, 7.666106700897217, 7.928784370422363, 8.595917701721191, 8.740253448486328, 8.876587867736816, 8.485987663269043, 7.906634330749512, 7.310853958129883, 6.76993465423584, 6.7535481452941895, 6.691224575042725, 6.597356796264648, 6.553308486938477, 6.507352828979492, 6.48361349105835];[1.3987120389938354, 1.3210029602050781, 1.2203813791275024, 1.2362056970596313, 1.4268609285354614, 1.3363109827041626, 1.2828108072280884, 1.3059316873550415, 1.3515291213989258, 1.3583471775054932, 1.382609248161316, 1.36598539352417, 1.340285301208496, 1.2795288562774658, 1.2514342069625854, 1.2833343744277954, 1.2505698204040527, 1.2455813884735107, 1.2372421026229858, 1.2347348928451538, 1.2218294143676758];[-71.65807342529297, -49.46168899536133, -31.777788162231445, -21.796188354492188, -16.022846221923828, -15.465023040771484, -17.12700080871582, -19.882204055786133, -24.511886596679688, -24.303834915161133, -25.467599868774414, -22.99624252319336, -19.86492919921875, -18.15408706665039, -16.13424301147461, -16.191923141479492, -16.254114151000977, -16.105735778808594, -15.713959693908691, -15.665750503540039, -15.5831937789917]
200;[16.373374938964844, 13.450876235961914, 11.552995681762695, 10.329254150390625, 10.081153869628906, 10.524492263793945, 10.761940002441406, 10.69051742553711, 10.327790260314941, 10.13110065460205, 9.988163948059082, 9.746482849121094, 9.730857849121094, 9.35247802734375, 9.300518035888672, 8.947879791259766, 8.698871612548828, 8.459324836730957, 8.394516944885254, 8.344635963439941, 8.307760238647461];[1.395896315574646, 1.3102641105651855, 1.2669521570205688, 1.3029338121414185, 1.3137644529342651, 1.3002734184265137, 1.301740288734436, 1.2989481687545776, 1.2915968894958496, 1.286129117012024, 1.3046653270721436, 1.2900264263153076, 1.2985931634902954, 1.293799877166748, 1.2942756414413452, 1.2785940170288086, 1.268349289894104, 1.2759937047958374, 1.2793676853179932, 1.2642742395401, 1.2677621841430664];[-72.9843521118164, -53.515995025634766, -39.52128601074219, -33.45350646972656, -38.44830322265625, -44.541656494140625, -47.418312072753906, -45.99473190307617, -42.9897346496582, -41.586849212646484, -40.312538146972656, -38.6688117980957, -38.92607116699219, -35.756961822509766, -35.107486724853516, -32.25492858886719, -29.57038116455078, -28.688209533691406, -28.763574600219727, -28.385217666625977, -28.33975601196289]
250;[16.361940383911133, 13.341800689697266, 11.704187393188477, 10.661066055297852, 10.626568794250488, 10.642446517944336, 10.661235809326172, 10.759315490722656, 10.620946884155273, 10.482051849365234, 10.471075057983398, 10.370946884155273, 10.364930152893066, 10.37480354309082, 10.254648208618164, 9.992592811584473, 9.742317199707031, 9.44372844696045, 9.00241756439209, 8.8274564743042, 8.611153602600098];[1.397222876548767, 1.3079382181167603, 1.2712047100067139, 1.305944561958313, 1.4264951944351196, 1.4537463188171387, 1.4173105955123901, 1.4148331880569458, 1.4129900932312012, 1.4014809131622314, 1.4198414087295532, 1.4230574369430542, 1.4253970384597778, 1.4274406433105469, 1.4371130466461182, 1.4399287700653076, 1.4276295900344849, 1.4175430536270142, 1.4089375734329224, 1.4038491249084473, 1.419751763343811];[-73.10462188720703, -52.686851501464844, -41.72506332397461, -33.96037292480469, -38.62202072143555, -40.401283264160156, -43.764320373535156, -44.5103874206543, -44.00102615356445, -42.8190803527832, -43.042545318603516, -42.094932556152344, -42.03849792480469, -41.71278762817383, -40.18376922607422, -38.23407745361328, -36.590606689453125, -33.88280487060547, -30.904380798339844, -29.378028869628906, -27.649368286132812]
300;[16.380901336669922, 13.448047637939453, 11.921051979064941, 11.208438873291016, 10.863454818725586, 10.875844955444336, 10.679521560668945, 10.354273796081543, 10.267894744873047, 9.902088165283203, 9.919480323791504, 9.931082725524902, 9.897597312927246, 9.881133079528809, 9.727293968200684, 9.690969467163086, 9.669322967529297, 9.590694427490234, 9.439458847045898, 9.232987403869629, 8.896709442138672];[1.3972654342651367, 1.3216536045074463, 1.2834962606430054, 1.3040677309036255, 1.3292971849441528, 1.3279778957366943, 1.326427936553955, 1.319738745689392, 1.3200271129608154, 1.305029034614563, 1.3174731731414795, 1.3254412412643433, 1.305849313735962, 1.3176220655441284, 1.313620924949646, 1.2972863912582397, 1.3184330463409424, 1.3091578483581543, 1.3105072975158691, 1.2951148748397827, 1.2811400890350342];[-71.25759887695312, -55.267677307128906, -47.065311431884766, -44.2122802734375, -46.266807556152344, -47.21895980834961, -44.804473876953125, -41.88039016723633, -40.9332389831543, -38.26698303222656, -37.8984260559082, -38.004207611083984, -39.70184326171875, -39.53250503540039, -38.572113037109375, -39.2087287902832, -38.93952941894531, -37.766780853271484, -36.724369049072266, -35.617164611816406, -32.9454345703125]
350;[16.37685203552246, 13.712079048156738, 11.444975852966309, 10.628981590270996, 9.937263488769531, 9.591927528381348, 9.057084083557129, 8.78152847290039, 8.775784492492676, 8.778430938720703, 8.440052032470703, 8.025799751281738, 7.9350810050964355, 8.03886604309082, 7.8995585441589355, 7.949460029602051, 7.762948036193848, 7.755715370178223, 7.6176652908325195, 7.587953567504883, 7.443968296051025];[1.3971993923187256, 1.311146855354309, 1.2667253017425537, 1.3286657333374023, 1.4538977146148682, 1.5367941856384277, 1.493010401725769, 1.4789187908172607, 1.5162423849105835, 1.5483696460723877, 1.5426568984985352, 1.5278997421264648, 1.5407735109329224, 1.5541456937789917, 1.5397769212722778, 1.547017216682434, 1.535300850868225, 1.5309481620788574, 1.515848994255066, 1.5076956748962402, 1.4916142225265503];[-71.22865295410156, -47.89995574951172, -38.2110595703125, -31.56043243408203, -28.04070281982422, -27.105215072631836, -24.851633071899414, -23.481273651123047, -23.535507202148438, -23.84164810180664, -21.490449905395508, -19.36551284790039, -19.368986129760742, -19.718534469604492, -19.036579132080078, -19.095638275146484, -18.84379005432129, -18.52666664123535, -18.034015655517578, -17.80480194091797, -17.565340042114258]
400;[16.363100051879883, 13.359713554382324, 11.877288818359375, 11.440542221069336, 11.118901252746582, 11.184802055358887, 11.044327735900879, 10.986907005310059, 11.013348579406738, 10.907894134521484, 10.859753608703613, 10.759034156799316, 10.866077423095703, 10.858996391296387, 10.968284606933594, 11.027705192565918, 10.935783386230469, 10.938087463378906, 10.991046905517578, 10.841626167297363, 10.796902656555176];[1.3982000350952148, 1.3104040622711182, 1.2920050621032715, 1.3686665296554565, 1.4143561124801636, 1.3908230066299438, 1.4246985912322998, 1.3792779445648193, 1.3882464170455933, 1.3804172277450562, 1.3853808641433716, 1.3943322896957397, 1.4026113748550415, 1.4050979614257812, 1.4139965772628784, 1.4239120483398438, 1.4387987852096558, 1.4413092136383057, 1.4429192543029785, 1.4382565021514893, 1.4417235851287842];[-71.06763458251953, -53.100685119628906, -46.280975341796875, -46.87751007080078, -48.092708587646484, -49.967369079589844, -47.07435989379883, -48.49641418457031, -48.65583038330078, -48.50010299682617, -47.62184143066406, -46.738685607910156, -47.466644287109375, -47.97454071044922, -49.677120208740234, -49.72587966918945, -48.76832962036133, -48.73974609375, -49.2567024230957, -48.10036087036133, -47.535675048828125]
450;[16.369915008544922, 14.723454475402832, 12.343559265136719, 10.448394775390625, 9.631948471069336, 10.27122688293457, 10.686646461486816, 10.667959213256836, 10.389545440673828, 10.355157852172852, 10.323500633239746, 10.137683868408203, 9.923648834228516, 9.722618103027344, 9.721092224121094, 9.220939636230469, 9.215176582336426, 9.20492935180664, 9.087301254272461, 8.936843872070312, 8.930939674377441];[1.396751880645752, 1.3537139892578125, 1.269944429397583, 1.2128406763076782, 1.2889693975448608, 1.3346190452575684, 1.374150276184082, 1.404361367225647, 1.397932767868042, 1.3905292749404907, 1.4232596158981323, 1.4068301916122437, 1.3993562459945679, 1.3897475004196167, 1.4027661085128784, 1.3762848377227783, 1.3751698732376099, 1.3730535507202148, 1.3797639608383179, 1.3717966079711914, 1.3885817527770996];[-71.8649673461914, -55.414695739746094, -38.69568634033203, -27.426698684692383, -29.776653289794922, -40.569583892822266, -44.67873001098633, -44.676002502441406, -42.82906723022461, -42.134395599365234, -42.086509704589844, -40.868927001953125, -38.92692565917969, -37.879886627197266, -36.633033752441406, -33.94462585449219, -34.506534576416016, -34.3680534362793, -33.21448516845703, -32.557350158691406, -31.683218002319336]
500;[16.342056274414062, 13.713896751403809, 11.503055572509766, 10.334223747253418, 10.066486358642578, 9.759811401367188, 9.932210922241211, 9.871170997619629, 9.730369567871094, 9.522907257080078, 9.491954803466797, 9.497845649719238, 9.341773986816406, 9.311755180358887, 9.278521537780762, 9.334558486938477, 9.806212425231934, 9.846578598022461, 9.75959300994873, 9.580619812011719, 9.275486946105957];[1.3953099250793457, 1.3190215826034546, 1.2628322839736938, 1.3131279945373535, 1.3788650035858154, 1.3625460863113403, 1.4358569383621216, 1.427094578742981, 1.4180141687393188, 1.3887507915496826, 1.3792835474014282, 1.3905365467071533, 1.3854163885116577, 1.3846064805984497, 1.3716377019882202, 1.3748778104782104, 1.4021103382110596, 1.3878235816955566, 1.398484706878662, 1.4049742221832275, 1.3867218494415283];[-72.40740203857422, -51.468929290771484, -40.08280944824219, -34.02239990234375, -33.255184173583984, -32.95828628540039, -34.383460998535156, -34.87562942504883, -33.154747009277344, -33.880104064941406, -33.202857971191406, -33.1971435546875, -32.81101989746094, -32.27706527709961, -33.27699279785156, -33.56498718261719, -37.08946228027344, -37.97540283203125, -36.67362594604492, -35.746700286865234, -32.95188903808594]
