Seed;RMSE History;MMD History;Log-Likelihood History
50;[16.376911163330078, 13.850329399108887, 11.667407035827637, 10.908991813659668, 11.058913230895996, 11.228450775146484, 11.05775260925293, 10.947853088378906, 10.799858093261719, 10.604203224182129, 10.635781288146973, 10.734444618225098, 10.695140838623047, 10.689148902893066, 10.604392051696777, 10.396023750305176, 10.355936050415039, 10.174376487731934, 10.221904754638672, 10.185306549072266, 10.0630521774292];[1.397889256477356, 1.3300864696502686, 1.260581374168396, 1.3512436151504517, 1.4194586277008057, 1.413503885269165, 1.390882968902588, 1.3931715488433838, 1.3775407075881958, 1.3727600574493408, 1.3912349939346313, 1.4203277826309204, 1.4052495956420898, 1.3932706117630005, 1.389427900314331, 1.3774023056030273, 1.3996883630752563, 1.3861889839172363, 1.3824371099472046, 1.371331810951233, 1.3660567998886108];[-73.03792572021484, -53.029136657714844, -40.31950378417969, -38.68281555175781, -46.31220626831055, -49.644927978515625, -49.50639724731445, -48.1459846496582, -46.8317985534668, -45.2811164855957, -45.20075607299805, -46.776527404785156, -47.093814849853516, -47.68218231201172, -46.548072814941406, -45.12175750732422, -44.673343658447266, -43.193336486816406, -43.747276306152344, -44.11237335205078, -42.99555587768555]
100;[16.369844436645508, 14.888708114624023, 12.145345687866211, 10.81348991394043, 10.698343276977539, 10.643807411193848, 10.721065521240234, 10.836023330688477, 10.862659454345703, 10.683536529541016, 10.511587142944336, 10.280550956726074, 10.206413269042969, 10.08114242553711, 10.094404220581055, 10.045239448547363, 10.125295639038086, 10.037507057189941, 9.9684476852417, 9.818981170654297, 9.794405937194824];[1.3970413208007812, 1.3582584857940674, 1.2688803672790527, 1.2791880369186401, 1.401048183441162, 1.44400954246521, 1.4321926832199097, 1.4331859350204468, 1.4143162965774536, 1.4095028638839722, 1.4072588682174683, 1.3851470947265625, 1.380068063735962, 1.37599778175354, 1.370469570159912, 1.3548225164413452, 1.3441309928894043, 1.3328731060028076, 1.3323990106582642, 1.3262970447540283, 1.3332301378250122];[-72.28092193603516, -56.718658447265625, -41.50373840332031, -33.851356506347656, -37.08077621459961, -40.38339614868164, -43.73408126831055, -45.391929626464844, -47.0030517578125, -45.60764694213867, -44.044349670410156, -42.100067138671875, -42.474143981933594, -41.5200080871582, -42.43292999267578, -42.134429931640625, -43.982784271240234, -43.39262390136719, -42.34718704223633, -41.483089447021484, -41.27080154418945]
150;[16.36842918395996, 13.634632110595703, 11.190378189086914, 9.786979675292969, 8.8198823928833, 7.917362213134766, 8.869606018066406, 9.600831031799316, 9.768025398254395, 9.939156532287598, 10.150053024291992, 10.301349639892578, 10.213265419006348, 10.223204612731934, 10.099498748779297, 10.089424133300781, 9.91346549987793, 9.902647972106934, 9.755123138427734, 9.553086280822754, 9.38138484954834];[1.3987120389938354, 1.3153119087219238, 1.2228538990020752, 1.211146354675293, 1.3866921663284302, 1.3460891246795654, 1.3856436014175415, 1.387318730354309, 1.3720736503601074, 1.3480682373046875, 1.3396700620651245, 1.3387172222137451, 1.3425607681274414, 1.3327040672302246, 1.322218656539917, 1.3433172702789307, 1.3299429416656494, 1.3476672172546387, 1.3354583978652954, 1.3328213691711426, 1.318241834640503];[-71.65807342529297, -49.23332214355469, -33.06342315673828, -22.350889205932617, -15.69659423828125, -17.967424392700195, -25.106462478637695, -31.281583786010742, -34.63679122924805, -37.977073669433594, -41.58723068237305, -44.310787200927734, -43.5436897277832, -43.858036041259766, -43.44892883300781, -42.675376892089844, -41.6844367980957, -41.63136291503906, -40.08357238769531, -38.20270919799805, -37.25838088989258]
200;[16.373374938964844, 13.416595458984375, 11.595158576965332, 10.619854927062988, 10.305340766906738, 10.230355262756348, 10.381448745727539, 10.445940017700195, 10.30672836303711, 10.005934715270996, 9.765959739685059, 9.5513277053833, 9.341712951660156, 9.105731010437012, 8.994059562683105, 8.826120376586914, 8.693985939025879, 8.611827850341797, 8.481568336486816, 8.298090934753418, 8.127326965332031];[1.395896315574646, 1.3118115663528442, 1.265222430229187, 1.3128662109375, 1.363012671470642, 1.3743122816085815, 1.42206609249115, 1.383679986000061, 1.3899542093276978, 1.3934431076049805, 1.375341773033142, 1.371579647064209, 1.371477484703064, 1.3480961322784424, 1.34102201461792, 1.3234069347381592, 1.3205348253250122, 1.325026035308838, 1.3310177326202393, 1.3220503330230713, 1.2953763008117676];[-72.9843521118164, -53.588043212890625, -39.982582092285156, -35.790828704833984, -34.258270263671875, -36.09526824951172, -38.92970275878906, -41.97178649902344, -39.71702575683594, -36.97007369995117, -35.78740692138672, -33.99843978881836, -32.658382415771484, -31.201601028442383, -30.947694778442383, -30.092544555664062, -29.427261352539062, -29.29751205444336, -28.105283737182617, -26.847414016723633, -26.172521591186523]
250;[16.361940383911133, 13.316388130187988, 11.775720596313477, 11.062341690063477, 10.896184921264648, 10.935320854187012, 10.922037124633789, 10.771714210510254, 10.631352424621582, 10.358107566833496, 10.334046363830566, 10.334368705749512, 10.076083183288574, 9.859667778015137, 9.860762596130371, 9.702526092529297, 9.700738906860352, 9.512673377990723, 9.368303298950195, 9.285662651062012, 9.237017631530762];[1.397222876548767, 1.3041713237762451, 1.2987655401229858, 1.342476487159729, 1.366147756576538, 1.344693660736084, 1.3503468036651611, 1.3596762418746948, 1.3579397201538086, 1.3517564535140991, 1.363917350769043, 1.3722833395004272, 1.3505315780639648, 1.3640830516815186, 1.3679986000061035, 1.3651719093322754, 1.3758872747421265, 1.3667007684707642, 1.3577759265899658, 1.3654148578643799, 1.3634743690490723];[-73.10462188720703, -53.26836013793945, -46.44484329223633, -43.428306579589844, -43.868324279785156, -46.77278137207031, -47.3600959777832, -45.568077087402344, -44.02886199951172, -42.236351013183594, -42.8320198059082, -42.967857360839844, -40.91718673706055, -38.938194274902344, -38.63911437988281, -37.46424865722656, -37.96916961669922, -36.58280944824219, -35.83211898803711, -34.82677459716797, -34.98344421386719]
300;[16.380901336669922, 13.412029266357422, 11.776081085205078, 11.15137004852295, 10.869471549987793, 11.004657745361328, 10.96599006652832, 10.779886245727539, 10.631089210510254, 10.374872207641602, 10.333415985107422, 10.152525901794434, 9.958683967590332, 9.844654083251953, 9.86314868927002, 9.722906112670898, 9.619633674621582, 9.456579208374023, 9.268263816833496, 8.922770500183105, 8.734704971313477];[1.3972654342651367, 1.3167403936386108, 1.2813528776168823, 1.3041136264801025, 1.322105050086975, 1.324887752532959, 1.3270049095153809, 1.3204092979431152, 1.3262578248977661, 1.3133562803268433, 1.3352128267288208, 1.315953254699707, 1.311192274093628, 1.2970983982086182, 1.316843867301941, 1.3064942359924316, 1.3082358837127686, 1.2964003086090088, 1.2982473373413086, 1.2784748077392578, 1.2728867530822754];[-71.25759887695312, -54.23810577392578, -46.6476936340332, -43.512916564941406, -44.68296813964844, -48.6207160949707, -48.206153869628906, -47.40073776245117, -44.962833404541016, -43.40138626098633, -43.081783294677734, -42.313175201416016, -40.21189880371094, -40.135902404785156, -40.95594787597656, -39.24128723144531, -38.73008728027344, -37.18609619140625, -35.02727508544922, -32.706298828125, -31.532228469848633]
350;[16.37685203552246, 13.67495346069336, 11.499303817749023, 10.752167701721191, 10.697535514831543, 10.891487121582031, 10.862210273742676, 10.8277587890625, 10.730301856994629, 10.526649475097656, 10.42547607421875, 10.361342430114746, 10.361896514892578, 10.232513427734375, 10.045741081237793, 9.995312690734863, 9.86463737487793, 9.89529037475586, 9.878186225891113, 9.78549575805664, 9.812185287475586];[1.3971993923187256, 1.3223686218261719, 1.2670161724090576, 1.3043806552886963, 1.3859602212905884, 1.3634250164031982, 1.358855128288269, 1.3742448091506958, 1.3741363286972046, 1.3602949380874634, 1.365004301071167, 1.3693664073944092, 1.3619256019592285, 1.3646069765090942, 1.350969672203064, 1.3621509075164795, 1.3657410144805908, 1.3606222867965698, 1.3633631467819214, 1.361486792564392, 1.3567603826522827];[-71.22865295410156, -50.63385772705078, -40.6420783996582, -37.77606201171875, -41.761962890625, -47.660316467285156, -47.96531295776367, -48.0811653137207, -47.03489685058594, -45.44895935058594, -44.228458404541016, -43.94314956665039, -45.41667938232422, -43.390602111816406, -42.38783264160156, -42.021541595458984, -41.005245208740234, -41.3635139465332, -41.544151306152344, -40.40596008300781, -41.549007415771484]
400;[16.363100051879883, 13.454578399658203, 11.695709228515625, 10.723919868469238, 10.272509574890137, 10.258999824523926, 10.430184364318848, 10.519434928894043, 10.499820709228516, 10.317404747009277, 10.302940368652344, 10.410564422607422, 10.463403701782227, 10.435019493103027, 10.307223320007324, 10.16550350189209, 10.022849082946777, 9.845512390136719, 9.80010986328125, 9.67428970336914, 9.481778144836426];[1.3982000350952148, 1.3184332847595215, 1.2725297212600708, 1.2874641418457031, 1.3464657068252563, 1.364058017730713, 1.394667387008667, 1.354291558265686, 1.384787917137146, 1.367815375328064, 1.3865349292755127, 1.405794620513916, 1.3915748596191406, 1.3897514343261719, 1.3869199752807617, 1.3915523290634155, 1.3863499164581299, 1.371362328529358, 1.3837332725524902, 1.3856254816055298, 1.362280011177063];[-71.06763458251953, -53.61837387084961, -41.634246826171875, -36.89610290527344, -35.089134216308594, -37.05439376831055, -41.1843147277832, -44.247779846191406, -43.1024284362793, -42.24906921386719, -41.97737121582031, -43.41737365722656, -44.915870666503906, -45.846195220947266, -44.483680725097656, -42.3900032043457, -41.533905029296875, -40.47453689575195, -39.811065673828125, -38.54115295410156, -37.54939270019531]
450;[16.369915008544922, 14.828177452087402, 12.20378303527832, 11.246098518371582, 10.958770751953125, 10.886566162109375, 10.923935890197754, 10.83688735961914, 10.723156929016113, 10.65451431274414, 10.649870872497559, 10.527944564819336, 10.454273223876953, 10.42418098449707, 10.320316314697266, 10.224114418029785, 10.091792106628418, 9.884142875671387, 9.670588493347168, 9.596260070800781, 9.513906478881836];[1.396751880645752, 1.3541069030761719, 1.2742118835449219, 1.3002705574035645, 1.319596290588379, 1.3088420629501343, 1.3390735387802124, 1.3585361242294312, 1.3965774774551392, 1.3900259733200073, 1.4046512842178345, 1.3975732326507568, 1.3943575620651245, 1.4026827812194824, 1.404904842376709, 1.3933990001678467, 1.3944883346557617, 1.3870916366577148, 1.3830076456069946, 1.3878401517868042, 1.3813061714172363];[-71.8649673461914, -56.326210021972656, -43.62356948852539, -44.45949172973633, -45.875946044921875, -46.89252853393555, -46.42974090576172, -46.49093246459961, -44.745330810546875, -44.99335861206055, -45.466552734375, -45.078182220458984, -44.05522537231445, -44.63276290893555, -42.79961395263672, -43.07386779785156, -41.313819885253906, -39.51939010620117, -37.77860641479492, -37.54715347290039, -36.894222259521484]
500;[16.342056274414062, 13.7305326461792, 11.384517669677734, 10.946672439575195, 11.128459930419922, 11.192466735839844, 10.982142448425293, 10.986052513122559, 11.031177520751953, 11.061897277832031, 11.060611724853516, 10.933942794799805, 10.829741477966309, 10.690435409545898, 10.492833137512207, 10.319074630737305, 10.2000150680542, 10.027576446533203, 9.914165496826172, 9.911965370178223, 9.758916854858398];[1.3953099250793457, 1.3192377090454102, 1.2614082098007202, 1.3510247468948364, 1.4109982252120972, 1.3940341472625732, 1.4151146411895752, 1.4118738174438477, 1.3989684581756592, 1.4186428785324097, 1.4089833498001099, 1.4123847484588623, 1.397711992263794, 1.413521409034729, 1.3962106704711914, 1.4009063243865967, 1.3924866914749146, 1.3914777040481567, 1.386902928352356, 1.3867558240890503, 1.381542682647705];[-72.40740203857422, -49.94731903076172, -39.367069244384766, -40.329917907714844, -48.12995529174805, -49.752899169921875, -47.11606979370117, -48.12885665893555, -49.677799224853516, -50.562679290771484, -50.76093673706055, -49.851593017578125, -49.29541015625, -47.35928726196289, -45.86626434326172, -43.677642822265625, -42.97304153442383, -41.424072265625, -41.002952575683594, -41.08137130737305, -39.919471740722656]
