Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[1.1691153049468994, 1.1702513694763184, 1.1645125150680542, 1.1616746187210083, 1.16354238986969, 1.162904977798462, 1.163002610206604, 1.1622759103775024, 1.1660038232803345, 1.1616219282150269, 1.1576178073883057, 1.1558740139007568, 1.1601310968399048, 1.1620714664459229, 1.1587508916854858, 1.1597427129745483, 1.1651352643966675, 1.1694730520248413, 1.163769245147705, 1.168651819229126, 1.162602424621582, 1.1685746908187866, 1.1625629663467407, 1.1646184921264648, 1.1605737209320068, 1.1638606786727905, 1.1636594533920288, 1.166037917137146, 1.1702030897140503, 1.1656370162963867, 1.1644657850265503];[0.09585244953632355, 0.09674306213855743, 0.09264744818210602, 0.09258200228214264, 0.09442973881959915, 0.09257683157920837, 0.09226378053426743, 0.09173302352428436, 0.09387829899787903, 0.09025029093027115, 0.08902063220739365, 0.08815525472164154, 0.08988058567047119, 0.0891822800040245, 0.0873749703168869, 0.09118586033582687, 0.09112938493490219, 0.09346234053373337, 0.09036349505186081, 0.091075599193573, 0.09005192667245865, 0.09106750786304474, 0.0917111411690712, 0.0902533084154129, 0.0867127850651741, 0.08989469707012177, 0.09251755475997925, 0.0882200300693512, 0.09286697953939438, 0.09216159582138062, 0.08730220794677734];[-2.1586570739746094, -2.164936065673828, -2.135483980178833, -2.129586935043335, -2.1493451595306396, -2.128823757171631, -2.113145112991333, -2.119114398956299, -2.1318864822387695, -2.110488176345825, -2.1093785762786865, -2.1024186611175537, -2.1099977493286133, -2.101165294647217, -2.088632583618164, -2.1205499172210693, -2.1262032985687256, -2.1239798069000244, -2.1100029945373535, -2.109816312789917, -2.1009790897369385, -2.1167285442352295, -2.1013309955596924, -2.0958621501922607, -2.080760955810547, -2.094268560409546, -2.1174347400665283, -2.095297336578369, -2.109988212585449, -2.115834951400757, -2.083922863006592];[0.4498543441295624, 0.4103313088417053, 0.4355003833770752, 0.4291001558303833, 0.4462345838546753, 0.42809638381004333, 0.4320327043533325, 0.423096239566803, 0.44141778349876404, 0.4205528199672699, 0.4387620687484741, 0.3934742510318756, 0.42538735270500183, 0.43221810460090637, 0.4467063546180725, 0.41110479831695557, 0.4210257828235626, 0.4451712965965271, 0.4337109327316284, 0.4244820773601532, 0.42885953187942505, 0.4407002031803131, 0.42884960770606995, 0.42379555106163025, 0.4258788526058197, 0.4243846535682678, 0.42041367292404175, 0.4148419499397278, 0.41933876276016235, 0.44728848338127136];1967.1526365280151
50;[1.6182197332382202, 1.6185258626937866, 1.614184856414795, 1.6126879453659058, 1.6139451265335083, 1.6140028238296509, 1.6127766370773315, 1.6133989095687866, 1.6162550449371338, 1.610839605331421, 1.609513282775879, 1.60731840133667, 1.6115549802780151, 1.6124788522720337, 1.610245704650879, 1.6110129356384277, 1.6158090829849243, 1.6187949180603027, 1.6135047674179077, 1.6183737516403198, 1.6125671863555908, 1.619318962097168, 1.6125901937484741, 1.6138836145401, 1.6111842393875122, 1.6142381429672241, 1.6138150691986084, 1.6169633865356445, 1.6198773384094238, 1.616537094116211, 1.6139369010925293];[0.1960361897945404, 0.19712859392166138, 0.19445398449897766, 0.19539698958396912, 0.19615696370601654, 0.1953282356262207, 0.19451849162578583, 0.19451874494552612, 0.19560885429382324, 0.19236452877521515, 0.1936054527759552, 0.19279621541500092, 0.19340527057647705, 0.19210855662822723, 0.19183014333248138, 0.1949644833803177, 0.19388064742088318, 0.19482432305812836, 0.19230462610721588, 0.19273528456687927, 0.19310328364372253, 0.1932106763124466, 0.19528235495090485, 0.19296523928642273, 0.1904967874288559, 0.19258446991443634, 0.1953408420085907, 0.19156837463378906, 0.1952267736196518, 0.19563183188438416, 0.18964935839176178];[-4.32171106338501, -4.319447040557861, -4.294129848480225, -4.288815975189209, -4.320927619934082, -4.286834239959717, -4.243284702301025, -4.264118194580078, -4.284841537475586, -4.24758768081665, -4.270370006561279, -4.26160192489624, -4.2598161697387695, -4.237065315246582, -4.222801685333252, -4.279091835021973, -4.277838706970215, -4.257602214813232, -4.250007152557373, -4.239601135253906, -4.23773193359375, -4.259722709655762, -4.23462438583374, -4.222921848297119, -4.210498809814453, -4.2221150398254395, -4.270429611206055, -4.225306510925293, -4.237962245941162, -4.260532855987549, -4.193268775939941];[0.4498543441295624, 0.4486774504184723, 0.4254615604877472, 0.4281471073627472, 0.4482558071613312, 0.430355042219162, 0.43911147117614746, 0.43250772356987, 0.4453965425491333, 0.42900702357292175, 0.42810073494911194, 0.42947420477867126, 0.4301455020904541, 0.41599002480506897, 0.4305053651332855, 0.4509181082248688, 0.4290035665035248, 0.4303768575191498, 0.4308067858219147, 0.430798202753067, 0.4311772882938385, 0.4383023977279663, 0.42997124791145325, 0.4283260107040405, 0.41126397252082825, 0.43673819303512573, 0.41661444306373596, 0.4135596752166748, 0.424150675535202, 0.4316647946834564];1981.444411277771
100;[1.1636465787887573, 1.1602269411087036, 1.163750171661377, 1.160749912261963, 1.1625458002090454, 1.1657869815826416, 1.1634690761566162, 1.1642485857009888, 1.1646788120269775, 1.1620105504989624, 1.1694161891937256, 1.1648223400115967, 1.1681334972381592, 1.1656538248062134, 1.1653053760528564, 1.1720361709594727, 1.166633129119873, 1.1667823791503906, 1.164720892906189, 1.16257905960083, 1.1642968654632568, 1.1710044145584106, 1.1654597520828247, 1.173566460609436, 1.1662752628326416, 1.1700026988983154, 1.1707825660705566, 1.169350028038025, 1.1736596822738647, 1.1736927032470703, 1.1675482988357544];[0.09291034936904907, 0.09247283637523651, 0.09287891536951065, 0.0947304293513298, 0.0942763090133667, 0.09427166730165482, 0.09119307994842529, 0.09085303544998169, 0.09126311540603638, 0.09220271557569504, 0.09263212233781815, 0.08881587535142899, 0.09038874506950378, 0.09162310510873795, 0.09028193354606628, 0.09474749118089676, 0.0907982885837555, 0.08973795920610428, 0.08937609940767288, 0.09249730408191681, 0.08935851603746414, 0.09055054932832718, 0.0896303653717041, 0.092986561357975, 0.09149208664894104, 0.09052332490682602, 0.09048199653625488, 0.09327201545238495, 0.09177655726671219, 0.09368836879730225, 0.09069401770830154];[-2.136005401611328, -2.128922462463379, -2.137943744659424, -2.1364760398864746, -2.1521730422973633, -2.145949125289917, -2.121633768081665, -2.104656219482422, -2.1155478954315186, -2.124624013900757, -2.138249158859253, -2.107605457305908, -2.1171889305114746, -2.1153604984283447, -2.0977072715759277, -2.1297192573547363, -2.114600658416748, -2.107132911682129, -2.1037540435791016, -2.114090919494629, -2.0978572368621826, -2.094318151473999, -2.104722023010254, -2.2139077186584473, -2.112323760986328, -2.1069648265838623, -2.092416286468506, -2.113816738128662, -2.1045076847076416, -2.1113555431365967, -2.106240749359131];[0.43560758233070374, 0.4430678188800812, 0.4386512339115143, 0.42544442415237427, 0.4276500344276428, 0.42640355229377747, 0.41896533966064453, 0.4250940978527069, 0.4332055151462555, 0.42287999391555786, 0.4363567531108856, 0.43757784366607666, 0.4252077043056488, 0.41185370087623596, 0.43448930978775024, 0.4112338721752167, 0.42536234855651855, 0.42156124114990234, 0.43321505188941956, 0.4176560640335083, 0.4171346127986908, 0.4104849696159363, 0.4477599561214447, 0.3945666551589966, 0.434933602809906, 0.42350858449935913, 0.45390596985816956, 0.4528743624687195, 0.44201260805130005, 0.41944780945777893];1966.8519575595856
100;[1.6148221492767334, 1.6105149984359741, 1.6157350540161133, 1.6102380752563477, 1.6135762929916382, 1.6159793138504028, 1.614112138748169, 1.6138811111450195, 1.6150827407836914, 1.6133358478546143, 1.6203498840332031, 1.614885687828064, 1.619467854499817, 1.6160207986831665, 1.6148135662078857, 1.6198925971984863, 1.6178675889968872, 1.6184478998184204, 1.6141724586486816, 1.6128236055374146, 1.6138989925384521, 1.6194185018539429, 1.6168278455734253, 1.6228277683258057, 1.6163630485534668, 1.61962890625, 1.6182283163070679, 1.6180384159088135, 1.6213810443878174, 1.6213725805282593, 1.6163723468780518];[0.19523769617080688, 0.19517996907234192, 0.19554437696933746, 0.19655756652355194, 0.1963999718427658, 0.19552136957645416, 0.1931346356868744, 0.19265562295913696, 0.19364963471889496, 0.19487592577934265, 0.19506435096263885, 0.1900675892829895, 0.19242830574512482, 0.19319458305835724, 0.19142208993434906, 0.19393107295036316, 0.19262681901454926, 0.1917824149131775, 0.1909371316432953, 0.1948752999305725, 0.19127409160137177, 0.19047562777996063, 0.19152353703975677, 0.194460928440094, 0.19267937541007996, 0.19160321354866028, 0.18997645378112793, 0.19383016228675842, 0.19138318300247192, 0.19302012026309967, 0.19205518066883087];[-4.304330825805664, -4.28277063369751, -4.305771827697754, -4.301085472106934, -4.325009822845459, -4.301039218902588, -4.260946750640869, -4.209489345550537, -4.243370056152344, -4.267614841461182, -4.267210960388184, -4.227017879486084, -4.248218536376953, -4.230308532714844, -4.194449424743652, -4.23683500289917, -4.2276434898376465, -4.222397327423096, -4.212826728820801, -4.242276668548584, -4.203791618347168, -4.1718854904174805, -4.2264628410339355, -4.313255786895752, -4.226685523986816, -4.209090232849121, -4.171067714691162, -4.2293853759765625, -4.180130481719971, -4.20317268371582, -4.209836006164551];[0.43560758233070374, 0.48150336742401123, 0.4366902709007263, 0.48133012652397156, 0.4246600568294525, 0.4252772033214569, 0.4256369173526764, 0.42209288477897644, 0.3883408010005951, 0.429516077041626, 0.43424439430236816, 0.4387263059616089, 0.44215986132621765, 0.4318574070930481, 0.41599297523498535, 0.429919958114624, 0.434525728225708, 0.40475258231163025, 0.4317074120044708, 0.4174095690250397, 0.424850195646286, 0.4164521098136902, 0.44900819659233093, 0.42605865001678467, 0.44522303342819214, 0.4079505503177643, 0.433552622795105, 0.4542168080806732, 0.40959182381629944, 0.42724892497062683];1939.76318526268
150;[1.1630229949951172, 1.161245584487915, 1.1609721183776855, 1.1642556190490723, 1.1615129709243774, 1.1658357381820679, 1.1665247678756714, 1.1725472211837769, 1.156783103942871, 1.1703940629959106, 1.1608349084854126, 1.164056420326233, 1.1669108867645264, 1.168741226196289, 1.1687157154083252, 1.1586657762527466, 1.1686519384384155, 1.1737229824066162, 1.1620314121246338, 1.1620211601257324, 1.1697416305541992, 1.1637674570083618, 1.166382908821106, 1.1675914525985718, 1.1624959707260132, 1.1740511655807495, 1.1715376377105713, 1.164451003074646, 1.1726921796798706, 1.167198657989502, 1.1742485761642456];[0.09222948551177979, 0.08980913460254669, 0.09342540055513382, 0.09364251792430878, 0.09479387104511261, 0.09451385587453842, 0.09483783692121506, 0.0968775525689125, 0.09044446051120758, 0.09692762792110443, 0.09099480509757996, 0.09415971487760544, 0.0936407521367073, 0.09361758083105087, 0.09298735111951828, 0.08959358930587769, 0.09312814474105835, 0.09392846375703812, 0.09130635857582092, 0.0896700918674469, 0.08987549692392349, 0.08902277052402496, 0.09009955078363419, 0.09057872742414474, 0.08903041481971741, 0.09374172240495682, 0.09174095839262009, 0.09008923172950745, 0.0922049731016159, 0.09295092523097992, 0.09392889589071274];[-2.1348283290863037, -2.1219613552093506, -2.1415231227874756, -2.141599416732788, -2.1545250415802, -2.1566240787506104, -2.1439435482025146, -2.1575756072998047, -2.12382435798645, -2.1467535495758057, -2.1250576972961426, -2.141922950744629, -2.1345057487487793, -2.1303915977478027, -2.139082193374634, -2.115183115005493, -2.119612693786621, -2.165933609008789, -2.1232621669769287, -2.109606981277466, -2.1046574115753174, -2.0970277786254883, -2.100440502166748, -2.1178276538848877, -2.101106643676758, -2.1280229091644287, -2.105358362197876, -2.1092841625213623, -2.1094443798065186, -2.1183817386627197, -2.1063551902770996];[0.46959537267684937, 0.4347231090068817, 0.4358213245868683, 0.44585034251213074, 0.42480218410491943, 0.44064122438430786, 0.42557352781295776, 0.4104194939136505, 0.4333231449127197, 0.43085888028144836, 0.42032840847969055, 0.4278501868247986, 0.42924022674560547, 0.4170321226119995, 0.4300837516784668, 0.43969520926475525, 0.4207552671432495, 0.42458730936050415, 0.4419800341129303, 0.4493907690048218, 0.45019808411598206, 0.4180522561073303, 0.4141680598258972, 0.4318472146987915, 0.41638198494911194, 0.42468956112861633, 0.409115195274353, 0.42014238238334656, 0.4240953028202057, 0.41561734676361084];1985.2215747833252
150;[1.6139203310012817, 1.6127142906188965, 1.6117388010025024, 1.6154900789260864, 1.6127848625183105, 1.6160430908203125, 1.6159884929656982, 1.6214572191238403, 1.6085261106491089, 1.619110107421875, 1.6114497184753418, 1.6135896444320679, 1.616283893585205, 1.6195214986801147, 1.6186556816101074, 1.6110382080078125, 1.6169391870498657, 1.6224535703659058, 1.6127805709838867, 1.6133811473846436, 1.6195712089538574, 1.6129008531570435, 1.6169147491455078, 1.6176315546035767, 1.6125497817993164, 1.62251877784729, 1.6202572584152222, 1.6146379709243774, 1.6209056377410889, 1.6161905527114868, 1.622614860534668];[0.1945616751909256, 0.19221046566963196, 0.19638803601264954, 0.19612158834934235, 0.19764024019241333, 0.19655020534992218, 0.1959165781736374, 0.1970001757144928, 0.19428347051143646, 0.19714680314064026, 0.19379153847694397, 0.19553911685943604, 0.194696843624115, 0.1948155164718628, 0.19429966807365417, 0.19374985992908478, 0.19330331683158875, 0.19471722841262817, 0.19386304914951324, 0.1925622671842575, 0.1910858303308487, 0.19122743606567383, 0.19191791117191315, 0.1921491026878357, 0.1911768764257431, 0.194058358669281, 0.19263848662376404, 0.1925155073404312, 0.19217322766780853, 0.19457651674747467, 0.19424565136432648];[-4.298182010650635, -4.277125835418701, -4.325320243835449, -4.3153839111328125, -4.341937065124512, -4.333302021026611, -4.303048610687256, -4.308398246765137, -4.294816493988037, -4.296169757843018, -4.280238628387451, -4.3011250495910645, -4.27405309677124, -4.2607102394104, -4.2840070724487305, -4.2808637619018555, -4.231972694396973, -4.283200263977051, -4.260410785675049, -4.247540473937988, -4.21357536315918, -4.2046003341674805, -4.215534687042236, -4.2379865646362305, -4.228025436401367, -4.23581075668335, -4.206314563751221, -4.2338762283325195, -4.208678245544434, -4.246306419372559, -4.209755897521973];[0.46959537267684937, 0.42996567487716675, 0.4216398298740387, 0.43761977553367615, 0.42524847388267517, 0.4408469796180725, 0.4434444308280945, 0.42734238505363464, 0.44609585404396057, 0.42989057302474976, 0.43300458788871765, 0.4231913089752197, 0.43028736114501953, 0.43290355801582336, 0.43095654249191284, 0.4371863305568695, 0.42688095569610596, 0.43310874700546265, 0.43835341930389404, 0.45114195346832275, 0.4508611261844635, 0.4043017625808716, 0.4124659299850464, 0.4318873882293701, 0.41986387968063354, 0.43958067893981934, 0.42185547947883606, 0.41815459728240967, 0.42304638028144836, 0.4249936640262604];2007.3166146278381
200;[1.1612826585769653, 1.1566526889801025, 1.1666769981384277, 1.1609152555465698, 1.1677396297454834, 1.1623271703720093, 1.1702340841293335, 1.1601275205612183, 1.161543846130371, 1.162057876586914, 1.163672685623169, 1.1572242975234985, 1.1556658744812012, 1.1635593175888062, 1.1616919040679932, 1.1627434492111206, 1.1669199466705322, 1.164334774017334, 1.1631852388381958, 1.1686367988586426, 1.1642606258392334, 1.1603754758834839, 1.1628564596176147, 1.168026328086853, 1.1562449932098389, 1.1642976999282837, 1.1595045328140259, 1.1666620969772339, 1.160440444946289, 1.160401463508606, 1.1595892906188965];[0.0945221334695816, 0.09076956659555435, 0.0938316211104393, 0.09265000373125076, 0.0948353186249733, 0.09326007217168808, 0.09725738316774368, 0.09141778200864792, 0.09578457474708557, 0.09633376449346542, 0.09701304882764816, 0.0929127037525177, 0.09481408447027206, 0.09568584710359573, 0.09593205899000168, 0.09413524717092514, 0.09687480330467224, 0.09447982162237167, 0.09503546357154846, 0.09698164463043213, 0.09619048237800598, 0.0933442935347557, 0.09779125452041626, 0.09651318937540054, 0.0932910367846489, 0.09546463191509247, 0.09156101197004318, 0.09522611647844315, 0.09344743937253952, 0.0909394770860672, 0.09222202003002167];[-2.1454927921295166, -2.1329503059387207, -2.1509077548980713, -2.136245012283325, -2.151059627532959, -2.1417438983917236, -2.1676061153411865, -2.134185552597046, -2.15472412109375, -2.1700265407562256, -2.1704189777374268, -2.148359537124634, -2.1564908027648926, -2.169459581375122, -2.163872003555298, -2.15458607673645, -2.171304702758789, -2.1574041843414307, -2.151374578475952, -2.1632049083709717, -2.158982753753662, -2.1494462490081787, -2.1621012687683105, -2.1640267372131348, -2.1452486515045166, -2.16713547706604, -2.138103485107422, -2.1495392322540283, -2.1427996158599854, -2.13413405418396, -2.13924241065979];[0.41035547852516174, 0.42895039916038513, 0.4369764029979706, 0.4383602440357208, 0.45179346203804016, 0.4127636253833771, 0.4303295910358429, 0.4290774464607239, 0.4613095819950104, 0.44683706760406494, 0.4339185953140259, 0.4616624116897583, 0.44552794098854065, 0.4402008652687073, 0.4494127929210663, 0.43864330649375916, 0.4388751983642578, 0.4473447799682617, 0.4316742718219757, 0.4278366267681122, 0.43173226714134216, 0.45231884717941284, 0.4349522590637207, 0.43297186493873596, 0.43578046560287476, 0.4511525332927704, 0.4360892176628113, 0.4270463287830353, 0.443543940782547, 0.43310579657554626];1934.8384540081024
200;[1.6124927997589111, 1.6078367233276367, 1.6166874170303345, 1.6112556457519531, 1.6172270774841309, 1.6129536628723145, 1.6197847127914429, 1.6106561422348022, 1.6119377613067627, 1.612293004989624, 1.6135550737380981, 1.609487533569336, 1.6071608066558838, 1.6142469644546509, 1.6131647825241089, 1.613255500793457, 1.6174181699752808, 1.6141040325164795, 1.6130326986312866, 1.6176751852035522, 1.6139904260635376, 1.6109458208084106, 1.6124958992004395, 1.6172133684158325, 1.6083471775054932, 1.615350604057312, 1.61007559299469, 1.6157293319702148, 1.611557960510254, 1.61124587059021, 1.6098002195358276];[0.19693005084991455, 0.194477841258049, 0.19564493000507355, 0.19564609229564667, 0.19792450964450836, 0.19701111316680908, 0.19906160235404968, 0.19566446542739868, 0.19924157857894897, 0.19948133826255798, 0.2002030462026596, 0.19878721237182617, 0.20012137293815613, 0.19957762956619263, 0.20015668869018555, 0.1981137990951538, 0.19947171211242676, 0.1976468861103058, 0.19853901863098145, 0.19959542155265808, 0.19936323165893555, 0.19795580208301544, 0.2014746218919754, 0.19919461011886597, 0.19905373454093933, 0.19945107400417328, 0.19651153683662415, 0.19866938889026642, 0.19847996532917023, 0.1956348419189453, 0.1974225789308548];[-4.322001934051514, -4.3208231925964355, -4.337848663330078, -4.322739124298096, -4.341508388519287, -4.340870380401611, -4.359621047973633, -4.336460590362549, -4.368796348571777, -4.4031662940979, -4.396581172943115, -4.392828941345215, -4.406710624694824, -4.403598308563232, -4.400009632110596, -4.375156402587891, -4.407129764556885, -4.380548000335693, -4.376286506652832, -4.380985260009766, -4.385129928588867, -4.380133152008057, -4.397418022155762, -4.389899253845215, -4.386318206787109, -4.410185813903809, -4.3710808753967285, -4.36735200881958, -4.378058910369873, -4.3610429763793945, -4.368870258331299];[0.41035547852516174, 0.44800424575805664, 0.4375862777233124, 0.43544891476631165, 0.4549187421798706, 0.4441932141780853, 0.4447971284389496, 0.44312578439712524, 0.4654185175895691, 0.4308192729949951, 0.4447099566459656, 0.44615092873573303, 0.46099042892456055, 0.46350282430648804, 0.46436378359794617, 0.4367977976799011, 0.43356406688690186, 0.44605809450149536, 0.4863187074661255, 0.45191720128059387, 0.42367056012153625, 0.4560016691684723, 0.4475497007369995, 0.4413895606994629, 0.4438075125217438, 0.4564385712146759, 0.448924720287323, 0.43660375475883484, 0.44671663641929626, 0.43799975514411926];1937.9768950939178
250;[1.167892575263977, 1.1614564657211304, 1.1636338233947754, 1.1680327653884888, 1.1690073013305664, 1.1629539728164673, 1.1652092933654785, 1.1579419374465942, 1.1603288650512695, 1.1663172245025635, 1.1532388925552368, 1.1608439683914185, 1.1669765710830688, 1.1547276973724365, 1.1587697267532349, 1.1578342914581299, 1.154704213142395, 1.1643562316894531, 1.1595598459243774, 1.158752679824829, 1.155159831047058, 1.1680240631103516, 1.1673682928085327, 1.154235601425171, 1.1580545902252197, 1.1597363948822021, 1.1526917219161987, 1.159611701965332, 1.1582908630371094, 1.162885308265686, 1.1570886373519897];[0.09595180302858353, 0.09594879299402237, 0.09245036542415619, 0.09719431400299072, 0.09752431511878967, 0.09386736154556274, 0.09150159358978271, 0.09150555729866028, 0.09075862914323807, 0.09533094614744186, 0.09103428572416306, 0.0927014872431755, 0.09600122272968292, 0.09056021273136139, 0.09186138212680817, 0.09212850779294968, 0.0892769992351532, 0.09443647414445877, 0.09064919501543045, 0.09133963286876678, 0.08984608948230743, 0.09401976317167282, 0.09253416955471039, 0.08837884664535522, 0.090313620865345, 0.08849010616540909, 0.08744096010923386, 0.0890439823269844, 0.08972342312335968, 0.09179220348596573, 0.0898301973938942];[-2.164726972579956, -2.160520315170288, -2.135854482650757, -2.16510009765625, -2.1942636966705322, -2.1433231830596924, -2.1360859870910645, -2.125687837600708, -2.120490312576294, -2.163346767425537, -2.126224994659424, -2.1440014839172363, -2.1510066986083984, -2.1241204738616943, -2.128797769546509, -2.1335041522979736, -2.12039852142334, -2.1579582691192627, -2.1239326000213623, -2.127476215362549, -2.1220147609710693, -2.123572587966919, -2.125089645385742, -2.1048121452331543, -2.112579584121704, -2.0988895893096924, -2.1013472080230713, -2.101966142654419, -2.107598304748535, -2.112917423248291, -2.1159610748291016];[0.43426933884620667, 0.4336817264556885, 0.43553608655929565, 0.42467910051345825, 0.4896722137928009, 0.44190484285354614, 0.4368443787097931, 0.4362829029560089, 0.42570024728775024, 0.4522510766983032, 0.435977041721344, 0.44743824005126953, 0.43732139468193054, 0.4492003917694092, 0.4024248421192169, 0.4370081424713135, 0.4406960904598236, 0.4378783702850342, 0.4229033291339874, 0.4516782760620117, 0.431743860244751, 0.43171459436416626, 0.43723687529563904, 0.447909414768219, 0.4379502534866333, 0.42939692735671997, 0.4250129759311676, 0.4347781836986542, 0.43474262952804565, 0.4329938590526581];1949.282659292221
250;[1.6186182498931885, 1.6124361753463745, 1.6148183345794678, 1.6172746419906616, 1.6187357902526855, 1.6133912801742554, 1.6171534061431885, 1.609570026397705, 1.6105198860168457, 1.6166067123413086, 1.605299711227417, 1.6113358736038208, 1.6168501377105713, 1.606742024421692, 1.6096004247665405, 1.6091488599777222, 1.6078060865402222, 1.6153454780578613, 1.6105390787124634, 1.6104642152786255, 1.606317400932312, 1.6165233850479126, 1.6162177324295044, 1.6056588888168335, 1.6073631048202515, 1.6100585460662842, 1.6036125421524048, 1.6101844310760498, 1.6080007553100586, 1.6128778457641602, 1.6078740358352661];[0.19714635610580444, 0.19807928800582886, 0.1951545774936676, 0.1975986212491989, 0.1986325979232788, 0.196229487657547, 0.19453531503677368, 0.19538015127182007, 0.19416214525699615, 0.19752061367034912, 0.19670097529888153, 0.1958615779876709, 0.19780242443084717, 0.19594088196754456, 0.19537758827209473, 0.19645163416862488, 0.19522008299827576, 0.1976533681154251, 0.19474874436855316, 0.1961219608783722, 0.19483807682991028, 0.19577735662460327, 0.19475091993808746, 0.19355660676956177, 0.19402353465557098, 0.19282487034797668, 0.1929895281791687, 0.19370070099830627, 0.19428583979606628, 0.19557149708271027, 0.19478484988212585];[-4.344611167907715, -4.35399866104126, -4.312031269073486, -4.337643146514893, -4.38195276260376, -4.318365097045898, -4.3047099113464355, -4.300471782684326, -4.289182662963867, -4.345395088195801, -4.32451057434082, -4.3390398025512695, -4.331051826477051, -4.326098918914795, -4.312520503997803, -4.328016757965088, -4.3223724365234375, -4.370328426361084, -4.306434631347656, -4.325663089752197, -4.324136734008789, -4.276993751525879, -4.29071569442749, -4.289206504821777, -4.291738986968994, -4.258342266082764, -4.291039943695068, -4.270985126495361, -4.283671855926514, -4.281961441040039, -4.310266971588135];[0.43426933884620667, 0.41283631324768066, 0.4369499385356903, 0.46330341696739197, 0.49196240305900574, 0.4411853551864624, 0.44700196385383606, 0.4337259829044342, 0.42658504843711853, 0.4790414571762085, 0.4367172420024872, 0.44187259674072266, 0.4447494149208069, 0.4363529682159424, 0.42831963300704956, 0.4346868693828583, 0.449015736579895, 0.43435171246528625, 0.4160560071468353, 0.4373340308666229, 0.41705435514450073, 0.4343196153640747, 0.4466695785522461, 0.4538084864616394, 0.4401179552078247, 0.43127456307411194, 0.43427446484565735, 0.4419199228286743, 0.4456993639469147, 0.4404807984828949];1989.7081327438354
