Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7737855315208435, 0.7748010158538818, 0.7754302024841309, 0.7754325270652771, 0.7752516865730286, 0.774334728717804, 0.7799854874610901, 0.7768100500106812, 0.7758007645606995, 0.7665047645568848, 0.7734237313270569, 0.7680539488792419, 0.7754160165786743, 0.767428994178772, 0.7645245790481567, 0.7747595906257629, 0.7733928561210632, 0.774341344833374, 0.774818480014801, 0.772135853767395, 0.7779396772384644, 0.7715703248977661, 0.7765918970108032, 0.7683115005493164, 0.7756897211074829, 0.7753100395202637, 0.7689017057418823, 0.779580295085907, 0.770358681678772, 0.7739347219467163];[0.04275934398174286, 0.033789802342653275, 0.035164110362529755, 0.036054786294698715, 0.03568242862820625, 0.03388397395610809, 0.034446265548467636, 0.037437014281749725, 0.03675038367509842, 0.03374629095196724, 0.02645796909928322, 0.03434291109442711, 0.028430908918380737, 0.0334443636238575, 0.024567443877458572, 0.025465110316872597, 0.030139664188027382, 0.03034435398876667, 0.031064216047525406, 0.030946001410484314, 0.028724994510412216, 0.03408607095479965, 0.0295992624014616, 0.03326521813869476, 0.023436324670910835, 0.0298707727342844, 0.03210647031664848, 0.02296535298228264, 0.030406495556235313, 0.02546335943043232, 0.027048975229263306];[-0.8513761162757874, -0.8199260234832764, -0.8282310962677002, -0.8265681862831116, -0.8318811058998108, -0.8257808685302734, -0.822029173374176, -0.8327075242996216, -0.8295827507972717, -0.8240348100662231, -0.8039674162864685, -0.831874668598175, -0.8036654591560364, -0.8240424394607544, -0.7978736758232117, -0.801222026348114, -0.8151244521141052, -0.8109446167945862, -0.8171269297599792, -0.8192272186279297, -0.8089525699615479, -0.8240144848823547, -0.8094969987869263, -0.8202256560325623, -0.7940337061882019, -0.8139121532440186, -0.815259575843811, -0.7930670380592346, -0.8187567591667175, -0.802473783493042, -0.8035770654678345];[0.4498543441295624, 0.4251926839351654, 0.45358970761299133, 0.4372243583202362, 0.42394721508026123, 0.4287509322166443, 0.4327859878540039, 0.44672900438308716, 0.4328155219554901, 0.4247368574142456, 0.4292146563529968, 0.4229954183101654, 0.4279261827468872, 0.41291192173957825, 0.4162137806415558, 0.40545397996902466, 0.4499082565307617, 0.4054149389266968, 0.4158194363117218, 0.4321361184120178, 0.42007291316986084, 0.41827714443206787, 0.4091220200061798, 0.4054317772388458, 0.40135228633880615, 0.42759281396865845, 0.4139852523803711, 0.3989126682281494, 0.4172297716140747, 0.4016335606575012];1977.7260432243347
100;[0.7740078568458557, 0.7712715864181519, 0.7715823650360107, 0.7713122367858887, 0.77054762840271, 0.7756949067115784, 0.7727252244949341, 0.7750404477119446, 0.7758521437644958, 0.768485426902771, 0.7759747505187988, 0.772950291633606, 0.7762902975082397, 0.7744124531745911, 0.7761228084564209, 0.7776061296463013, 0.7750063538551331, 0.783763587474823, 0.7749562859535217, 0.7811017036437988, 0.7762596607208252, 0.7889947295188904, 0.7755483984947205, 0.7832544445991516, 0.7759138941764832, 0.7745360136032104, 0.7883997559547424, 0.7764249444007874, 0.7875080108642578, 0.7752476930618286, 0.7784706354141235];[0.03575695678591728, 0.03643089905381203, 0.03418146073818207, 0.03523975983262062, 0.03758906573057175, 0.038349393755197525, 0.037069227546453476, 0.03665529936552048, 0.03640488535165787, 0.03356701135635376, 0.0356108620762825, 0.035207610577344894, 0.036906830966472626, 0.037108998745679855, 0.03702343627810478, 0.03895194083452225, 0.03771062195301056, 0.043107688426971436, 0.036537498235702515, 0.04358314350247383, 0.03794137388467789, 0.046796802431344986, 0.03727216646075249, 0.045300669968128204, 0.03990723192691803, 0.03593716397881508, 0.045991670340299606, 0.04141375049948692, 0.04623774066567421, 0.037743180990219116, 0.03803250566124916];[-0.8250949382781982, -0.8281801342964172, -0.8225297331809998, -0.8274640440940857, -0.8323326706886292, -0.8340604305267334, -0.839618444442749, -0.8370007872581482, -0.8311399221420288, -0.8279486298561096, -0.8584862947463989, -0.8276368379592896, -0.8347107172012329, -0.8346700668334961, -0.8303975462913513, -0.838689923286438, -0.839200496673584, -0.868807315826416, -0.8274195790290833, -0.86098712682724, -0.8333542346954346, -0.8592391014099121, -0.8350394368171692, -0.8583253622055054, -0.8414247035980225, -0.8284090757369995, -0.8565192818641663, -0.8458002209663391, -0.8658043146133423, -0.8323493003845215, -0.8414543271064758];[0.43560758233070374, 0.4425557255744934, 0.4249317944049835, 0.4302908778190613, 0.4306979477405548, 0.4263177812099457, 0.4396663010120392, 0.4346584379673004, 0.4177965223789215, 0.45545199513435364, 0.4371543526649475, 0.44356322288513184, 0.4058297872543335, 0.4523114860057831, 0.4398565888404846, 0.43199023604393005, 0.4525114893913269, 0.4304099678993225, 0.4412468671798706, 0.40534698963165283, 0.4336337745189667, 0.45020464062690735, 0.437058687210083, 0.43636685609817505, 0.4617091715335846, 0.4342878460884094, 0.43540439009666443, 0.43430206179618835, 0.4214654862880707, 0.4543573260307312];1954.2035672664642
150;[0.7738230228424072, 0.7760605812072754, 0.7692359685897827, 0.7682297229766846, 0.7717458605766296, 0.7737354040145874, 0.7779746055603027, 0.7765552997589111, 0.7655371427536011, 0.772492527961731, 0.7707031965255737, 0.7705451250076294, 0.778789222240448, 0.7731719613075256, 0.77939772605896, 0.7711537480354309, 0.7828761339187622, 0.7749873995780945, 0.7738901376724243, 0.7724553346633911, 0.7815384864807129, 0.7813298106193542, 0.7782855033874512, 0.777029275894165, 0.7765480875968933, 0.7772790193557739, 0.7844640612602234, 0.7720575928688049, 0.7854765057563782, 0.7838106155395508, 0.7851281762123108];[0.0353887565433979, 0.036467619240283966, 0.03237712383270264, 0.03221907094120979, 0.035147447139024734, 0.03585764020681381, 0.03904706984758377, 0.03458143770694733, 0.0277705080807209, 0.031753212213516235, 0.031287964433431625, 0.030656548216938972, 0.03817445784807205, 0.03423687070608139, 0.03781506046652794, 0.031961604952812195, 0.04214111343026161, 0.03536972403526306, 0.0337776243686676, 0.031196849420666695, 0.0369577556848526, 0.03921502083539963, 0.036021459847688675, 0.035379454493522644, 0.035663411021232605, 0.03493640199303627, 0.0392962209880352, 0.030891330912709236, 0.04093450307846069, 0.04029557853937149, 0.03945937752723694];[-0.8276398181915283, -0.8339781165122986, -0.8202848434448242, -0.8223605155944824, -0.8273136019706726, -0.8316875696182251, -0.8410933613777161, -0.8256081938743591, -0.805999219417572, -0.8173783421516418, -0.8142699003219604, -0.8134670257568359, -0.8348814845085144, -0.8242897987365723, -0.8339035511016846, -0.8184399604797363, -0.8450368642807007, -0.8266553282737732, -0.8257818222045898, -0.8157965540885925, -0.8324040174484253, -0.8403929471969604, -0.8252760171890259, -0.8313121199607849, -0.8291195034980774, -0.8260475397109985, -0.8426035046577454, -0.81424880027771, -0.8417107462882996, -0.8459874391555786, -0.8496254682540894];[0.46959537267684937, 0.4491986334323883, 0.4235680103302002, 0.40984809398651123, 0.43505263328552246, 0.4311753809452057, 0.4356052875518799, 0.4266375005245209, 0.4539912939071655, 0.43286561965942383, 0.4383801221847534, 0.427277147769928, 0.42919570207595825, 0.4345872104167938, 0.42948901653289795, 0.4248928129673004, 0.42963168025016785, 0.3910575211048126, 0.41997191309928894, 0.4374530613422394, 0.4343169927597046, 0.4281623065471649, 0.41076016426086426, 0.4277355968952179, 0.429856538772583, 0.4336584508419037, 0.432125985622406, 0.4224250614643097, 0.43444570899009705, 0.41835492849349976];1947.270324230194
200;[0.7712486386299133, 0.7733559608459473, 0.7769016027450562, 0.7682929039001465, 0.7781770825386047, 0.7787466645240784, 0.7826542258262634, 0.7803881764411926, 0.7746562361717224, 0.7717243432998657, 0.7788917422294617, 0.7758264541625977, 0.7706835865974426, 0.7797443866729736, 0.7776082754135132, 0.7819013595581055, 0.7786253690719604, 0.7713521122932434, 0.7770403027534485, 0.7854138016700745, 0.7812835574150085, 0.7777648568153381, 0.7820554971694946, 0.7783939242362976, 0.7709574699401855, 0.776673436164856, 0.777274489402771, 0.780275821685791, 0.7750375270843506, 0.7789024114608765, 0.7783547043800354];[0.03644751384854317, 0.039318330585956573, 0.03676178678870201, 0.03305080905556679, 0.03608625754714012, 0.03806820884346962, 0.040596745908260345, 0.03624681010842323, 0.03492971882224083, 0.032130029052495956, 0.03801580145955086, 0.03595881536602974, 0.031209083274006844, 0.03876218572258949, 0.03627695515751839, 0.03833035007119179, 0.03706655651330948, 0.02953067049384117, 0.03443588688969612, 0.03961925953626633, 0.03718908876180649, 0.03415099158883095, 0.03813156485557556, 0.03162509575486183, 0.03090657852590084, 0.0338980108499527, 0.0324724018573761, 0.03503640368580818, 0.03151511400938034, 0.03409351035952568, 0.033127766102552414];[-0.8304311633110046, -0.8392861485481262, -0.8390169143676758, -0.8182017207145691, -0.8390297889709473, -0.8359425067901611, -0.848164439201355, -0.8294578790664673, -0.8254756331443787, -0.8191518187522888, -0.833659827709198, -0.8318639993667603, -0.8153472542762756, -0.8396283388137817, -0.8299527168273926, -0.839308500289917, -0.8361888527870178, -0.8147082328796387, -0.8312024474143982, -0.844412088394165, -0.8334850072860718, -0.8305123448371887, -0.8435803055763245, -0.8144746422767639, -0.81349116563797, -0.8216683268547058, -0.8242363929748535, -0.8277891278266907, -0.8191365599632263, -0.823035478591919, -0.8203215003013611];[0.41035547852516174, 0.4607775807380676, 0.4112567901611328, 0.4462154805660248, 0.4303413927555084, 0.4221382439136505, 0.4223842918872833, 0.4361323118209839, 0.4465123116970062, 0.4144054651260376, 0.43494072556495667, 0.4498257339000702, 0.45340341329574585, 0.44154033064842224, 0.4198646545410156, 0.43783536553382874, 0.41671645641326904, 0.4267069399356842, 0.4187960922718048, 0.41119614243507385, 0.43300965428352356, 0.4133375883102417, 0.4380399286746979, 0.4101150929927826, 0.4099363386631012, 0.4210723638534546, 0.41580820083618164, 0.4210893511772156, 0.4147661030292511, 0.40083372592926025];1943.9731032848358
250;[0.7790236473083496, 0.7776241898536682, 0.7772752642631531, 0.772891104221344, 0.7843134999275208, 0.7780887484550476, 0.7811316847801208, 0.7763117551803589, 0.777651846408844, 0.7794162034988403, 0.769083559513092, 0.7819218635559082, 0.7887035012245178, 0.7826521992683411, 0.7806644439697266, 0.7843907475471497, 0.7757721543312073, 0.7835983633995056, 0.7829599380493164, 0.7790465354919434, 0.7774350643157959, 0.7849019765853882, 0.7932426929473877, 0.777480959892273, 0.7854740023612976, 0.7932035326957703, 0.7775614261627197, 0.7952666878700256, 0.7821548581123352, 0.7813905477523804, 0.7770412564277649];[0.04095490276813507, 0.041536811739206314, 0.03592162951827049, 0.03437216579914093, 0.04345368966460228, 0.037473466247320175, 0.03615010157227516, 0.03551739826798439, 0.03496190905570984, 0.03860689699649811, 0.030349552631378174, 0.040667083114385605, 0.04548140615224838, 0.03815449774265289, 0.040159448981285095, 0.042680639773607254, 0.03405609726905823, 0.04065489396452904, 0.03952661529183388, 0.03725761920213699, 0.03557701036334038, 0.03968149796128273, 0.04676080495119095, 0.036658693104982376, 0.04426264017820358, 0.04647787660360336, 0.03673654794692993, 0.04859204962849617, 0.038164976984262466, 0.039700161665678024, 0.035463303327560425];[-0.8494722843170166, -0.8512614965438843, -0.8304685354232788, -0.8239335417747498, -0.8743124008178711, -0.8338213562965393, -0.8398054242134094, -0.8246808052062988, -0.8238670825958252, -0.835951566696167, -0.8152727484703064, -0.8468554615974426, -0.8576593995094299, -0.8570820093154907, -0.8421692252159119, -0.8507631421089172, -0.8258704543113708, -0.8409905433654785, -0.8366972804069519, -0.8331575393676758, -0.830604076385498, -0.8415428996086121, -0.8610017895698547, -0.8309024572372437, -0.8518591523170471, -0.8620858192443848, -0.8303022384643555, -0.8677412867546082, -0.8352434635162354, -0.8358411192893982, -0.8260063529014587];[0.43426933884620667, 0.42701849341392517, 0.4076116979122162, 0.4346320927143097, 0.4307553768157959, 0.4379940927028656, 0.41616562008857727, 0.416826069355011, 0.4219609797000885, 0.43504878878593445, 0.4203207492828369, 0.4216460585594177, 0.4229372441768646, 0.4246426224708557, 0.42506441473960876, 0.40842655301094055, 0.4450973570346832, 0.4298478662967682, 0.43081435561180115, 0.434413880109787, 0.4350539445877075, 0.4132795035839081, 0.4272201657295227, 0.41841375827789307, 0.4311791956424713, 0.44244346022605896, 0.4211318790912628, 0.4358019530773163, 0.4373828172683716, 0.42240405082702637];1938.234764099121
300;[0.7677474617958069, 0.7698363065719604, 0.7776279449462891, 0.7734637260437012, 0.7792714834213257, 0.7735764384269714, 0.7731041312217712, 0.7745073437690735, 0.7705813646316528, 0.7742558717727661, 0.7726297974586487, 0.7734382748603821, 0.7861310839653015, 0.775994062423706, 0.7811875939369202, 0.7828521728515625, 0.7761256098747253, 0.7721505761146545, 0.7740154266357422, 0.7789777517318726, 0.7820461392402649, 0.785529375076294, 0.7765652537345886, 0.780771017074585, 0.7810845971107483, 0.7825347781181335, 0.782077431678772, 0.7776139378547668, 0.7790595293045044, 0.7826905250549316, 0.7818825840950012];[0.03291848674416542, 0.032639943063259125, 0.03866029530763626, 0.03419081121683121, 0.04083690047264099, 0.03411974385380745, 0.032951463013887405, 0.03671374171972275, 0.03159276023507118, 0.0341109037399292, 0.03195209801197052, 0.03343841806054115, 0.03884561359882355, 0.033947400748729706, 0.03869811072945595, 0.04207422584295273, 0.03320406749844551, 0.030763668939471245, 0.02998971939086914, 0.03625497221946716, 0.03877326846122742, 0.04227617010474205, 0.033235322684049606, 0.03829658776521683, 0.03585207089781761, 0.03758907690644264, 0.035262927412986755, 0.03616385534405708, 0.03426142409443855, 0.03512721508741379, 0.03455471247434616];[-0.821944534778595, -0.818436861038208, -0.8346419930458069, -0.824450671672821, -0.8388040661811829, -0.8260998129844666, -0.8200064897537231, -0.8304254412651062, -0.8172856569290161, -0.8217220306396484, -0.8173276782035828, -0.8242052793502808, -0.8630340099334717, -0.8220786452293396, -0.8407178521156311, -0.8451617360115051, -0.8244859576225281, -0.8147662281990051, -0.813308835029602, -0.8325114846229553, -0.8447485566139221, -0.8603488802909851, -0.8213062286376953, -0.8432220220565796, -0.8343185186386108, -0.836012065410614, -0.8290740847587585, -0.8316581845283508, -0.8243404626846313, -0.8293805718421936, -0.8292932510375977];[0.4320686161518097, 0.4425981342792511, 0.45573481917381287, 0.4306308627128601, 0.4483878016471863, 0.43334951996803284, 0.43135103583335876, 0.4114573299884796, 0.4154035151004791, 0.4252708852291107, 0.4356723725795746, 0.41962382197380066, 0.416750967502594, 0.4248588979244232, 0.4348466694355011, 0.42439159750938416, 0.3969716429710388, 0.4089980125427246, 0.42094171047210693, 0.40592119097709656, 0.41816410422325134, 0.4364767074584961, 0.44674912095069885, 0.4099404215812683, 0.4275333881378174, 0.40874722599983215, 0.4305412471294403, 0.415924996137619, 0.4208851456642151, 0.4167855381965637];1956.8160469532013
350;[0.7704355716705322, 0.7771925926208496, 0.774919331073761, 0.777678906917572, 0.7719337344169617, 0.7678656578063965, 0.777804434299469, 0.7783481478691101, 0.7763917446136475, 0.7757313847541809, 0.7755013108253479, 0.781413733959198, 0.7655566930770874, 0.7737002968788147, 0.7874104976654053, 0.7854836583137512, 0.7744848132133484, 0.7788085341453552, 0.7856888175010681, 0.7926185727119446, 0.77792888879776, 0.7827470898628235, 0.7736683487892151, 0.7795482277870178, 0.7765815854072571, 0.7858994007110596, 0.7868682146072388, 0.7867763638496399, 0.7875387072563171, 0.7862852811813354, 0.781684398651123];[0.03398638591170311, 0.03876546025276184, 0.03787343576550484, 0.03753511980175972, 0.03354274109005928, 0.03186584636569023, 0.03754360228776932, 0.03673340007662773, 0.03725559636950493, 0.034242913126945496, 0.03179100528359413, 0.038583215326070786, 0.02773977257311344, 0.031558405607938766, 0.040752798318862915, 0.0401439294219017, 0.030607907101511955, 0.035071685910224915, 0.037642594426870346, 0.04434864595532417, 0.03127777576446533, 0.03883030638098717, 0.03186076506972313, 0.03468593955039978, 0.03342796862125397, 0.038553040474653244, 0.03933092579245567, 0.040012434124946594, 0.040471117943525314, 0.039986517280340195, 0.03593156114220619];[-0.8258494138717651, -0.8409044146537781, -0.8361579775810242, -0.833890974521637, -0.8212646842002869, -0.8146311044692993, -0.8427338600158691, -0.8356051445007324, -0.8332316875457764, -0.8198733329772949, -0.8184673190116882, -0.836362898349762, -0.8070644736289978, -0.817842960357666, -0.8443029522895813, -0.8476256728172302, -0.816243052482605, -0.8284251689910889, -0.8356439471244812, -0.888409435749054, -0.8184319734573364, -0.8426056504249573, -0.8208451867103577, -0.8293718099594116, -0.8241070508956909, -0.8394640684127808, -0.8394232988357544, -0.8415383100509644, -0.8438308835029602, -0.8477545976638794, -0.8260599970817566];[0.44662362337112427, 0.43630990386009216, 0.43995556235313416, 0.43058130145072937, 0.4321432113647461, 0.41369935870170593, 0.434237003326416, 0.43181973695755005, 0.4402599036693573, 0.4272412657737732, 0.41823673248291016, 0.4170020520687103, 0.42404311895370483, 0.4103245139122009, 0.4265489876270294, 0.41400423645973206, 0.4024049639701843, 0.42271870374679565, 0.42816659808158875, 0.434905081987381, 0.4063151478767395, 0.41033169627189636, 0.4121207892894745, 0.43693017959594727, 0.428252249956131, 0.4388662576675415, 0.4033326208591461, 0.4535957872867584, 0.40166768431663513, 0.41419288516044617];1949.5921568870544
400;[0.7718713283538818, 0.7733016014099121, 0.7713887691497803, 0.771132230758667, 0.7694839239120483, 0.7769182324409485, 0.770554780960083, 0.7740231156349182, 0.7623611688613892, 0.7707039713859558, 0.7671035528182983, 0.7725517749786377, 0.7651506066322327, 0.766751229763031, 0.7655602693557739, 0.7614140510559082, 0.773006021976471, 0.7652778029441833, 0.7666242718696594, 0.7618274092674255, 0.7691782712936401, 0.7687647938728333, 0.7666760683059692, 0.7652245163917542, 0.7642698884010315, 0.7698974609375, 0.7717467546463013, 0.7655072808265686, 0.7566407322883606, 0.7664511799812317, 0.7649792432785034];[0.038732193410396576, 0.034501127898693085, 0.03310022130608559, 0.033477090299129486, 0.03243199363350868, 0.039725083857774734, 0.03207762911915779, 0.033497754484415054, 0.026670292019844055, 0.03232886642217636, 0.0282185897231102, 0.03277880698442459, 0.027736546471714973, 0.028725281357765198, 0.026659803465008736, 0.023353271186351776, 0.03049972467124462, 0.028020229190587997, 0.028785137459635735, 0.024107525125145912, 0.028428247198462486, 0.027839642018079758, 0.02688361331820488, 0.023557791486382484, 0.023890841752290726, 0.02845166064798832, 0.029698623344302177, 0.025256186723709106, 0.019085627049207687, 0.026544198393821716, 0.021537529304623604];[-0.8386055827140808, -0.8260599970817566, -0.8202540278434753, -0.8242533206939697, -0.8186632394790649, -0.8431572318077087, -0.8232720494270325, -0.8217096924781799, -0.8015952110290527, -0.8196286559104919, -0.8075622916221619, -0.8304119110107422, -0.8008846640586853, -0.8115924000740051, -0.7997500896453857, -0.7963030338287354, -0.834136426448822, -0.8072556853294373, -0.8103230595588684, -0.7978386282920837, -0.8122532963752747, -0.8029525876045227, -0.804909884929657, -0.7936728596687317, -0.7935060262680054, -0.8043165802955627, -0.811427891254425, -0.8000237941741943, -0.7806529402732849, -0.805372953414917, -0.7893431186676025];[0.40687501430511475, 0.4342222213745117, 0.4197006821632385, 0.4428253471851349, 0.4246547222137451, 0.4299792945384979, 0.43039727210998535, 0.4386368691921234, 0.4468827247619629, 0.4039638638496399, 0.4281647801399231, 0.4313035011291504, 0.40913155674934387, 0.44437387585639954, 0.4242929220199585, 0.43221378326416016, 0.4320603609085083, 0.45771434903144836, 0.4165390729904175, 0.4283353388309479, 0.4246982932090759, 0.41979122161865234, 0.41294214129447937, 0.4454723000526428, 0.4250270128250122, 0.4268552362918854, 0.4445635676383972, 0.4300306737422943, 0.41100242733955383, 0.4128759205341339];1939.3661558628082
450;[0.7701276540756226, 0.768836259841919, 0.7750465273857117, 0.7721844911575317, 0.7709850668907166, 0.7689809799194336, 0.7728262543678284, 0.7689495086669922, 0.7776809930801392, 0.7714537978172302, 0.775658130645752, 0.7704290151596069, 0.7732409834861755, 0.7696027159690857, 0.7776125073432922, 0.768848180770874, 0.7716951370239258, 0.7604743242263794, 0.7681201100349426, 0.7784885168075562, 0.7739226818084717, 0.7764134407043457, 0.7655186057090759, 0.7686482667922974, 0.7801532745361328, 0.7674124240875244, 0.7801132202148438, 0.7715122699737549, 0.778428316116333, 0.7699978351593018, 0.7759671211242676];[0.03517783433198929, 0.0337233766913414, 0.037567708641290665, 0.03373871371150017, 0.0346168652176857, 0.03361811861395836, 0.03802581503987312, 0.03309943154454231, 0.03977731987833977, 0.035535190254449844, 0.040307894349098206, 0.03271027281880379, 0.03437428921461105, 0.03596637770533562, 0.04000145569443703, 0.03281252831220627, 0.03384464234113693, 0.026979977265000343, 0.029743120074272156, 0.040300413966178894, 0.03425423800945282, 0.038874316960573196, 0.031650807708501816, 0.03254154324531555, 0.04149719327688217, 0.03309664875268936, 0.041413985192775726, 0.032244451344013214, 0.038177646696567535, 0.03496360033750534, 0.037747398018836975];[-0.8249574303627014, -0.8232424259185791, -0.8341563940048218, -0.8241269588470459, -0.8327211141586304, -0.8186891078948975, -0.8326597213745117, -0.8186962604522705, -0.8396275043487549, -0.8264926671981812, -0.8444985151290894, -0.8187659382820129, -0.830177366733551, -0.8321779370307922, -0.8417903184890747, -0.8252220749855042, -0.8205766677856445, -0.8014377951622009, -0.8140960335731506, -0.8510981798171997, -0.823758602142334, -0.8380489945411682, -0.8165611028671265, -0.8185621500015259, -0.8506919145584106, -0.8183495998382568, -0.8553751707077026, -0.8239942789077759, -0.8336347937583923, -0.8258488774299622, -0.834751307964325];[0.40579500794410706, 0.4315238893032074, 0.43366318941116333, 0.4245687425136566, 0.4423232078552246, 0.4196430742740631, 0.4310603439807892, 0.43858930468559265, 0.43196767568588257, 0.42879071831703186, 0.43854379653930664, 0.3936663269996643, 0.4283209443092346, 0.43457794189453125, 0.4236754775047302, 0.4424208998680115, 0.4346718192100525, 0.4334924817085266, 0.4500245153903961, 0.43161582946777344, 0.44616928696632385, 0.4202526807785034, 0.42228367924690247, 0.4323585033416748, 0.4363083839416504, 0.4544486701488495, 0.4828593134880066, 0.4244631826877594, 0.43490663170814514, 0.43571406602859497];1949.5891373157501
500;[0.7742420434951782, 0.7703443765640259, 0.7881498336791992, 0.7812734246253967, 0.7725253701210022, 0.7749205231666565, 0.7805407643318176, 0.7705535888671875, 0.7715195417404175, 0.7707812786102295, 0.7667680978775024, 0.7700096368789673, 0.769717276096344, 0.775537371635437, 0.7675043940544128, 0.7736654877662659, 0.7740257382392883, 0.7717145681381226, 0.7768793702125549, 0.775658369064331, 0.7711304426193237, 0.7738025784492493, 0.7694627642631531, 0.7832347750663757, 0.7731146812438965, 0.7783028483390808, 0.7876606583595276, 0.7769520282745361, 0.7853689193725586, 0.7713276147842407, 0.7770026326179504];[0.036258865147829056, 0.03433667868375778, 0.04351692274212837, 0.03774112090468407, 0.032135821878910065, 0.03267775475978851, 0.03772349655628204, 0.031008785590529442, 0.03126092627644539, 0.029933514073491096, 0.025708677247166634, 0.03177085146307945, 0.03025864250957966, 0.03309544175863266, 0.0251179076731205, 0.02921619638800621, 0.03140048682689667, 0.02831288054585457, 0.03117324411869049, 0.0315314419567585, 0.027866961434483528, 0.030057186260819435, 0.02799651026725769, 0.036810003221035004, 0.029290853068232536, 0.03390255197882652, 0.041526082903146744, 0.0319327712059021, 0.038144659250974655, 0.028111126273870468, 0.03261680528521538];[-0.8328738808631897, -0.8248859643936157, -0.869256854057312, -0.8344491124153137, -0.8149158358573914, -0.8209581971168518, -0.8322931528091431, -0.8149396777153015, -0.820036768913269, -0.8135573267936707, -0.8029824495315552, -0.8210301399230957, -0.8116980791091919, -0.8198582530021667, -0.7999849915504456, -0.8133181929588318, -0.8130674362182617, -0.8084293603897095, -0.815933108329773, -0.813997209072113, -0.8101058602333069, -0.8122676610946655, -0.8079469203948975, -0.8350090384483337, -0.8105384707450867, -0.8305743336677551, -0.8518581390380859, -0.8191174864768982, -0.8390787243843079, -0.8078450560569763, -0.8213397264480591];[0.44624051451683044, 0.4622343182563782, 0.426541805267334, 0.4423770010471344, 0.4237270951271057, 0.4288581609725952, 0.4168602526187897, 0.4317212402820587, 0.43112266063690186, 0.4253700077533722, 0.42765942215919495, 0.4307958483695984, 0.4538348615169525, 0.4294171929359436, 0.43726029992103577, 0.4514707624912262, 0.4162459373474121, 0.4222725033760071, 0.40542545914649963, 0.4437628984451294, 0.4222608506679535, 0.41001254320144653, 0.43433594703674316, 0.4173547923564911, 0.437764048576355, 0.4074690341949463, 0.42163169384002686, 0.41360267996788025, 0.4085733890533447, 0.42460736632347107];1944.97749710083
