Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7842594385147095, 0.7767175436019897, 0.7727997303009033, 0.7747898697853088, 0.773417592048645, 0.7754133343696594, 0.7732993960380554, 0.7780538201332092, 0.7747130393981934, 0.7671236395835876, 0.7662450075149536, 0.7706267833709717, 0.7738106846809387, 0.7694170475006104, 0.7703649401664734, 0.7766265273094177, 0.7832177877426147, 0.7766832709312439, 0.7815095782279968, 0.7755054235458374, 0.7808745503425598, 0.7753471732139587, 0.7784122824668884, 0.7727110981941223, 0.7764511704444885, 0.7766402363777161, 0.7778360247612, 0.783263087272644, 0.7774975299835205, 0.7789177298545837];[0.04275934398174286, 0.043501533567905426, 0.03655531257390976, 0.03502989560365677, 0.038027890026569366, 0.03495395556092262, 0.03583027049899101, 0.03401386737823486, 0.03815993294119835, 0.03381085768342018, 0.027297593653202057, 0.02677159197628498, 0.03008873388171196, 0.0311786700040102, 0.02637714333832264, 0.030346903949975967, 0.032738182693719864, 0.0391145795583725, 0.034012023359537125, 0.03583263233304024, 0.03261741250753403, 0.03463262692093849, 0.03371475264430046, 0.03406689316034317, 0.028234248980879784, 0.03299957886338234, 0.03531394153833389, 0.030075551941990852, 0.0353512279689312, 0.03338205814361572, 0.032430071383714676];[-0.8513761162757874, -0.8641231656074524, -0.8318409323692322, -0.825924277305603, -0.8381655812263489, -0.8284820914268494, -0.8276742100715637, -0.823919415473938, -0.8346049785614014, -0.8198702335357666, -0.8048233389854431, -0.8039072751998901, -0.8139721751213074, -0.8159605860710144, -0.8039348125457764, -0.8203109502792358, -0.8299947381019592, -0.8408513069152832, -0.823409914970398, -0.8288922905921936, -0.8165786862373352, -0.8314013481140137, -0.8210669755935669, -0.8197728991508484, -0.8034626245498657, -0.819705605506897, -0.8263056874275208, -0.813863217830658, -0.831295907497406, -0.8271967172622681, -0.8178194165229797];[0.4498543441295624, 0.42995062470436096, 0.41898831725120544, 0.4235381782054901, 0.4437769055366516, 0.4273042380809784, 0.430524617433548, 0.42011353373527527, 0.43610459566116333, 0.41904911398887634, 0.4237801134586334, 0.4186400771141052, 0.42322325706481934, 0.43876558542251587, 0.42845669388771057, 0.4023941457271576, 0.45060330629348755, 0.4218437969684601, 0.4147406220436096, 0.425822377204895, 0.4246748387813568, 0.434949666261673, 0.4036998152732849, 0.4208747148513794, 0.40859872102737427, 0.4103648364543915, 0.4179256856441498, 0.42486289143562317, 0.42635834217071533, 0.423814058303833];2034.888595342636
100;[0.7740078568458557, 0.77143394947052, 0.7732639908790588, 0.773213803768158, 0.7738407254219055, 0.7779162526130676, 0.775516927242279, 0.7778133749961853, 0.777176022529602, 0.7734537124633789, 0.7810713052749634, 0.778462290763855, 0.7802876830101013, 0.7789607048034668, 0.7798250317573547, 0.7901418805122375, 0.7794699668884277, 0.7791965007781982, 0.7800043821334839, 0.7770401835441589, 0.7797399759292603, 0.7890269756317139, 0.7791197299957275, 0.7890453338623047, 0.7820771932601929, 0.7857619524002075, 0.790313184261322, 0.7856398820877075, 0.7930738925933838, 0.7931811809539795, 0.7839948534965515];[0.03575695678591728, 0.03515258803963661, 0.034611061215400696, 0.03864581882953644, 0.03688737377524376, 0.038236066699028015, 0.035124585032463074, 0.03578081727027893, 0.034737393260002136, 0.03435555100440979, 0.03572724759578705, 0.0346442274749279, 0.03503667190670967, 0.0374375618994236, 0.036305416375398636, 0.04696251079440117, 0.03638192266225815, 0.0340556837618351, 0.036029916256666183, 0.037985675036907196, 0.03569713979959488, 0.04255535826086998, 0.035676032304763794, 0.03963393718004227, 0.039529792964458466, 0.038180261850357056, 0.04234118014574051, 0.04166935384273529, 0.04392903298139572, 0.045842766761779785, 0.038136474788188934];[-0.8250949382781982, -0.8250537514686584, -0.8256947994232178, -0.8326038718223572, -0.8384460210800171, -0.8445837497711182, -0.8279786109924316, -0.829136073589325, -0.828178346157074, -0.8272063732147217, -0.8508347868919373, -0.8260992169380188, -0.8316143155097961, -0.8354660868644714, -0.831133246421814, -0.8605107069015503, -0.8337592482566833, -0.8292897939682007, -0.82964026927948, -0.8324434161186218, -0.8267673850059509, -0.8454478979110718, -0.8294811844825745, -0.9478912353515625, -0.8393673300743103, -0.8399721384048462, -0.8459570407867432, -0.8456939458847046, -0.8582221269607544, -0.8581147789955139, -0.842165470123291];[0.43560758233070374, 0.4347832500934601, 0.4262165129184723, 0.4421658217906952, 0.42787647247314453, 0.42884495854377747, 0.397980660200119, 0.4259413182735443, 0.40534672141075134, 0.41641074419021606, 0.44194209575653076, 0.4250876009464264, 0.41659653186798096, 0.4329163134098053, 0.4312969744205475, 0.42387625575065613, 0.4208015203475952, 0.41637110710144043, 0.42025986313819885, 0.41297152638435364, 0.41491246223449707, 0.42060571908950806, 0.444469153881073, 0.4296160042285919, 0.4387303292751312, 0.42316415905952454, 0.43497100472450256, 0.4351290464401245, 0.44743573665618896, 0.42397794127464294];2012.2393362522125
150;[0.7738230228424072, 0.7714573740959167, 0.7710403203964233, 0.7747890949249268, 0.7717759013175964, 0.7770972847938538, 0.7791867852210999, 0.7863927483558655, 0.7664610147476196, 0.7843606472015381, 0.7720757126808167, 0.776695966720581, 0.7797568440437317, 0.7809938788414001, 0.7813234925270081, 0.7677400708198547, 0.783795177936554, 0.7876047492027283, 0.7733454704284668, 0.7726778388023376, 0.7828966379165649, 0.7774549722671509, 0.7785143256187439, 0.7803874015808105, 0.7750265598297119, 0.7886306047439575, 0.7858824133872986, 0.7768044471740723, 0.7885041236877441, 0.7812641859054565, 0.7890426516532898];[0.0353887565433979, 0.0324864387512207, 0.03462529927492142, 0.03654983267188072, 0.03640523552894592, 0.0376184843480587, 0.04108491539955139, 0.04529702290892601, 0.03012450411915779, 0.04464544355869293, 0.03316798433661461, 0.03949027881026268, 0.03966560214757919, 0.03958895057439804, 0.03923758864402771, 0.029126040637493134, 0.04252515733242035, 0.040439244359731674, 0.03386202082037926, 0.032454270869493484, 0.03589899092912674, 0.03326515108346939, 0.03477875515818596, 0.03583265468478203, 0.03290615603327751, 0.04145202413201332, 0.03897596523165703, 0.033888060599565506, 0.04181467369198799, 0.03924574702978134, 0.041309744119644165];[-0.8276398181915283, -0.8188016414642334, -0.8242924809455872, -0.8310407996177673, -0.8345283269882202, -0.8430713415145874, -0.8433588743209839, -0.8621881604194641, -0.8124996423721313, -0.8518846035003662, -0.8226667046546936, -0.8383435010910034, -0.843999445438385, -0.8421179056167603, -0.8437049388885498, -0.8069223165512085, -0.8458683490753174, -0.8890349268913269, -0.8295511603355408, -0.8190489411354065, -0.8315688967704773, -0.8215724229812622, -0.8235623836517334, -0.8387063145637512, -0.8202291131019592, -0.8590573668479919, -0.8404117226600647, -0.828737199306488, -0.8489531874656677, -0.8415115475654602, -0.8479966521263123];[0.46959537267684937, 0.43550312519073486, 0.4322707951068878, 0.4383865296840668, 0.426753431558609, 0.44025272130966187, 0.4336753785610199, 0.4224662184715271, 0.4240730404853821, 0.4185234308242798, 0.4157332479953766, 0.4189741313457489, 0.43938758969306946, 0.42508745193481445, 0.42758768796920776, 0.4159635603427887, 0.41853994131088257, 0.43267011642456055, 0.4101698696613312, 0.44528838992118835, 0.4469875991344452, 0.4153849482536316, 0.4164297878742218, 0.42686089873313904, 0.4135943353176117, 0.4121341407299042, 0.3958815634250641, 0.4194348156452179, 0.4156932234764099, 0.42855703830718994];2013.3179972171783
200;[0.7712486386299133, 0.7667788863182068, 0.7785212397575378, 0.7724099159240723, 0.7803254127502441, 0.7740074992179871, 0.7834032773971558, 0.7721171975135803, 0.7736567854881287, 0.7747004628181458, 0.7771925926208496, 0.7672832012176514, 0.7667731046676636, 0.7767081260681152, 0.7752604484558105, 0.7769637107849121, 0.7800322771072388, 0.7788013219833374, 0.7780489921569824, 0.7852824330329895, 0.779434323310852, 0.7742224931716919, 0.7781111001968384, 0.7842509150505066, 0.7691041231155396, 0.7793620824813843, 0.7743887901306152, 0.7845398187637329, 0.7749630212783813, 0.7754003405570984, 0.7752801775932312];[0.03644751384854317, 0.0312481876462698, 0.03782666102051735, 0.03563149273395538, 0.03784628212451935, 0.0354820191860199, 0.041882675141096115, 0.03207020089030266, 0.036528605967760086, 0.03860630840063095, 0.03983384370803833, 0.02880650758743286, 0.03214825317263603, 0.036119475960731506, 0.03754698857665062, 0.035610225051641464, 0.039678845554590225, 0.03665246441960335, 0.03663291037082672, 0.04126226529479027, 0.03877836838364601, 0.03341773897409439, 0.03943317010998726, 0.040596961975097656, 0.03086661919951439, 0.037872906774282455, 0.031347617506980896, 0.0395810641348362, 0.033400218933820724, 0.032493267208337784, 0.03277617320418358];[-0.8304311633110046, -0.8140664100646973, -0.8359469771385193, -0.8259429931640625, -0.8419010043144226, -0.8254796266555786, -0.8549293279647827, -0.8179599642753601, -0.8290796875953674, -0.838877260684967, -0.843984067440033, -0.80784010887146, -0.8148474097251892, -0.8354527354240417, -0.834980845451355, -0.8328712582588196, -0.8403326869010925, -0.8331936597824097, -0.8299777507781982, -0.8473105430603027, -0.8371888399124146, -0.8242023587226868, -0.8391762971878052, -0.8420171141624451, -0.8142475485801697, -0.8395052552223206, -0.8170917630195618, -0.8405197858810425, -0.8221489191055298, -0.8176490664482117, -0.8210247755050659];[0.41035547852516174, 0.4356805682182312, 0.4420781135559082, 0.434876024723053, 0.4274769127368927, 0.4345766603946686, 0.44092240929603577, 0.4324856102466583, 0.4219798445701599, 0.4214100241661072, 0.42628246545791626, 0.433684378862381, 0.42947518825531006, 0.42564496397972107, 0.46886152029037476, 0.44063428044319153, 0.42394888401031494, 0.4215642213821411, 0.41637057065963745, 0.4346972107887268, 0.4159492552280426, 0.4238443374633789, 0.41886386275291443, 0.4235304594039917, 0.4249330163002014, 0.44322606921195984, 0.42932236194610596, 0.40749022364616394, 0.42911356687545776, 0.41278839111328125];2012.9839856624603
250;[0.7790236473083496, 0.7724100351333618, 0.7751291990280151, 0.7829021215438843, 0.7827652096748352, 0.7765772938728333, 0.7775070667266846, 0.7702137231826782, 0.7749172449111938, 0.7810143232345581, 0.7655531764030457, 0.7756153345108032, 0.7832130193710327, 0.7676724195480347, 0.7743226885795593, 0.7722834348678589, 0.7668291330337524, 0.7800078988075256, 0.7754754424095154, 0.7735989093780518, 0.7708459496498108, 0.7885932326316833, 0.7867497205734253, 0.7699469327926636, 0.7773775458335876, 0.77847820520401, 0.7697948813438416, 0.7788934111595154, 0.7769767642021179, 0.7830875515937805, 0.774743914604187];[0.04095490276813507, 0.03858264908194542, 0.034891460090875626, 0.04564876854419708, 0.042933203279972076, 0.037577200680971146, 0.03340548276901245, 0.03231009468436241, 0.03377484902739525, 0.039644863456487656, 0.02864246815443039, 0.035680677741765976, 0.04219645634293556, 0.029227448627352715, 0.0353570394217968, 0.03373568132519722, 0.027186809107661247, 0.038395170122385025, 0.03420013189315796, 0.03272007033228874, 0.03071041777729988, 0.04337618499994278, 0.04010579362511635, 0.02970617264509201, 0.03644796833395958, 0.03424544632434845, 0.029043376445770264, 0.03378412872552872, 0.03413212671875954, 0.039269790053367615, 0.033399175852537155];[-0.8494722843170166, -0.8398573398590088, -0.8244200944900513, -0.8583618402481079, -0.8799810409545898, -0.8331791758537292, -0.8305246829986572, -0.8179351091384888, -0.819467306137085, -0.8584531545639038, -0.8082993030548096, -0.8282525539398193, -0.8511794209480286, -0.8083855509757996, -0.8250119686126709, -0.8237241506576538, -0.8070866465568542, -0.8413485884666443, -0.8282909393310547, -0.8195357918739319, -0.8137587308883667, -0.8479915261268616, -0.8433742523193359, -0.8096029758453369, -0.8268059492111206, -0.8231950998306274, -0.8087517023086548, -0.8236010670661926, -0.8228248357772827, -0.8371245861053467, -0.8206480741500854];[0.43426933884620667, 0.43374019861221313, 0.43027061223983765, 0.4399935007095337, 0.48031556606292725, 0.4387742578983307, 0.4384324848651886, 0.4327453076839447, 0.4274648427963257, 0.4456283152103424, 0.433902382850647, 0.42874833941459656, 0.43815430998802185, 0.43963974714279175, 0.43518438935279846, 0.43118417263031006, 0.433394193649292, 0.422239750623703, 0.4200848639011383, 0.4184167981147766, 0.4315890669822693, 0.4107639789581299, 0.4160088002681732, 0.4288552701473236, 0.4154641032218933, 0.43728551268577576, 0.4208562970161438, 0.41613447666168213, 0.42099127173423767, 0.40815243124961853];2014.1096456050873
300;[0.7677474617958069, 0.7647877931594849, 0.778486430644989, 0.7739798426628113, 0.7836418747901917, 0.7817841172218323, 0.7772732377052307, 0.7811865210533142, 0.7763508558273315, 0.7864311337471008, 0.7799632549285889, 0.7861456274986267, 0.7924339771270752, 0.7874547243118286, 0.7846601605415344, 0.7786318063735962, 0.7805306911468506, 0.7850485444068909, 0.7790824770927429, 0.776101291179657, 0.7848859429359436, 0.7777048349380493, 0.7789940237998962, 0.7806391716003418, 0.7827318906784058, 0.7877510786056519, 0.7864440679550171, 0.7809850573539734, 0.780255138874054, 0.7832155227661133, 0.7870921492576599];[0.03291848674416542, 0.0266460832208395, 0.037780389189720154, 0.0322827585041523, 0.04096517339348793, 0.03865721821784973, 0.0345451794564724, 0.037764474749565125, 0.034032128751277924, 0.04007136821746826, 0.03619164600968361, 0.0427352674305439, 0.04260001331567764, 0.03935319185256958, 0.04019399359822273, 0.035246025770902634, 0.035424306988716125, 0.03878450393676758, 0.03129018470644951, 0.033878304064273834, 0.04139536991715431, 0.03346885368227959, 0.03498972952365875, 0.03924258425831795, 0.0371207520365715, 0.042369987815618515, 0.03917462378740311, 0.038669101893901825, 0.0356249064207077, 0.033797089010477066, 0.03591670095920563];[-0.821944534778595, -0.8033652305603027, -0.8363193869590759, -0.8192038536071777, -0.8430002927780151, -0.8400791883468628, -0.8245531320571899, -0.8432075381278992, -0.825756847858429, -0.837730348110199, -0.8296976089477539, -0.852515697479248, -0.8736962676048279, -0.8379625082015991, -0.8420854806900024, -0.8249022364616394, -0.8312909007072449, -0.8564560413360596, -0.8166452050209045, -0.8220534920692444, -0.8492721915245056, -0.8220118284225464, -0.824529767036438, -0.840212881565094, -0.832552433013916, -0.8444854021072388, -0.8385618925094604, -0.8349722027778625, -0.8255358338356018, -0.8231579661369324, -0.8379966616630554];[0.4320686161518097, 0.4535238742828369, 0.4483560025691986, 0.4245976507663727, 0.45238494873046875, 0.43208086490631104, 0.48443666100502014, 0.44919130206108093, 0.41546112298965454, 0.4335699677467346, 0.4112935960292816, 0.41982778906822205, 0.5106069445610046, 0.41550225019454956, 0.43167978525161743, 0.3987261652946472, 0.403362512588501, 0.42073240876197815, 0.4226468801498413, 0.4105106592178345, 0.4386199116706848, 0.4111706018447876, 0.41410619020462036, 0.41144946217536926, 0.4229194223880768, 0.40676483511924744, 0.40800410509109497, 0.418290376663208, 0.42006251215934753, 0.4055061936378479];2013.3704810142517
350;[0.7704355716705322, 0.7684709429740906, 0.7736212015151978, 0.7780090570449829, 0.7728601694107056, 0.7796648144721985, 0.7782420516014099, 0.7830232381820679, 0.7752169966697693, 0.7849725484848022, 0.7774760127067566, 0.7816169857978821, 0.768230676651001, 0.7850581407546997, 0.7888011932373047, 0.7918916940689087, 0.7781946063041687, 0.7824175357818604, 0.7894443869590759, 0.7826545238494873, 0.7797200083732605, 0.7848227620124817, 0.7774501442909241, 0.7883154153823853, 0.7816035747528076, 0.7773923873901367, 0.7896484732627869, 0.7923092246055603, 0.7901625037193298, 0.7880500555038452, 0.7883175611495972];[0.03398638591170311, 0.0319288894534111, 0.03731177747249603, 0.03828856348991394, 0.033607352524995804, 0.04110369831323624, 0.03800443187355995, 0.04038222134113312, 0.03623141348361969, 0.04098844155669212, 0.033501993864774704, 0.03776562958955765, 0.029740577563643456, 0.04233860597014427, 0.042882293462753296, 0.04716164991259575, 0.033043887466192245, 0.0380437858402729, 0.042478498071432114, 0.038413017988204956, 0.03449602425098419, 0.04024641215801239, 0.035753823816776276, 0.04528263583779335, 0.038798846304416656, 0.031932033598423004, 0.04396742209792137, 0.04831765592098236, 0.04493025317788124, 0.046508725732564926, 0.04299160838127136];[-0.8258494138717651, -0.8160369396209717, -0.8332642316818237, -0.8342128396034241, -0.8188605308532715, -0.8439939022064209, -0.8450307250022888, -0.8439289331436157, -0.8293247818946838, -0.8457107543945312, -0.8231457471847534, -0.8333443403244019, -0.809333860874176, -0.8476223945617676, -0.8497717380523682, -0.8634154796600342, -0.8209285736083984, -0.844572901725769, -0.8483768701553345, -0.8368659019470215, -0.8231140375137329, -0.8445862531661987, -0.8290019631385803, -0.8609609603881836, -0.8376104831695557, -0.8199498653411865, -0.8514893651008606, -0.8672935962677002, -0.8543606400489807, -0.8599000573158264, -0.8465495109558105];[0.44662362337112427, 0.4370273947715759, 0.45389848947525024, 0.4754749536514282, 0.42709603905677795, 0.43101024627685547, 0.43015947937965393, 0.42997393012046814, 0.4294920265674591, 0.43289053440093994, 0.4472641944885254, 0.41581249237060547, 0.3992128372192383, 0.4354175329208374, 0.4318491816520691, 0.41186630725860596, 0.4117937386035919, 0.4099230468273163, 0.42472967505455017, 0.41991889476776123, 0.4224868714809418, 0.4225194752216339, 0.4181533753871918, 0.39082270860671997, 0.4078451097011566, 0.41077080368995667, 0.4164808690547943, 0.4146951735019684, 0.41424116492271423, 0.3972373604774475];1996.4676804542542
400;[0.7718713283538818, 0.782788872718811, 0.7723658680915833, 0.7735521197319031, 0.7728426456451416, 0.7727231979370117, 0.7749263644218445, 0.7803122401237488, 0.7659066915512085, 0.77618008852005, 0.771285891532898, 0.7680759429931641, 0.7675060033798218, 0.7682367563247681, 0.7690753936767578, 0.7727978229522705, 0.7753404378890991, 0.7756897211074829, 0.7721174359321594, 0.7712036371231079, 0.7755594849586487, 0.7781922817230225, 0.7740724086761475, 0.7789016962051392, 0.7709639668464661, 0.7782493829727173, 0.7766087651252747, 0.7766216993331909, 0.7648104429244995, 0.7697836756706238, 0.7744309902191162];[0.038732193410396576, 0.0415583960711956, 0.033036887645721436, 0.0344163216650486, 0.033801931887865067, 0.0323917418718338, 0.03398343175649643, 0.03708701953291893, 0.028456581756472588, 0.03513341024518013, 0.030461370944976807, 0.029501115903258324, 0.02948937937617302, 0.02929971180856228, 0.028152374550700188, 0.032456785440444946, 0.03354770690202713, 0.0359872505068779, 0.032691627740859985, 0.03147519752383232, 0.03342302888631821, 0.03284869343042374, 0.031372252851724625, 0.034808382391929626, 0.028357842937111855, 0.03533322364091873, 0.03548191860318184, 0.03405909612774849, 0.024220256134867668, 0.027930712327361107, 0.029615456238389015];[-0.8386055827140808, -0.8451876044273376, -0.8228433728218079, -0.8269363641738892, -0.823273241519928, -0.8199384808540344, -0.8259514570236206, -0.8365522027015686, -0.8059314489364624, -0.8262675404548645, -0.8139954209327698, -0.8095760345458984, -0.8110431432723999, -0.8065577149391174, -0.8057862520217896, -0.8248762488365173, -0.8327024579048157, -0.8289409875869751, -0.8187309503555298, -0.8197659850120544, -0.8254567980766296, -0.8224731683731079, -0.8202660083770752, -0.8222578167915344, -0.8045765161514282, -0.828274130821228, -0.8249841332435608, -0.8206470012664795, -0.7957401871681213, -0.8087539672851562, -0.8090847730636597];[0.40687501430511475, 0.4482886791229248, 0.4455179274082184, 0.42375990748405457, 0.4277515113353729, 0.44080233573913574, 0.4468134343624115, 0.4225512146949768, 0.4254360795021057, 0.43591922521591187, 0.4240960478782654, 0.4308350682258606, 0.41606512665748596, 0.422953724861145, 0.42061546444892883, 0.427626371383667, 0.43257826566696167, 0.435348778963089, 0.4738548696041107, 0.4310559630393982, 0.4155077636241913, 0.4584929645061493, 0.44748345017433167, 0.45853692293167114, 0.4519559442996979, 0.43633222579956055, 0.4343329071998596, 0.4270505905151367, 0.4173591434955597, 0.42508500814437866];2008.2469551563263
450;[0.7701276540756226, 0.7672201991081238, 0.7732185125350952, 0.7723054885864258, 0.7702291011810303, 0.7622814774513245, 0.7742726802825928, 0.7830453515052795, 0.7771546244621277, 0.7724815607070923, 0.7753778100013733, 0.7691742777824402, 0.7737824320793152, 0.7698429822921753, 0.7778890132904053, 0.7731136679649353, 0.7706763744354248, 0.7726379632949829, 0.7677387595176697, 0.767642617225647, 0.7724889516830444, 0.7734756469726562, 0.7673038840293884, 0.7680265307426453, 0.7827768921852112, 0.7709461450576782, 0.7812005281448364, 0.7711278796195984, 0.7790354490280151, 0.765961766242981, 0.7753794193267822];[0.03517783433198929, 0.03113940730690956, 0.03542954474687576, 0.03508828580379486, 0.03190011531114578, 0.027787743136286736, 0.036494363099336624, 0.038648899644613266, 0.03718592971563339, 0.033189933747053146, 0.03692717105150223, 0.029015762731432915, 0.030098101124167442, 0.02926361933350563, 0.03544766083359718, 0.03101629577577114, 0.029278988018631935, 0.03271675854921341, 0.02566162310540676, 0.027212638407945633, 0.029256246984004974, 0.029638471081852913, 0.028590045869350433, 0.028340019285678864, 0.03954209014773369, 0.029933275654911995, 0.03836648166179657, 0.029713334515690804, 0.03401780501008034, 0.026412036269903183, 0.03255394101142883];[-0.8249574303627014, -0.8157903552055359, -0.8292827606201172, -0.8282618522644043, -0.8221461772918701, -0.8055422306060791, -0.830851137638092, -0.8448554277420044, -0.8312104940414429, -0.8295758962631226, -0.8342276811599731, -0.8072501420974731, -0.8129889369010925, -0.8083741068840027, -0.8250232338905334, -0.8282504081726074, -0.806535542011261, -0.8263643980026245, -0.799934446811676, -0.8054277300834656, -0.8104949593544006, -0.8151919841766357, -0.8081115484237671, -0.8069005012512207, -0.8419542908668518, -0.8174687623977661, -0.8383871912956238, -0.8148229718208313, -0.8223209977149963, -0.8023227453231812, -0.8248605728149414];[0.40579500794410706, 0.45830684900283813, 0.4368356466293335, 0.4583844840526581, 0.42930859327316284, 0.42744824290275574, 0.42765259742736816, 0.4275703728199005, 0.4235423803329468, 0.41814422607421875, 0.5233795642852783, 0.3894082009792328, 0.4140370488166809, 0.42343848943710327, 0.42468079924583435, 0.4166460931301117, 0.4147135317325592, 0.430743932723999, 0.4433911144733429, 0.4103679656982422, 0.42276859283447266, 0.44439101219177246, 0.41937369108200073, 0.4153737723827362, 0.4065677225589752, 0.42454981803894043, 0.4186341166496277, 0.3988712430000305, 0.41637876629829407, 0.44889867305755615];2002.6541368961334
500;[0.7742420434951782, 0.7691619396209717, 0.7859225869178772, 0.7746076583862305, 0.7701951861381531, 0.778688371181488, 0.776526927947998, 0.7703160643577576, 0.7684464454650879, 0.7674360275268555, 0.7640841007232666, 0.7627658247947693, 0.7670309543609619, 0.7723764777183533, 0.7670473456382751, 0.7707449197769165, 0.7742792963981628, 0.7751010060310364, 0.7782323956489563, 0.7637303471565247, 0.7698628902435303, 0.7744424343109131, 0.7698473334312439, 0.7705999612808228, 0.7745661735534668, 0.7797672748565674, 0.7879160642623901, 0.7847620248794556, 0.7861453294754028, 0.7735493779182434, 0.777791440486908];[0.036258865147829056, 0.03242327645421028, 0.04339735209941864, 0.03464089334011078, 0.03157160058617592, 0.037682656198740005, 0.03627575933933258, 0.03204451873898506, 0.03106440044939518, 0.030357874929904938, 0.027192365378141403, 0.028122318908572197, 0.030253911390900612, 0.031542327255010605, 0.02713821455836296, 0.03037838265299797, 0.032783087342977524, 0.03153681010007858, 0.034200698137283325, 0.02496347203850746, 0.02792757749557495, 0.030574006959795952, 0.02826092392206192, 0.02621351182460785, 0.029887447133660316, 0.03416880592703819, 0.042304761707782745, 0.038911473006010056, 0.03924757242202759, 0.030170010402798653, 0.03191930055618286];[-0.8328738808631897, -0.821778416633606, -0.864983320236206, -0.8248459696769714, -0.8149435520172119, -0.8468247056007385, -0.8297141194343567, -0.8200369477272034, -0.8166123628616333, -0.8139200210571289, -0.8078335523605347, -0.8048020601272583, -0.8133948445320129, -0.8196501731872559, -0.8055036067962646, -0.810298502445221, -0.8240624666213989, -0.8192489743232727, -0.8255351781845093, -0.7974958419799805, -0.8067046403884888, -0.8145869374275208, -0.8059905767440796, -0.8043827414512634, -0.8135027289390564, -0.8226854205131531, -0.8536354303359985, -0.8440687656402588, -0.8389288187026978, -0.8143301010131836, -0.8253641128540039];[0.44624051451683044, 0.4175463914871216, 0.43333157896995544, 0.4330819249153137, 0.4232325255870819, 0.42896851897239685, 0.46291324496269226, 0.4301193356513977, 0.4390537738800049, 0.42803213000297546, 0.44653457403182983, 0.46789923310279846, 0.42509618401527405, 0.4181126058101654, 0.4259989857673645, 0.43268871307373047, 0.4266619086265564, 0.41431736946105957, 0.43450430035591125, 0.4511714279651642, 0.44699400663375854, 0.4202389121055603, 0.43045535683631897, 0.41704487800598145, 0.4152916967868805, 0.43022459745407104, 0.4105949103832245, 0.40487417578697205, 0.40467369556427, 0.4074183702468872];1990.5526633262634
