Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[1.1691153049468994, 1.1692934036254883, 1.1762157678604126, 1.1975880861282349, 1.2082563638687134, 1.2130842208862305, 1.2159409523010254, 1.2031562328338623, 1.2006216049194336, 1.1958937644958496, 1.1851938962936401, 1.1913187503814697, 1.193260908126831, 1.1984047889709473, 1.1914409399032593, 1.1917870044708252, 1.1956048011779785, 1.1983495950698853, 1.1993099451065063, 1.2055357694625854, 1.2115925550460815, 1.2169727087020874, 1.2143226861953735, 1.2200438976287842, 1.201859951019287, 1.20371413230896, 1.2065534591674805, 1.1926372051239014, 1.2058484554290771, 1.1919138431549072, 1.2038424015045166];[0.09585244953632355, 0.09080854058265686, 0.08761908113956451, 0.10518661141395569, 0.11830015480518341, 0.12267176061868668, 0.12543612718582153, 0.11299464106559753, 0.10819312930107117, 0.10607638955116272, 0.10047628730535507, 0.1048508733510971, 0.10693515837192535, 0.11035498231649399, 0.1059190183877945, 0.10630619525909424, 0.10661088675260544, 0.10779029875993729, 0.11310320347547531, 0.1294037401676178, 0.13580866158008575, 0.1418599635362625, 0.14113809168338776, 0.14338596165180206, 0.1350233405828476, 0.13831016421318054, 0.14301489293575287, 0.12960989773273468, 0.14286936819553375, 0.13719765841960907, 0.1438928246498108];[-2.1586570739746094, -2.128359794616699, -2.038424491882324, -2.125859022140503, -2.2384283542633057, -2.2403366565704346, -2.2429587841033936, -2.15736985206604, -2.1350886821746826, -2.125162124633789, -2.0820560455322266, -2.0937845706939697, -2.10172176361084, -2.14471173286438, -2.125619888305664, -2.138249397277832, -2.1744110584259033, -2.1802501678466797, -2.2994778156280518, -2.4320461750030518, -2.5037364959716797, -2.580991744995117, -2.546111822128296, -2.5618107318878174, -2.502835273742676, -2.544468402862549, -2.5772705078125, -2.480806589126587, -2.6106512546539307, -2.5516645908355713, -2.5917739868164062];[0.4498543441295624, 0.41659998893737793, 0.36391139030456543, 0.33185648918151855, 0.2988455891609192, 0.30448445677757263, 0.2710717022418976, 0.2963259816169739, 0.30764493346214294, 0.31249794363975525, 0.2506740689277649, 0.2668749988079071, 0.25000229477882385, 0.25974491238594055, 0.2889585793018341, 0.30827271938323975, 0.31481504440307617, 0.32245126366615295, 0.44767817854881287, 0.5205185413360596, 0.44786280393600464, 0.5098756551742554, 0.4705992639064789, 0.5104007720947266, 0.5226660966873169, 0.5539897680282593, 0.6301908493041992, 0.6285737752914429, 0.5305964946746826, 0.514380156993866];1612.7106702327728
50;[1.6182197332382202, 1.6189028024673462, 1.625950813293457, 1.6487517356872559, 1.658873438835144, 1.6700873374938965, 1.6687424182891846, 1.6510004997253418, 1.6451976299285889, 1.6352704763412476, 1.6308057308197021, 1.6349306106567383, 1.636319875717163, 1.640903353691101, 1.6321109533309937, 1.6300480365753174, 1.629645586013794, 1.6253448724746704, 1.616945505142212, 1.632744312286377, 1.6276178359985352, 1.6427029371261597, 1.6399328708648682, 1.643726110458374, 1.6389740705490112, 1.6403666734695435, 1.6384660005569458, 1.636232614517212, 1.6411826610565186, 1.6450783014297485, 1.6359938383102417];[0.1960361897945404, 0.19253352284431458, 0.189487025141716, 0.2080717235803604, 0.22105395793914795, 0.22886201739311218, 0.22977568209171295, 0.21412189304828644, 0.20591047406196594, 0.20288531482219696, 0.20253868401050568, 0.2022739052772522, 0.20245866477489471, 0.2065308690071106, 0.2039419710636139, 0.20654872059822083, 0.21166296303272247, 0.2160361111164093, 0.2133161723613739, 0.2238001674413681, 0.22411730885505676, 0.22820647060871124, 0.2304467111825943, 0.2325555384159088, 0.22877348959445953, 0.23114699125289917, 0.23257125914096832, 0.22964897751808167, 0.23340460658073425, 0.23467609286308289, 0.23052100837230682];[-4.32171106338501, -4.245156764984131, -4.088491439819336, -4.298796653747559, -4.4768195152282715, -4.660000801086426, -4.612203598022461, -4.35659646987915, -4.288107872009277, -4.256928443908691, -4.247352123260498, -4.217196464538574, -4.2319536209106445, -4.285035610198975, -4.305797100067139, -4.427931308746338, -4.6209540367126465, -4.721789360046387, -4.736083030700684, -4.903120040893555, -4.9177374839782715, -5.008311748504639, -5.00199031829834, -5.040045738220215, -4.996359348297119, -5.060659885406494, -5.053705215454102, -5.036105155944824, -5.101691722869873, -5.108968257904053, -5.042257785797119];[0.4498543441295624, 0.4267663061618805, 0.3486914336681366, 0.3040409982204437, 0.2759976387023926, 0.22306901216506958, 0.22286227345466614, 0.24545058608055115, 0.2688557207584381, 0.3021412193775177, 0.3214419484138489, 0.30675411224365234, 0.28359007835388184, 0.258518785238266, 0.31802651286125183, 0.41929998993873596, 0.5151380896568298, 0.5217498540878296, 0.49724072217941284, 0.5178326964378357, 0.5164870619773865, 0.5062286853790283, 0.527864933013916, 0.32831019163131714, 0.4417274296283722, 0.5056681632995605, 0.5276884436607361, 0.43266963958740234, 0.4972672760486603, 0.6388278603553772];1564.9125247001648
100;[1.1636465787887573, 1.15371835231781, 1.168821930885315, 1.1759746074676514, 1.185787558555603, 1.1887990236282349, 1.1847846508026123, 1.1816411018371582, 1.1854479312896729, 1.1861193180084229, 1.2012583017349243, 1.2012159824371338, 1.2032475471496582, 1.206032395362854, 1.2076860666275024, 1.2105469703674316, 1.1991124153137207, 1.2104716300964355, 1.2100424766540527, 1.2173504829406738, 1.2291196584701538, 1.2491533756256104, 1.2414062023162842, 1.2542115449905396, 1.2428988218307495, 1.2477614879608154, 1.2542368173599243, 1.2533942461013794, 1.2563488483428955, 1.2564197778701782, 1.247666597366333];[0.09291034936904907, 0.09415816515684128, 0.0934554934501648, 0.10385756939649582, 0.10582061111927032, 0.10959018766880035, 0.09995856136083603, 0.09666768461465836, 0.1009799987077713, 0.10219983011484146, 0.11684084683656693, 0.11872787028551102, 0.12454172223806381, 0.13049465417861938, 0.13289345800876617, 0.13556578755378723, 0.12424685060977936, 0.1388162225484848, 0.13976497948169708, 0.1520387977361679, 0.15967749059200287, 0.17415694892406464, 0.1695106327533722, 0.17337751388549805, 0.17204929888248444, 0.1737373024225235, 0.18074262142181396, 0.17889359593391418, 0.18084846436977386, 0.17949779331684113, 0.1746310591697693];[-2.136005401611328, -2.158952474594116, -2.1356208324432373, -2.208611488342285, -2.2446956634521484, -2.2782256603240967, -2.184570074081421, -2.1519360542297363, -2.1865365505218506, -2.201974391937256, -2.374713182449341, -2.3598740100860596, -2.423736572265625, -2.459503650665283, -2.4842538833618164, -2.5058536529541016, -2.4060142040252686, -2.569537878036499, -2.543743133544922, -2.6699259281158447, -2.7317399978637695, -2.8587470054626465, -2.825458288192749, -3.0529494285583496, -2.8469598293304443, -2.8749353885650635, -2.9298107624053955, -2.926351547241211, -2.9450292587280273, -2.9743621349334717, -2.8951947689056396];[0.43560758233070374, 0.4600294828414917, 0.4231208562850952, 0.4494570195674896, 0.43375512957572937, 0.45073390007019043, 0.40833380818367004, 0.41482821106910706, 0.46669530868530273, 0.48079609870910645, 0.46651455760002136, 0.4924503564834595, 0.5360077023506165, 0.520007848739624, 0.5227017402648926, 0.5643997192382812, 0.5610206723213196, 0.4910680651664734, 0.38662996888160706, 0.3133232295513153, 0.1816774159669876, 0.1339969038963318, 0.11105969548225403, 0.1473911553621292, 0.1030467301607132, 0.07121755182743073, 0.05675458908081055, 0.058097224682569504, 0.053179558366537094, 0.051245324313640594];1581.4713819026947
100;[1.6148221492767334, 1.603476643562317, 1.6100741624832153, 1.6101696491241455, 1.6165416240692139, 1.6197880506515503, 1.6207387447357178, 1.6268510818481445, 1.6322894096374512, 1.6297608613967896, 1.648431658744812, 1.6424155235290527, 1.6477322578430176, 1.6521321535110474, 1.6532611846923828, 1.6548188924789429, 1.6515820026397705, 1.657687783241272, 1.6521103382110596, 1.6597150564193726, 1.6730743646621704, 1.6924906969070435, 1.6887203454971313, 1.7000410556793213, 1.6910698413848877, 1.6956652402877808, 1.6995151042938232, 1.6985324621200562, 1.6982662677764893, 1.7024726867675781, 1.6969832181930542];[0.19523769617080688, 0.20171955227851868, 0.1904551237821579, 0.18671832978725433, 0.1861141324043274, 0.18753796815872192, 0.18698543310165405, 0.19246351718902588, 0.19501730799674988, 0.1942732185125351, 0.2059575319290161, 0.2091464102268219, 0.21253348886966705, 0.21902897953987122, 0.2170991152524948, 0.21647018194198608, 0.21311622858047485, 0.22465987503528595, 0.22698770463466644, 0.2364661693572998, 0.24185040593147278, 0.2520197629928589, 0.2500009834766388, 0.25406938791275024, 0.25294315814971924, 0.253985732793808, 0.25718680024147034, 0.2564604878425598, 0.25619420409202576, 0.2571955621242523, 0.2556954026222229];[-4.304330825805664, -4.4653730392456055, -4.207428932189941, -4.063801288604736, -4.024439334869385, -4.00274658203125, -4.025121212005615, -4.119391918182373, -4.1688127517700195, -4.1787824630737305, -4.437837600708008, -4.510458469390869, -4.565463066101074, -4.715254783630371, -4.655049800872803, -4.625942230224609, -4.547227382659912, -4.8415398597717285, -4.8804612159729, -5.031039714813232, -5.163512229919434, -5.368272304534912, -5.346927165985107, -5.58089542388916, -5.390430450439453, -5.428599834442139, -5.469357013702393, -5.461493492126465, -5.4698638916015625, -5.530660629272461, -5.4770002365112305];[0.43560758233070374, 0.4702940881252289, 0.46169617772102356, 0.39016658067703247, 0.35881808400154114, 0.3793475925922394, 0.37364861369132996, 0.38664954900741577, 0.38649219274520874, 0.35861608386039734, 0.3805142045021057, 0.36980921030044556, 0.4319513738155365, 0.37605926394462585, 0.37180963158607483, 0.3811103403568268, 0.36217445135116577, 0.40708717703819275, 0.39369022846221924, 0.25326138734817505, 0.1622380167245865, 0.1085512712597847, 0.10062812268733978, 0.08235178142786026, 0.07690814137458801, 0.062152210623025894, 0.05669597163796425, 0.05268462374806404, 0.04828713834285736, 0.04399459809064865];1579.0547709465027
150;[1.1630229949951172, 1.1683979034423828, 1.1948580741882324, 1.220548391342163, 1.2453452348709106, 1.2517608404159546, 1.2820210456848145, 1.2856619358062744, 1.2342851161956787, 1.2529743909835815, 1.2257996797561646, 1.231948971748352, 1.2421036958694458, 1.2421411275863647, 1.234527587890625, 1.2170681953430176, 1.241512417793274, 1.2371973991394043, 1.2093504667282104, 1.2264851331710815, 1.2288322448730469, 1.2132498025894165, 1.2227983474731445, 1.2255715131759644, 1.2117339372634888, 1.229952335357666, 1.2346603870391846, 1.2126909494400024, 1.2319189310073853, 1.2203930616378784, 1.2299960851669312];[0.09222948551177979, 0.08772075176239014, 0.10410533845424652, 0.13049942255020142, 0.15164822340011597, 0.1602809727191925, 0.18659371137619019, 0.1857815682888031, 0.14989520609378815, 0.15699155628681183, 0.13923758268356323, 0.14347442984580994, 0.14889119565486908, 0.1496688723564148, 0.14344635605812073, 0.13283328711986542, 0.15193802118301392, 0.1433703899383545, 0.13187719881534576, 0.14477187395095825, 0.14564940333366394, 0.13948920369148254, 0.14572668075561523, 0.14805971086025238, 0.14239609241485596, 0.15765701234340668, 0.16410578787326813, 0.15162193775177002, 0.1649014800786972, 0.15766362845897675, 0.16322797536849976];[-2.1348283290863037, -2.0830636024475098, -2.2010209560394287, -2.3668994903564453, -2.5278635025024414, -2.5904431343078613, -2.814802408218384, -2.804147958755493, -2.4883430004119873, -2.5677733421325684, -2.4067158699035645, -2.4379587173461914, -2.460864543914795, -2.4606313705444336, -2.395052433013916, -2.3295371532440186, -2.4574167728424072, -2.464952230453491, -2.344393014907837, -2.4339683055877686, -2.423896074295044, -2.3785932064056396, -2.4663240909576416, -2.512763738632202, -2.4811298847198486, -2.730576276779175, -2.7975451946258545, -2.6778206825256348, -2.7988970279693604, -2.7362537384033203, -2.8226544857025146];[0.46959537267684937, 0.4163160026073456, 0.38639411330223083, 0.2827196419239044, 0.21323361992835999, 0.16374681890010834, 0.13157501816749573, 0.13912811875343323, 0.18816347420215607, 0.21062199771404266, 0.21318267285823822, 0.19815339148044586, 0.1854175627231598, 0.17208760976791382, 0.16343066096305847, 0.1789979785680771, 0.2140173614025116, 0.18873438239097595, 0.18165287375450134, 0.18070131540298462, 0.19924230873584747, 0.18068234622478485, 0.19677630066871643, 0.18129219114780426, 0.1894456297159195, 0.13799846172332764, 0.07318652421236038, 0.07469487935304642, 0.06631151586771011, 0.05741516873240471];1579.8611052036285
150;[1.6139203310012817, 1.6211484670639038, 1.6569486856460571, 1.6701959371566772, 1.6836562156677246, 1.6882296800613403, 1.7091152667999268, 1.71736478805542, 1.6887154579162598, 1.7109004259109497, 1.690805196762085, 1.6956316232681274, 1.7048641443252563, 1.7059708833694458, 1.7035136222839355, 1.6878341436386108, 1.7167832851409912, 1.7125245332717896, 1.6851987838745117, 1.6994030475616455, 1.709201693534851, 1.693017601966858, 1.7050449848175049, 1.7052441835403442, 1.6933826208114624, 1.7090637683868408, 1.7130074501037598, 1.6933642625808716, 1.7140867710113525, 1.7010172605514526, 1.7097111940383911];[0.1945616751909256, 0.19115209579467773, 0.21896801888942719, 0.23843815922737122, 0.24928240478038788, 0.25195956230163574, 0.26333490014076233, 0.26564010977745056, 0.25493043661117554, 0.26335322856903076, 0.2548098862171173, 0.257421612739563, 0.2612919211387634, 0.2621114253997803, 0.259573370218277, 0.25259724259376526, 0.26747313141822815, 0.2619762718677521, 0.25218597054481506, 0.2587202191352844, 0.26196032762527466, 0.2580878436565399, 0.2614315450191498, 0.2605932056903839, 0.25669145584106445, 0.26237690448760986, 0.26477935910224915, 0.25649505853652954, 0.2658640146255493, 0.26039761304855347, 0.2637467682361603];[-4.298182010650635, -4.231046676635742, -4.751052379608154, -5.134188175201416, -5.341464519500732, -5.426309585571289, -5.601438999176025, -5.673637390136719, -5.445236682891846, -5.627445220947266, -5.457982063293457, -5.504643440246582, -5.5714592933654785, -5.58864164352417, -5.5552077293396, -5.438138961791992, -5.67214822769165, -5.702770233154297, -5.429145336151123, -5.54202127456665, -5.60116720199585, -5.490653991699219, -5.579125881195068, -5.59566593170166, -5.505862712860107, -5.641031742095947, -5.6567559242248535, -5.4994306564331055, -5.669891834259033, -5.563824653625488, -5.652098178863525];[0.46959537267684937, 0.4438091814517975, 0.4303397834300995, 0.39680051803588867, 0.2407589852809906, 0.13274802267551422, 0.05975813418626785, 0.04204953461885452, 0.04322926700115204, 0.042507220059633255, 0.047316815704107285, 0.0384976789355278, 0.039357513189315796, 0.03632427752017975, 0.027089832350611687, 0.022176682949066162, 0.0200661588460207, 0.022168060764670372, 0.016588641330599785, 0.012189247645437717, 0.010633712634444237, 0.010148846544325352, 0.009556709788739681, 0.00813332200050354, 0.008111000061035156, 0.007191145326942205, 0.006919380743056536, 0.006414858158677816, 0.008367623202502728, 0.005922835785895586];1570.3302068710327
200;[1.1612826585769653, 1.155698299407959, 1.1717358827590942, 1.1672905683517456, 1.1810994148254395, 1.173283338546753, 1.182652473449707, 1.1678532361984253, 1.1644905805587769, 1.1543724536895752, 1.1559743881225586, 1.1511914730072021, 1.1502270698547363, 1.1578667163848877, 1.1573079824447632, 1.1492133140563965, 1.1487659215927124, 1.1539918184280396, 1.1570627689361572, 1.1558606624603271, 1.1565555334091187, 1.1543176174163818, 1.1593575477600098, 1.15851891040802, 1.1480810642242432, 1.1580387353897095, 1.1519156694412231, 1.167073369026184, 1.15857994556427, 1.1488089561462402, 1.1552654504776];[0.0945221334695816, 0.09049282968044281, 0.09034543484449387, 0.08926081657409668, 0.08798666298389435, 0.08595839142799377, 0.08872252702713013, 0.08372000604867935, 0.09018111228942871, 0.0944904312491417, 0.1001739576458931, 0.10027560591697693, 0.10349220782518387, 0.10907921195030212, 0.11199860274791718, 0.1094416081905365, 0.10801957547664642, 0.11342713981866837, 0.11576758325099945, 0.11561191082000732, 0.1175827831029892, 0.1152430921792984, 0.11944201588630676, 0.11906513571739197, 0.11303240805864334, 0.11772376298904419, 0.11364798992872238, 0.12336940318346024, 0.11843658238649368, 0.11161749064922333, 0.11740770936012268];[-2.1454927921295166, -2.1320109367370605, -2.107113838195801, -2.0857837200164795, -2.0534491539001465, -2.0426204204559326, -2.0428552627563477, -2.0270166397094727, -2.0798444747924805, -2.157090425491333, -2.2161552906036377, -2.2219533920288086, -2.243981122970581, -2.315600872039795, -2.341224431991577, -2.3225739002227783, -2.321218729019165, -2.378284215927124, -2.383432388305664, -2.3856594562530518, -2.3962109088897705, -2.3842639923095703, -2.4111580848693848, -2.4109411239624023, -2.362837314605713, -2.407973289489746, -2.3709876537323, -2.46106219291687, -2.4169864654541016, -2.3628437519073486, -2.4027328491210938];[0.41035547852516174, 0.42619234323501587, 0.4212579131126404, 0.41332581639289856, 0.3797462582588196, 0.3839274048805237, 0.3733151853084564, 0.4185056686401367, 0.41041192412376404, 0.5081252455711365, 0.4469086527824402, 0.5183255672454834, 0.5853310823440552, 0.4951784312725067, 0.6193602681159973, 0.4875035285949707, 0.4206487238407135, 0.47493839263916016, 0.64956134557724, 0.35147419571876526, 0.4004530608654022, 0.21884888410568237, 0.4803546369075775, 0.29114794731140137, 0.12917375564575195, 0.10909217596054077, 0.07541373372077942, 0.200853630900383, 0.3626120090484619, 0.13245539367198944];1616.2590744495392
200;[1.6124927997589111, 1.6063776016235352, 1.6167457103729248, 1.609212040901184, 1.6172226667404175, 1.6136125326156616, 1.615157961845398, 1.6017236709594727, 1.6007219552993774, 1.6013240814208984, 1.602651596069336, 1.6065356731414795, 1.604142427444458, 1.6102936267852783, 1.614767074584961, 1.6150298118591309, 1.6160666942596436, 1.611613154411316, 1.6209343671798706, 1.625114917755127, 1.6140697002410889, 1.6121665239334106, 1.6173137426376343, 1.6233723163604736, 1.6118574142456055, 1.6233189105987549, 1.6201280355453491, 1.626658320426941, 1.6238312721252441, 1.6227011680603027, 1.622635006904602];[0.19693005084991455, 0.19620266556739807, 0.19680611789226532, 0.19891253113746643, 0.19170717895030975, 0.1935327649116516, 0.19545236229896545, 0.19728806614875793, 0.20483221113681793, 0.20832210779190063, 0.21019114553928375, 0.21377667784690857, 0.2155434936285019, 0.21692118048667908, 0.21895723044872284, 0.22004856169223785, 0.2202182561159134, 0.21939995884895325, 0.22425207495689392, 0.22632713615894318, 0.2230812907218933, 0.22066916525363922, 0.2241794466972351, 0.22573262453079224, 0.22209782898426056, 0.22520095109939575, 0.22370848059654236, 0.2271951586008072, 0.22551508247852325, 0.224167138338089, 0.22632986307144165];[-4.322001934051514, -4.366211414337158, -4.373069763183594, -4.406562805175781, -4.23186731338501, -4.263035297393799, -4.2844414710998535, -4.399056434631348, -4.531057834625244, -4.642973899841309, -4.654546737670898, -4.735201358795166, -4.764483451843262, -4.8097686767578125, -4.849762439727783, -4.8742594718933105, -4.894784927368164, -4.890236854553223, -4.945934772491455, -4.987867832183838, -4.917227745056152, -4.89506196975708, -4.949230670928955, -4.969262599945068, -4.912944793701172, -4.985496997833252, -4.954504013061523, -5.005588054656982, -4.986145496368408, -4.976654529571533, -4.990287780761719];[0.41035547852516174, 0.43269965052604675, 0.4641181230545044, 0.46065855026245117, 0.4780963957309723, 0.44138920307159424, 0.47744446992874146, 0.4705827236175537, 0.47138506174087524, 0.49109920859336853, 0.4996815025806427, 0.5477555394172668, 0.5042125582695007, 0.5270851254463196, 0.6629359722137451, 0.4053077697753906, 0.4492819309234619, 0.2752067446708679, 0.5299630165100098, 0.45541825890541077, 0.13777273893356323, 0.293179452419281, 0.3002060055732727, 0.4047415554523468, 0.3252989649772644, 0.2845131456851959, 0.16935159265995026, 0.16925032436847687, 0.2959223985671997, 0.1890512853860855];1528.3077235221863
250;[1.167892575263977, 1.160813570022583, 1.1601102352142334, 1.1692618131637573, 1.1856821775436401, 1.178472876548767, 1.1885048151016235, 1.180936574935913, 1.186019778251648, 1.1950491666793823, 1.179184079170227, 1.1834053993225098, 1.212080717086792, 1.1867289543151855, 1.1916141510009766, 1.1895948648452759, 1.187044620513916, 1.1996313333511353, 1.204732060432434, 1.1955968141555786, 1.1910098791122437, 1.2181049585342407, 1.2235571146011353, 1.2101503610610962, 1.2222756147384644, 1.2232487201690674, 1.2091612815856934, 1.2189782857894897, 1.2179497480392456, 1.2242767810821533, 1.2088007926940918];[0.09595180302858353, 0.09650924801826477, 0.09385094046592712, 0.09441256523132324, 0.09833182394504547, 0.09221826493740082, 0.09437789022922516, 0.09385106712579727, 0.09574566036462784, 0.10354684293270111, 0.09755680710077286, 0.10203380137681961, 0.1268998682498932, 0.1130094900727272, 0.11892733722925186, 0.12522007524967194, 0.1198182925581932, 0.13367824256420135, 0.13835065066814423, 0.13252435624599457, 0.13236886262893677, 0.151541605591774, 0.15547870099544525, 0.15035687386989594, 0.15862804651260376, 0.158949613571167, 0.1504679024219513, 0.15682514011859894, 0.15641218423843384, 0.16029149293899536, 0.1496528536081314];[-2.164726972579956, -2.1661558151245117, -2.1566638946533203, -2.1295695304870605, -2.148481845855713, -2.0892715454101562, -2.1108994483947754, -2.0809624195098877, -2.1174049377441406, -2.1776340007781982, -2.136636972427368, -2.1776044368743896, -2.3771681785583496, -2.288613796234131, -2.342130661010742, -2.407970666885376, -2.3596560955047607, -2.496286630630493, -2.5478994846343994, -2.4982707500457764, -2.5038042068481445, -2.668274402618408, -2.723508596420288, -2.6598129272460938, -2.735933780670166, -2.7322793006896973, -2.6647379398345947, -2.7165305614471436, -2.7284939289093018, -2.7543532848358154, -2.6731343269348145];[0.43426933884620667, 0.4315888583660126, 0.4465584456920624, 0.41901859641075134, 0.42567944526672363, 0.37759166955947876, 0.35084977746009827, 0.3848743140697479, 0.41029462218284607, 0.400194376707077, 0.41473037004470825, 0.4626729488372803, 0.4800395369529724, 0.5262707471847534, 0.5274335741996765, 0.5165415406227112, 0.543313205242157, 0.541671633720398, 0.37096890807151794, 0.40547865629196167, 0.4214525520801544, 0.4824165999889374, 0.47093677520751953, 0.26604071259498596, 0.20133258402347565, 0.16123808920383453, 0.13818025588989258, 0.1057141125202179, 0.09706438332796097, 0.09041259437799454];1549.7545981407166
250;[1.6186182498931885, 1.609756350517273, 1.6056572198867798, 1.6180644035339355, 1.624811053276062, 1.613105297088623, 1.626097321510315, 1.6219396591186523, 1.6213889122009277, 1.636995792388916, 1.619661569595337, 1.624813199043274, 1.6345634460449219, 1.6266330480575562, 1.6293318271636963, 1.6353081464767456, 1.6305395364761353, 1.6359648704528809, 1.6374261379241943, 1.6403988599777222, 1.6300867795944214, 1.6373318433761597, 1.6365833282470703, 1.62576425075531, 1.6349107027053833, 1.6332848072052002, 1.6298131942749023, 1.6352530717849731, 1.6370670795440674, 1.6327978372573853, 1.628896713256836];[0.19714635610580444, 0.20077095925807953, 0.20595110952854156, 0.2087332159280777, 0.21163201332092285, 0.20844332873821259, 0.21168005466461182, 0.21679726243019104, 0.21592502295970917, 0.2155161201953888, 0.21151462197303772, 0.2095390111207962, 0.21051868796348572, 0.21097402274608612, 0.21237145364284515, 0.21560360491275787, 0.21728527545928955, 0.22099456191062927, 0.22222641110420227, 0.2203255444765091, 0.21081501245498657, 0.22075308859348297, 0.22544950246810913, 0.22126777470111847, 0.22678986191749573, 0.2271566241979599, 0.22542567551136017, 0.22917398810386658, 0.22729936242103577, 0.22872738540172577, 0.2245941460132599];[-4.344611167907715, -4.4259514808654785, -4.583118915557861, -4.613927364349365, -4.660937786102295, -4.615021705627441, -4.691194534301758, -4.76890230178833, -4.755615711212158, -4.754106521606445, -4.627455711364746, -4.603134632110596, -4.590022087097168, -4.647543907165527, -4.68982458114624, -4.740135669708252, -4.774142742156982, -4.862176895141602, -4.884028911590576, -4.840243339538574, -4.644852161407471, -4.83067512512207, -4.941229343414307, -4.867377758026123, -4.972995281219482, -4.98188591003418, -4.963090896606445, -5.013486862182617, -4.956545829772949, -5.01444149017334, -4.947059154510498];[0.43426933884620667, 0.4230418801307678, 0.4780444800853729, 0.4619373083114624, 0.5483891367912292, 0.45679765939712524, 0.5445629954338074, 0.4462333023548126, 0.4801267087459564, 0.5280839800834656, 0.5655232667922974, 0.5203077793121338, 0.5831921100616455, 0.5881813168525696, 0.672829270362854, 0.6012072563171387, 0.5981091856956482, 0.6040194630622864, 0.579918622970581, 0.6141356229782104, 0.5863170623779297, 0.6809172630310059, 0.5879014730453491, 0.6051591038703918, 0.5287092924118042, 0.491318941116333, 0.4387035667896271, 0.6428780555725098, 0.5225563645362854, 0.32664594054222107];1546.5912368297577
