Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7755045294761658, 0.7834911346435547, 0.7978236079216003, 0.8001277446746826, 0.8012654781341553, 0.8298444151878357, 0.8360124230384827, 0.8288730978965759, 0.8573305606842041, 0.8373721837997437, 0.8854146599769592, 0.871658980846405, 0.9113597869873047, 0.9143732786178589, 0.9044762849807739, 0.9252749681472778, 0.9226497411727905, 0.9188739061355591, 0.9252355098724365, 0.9177384972572327, 0.9347584247589111, 0.9115579128265381, 0.920473039150238, 0.9041488766670227, 0.9068460464477539, 0.9049026966094971, 0.8873311877250671, 0.8793101906776428, 0.8870924115180969, 0.8923203349113464];[0.04275934398174286, 0.027120716869831085, 0.029260361567139626, 0.04116244986653328, 0.04211007431149483, 0.04645713046193123, 0.08301319181919098, 0.09029937535524368, 0.08192151039838791, 0.12291911244392395, 0.10445111244916916, 0.16115069389343262, 0.1494421809911728, 0.19598710536956787, 0.20539768040180206, 0.19586165249347687, 0.21619296073913574, 0.21701790392398834, 0.21062690019607544, 0.21674560010433197, 0.2076212465763092, 0.22555983066558838, 0.20340649783611298, 0.21257880330085754, 0.19800880551338196, 0.19677957892417908, 0.19535818696022034, 0.17811967432498932, 0.16446758806705475, 0.17995977401733398, 0.19063296914100647];[-0.8513761162757874, -0.8025596141815186, -0.813038170337677, -0.8402866125106812, -0.8491513133049011, -0.8547129034996033, -0.9562798142433167, -0.9773225784301758, -0.9496591091156006, -1.066426396369934, -1.0158518552780151, -1.2198100090026855, -1.1659448146820068, -1.3430339097976685, -1.3711705207824707, -1.3579429388046265, -1.4480435848236084, -1.4298659563064575, -1.436750054359436, -1.470677137374878, -1.4335483312606812, -1.5172725915908813, -1.3916884660720825, -1.4523534774780273, -1.370089054107666, -1.4097529649734497, -1.414701223373413, -1.3107726573944092, -1.3142958879470825, -1.341701626777649, -1.3639936447143555];[0.4498543441295624, 0.39895448088645935, 0.364107221364975, 0.3246506452560425, 0.3184605836868286, 0.2957705557346344, 0.21350376307964325, 0.2011207938194275, 0.2032504379749298, 0.15778745710849762, 0.14745765924453735, 0.10873337090015411, 0.09646613895893097, 0.0775357261300087, 0.06251358985900879, 0.05233202502131462, 0.04675614461302757, 0.04828193411231041, 0.04309152066707611, 0.04377225786447525, 0.056084904819726944, 0.056087855249643326, 0.056049853563308716, 0.06112826615571976, 0.06603416055440903, 0.05918343365192413, 0.06463716179132462, 0.07303562015295029, 0.0899040475487709, 0.07219401001930237]
100;[0.7740078568458557, 0.7663812637329102, 0.7752853035926819, 0.7730782628059387, 0.7748285531997681, 0.7829495668411255, 0.799096941947937, 0.8140736222267151, 0.8207247257232666, 0.8269906044006348, 0.8421151041984558, 0.8620545864105225, 0.8778328895568848, 0.8922783732414246, 0.9215053915977478, 0.9262050986289978, 0.9299157857894897, 0.9534940719604492, 0.9475628733634949, 0.9717544317245483, 0.9728708267211914, 1.0009565353393555, 0.9846375584602356, 0.9864031076431274, 0.9784508943557739, 0.978258490562439, 0.9972204566001892, 0.975077211856842, 0.995736837387085, 0.9808384776115417, 0.980733335018158];[0.03575695678591728, 0.03435043618083, 0.03388763591647148, 0.03451500087976456, 0.03956059366464615, 0.037672851234674454, 0.04771633446216583, 0.06434114277362823, 0.07557345181703568, 0.0882984921336174, 0.10054546594619751, 0.13670627772808075, 0.1567593514919281, 0.17833930253982544, 0.21249423921108246, 0.22017072141170502, 0.22467440366744995, 0.2458743005990982, 0.2490445226430893, 0.2720225155353546, 0.27871838212013245, 0.30337056517601013, 0.28971347212791443, 0.28809159994125366, 0.28376275300979614, 0.28611913323402405, 0.302187442779541, 0.27761751413345337, 0.30016905069351196, 0.2869330942630768, 0.2836071252822876];[-0.8250949382781982, -0.822531521320343, -0.8225620985031128, -0.8257699608802795, -0.8386409878730774, -0.8319828510284424, -0.8679470419883728, -0.9217128753662109, -0.962938666343689, -0.9888136982917786, -1.074238896369934, -1.1503764390945435, -1.2381584644317627, -1.3255079984664917, -1.4750518798828125, -1.493936538696289, -1.5230281352996826, -1.6795072555541992, -1.6187852621078491, -1.7732347249984741, -1.7041794061660767, -1.8659863471984863, -1.7725592851638794, -1.8157930374145508, -1.751902461051941, -1.7238507270812988, -1.8487900495529175, -1.7687660455703735, -1.8478232622146606, -1.7572277784347534, -1.7746046781539917];[0.43560758233070374, 0.4445490837097168, 0.45083650946617126, 0.42380616068840027, 0.4258287250995636, 0.4108846187591553, 0.3892143666744232, 0.33448559045791626, 0.327059805393219, 0.2732776999473572, 0.2560596168041229, 0.19721916317939758, 0.1673375964164734, 0.13997438549995422, 0.11019732803106308, 0.0968790054321289, 0.07176029682159424, 0.05548259988427162, 0.035027384757995605, 0.023622991517186165, 0.01974962092936039, 0.015604387037456036, 0.012791440822184086, 0.011935506947338581, 0.006521346978843212, 0.004663272760808468, 0.0039753722958266735, 0.004086003173142672, 0.0034391044173389673, 0.0038115517236292362]
150;[0.7738230228424072, 0.7840698957443237, 0.7866447567939758, 0.7902432680130005, 0.7962404489517212, 0.789669394493103, 0.799814760684967, 0.7912899255752563, 0.7769068479537964, 0.780546247959137, 0.7808942794799805, 0.7749692797660828, 0.7876318097114563, 0.7844991683959961, 0.7898476719856262, 0.8058274388313293, 0.8201797604560852, 0.808279812335968, 0.8182982802391052, 0.7980679273605347, 0.8125180006027222, 0.8227159380912781, 0.8222759962081909, 0.8342679738998413, 0.8454411625862122, 0.850652813911438, 0.8879257440567017, 0.8581965565681458, 0.8888663053512573, 0.8909361362457275, 0.8893488645553589];[0.0353887565433979, 0.037158023566007614, 0.03409873694181442, 0.03712000325322151, 0.04069042578339577, 0.037505075335502625, 0.046805210411548615, 0.035427723079919815, 0.02884475700557232, 0.032284192740917206, 0.04023836925625801, 0.039645690470933914, 0.04766039177775383, 0.045667652040719986, 0.05443165451288223, 0.07502637058496475, 0.09456285834312439, 0.08442294597625732, 0.09570647031068802, 0.0863572508096695, 0.0961509644985199, 0.10620559751987457, 0.10280020534992218, 0.11309993267059326, 0.12741699814796448, 0.13560450077056885, 0.1748645156621933, 0.14778964221477509, 0.17924898862838745, 0.1804324984550476, 0.17806999385356903];[-0.8276398181915283, -0.8361821174621582, -0.8313897252082825, -0.8388832807540894, -0.8439702391624451, -0.8409395813941956, -0.8681485056877136, -0.8295345902442932, -0.80854731798172, -0.8229186534881592, -0.8446513414382935, -0.8440749645233154, -0.8755638003349304, -0.8662616610527039, -0.8832091093063354, -0.9622927308082581, -1.0271943807601929, -0.9816131591796875, -1.0301034450531006, -0.9963186383247375, -1.028682827949524, -1.0801173448562622, -1.061340570449829, -1.0934067964553833, -1.1411690711975098, -1.1634306907653809, -1.3425910472869873, -1.1983122825622559, -1.342529535293579, -1.3854116201400757, -1.4153459072113037];[0.46959537267684937, 0.4067738950252533, 0.37456652522087097, 0.35922563076019287, 0.3630363643169403, 0.3448624610900879, 0.35654863715171814, 0.3749670386314392, 0.3648882806301117, 0.38532787561416626, 0.42555874586105347, 0.463972270488739, 0.5207845568656921, 0.5310367941856384, 0.5769133567810059, 0.5568621158599854, 0.5681003332138062, 0.5519737601280212, 0.5869489312171936, 0.5161634683609009, 0.6081864237785339, 0.7173383235931396, 0.7119373083114624, 0.6606404185295105, 0.5080479979515076, 0.34680870175361633, 0.2601182460784912, 0.31767022609710693, 0.2195085883140564, 0.26747626066207886]
200;[0.7712486386299133, 0.7753798961639404, 0.7768536806106567, 0.7854897975921631, 0.8012373447418213, 0.7957876324653625, 0.7893884181976318, 0.7806929349899292, 0.7743009924888611, 0.790778636932373, 0.8269515037536621, 0.8234022259712219, 0.8189326524734497, 0.8452889919281006, 0.8612057566642761, 0.8787719011306763, 0.8900085687637329, 0.8862797617912292, 0.9055436253547668, 0.9353689551353455, 0.9359608292579651, 0.9308969378471375, 0.9601227641105652, 0.9679663181304932, 0.9623509645462036, 0.9935046434402466, 0.9823420643806458, 0.9947082996368408, 0.9889591336250305, 1.012097954750061, 0.9965465664863586];[0.03644751384854317, 0.038959238678216934, 0.0293816439807415, 0.03564557060599327, 0.04227004572749138, 0.042741235345602036, 0.043494075536727905, 0.03548634424805641, 0.030714843422174454, 0.043280016630887985, 0.08834449201822281, 0.08554574847221375, 0.08211679011583328, 0.11516553908586502, 0.1335398405790329, 0.1555957794189453, 0.16995760798454285, 0.17360247671604156, 0.19299709796905518, 0.22553573548793793, 0.2294239103794098, 0.2254624366760254, 0.25455614924430847, 0.26748114824295044, 0.2667600214481354, 0.2964843809604645, 0.28683245182037354, 0.2983015775680542, 0.29436686635017395, 0.32064539194107056, 0.30234163999557495];[-0.8304311633110046, -0.8383864760398865, -0.819160521030426, -0.8273310661315918, -0.8819165825843811, -0.8522520661354065, -0.8623726963996887, -0.8413965106010437, -0.8186687231063843, -0.8468595743179321, -1.0070801973342896, -1.0140461921691895, -0.9876894950866699, -1.120870590209961, -1.1730597019195557, -1.2753657102584839, -1.3223092555999756, -1.2947734594345093, -1.4229742288589478, -1.5541486740112305, -1.5409959554672241, -1.5284807682037354, -1.6966369152069092, -1.7006052732467651, -1.6610041856765747, -1.8209177255630493, -1.7661789655685425, -1.8306610584259033, -1.7968690395355225, -1.8777836561203003, -1.82060706615448];[0.41035547852516174, 0.4544350504875183, 0.3980741798877716, 0.39575743675231934, 0.36916986107826233, 0.38300076127052307, 0.43960416316986084, 0.5597127676010132, 0.5183460712432861, 0.4839954078197479, 0.5119022727012634, 0.46354618668556213, 0.3783533275127411, 0.2975265085697174, 0.26040926575660706, 0.20603932440280914, 0.2034325748682022, 0.17171157896518707, 0.12374211102724075, 0.11524481326341629, 0.08226171880960464, 0.06507858633995056, 0.048620350658893585, 0.036483749747276306, 0.02563934400677681, 0.020688343793153763, 0.01628226600587368, 0.015642160549759865, 0.014022082090377808, 0.013627566397190094]
250;[0.7790236473083496, 0.7792714834213257, 0.7896693348884583, 0.829330563545227, 0.852614164352417, 0.8477925658226013, 0.8744385838508606, 0.8946970105171204, 0.9225113987922668, 0.95284104347229, 0.9465104937553406, 0.9768261313438416, 0.9994689226150513, 0.9755889177322388, 0.9902489185333252, 0.9761219024658203, 0.982548713684082, 0.9888390302658081, 1.0037386417388916, 0.9881278872489929, 0.9784020781517029, 1.0126432180404663, 1.0117019414901733, 0.9728588461875916, 0.9975143671035767, 1.0021162033081055, 0.9783002138137817, 1.0140233039855957, 0.9972966909408569, 1.0015556812286377, 0.9808352589607239];[0.04095490276813507, 0.04183170199394226, 0.040063999593257904, 0.07984914630651474, 0.10924936085939407, 0.11627543717622757, 0.1467321515083313, 0.18097491562366486, 0.21665525436401367, 0.25022533535957336, 0.24866983294487, 0.27526235580444336, 0.2996038794517517, 0.2767041027545929, 0.2971620261669159, 0.27996549010276794, 0.2883707582950592, 0.29418179392814636, 0.30780303478240967, 0.29301586747169495, 0.2849385142326355, 0.31683653593063354, 0.31444108486175537, 0.2767552435398102, 0.3027544915676117, 0.30507901310920715, 0.2869980037212372, 0.3182040750980377, 0.3028092384338379, 0.31084567308425903, 0.2868993282318115];[-0.8494722843170166, -0.8507771492004395, -0.8431681990623474, -0.9700555205345154, -1.1321343183517456, -1.0980134010314941, -1.2149579524993896, -1.2950433492660522, -1.4333155155181885, -1.5973796844482422, -1.5831164121627808, -1.738361120223999, -1.8805814981460571, -1.7547111511230469, -1.7835588455200195, -1.7435338497161865, -1.7446370124816895, -1.7777471542358398, -1.8702298402786255, -1.7740468978881836, -1.7451685667037964, -1.911248803138733, -1.9241689443588257, -1.7336934804916382, -1.8453997373580933, -1.8757318258285522, -1.7320096492767334, -1.923879623413086, -1.8372771739959717, -1.8389993906021118, -1.7413071393966675];[0.43426933884620667, 0.42786577343940735, 0.39576059579849243, 0.36098361015319824, 0.3224904239177704, 0.24671925604343414, 0.232736274600029, 0.1446806937456131, 0.1195564717054367, 0.07619933784008026, 0.05168355628848076, 0.03149490803480148, 0.026772646233439445, 0.022453444078564644, 0.016550244763493538, 0.01261947676539421, 0.010976320132613182, 0.011538242921233177, 0.014402379281818867, 0.013483474962413311, 0.012994787655770779, 0.01342435646802187, 0.009858837351202965, 0.010783554054796696, 0.007203293032944202, 0.008678587153553963, 0.005616837181150913, 0.008398652076721191, 0.009091099724173546, 0.004769133869558573]
300;[0.7677474617958069, 0.7716230750083923, 0.7846614718437195, 0.801541805267334, 0.830457866191864, 0.8269526362419128, 0.8248868584632874, 0.8485937118530273, 0.871928334236145, 0.9296891093254089, 0.9360703229904175, 0.9504172205924988, 0.9813864231109619, 0.9877932667732239, 0.9910433888435364, 0.9997127056121826, 0.9908174276351929, 0.983668327331543, 0.9816290140151978, 0.9976609945297241, 1.008497953414917, 1.0234466791152954, 1.0132546424865723, 1.006218433380127, 1.0074372291564941, 1.0146890878677368, 1.0195949077606201, 1.0065479278564453, 1.005056619644165, 1.0192232131958008, 1.0151578187942505];[0.03291848674416542, 0.03246600925922394, 0.03868264704942703, 0.04764818772673607, 0.07809310406446457, 0.07290686666965485, 0.07122357934713364, 0.10550433397293091, 0.14729349315166473, 0.21908330917358398, 0.23272205889225006, 0.25110924243927, 0.2756602168083191, 0.29264184832572937, 0.29574987292289734, 0.30272477865219116, 0.2976795732975006, 0.2918331027030945, 0.29109057784080505, 0.30260008573532104, 0.31194835901260376, 0.3251844644546509, 0.31905055046081543, 0.3129134178161621, 0.3117872178554535, 0.31763917207717896, 0.3276774287223816, 0.31475627422332764, 0.31247344613075256, 0.326558381319046, 0.3214099109172821];[-0.821944534778595, -0.8180883526802063, -0.8353548049926758, -0.8636807203292847, -0.9585610628128052, -0.9456555843353271, -0.9376002550125122, -1.0612504482269287, -1.2070199251174927, -1.4860577583312988, -1.5263044834136963, -1.6059800386428833, -1.8264719247817993, -1.7803375720977783, -1.7983291149139404, -1.8535078763961792, -1.8164582252502441, -1.7519104480743408, -1.7373826503753662, -1.842458724975586, -1.9115262031555176, -1.998826026916504, -1.90810227394104, -1.8825976848602295, -1.8887094259262085, -1.9482522010803223, -1.9225977659225464, -1.8717834949493408, -1.866829752922058, -1.9599151611328125, -1.9333820343017578];[0.4320686161518097, 0.4426668882369995, 0.41186797618865967, 0.38799285888671875, 0.36085692048072815, 0.3290477395057678, 0.30959004163742065, 0.2749657928943634, 0.22899354994297028, 0.13999156653881073, 0.0751502588391304, 0.04702730476856232, 0.03026077337563038, 0.021400265395641327, 0.0238482765853405, 0.012607242912054062, 0.010659066960215569, 0.009255497716367245, 0.0063267783261835575, 0.010644838213920593, 0.0072299642488360405, 0.007586524821817875, 0.006177088711410761, 0.008537687361240387, 0.00927746668457985, 0.005701047368347645, 0.005925315897911787, 0.004105597734451294, 0.006967073772102594, 0.005617192946374416]
350;[0.7704355716705322, 0.8241363167762756, 0.8525679707527161, 0.8732501268386841, 0.8974294066429138, 0.9138840436935425, 0.9489277005195618, 0.9609330892562866, 0.9543632864952087, 0.9815433621406555, 0.9803435802459717, 1.010872721672058, 0.9740667939186096, 0.9851147532463074, 1.0073890686035156, 1.0004960298538208, 0.9997581839561462, 1.0014210939407349, 1.010862946510315, 1.0251593589782715, 0.988926351070404, 1.0014585256576538, 0.9939699769020081, 0.9983441829681396, 0.9850358963012695, 1.0155068635940552, 1.027782917022705, 1.0154128074645996, 1.0178554058074951, 0.9988220930099487, 0.9971480965614319];[0.03398638591170311, 0.08151135593652725, 0.11325819045305252, 0.15470418334007263, 0.19009321928024292, 0.20990125834941864, 0.24482227861881256, 0.2627536952495575, 0.2559785544872284, 0.28657519817352295, 0.2846950590610504, 0.3160622715950012, 0.2806318700313568, 0.2893155813217163, 0.312019944190979, 0.3035677373409271, 0.3072538375854492, 0.3082233965396881, 0.3156382143497467, 0.3201814591884613, 0.2961823046207428, 0.30580413341522217, 0.2991816997528076, 0.3037768304347992, 0.2930055558681488, 0.3203234374523163, 0.33473360538482666, 0.3232022225856781, 0.32556676864624023, 0.302909255027771, 0.3069601356983185];[-0.8258494138717651, -0.9974499344825745, -1.125645637512207, -1.2473992109298706, -1.3698091506958008, -1.4502073526382446, -1.6401879787445068, -1.6676102876663208, -1.6444621086120605, -1.7422927618026733, -1.7576454877853394, -1.8927749395370483, -1.703071117401123, -1.7929884195327759, -1.8824753761291504, -1.868491530418396, -1.8272567987442017, -1.8553097248077393, -1.9181044101715088, -2.072859525680542, -1.76414954662323, -1.8712533712387085, -1.8213822841644287, -1.828519344329834, -1.762460470199585, -1.9204894304275513, -1.9621690511703491, -1.8995651006698608, -1.923327922821045, -1.8415820598602295, -1.8203617334365845];[0.44662362337112427, 0.43653783202171326, 0.3945568799972534, 0.2900121510028839, 0.15123994648456573, 0.09926474839448929, 0.06444248557090759, 0.04616427794098854, 0.031419187784194946, 0.026417160406708717, 0.01844683848321438, 0.01638607867062092, 0.010345008224248886, 0.008290456607937813, 0.008259642869234085, 0.007649151608347893, 0.007367983460426331, 0.004602562170475721, 0.0043136789463460445, 0.004331289790570736, 0.0038145920261740685, 0.0034294200595468283, 0.0027136399876326323, 0.0022983693052083254, 0.0024693096056580544, 0.002321470994502306, 0.001997868763282895, 0.0019246700685471296, 0.0017458301736041903, 0.0015281124506145716]
400;[0.7718713283538818, 0.7727268934249878, 0.7787206768989563, 0.7861567735671997, 0.8036251664161682, 0.8106207847595215, 0.8283360600471497, 0.8446558117866516, 0.8251588344573975, 0.819814145565033, 0.8213943839073181, 0.8416453003883362, 0.8314498066902161, 0.8304535150527954, 0.8190500736236572, 0.8075793385505676, 0.8252781629562378, 0.8232262134552002, 0.833366334438324, 0.8324735164642334, 0.8621532320976257, 0.8649507164955139, 0.8761197328567505, 0.8757457733154297, 0.8980220556259155, 0.9212487936019897, 0.9332255125045776, 0.9355539679527283, 0.9196487069129944, 0.939759373664856, 0.9456794857978821];[0.038732193410396576, 0.02859148383140564, 0.03388495743274689, 0.04259137809276581, 0.05709259957075119, 0.06444235891103745, 0.08593104034662247, 0.10755632817745209, 0.08775688707828522, 0.0765252336859703, 0.08163535594940186, 0.10560289025306702, 0.1033082976937294, 0.10393331944942474, 0.09391608834266663, 0.0805099606513977, 0.09583646804094315, 0.09838797897100449, 0.1124371811747551, 0.11300551146268845, 0.1408488154411316, 0.15035386383533478, 0.16392144560813904, 0.1693304479122162, 0.190446138381958, 0.21838335692882538, 0.2293883115053177, 0.2318263053894043, 0.22179433703422546, 0.2383211851119995, 0.24652720987796783];[-0.8386055827140808, -0.812456488609314, -0.8207505345344543, -0.8443624377250671, -0.8855105638504028, -0.9045171737670898, -0.9664810299873352, -1.0354106426239014, -0.9669365286827087, -0.9344667792320251, -0.9493253827095032, -1.0826140642166138, -1.0323920249938965, -1.0539008378982544, -1.006537675857544, -0.9598610401153564, -1.0608433485031128, -1.0258344411849976, -1.0819634199142456, -1.0727579593658447, -1.2096072435379028, -1.2243237495422363, -1.2968734502792358, -1.289399266242981, -1.405329942703247, -1.5024625062942505, -1.5637785196304321, -1.5833426713943481, -1.471887469291687, -1.5925624370574951, -1.6050496101379395];[0.40687501430511475, 0.4447513222694397, 0.40193429589271545, 0.38267752528190613, 0.3392923176288605, 0.33080625534057617, 0.24311020970344543, 0.19724062085151672, 0.2086382359266281, 0.23528379201889038, 0.2188718318939209, 0.22850556671619415, 0.23625153303146362, 0.2542549669742584, 0.28117284178733826, 0.3189222812652588, 0.2906768023967743, 0.25259289145469666, 0.20025719702243805, 0.20798394083976746, 0.1879746913909912, 0.14434507489204407, 0.13121867179870605, 0.1213381215929985, 0.10775928944349289, 0.10272470861673355, 0.08774103969335556, 0.07770100980997086, 0.06404183059930801, 0.06142054498195648]
450;[0.7701276540756226, 0.7666698694229126, 0.7788795232772827, 0.803963840007782, 0.8248759508132935, 0.8513491749763489, 0.897715151309967, 0.9221702218055725, 0.9736351370811462, 0.9597612619400024, 0.980380117893219, 0.9823933839797974, 0.9797252416610718, 0.9824590086936951, 0.9889231324195862, 0.962669849395752, 0.9986996650695801, 0.9676064252853394, 0.9839335680007935, 0.9986785650253296, 1.0022015571594238, 1.0276615619659424, 0.987504780292511, 0.9929730892181396, 1.012800931930542, 1.0003737211227417, 1.023582935333252, 0.9949069023132324, 1.0249844789505005, 1.0095741748809814, 1.0209705829620361];[0.03517783433198929, 0.027756866067647934, 0.02891339175403118, 0.05628524720668793, 0.08584055304527283, 0.12294037640094757, 0.18078555166721344, 0.21453046798706055, 0.2682969868183136, 0.25874099135398865, 0.2792612314224243, 0.2842494547367096, 0.28050512075424194, 0.28583601117134094, 0.2911204695701599, 0.26432105898857117, 0.3029639422893524, 0.2737002372741699, 0.29001137614250183, 0.3004952371120453, 0.3066175878047943, 0.3358183801174164, 0.2930840849876404, 0.297853946685791, 0.3105315566062927, 0.3085010349750519, 0.32493650913238525, 0.30133387446403503, 0.3300698399543762, 0.31432852149009705, 0.3267814517021179];[-0.8249574303627014, -0.8068296909332275, -0.8105407953262329, -0.8909432888031006, -0.9758066534996033, -1.086514949798584, -1.2978039979934692, -1.4200435876846313, -1.6747708320617676, -1.6183953285217285, -1.7338227033615112, -1.7333732843399048, -1.7328168153762817, -1.749204397201538, -1.7746524810791016, -1.6733604669570923, -1.8255267143249512, -1.6679574251174927, -1.7366334199905396, -1.8633798360824585, -1.8422961235046387, -1.9618412256240845, -1.786558985710144, -1.8048750162124634, -1.9903733730316162, -1.831356406211853, -2.0077950954437256, -1.8105605840682983, -1.9724630117416382, -1.9083728790283203, -1.9679653644561768];[0.40579500794410706, 0.41647210717201233, 0.3808833956718445, 0.3295930027961731, 0.28449323773384094, 0.23034711182117462, 0.15401063859462738, 0.08629562705755234, 0.06616197526454926, 0.04623798280954361, 0.03230668231844902, 0.032431647181510925, 0.024744201451539993, 0.024606814607977867, 0.018387610092759132, 0.02041773684322834, 0.019832342863082886, 0.016182642430067062, 0.01264014933258295, 0.01480847131460905, 0.013278904370963573, 0.00960430409759283, 0.01032792218029499, 0.010568059049546719, 0.011707263067364693, 0.008345592767000198, 0.006035523489117622, 0.006462793797254562, 0.010044386610388756, 0.00508514977991581]
500;[0.7742420434951782, 0.7762029767036438, 0.8001335263252258, 0.7936752438545227, 0.8158844113349915, 0.8359642624855042, 0.8780237436294556, 0.8559846878051758, 0.878534197807312, 0.8898747563362122, 0.8964038491249084, 0.9012693166732788, 0.9034963250160217, 0.9231851100921631, 0.9243981838226318, 0.9268349409103394, 0.9367126822471619, 0.9257296919822693, 0.9351299405097961, 0.9213122725486755, 0.9235292673110962, 0.9107286334037781, 0.9076684713363647, 0.9263002872467041, 0.908463180065155, 0.9297359585762024, 0.9407148361206055, 0.9169155955314636, 0.9589706063270569, 0.9188361763954163, 0.9378503561019897];[0.036258865147829056, 0.032366953790187836, 0.04329264536499977, 0.03889469429850578, 0.06697606295347214, 0.09287736564874649, 0.14143335819244385, 0.12504467368125916, 0.1603603959083557, 0.17750601470470428, 0.18370260298252106, 0.18964837491512299, 0.19483600556850433, 0.21816931664943695, 0.2203470915555954, 0.22374391555786133, 0.23502874374389648, 0.22535176575183868, 0.23094822466373444, 0.21761846542358398, 0.2222554087638855, 0.21041670441627502, 0.20895947515964508, 0.2220645695924759, 0.20789174735546112, 0.22682784497737885, 0.235306054353714, 0.21460619568824768, 0.2599319517612457, 0.21758030354976654, 0.23506207764148712];[-0.8328738808631897, -0.8191113471984863, -0.8635742664337158, -0.839829683303833, -0.9298495054244995, -1.0282148122787476, -1.2204103469848633, -1.134976863861084, -1.2645313739776611, -1.3258296251296997, -1.3362919092178345, -1.4010369777679443, -1.3894622325897217, -1.4757285118103027, -1.482286810874939, -1.5159478187561035, -1.5715126991271973, -1.5018638372421265, -1.5724372863769531, -1.5135647058486938, -1.5147098302841187, -1.461260199546814, -1.4564292430877686, -1.5593620538711548, -1.4556061029434204, -1.5883432626724243, -1.668625831604004, -1.5252734422683716, -1.709722876548767, -1.5124907493591309, -1.6312896013259888];[0.44624051451683044, 0.40528419613838196, 0.4015498757362366, 0.36949434876441956, 0.3757810592651367, 0.296698659658432, 0.2558979392051697, 0.21223454177379608, 0.1491229236125946, 0.13031916320323944, 0.12245401740074158, 0.11109071969985962, 0.11269055306911469, 0.09566512703895569, 0.08026782423257828, 0.0753689706325531, 0.06760116666555405, 0.06510833650827408, 0.07230529189109802, 0.07888799160718918, 0.07606475800275803, 0.077853724360466, 0.06304021924734116, 0.04667752608656883, 0.03647088631987572, 0.031171228736639023, 0.02770902030169964, 0.023384353145956993, 0.02339193969964981, 0.015436124987900257]
