Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7836557030677795, 0.781523585319519, 0.791957437992096, 0.8018147945404053, 0.8010636568069458, 0.8035079836845398, 0.7915586233139038, 0.7878206968307495, 0.7841722369194031, 0.7745591998100281, 0.7785227298736572, 0.7745867967605591, 0.7828227281570435, 0.7815713286399841, 0.7799561619758606, 0.7808484435081482, 0.7992742657661438, 0.7838919758796692, 0.8006393909454346, 0.8091055154800415, 0.8057048916816711, 0.7793182134628296, 0.7845118045806885, 0.787032961845398, 0.7872493267059326, 0.7825649976730347, 0.7803752422332764, 0.7874478697776794, 0.7914456725120544, 0.782827615737915];[0.04275934398174286, 0.03501847758889198, 0.029802890494465828, 0.03794509917497635, 0.04797026887536049, 0.048194196075201035, 0.05024293065071106, 0.03821786493062973, 0.03902270272374153, 0.03602497652173042, 0.029766781255602837, 0.034683868288993835, 0.03512871265411377, 0.04749785736203194, 0.04865286871790886, 0.058375414460897446, 0.06206495314836502, 0.08327391743659973, 0.07265928387641907, 0.08917926996946335, 0.08999406546354294, 0.09044558554887772, 0.06884311884641647, 0.07336919754743576, 0.07459092140197754, 0.07903970032930374, 0.0749630406498909, 0.07092200219631195, 0.07879828661680222, 0.0836639404296875, 0.07754430174827576];[-0.8513761162757874, -0.8469046354293823, -0.807673454284668, -0.8328796625137329, -0.8672652840614319, -0.8660188317298889, -0.8694575428962708, -0.8338233828544617, -0.8337745070457458, -0.8231878876686096, -0.8126749396324158, -0.8269705772399902, -0.8341657519340515, -0.8660196661949158, -0.8714791536331177, -0.925804078578949, -0.9434699416160583, -1.0163908004760742, -0.9761413335800171, -1.0206780433654785, -1.028160810470581, -1.054692268371582, -0.9482764601707458, -0.9680892825126648, -0.9788172841072083, -0.9893674254417419, -0.9787326455116272, -0.9596182703971863, -1.0174994468688965, -1.0375769138336182, -0.9779341220855713];[0.4498543441295624, 0.40975797176361084, 0.3908154368400574, 0.33646249771118164, 0.3149399757385254, 0.3306948244571686, 0.3297969102859497, 0.3339550197124481, 0.33447006344795227, 0.37958085536956787, 0.3516407012939453, 0.44453004002571106, 0.48894843459129333, 0.5426433682441711, 0.5541965961456299, 0.6069827079772949, 0.583075761795044, 0.6560235619544983, 0.6272132992744446, 0.6575067639350891, 0.6986562609672546, 0.5210794806480408, 0.6053290963172913, 0.46864643692970276, 0.5148157477378845, 0.576468825340271, 0.5225980281829834, 0.46693187952041626, 0.4702080190181732, 0.2731766700744629];1485.8447391986847
100;[0.7740078568458557, 0.7669825553894043, 0.7764067649841309, 0.7877740859985352, 0.7956182360649109, 0.8046927452087402, 0.807524561882019, 0.8147338628768921, 0.8184726238250732, 0.8162679076194763, 0.8325826525688171, 0.8126331567764282, 0.8177674412727356, 0.8227850794792175, 0.8261087536811829, 0.8314977884292603, 0.8275735378265381, 0.8427003026008606, 0.8376488089561462, 0.8305861949920654, 0.8194775581359863, 0.8359623551368713, 0.8316734433174133, 0.8459969162940979, 0.8219207525253296, 0.8350695967674255, 0.8420987129211426, 0.8451679348945618, 0.8478295207023621, 0.8577117323875427, 0.8449130654335022];[0.03575695678591728, 0.033121414482593536, 0.033526863902807236, 0.04387950524687767, 0.04352306202054024, 0.04990902915596962, 0.050271499902009964, 0.06024051085114479, 0.06678115576505661, 0.06282360106706619, 0.07605268806219101, 0.06534457206726074, 0.07020048797130585, 0.0791068896651268, 0.08443813025951385, 0.0911390632390976, 0.09012608975172043, 0.10254647582769394, 0.11025258898735046, 0.10701664537191391, 0.09817314893007278, 0.11829952895641327, 0.10862946510314941, 0.11275012791156769, 0.10920672118663788, 0.1162964478135109, 0.13261035084724426, 0.13495734333992004, 0.13942454755306244, 0.14685989916324615, 0.13728198409080505];[-0.8250949382781982, -0.8195773959159851, -0.8230842351913452, -0.8489372730255127, -0.8574880361557007, -0.8806018233299255, -0.8748188614845276, -0.9085286259651184, -0.9420120716094971, -0.9249334335327148, -1.03969144821167, -0.9323406219482422, -0.9554144144058228, -0.9987436532974243, -1.0169175863265991, -1.038323998451233, -1.0271183252334595, -1.0926947593688965, -1.1005913019180298, -1.09419846534729, -1.0448087453842163, -1.122734546661377, -1.0885145664215088, -1.3043828010559082, -1.0960792303085327, -1.1318275928497314, -1.1933045387268066, -1.2239136695861816, -1.2390937805175781, -1.3081119060516357, -1.220243215560913];[0.43560758233070374, 0.42674756050109863, 0.41300591826438904, 0.3978413939476013, 0.3695043921470642, 0.352744460105896, 0.33209314942359924, 0.3710405230522156, 0.355581134557724, 0.3635381758213043, 0.36910855770111084, 0.42787879705429077, 0.39294320344924927, 0.4140471816062927, 0.4906373620033264, 0.4417867660522461, 0.46504664421081543, 0.5047926902770996, 0.5096107721328735, 0.5087468028068542, 0.5422665476799011, 0.5568049550056458, 0.5395101308822632, 0.5280401110649109, 0.6005398035049438, 0.5896174311637878, 0.5860163569450378, 0.5197156667709351, 0.49618569016456604, 0.579252302646637];1473.8034644126892
150;[0.7738230228424072, 0.7784962058067322, 0.7940027713775635, 0.801292359828949, 0.817281186580658, 0.8182504773139954, 0.8421833515167236, 0.8409773707389832, 0.7995572686195374, 0.8107919692993164, 0.7818991541862488, 0.7821948528289795, 0.7881888747215271, 0.7937591671943665, 0.791647732257843, 0.7697378993034363, 0.7856670618057251, 0.784791886806488, 0.7772871255874634, 0.7837712168693542, 0.7881127595901489, 0.7895241975784302, 0.788722038269043, 0.7850391864776611, 0.763439953327179, 0.7816885113716125, 0.7918446063995361, 0.7758268117904663, 0.7977803349494934, 0.7862167954444885, 0.7872804999351501];[0.0353887565433979, 0.03304619342088699, 0.04699775204062462, 0.05954894423484802, 0.07972068339586258, 0.08256562054157257, 0.11075390875339508, 0.10278942435979843, 0.06324939429759979, 0.06610555946826935, 0.041791755706071854, 0.042390890419483185, 0.05272636190056801, 0.061304979026317596, 0.06381635367870331, 0.049272239208221436, 0.06851513683795929, 0.0582612082362175, 0.062361281365156174, 0.07441606372594833, 0.07837589830160141, 0.08157985657453537, 0.08083982020616531, 0.07684589177370071, 0.05461181700229645, 0.0717293843626976, 0.08087757974863052, 0.06806948781013489, 0.09067973494529724, 0.07828028500080109, 0.07780329883098602];[-0.8276398181915283, -0.8213138580322266, -0.8588107228279114, -0.8943763971328735, -0.9573233127593994, -0.978813111782074, -1.0561000108718872, -1.0247867107391357, -0.8983882069587708, -0.9226129651069641, -0.841600239276886, -0.842525839805603, -0.8775138258934021, -0.9189702868461609, -0.9343692660331726, -0.8744322657585144, -0.9446910619735718, -0.9647957682609558, -0.9228114485740662, -0.9618837833404541, -0.9831333756446838, -0.9874851703643799, -0.9825326204299927, -0.9879608154296875, -0.8987125158309937, -0.9928774237632751, -1.0193336009979248, -0.952070951461792, -1.045921802520752, -0.9929222464561462, -1.0331394672393799];[0.46959537267684937, 0.3919910788536072, 0.3905594050884247, 0.3569178581237793, 0.3444254994392395, 0.31345003843307495, 0.2891177237033844, 0.26714080572128296, 0.2889462411403656, 0.3035910129547119, 0.3092012107372284, 0.39544180035591125, 0.44621264934539795, 0.43995752930641174, 0.4894467890262604, 0.5235536694526672, 0.548795223236084, 0.5474293231964111, 0.5628067851066589, 0.5435483455657959, 0.5929514169692993, 0.5600289702415466, 0.5523003935813904, 0.584402859210968, 0.526413083076477, 0.3002716600894928, 0.43406903743743896, 0.2254447191953659, 0.4187745153903961, 0.6906357407569885];1456.3238303661346
200;[0.7712486386299133, 0.7670489549636841, 0.789919912815094, 0.7890898585319519, 0.8063344359397888, 0.8056724667549133, 0.8210088014602661, 0.8073992133140564, 0.802385151386261, 0.8040649890899658, 0.8137298822402954, 0.7825397849082947, 0.7912471890449524, 0.8130744695663452, 0.8291290402412415, 0.8144186735153198, 0.8265059590339661, 0.8190474510192871, 0.8201595544815063, 0.8391298055648804, 0.8299068808555603, 0.8337423205375671, 0.8349138498306274, 0.824942409992218, 0.8162958025932312, 0.8255637288093567, 0.8084055781364441, 0.8400226831436157, 0.8292359709739685, 0.8248065710067749, 0.8178989291191101];[0.03644751384854317, 0.0297910887748003, 0.041402388364076614, 0.041781213134527206, 0.047735732048749924, 0.05089820921421051, 0.0638209879398346, 0.057889942079782486, 0.063490130007267, 0.07354786992073059, 0.08669492602348328, 0.059334058314561844, 0.07409711182117462, 0.09471876919269562, 0.1121520847082138, 0.09699325263500214, 0.10781972855329514, 0.10178276896476746, 0.10531928390264511, 0.12477673590183258, 0.12164948880672455, 0.12424875795841217, 0.11893576383590698, 0.11085840314626694, 0.10597236454486847, 0.11780203133821487, 0.10250992327928543, 0.13282939791679382, 0.12208160758018494, 0.12123743444681168, 0.1137365847826004];[-0.8304311633110046, -0.8102248311042786, -0.845257580280304, -0.8431909084320068, -0.8863798379898071, -0.8703375458717346, -0.9340482354164124, -0.8993738889694214, -0.9242086410522461, -0.9712058901786804, -1.0092134475708008, -0.9017173051834106, -0.949152946472168, -1.0475382804870605, -1.089803695678711, -1.0424476861953735, -1.0803923606872559, -1.0753958225250244, -1.0837346315383911, -1.168418288230896, -1.14474618434906, -1.1391681432724, -1.1319756507873535, -1.1043237447738647, -1.0714654922485352, -1.123692274093628, -1.0720784664154053, -1.2124741077423096, -1.1498205661773682, -1.1260981559753418, -1.117396593093872];[0.41035547852516174, 0.43268394470214844, 0.40891581773757935, 0.38955602049827576, 0.3769840598106384, 0.3689142167568207, 0.388377845287323, 0.38968685269355774, 0.46093299984931946, 0.498698890209198, 0.505396842956543, 0.5170610547065735, 0.5415917634963989, 0.5709936022758484, 0.5968043804168701, 0.6324518322944641, 0.6812304854393005, 0.6535739302635193, 0.5738499164581299, 0.6273085474967957, 0.5713820457458496, 0.6263426542282104, 0.6427128314971924, 0.5761575102806091, 0.6286120414733887, 0.5860596895217896, 0.611447274684906, 0.5749130249023438, 0.5305870175361633, 0.3785817623138428];1482.8394465446472
250;[0.7790236473083496, 0.7756308913230896, 0.7778539061546326, 0.7972614169120789, 0.8045478463172913, 0.79190993309021, 0.7998402118682861, 0.7923265099525452, 0.7957802414894104, 0.8068193793296814, 0.7853137254714966, 0.7855930328369141, 0.8068493604660034, 0.7912115454673767, 0.7942664623260498, 0.7951668500900269, 0.7757180333137512, 0.7776631116867065, 0.7775289416313171, 0.7519396543502808, 0.7433574199676514, 0.7634338140487671, 0.7734777331352234, 0.7603051662445068, 0.7690827250480652, 0.7749658823013306, 0.7646803855895996, 0.7720009684562683, 0.7727829813957214, 0.7788125276565552, 0.7674580216407776];[0.04095490276813507, 0.04002730920910835, 0.03366905823349953, 0.04691685363650322, 0.04734273627400398, 0.03847770392894745, 0.04305066540837288, 0.041352279484272, 0.043990831822156906, 0.05193670839071274, 0.03979494795203209, 0.04133044555783272, 0.058810994029045105, 0.04379706457257271, 0.050407055765390396, 0.05520147830247879, 0.041715774685144424, 0.050266411155462265, 0.05209033191204071, 0.03175366297364235, 0.027026213705539703, 0.04895598441362381, 0.058033835142850876, 0.049629826098680496, 0.06090641766786575, 0.06569540500640869, 0.0565837062895298, 0.06371311098337173, 0.06461691111326218, 0.07133717834949493, 0.05878998339176178];[-0.8494722843170166, -0.8432409167289734, -0.821128249168396, -0.8595690727233887, -0.8968631625175476, -0.837202787399292, -0.8556885123252869, -0.8416527509689331, -0.8488232493400574, -0.8857992887496948, -0.8428820967674255, -0.844610333442688, -0.9131888151168823, -0.8601606488227844, -0.8721858859062195, -0.8977679014205933, -0.8579798936843872, -0.89529949426651, -0.8990523815155029, -0.8273060917854309, -0.8084970116615295, -0.8869571685791016, -0.9240359663963318, -0.8796601295471191, -0.9271274209022522, -0.9383504390716553, -0.9020777344703674, -0.9316717982292175, -0.9410397410392761, -0.9663113951683044, -0.9217776656150818];[0.43426933884620667, 0.43131405115127563, 0.41601622104644775, 0.3697361350059509, 0.36212489008903503, 0.3466290831565857, 0.351216584444046, 0.3809577524662018, 0.38137733936309814, 0.36960330605506897, 0.35719314217567444, 0.3471048176288605, 0.4064452648162842, 0.3968462347984314, 0.36960938572883606, 0.507318913936615, 0.6205534338951111, 0.5217382907867432, 0.5418449640274048, 0.6018046140670776, 0.4613867700099945, 0.5846980214118958, 0.5310515761375427, 0.4279404878616333, 0.30146610736846924, 0.5280166268348694, 0.3876492977142334, 0.5616474747657776, 0.24249257147312164, 0.3198346197605133];1455.2580244541168
300;[0.7677474617958069, 0.7680361270904541, 0.7902020812034607, 0.7871485352516174, 0.8079038262367249, 0.8087594509124756, 0.7983901500701904, 0.8037318587303162, 0.7961355447769165, 0.8107837438583374, 0.8098334670066833, 0.8186622858047485, 0.8235267996788025, 0.8318637609481812, 0.8253777027130127, 0.825764536857605, 0.8172740340232849, 0.8257090449333191, 0.8022365570068359, 0.810258150100708, 0.8365460634231567, 0.8181466460227966, 0.8304741978645325, 0.8411411046981812, 0.819887638092041, 0.8175091743469238, 0.811194658279419, 0.7970449328422546, 0.7906549572944641, 0.7715609669685364, 0.7813836932182312];[0.03291848674416542, 0.028488263487815857, 0.04400981590151787, 0.038344789296388626, 0.052853453904390335, 0.05107840150594711, 0.044064830988645554, 0.047763582319021225, 0.04330421984195709, 0.058098312467336655, 0.05695805698633194, 0.06927918642759323, 0.07083500921726227, 0.08874629437923431, 0.0923815369606018, 0.09710083156824112, 0.0923130139708519, 0.09412989765405655, 0.07927138358354568, 0.09021847695112228, 0.11430539935827255, 0.09552022814750671, 0.11100536584854126, 0.1176200583577156, 0.10310032963752747, 0.10567101836204529, 0.10258452594280243, 0.08830161392688751, 0.08218838274478912, 0.06324408203363419, 0.07262822985649109];[-0.821944534778595, -0.8086223602294922, -0.8544527292251587, -0.8376052379608154, -0.877410888671875, -0.8758630156517029, -0.8543081283569336, -0.8784210085868835, -0.8540372848510742, -0.8971899151802063, -0.8955121636390686, -0.9389175772666931, -1.0135432481765747, -0.9977625012397766, -1.0147407054901123, -1.0319511890411377, -1.0280249118804932, -1.0562565326690674, -0.9715093970298767, -1.010941505432129, -1.1290286779403687, -1.0381829738616943, -1.0958304405212402, -1.114100456237793, -1.0860240459442139, -1.1042805910110474, -1.0633772611618042, -1.0157663822174072, -0.9995173215866089, -0.9248819351196289, -0.9702807664871216];[0.4320686161518097, 0.44054853916168213, 0.4213526248931885, 0.40083301067352295, 0.4136142134666443, 0.3787693381309509, 0.3626541495323181, 0.408914715051651, 0.4116048812866211, 0.4392002522945404, 0.5015584826469421, 0.4170495569705963, 0.47659340500831604, 0.5311504602432251, 0.5392760634422302, 0.5919549465179443, 0.5728569626808167, 0.5568810701370239, 0.5817317366600037, 0.6314898729324341, 0.663948655128479, 0.642768144607544, 0.7085968255996704, 0.5682519674301147, 0.6443179845809937, 0.5364341139793396, 0.5725919008255005, 0.5355204343795776, 0.5673483610153198, 0.5211412906646729];1459.6565005779266
350;[0.7704355716705322, 0.7803067564964294, 0.8030762076377869, 0.8103308081626892, 0.8092797994613647, 0.8162845373153687, 0.8198902606964111, 0.8298089504241943, 0.8262057900428772, 0.8414029479026794, 0.822335422039032, 0.8233651518821716, 0.8166064023971558, 0.8373857140541077, 0.8198832273483276, 0.8406718969345093, 0.8170002102851868, 0.8204110860824585, 0.8214221596717834, 0.801745593547821, 0.7860376238822937, 0.8007230162620544, 0.7917520999908447, 0.8010728359222412, 0.7864647507667542, 0.7747692465782166, 0.7915085554122925, 0.7768763899803162, 0.7604303956031799, 0.7729231119155884, 0.764870822429657];[0.03398638591170311, 0.036136120557785034, 0.055409159511327744, 0.06075364723801613, 0.059455517679452896, 0.06596864759922028, 0.0664011687040329, 0.07436429709196091, 0.07001478224992752, 0.08489898592233658, 0.06610244512557983, 0.07250344753265381, 0.07008211314678192, 0.09370603412389755, 0.07996026426553726, 0.09789857268333435, 0.08351816982030869, 0.09166298061609268, 0.08839518576860428, 0.07814154028892517, 0.06306007504463196, 0.07864407449960709, 0.06747546046972275, 0.07277323305606842, 0.06748466193675995, 0.06204918399453163, 0.07728311419487, 0.061728835105895996, 0.051486894488334656, 0.06138332188129425, 0.05428146943449974];[-0.8258494138717651, -0.8281016945838928, -0.8893811106681824, -0.9061599373817444, -0.898679256439209, -0.93295818567276, -0.942369282245636, -0.9459394216537476, -0.9392949938774109, -0.9797244071960449, -0.9127752780914307, -0.9446398019790649, -0.9306301474571228, -1.046197533607483, -0.9916858077049255, -1.0755791664123535, -0.9918130040168762, -1.0350677967071533, -1.0439977645874023, -0.9754284024238586, -0.9102972149848938, -0.9811075329780579, -0.9457412958145142, -0.9618138074874878, -0.937394917011261, -0.9192577004432678, -0.9730280041694641, -0.9305015206336975, -0.8969392776489258, -0.9221338629722595, -0.8923788070678711];[0.44662362337112427, 0.4071422219276428, 0.39544641971588135, 0.4091179072856903, 0.40346458554267883, 0.4016284942626953, 0.41978803277015686, 0.35208001732826233, 0.34539085626602173, 0.3181086778640747, 0.2987726032733917, 0.31292665004730225, 0.38914954662323, 0.4662873446941376, 0.45102524757385254, 0.5368635058403015, 0.5534178018569946, 0.5147852301597595, 0.6382750272750854, 0.5467638969421387, 0.5356795787811279, 0.5058369040489197, 0.565353512763977, 0.5257733464241028, 0.5948808193206787, 0.5837758779525757, 0.6881207227706909, 0.6385696530342102, 0.5971337556838989, 0.4951851963996887];1462.3667328357697
400;[0.7718713283538818, 0.7786550521850586, 0.7743942737579346, 0.7792219519615173, 0.7854005694389343, 0.7826268076896667, 0.7846425175666809, 0.7910897731781006, 0.7777305841445923, 0.7800978422164917, 0.7741267085075378, 0.7674667835235596, 0.7644012570381165, 0.7589480876922607, 0.7543702125549316, 0.7576836943626404, 0.7579300999641418, 0.7437191009521484, 0.7430814504623413, 0.7506767511367798, 0.7479984164237976, 0.7578506469726562, 0.7488978505134583, 0.7477359175682068, 0.7442823052406311, 0.7589555978775024, 0.7537951469421387, 0.7575304508209229, 0.7484115362167358, 0.749893069267273, 0.7540256977081299];[0.038732193410396576, 0.035453759133815765, 0.030631287023425102, 0.030324237421154976, 0.03408375754952431, 0.03300813212990761, 0.036164116114377975, 0.041401803493499756, 0.03772282972931862, 0.04280310869216919, 0.04039478302001953, 0.038529977202415466, 0.03901534155011177, 0.0366104319691658, 0.03369868919253349, 0.04058985784649849, 0.04285472631454468, 0.03264934569597244, 0.03316659852862358, 0.039295490831136703, 0.036650072783231735, 0.04506554827094078, 0.038155991584062576, 0.03833875060081482, 0.03655252978205681, 0.05067793279886246, 0.04848979786038399, 0.050768766552209854, 0.040883682668209076, 0.0423685647547245, 0.04558032006025314];[-0.8386055827140808, -0.8273525238037109, -0.8165991902351379, -0.8137441873550415, -0.8228004574775696, -0.8210147619247437, -0.8323487639427185, -0.8542802333831787, -0.8344588875770569, -0.8490685224533081, -0.8443744778633118, -0.8396739959716797, -0.8427401185035706, -0.8318576216697693, -0.8319464325904846, -0.8559061288833618, -0.89139324426651, -0.8246147632598877, -0.8309661149978638, -0.848581850528717, -0.8449895977973938, -0.8798756003379822, -0.8489192128181458, -0.8399345278739929, -0.8393431305885315, -0.8884984254837036, -0.8791019320487976, -0.8873579502105713, -0.8516631722450256, -0.8585711121559143, -0.8735995888710022];[0.40687501430511475, 0.43484175205230713, 0.41295233368873596, 0.40939435362815857, 0.38503965735435486, 0.3855714499950409, 0.39741408824920654, 0.39893701672554016, 0.45401260256767273, 0.49972283840179443, 0.5308473706245422, 0.6332675814628601, 0.5883561372756958, 0.5825069546699524, 0.5579327344894409, 0.533653736114502, 0.5936923027038574, 0.4683209955692291, 0.5107278823852539, 0.41700297594070435, 0.5129793882369995, 0.5069999694824219, 0.452699214220047, 0.4270070195198059, 0.2257527858018875, 0.5328249931335449, 0.21773312985897064, 0.37860605120658875, 0.49172553420066833, 0.27305302023887634];1458.6979625225067
450;[0.7701276540756226, 0.7696455121040344, 0.7765308022499084, 0.7777122855186462, 0.7775368690490723, 0.7744420766830444, 0.7909263372421265, 0.7964619398117065, 0.7914266586303711, 0.7828583717346191, 0.7755421996116638, 0.7751488089561462, 0.7752063870429993, 0.7634927034378052, 0.7749597430229187, 0.7703300714492798, 0.7645180821418762, 0.7724290490150452, 0.7648914456367493, 0.7638837695121765, 0.7702654004096985, 0.7806298732757568, 0.7722862362861633, 0.7760387659072876, 0.7878881692886353, 0.7728410959243774, 0.7857750654220581, 0.7773182392120361, 0.7847275733947754, 0.775864839553833, 0.7818700075149536];[0.03517783433198929, 0.028836417943239212, 0.03227744251489639, 0.03269357606768608, 0.031064430251717567, 0.027527956292033195, 0.04066401720046997, 0.044776156544685364, 0.047588713467121124, 0.0397968515753746, 0.04052028805017471, 0.03524301201105118, 0.04214528203010559, 0.0379326157271862, 0.04659546911716461, 0.04583093151450157, 0.044572412967681885, 0.053287383168935776, 0.05136047303676605, 0.04992897808551788, 0.05641377344727516, 0.06183662638068199, 0.06101749464869499, 0.06364919990301132, 0.07723082602024078, 0.06377005577087402, 0.07613204419612885, 0.06853105872869492, 0.07397834956645966, 0.06916450709104538, 0.07511511445045471];[-0.8249574303627014, -0.8109272718429565, -0.8207564949989319, -0.8219104409217834, -0.8198355436325073, -0.8050519227981567, -0.8424752354621887, -0.8564452528953552, -0.8766294121742249, -0.8605586886405945, -0.8547430634498596, -0.8325787782669067, -0.8710842728614807, -0.839387834072113, -0.8688861131668091, -0.889801561832428, -0.8601850271224976, -0.9089363813400269, -0.8858857154846191, -0.8814878463745117, -0.9104213714599609, -0.9354013204574585, -0.9293854832649231, -0.9413598775863647, -1.0054519176483154, -0.949104905128479, -1.0157638788223267, -0.953385591506958, -0.9891022443771362, -0.9448720812797546, -0.9952508807182312];[0.40579500794410706, 0.416399210691452, 0.42389219999313354, 0.41083618998527527, 0.40958377718925476, 0.3763532042503357, 0.3617578148841858, 0.4104216396808624, 0.4730139672756195, 0.4893186390399933, 0.5121329426765442, 0.5629859566688538, 0.6727674603462219, 0.5368261933326721, 0.52611243724823, 0.5542958974838257, 0.6296861171722412, 0.6382483243942261, 0.6005957126617432, 0.6155532598495483, 0.578330934047699, 0.6910058856010437, 0.6223480701446533, 0.634356677532196, 0.5813525915145874, 0.3752445876598358, 0.35232359170913696, 0.5428910255432129, 0.43630489706993103, 0.4415817856788635];1463.8250648975372
500;[0.7742420434951782, 0.7719260454177856, 0.7931623458862305, 0.7876453995704651, 0.7822649478912354, 0.7903158664703369, 0.7968131303787231, 0.783311128616333, 0.7851918339729309, 0.7817928791046143, 0.774740993976593, 0.7751902937889099, 0.7834327220916748, 0.7888638377189636, 0.7883597612380981, 0.7906453013420105, 0.7890300750732422, 0.7778503894805908, 0.7746003270149231, 0.7728503346443176, 0.7726395726203918, 0.766018807888031, 0.770948588848114, 0.7871761322021484, 0.787790834903717, 0.7795202732086182, 0.8014097213745117, 0.7779075503349304, 0.7981009483337402, 0.7777044177055359, 0.7873924374580383];[0.036258865147829056, 0.02778451144695282, 0.037031181156635284, 0.0313350073993206, 0.0297444649040699, 0.0352434478700161, 0.04102246090769768, 0.030721871182322502, 0.036406420171260834, 0.044166941195726395, 0.04134959354996681, 0.047718167304992676, 0.05209377780556679, 0.050754379481077194, 0.05313187465071678, 0.05420948937535286, 0.057797499001026154, 0.049110762774944305, 0.05493314191699028, 0.05552298203110695, 0.059861548244953156, 0.05432660132646561, 0.06092188134789467, 0.07416649907827377, 0.07524087280035019, 0.06858237087726593, 0.08752153813838959, 0.06799231469631195, 0.09037134796380997, 0.07088711857795715, 0.07662783563137054];[-0.8328738808631897, -0.8095316290855408, -0.8366703391075134, -0.8159748911857605, -0.8097099661827087, -0.8310012817382812, -0.8400644659996033, -0.8146134614944458, -0.8315192461013794, -0.8533952832221985, -0.8495913147926331, -0.8632764220237732, -0.8785145878791809, -0.8810204863548279, -0.8848720788955688, -0.8844287991523743, -0.9066793918609619, -0.8762617707252502, -0.8956161737442017, -0.8947895765304565, -0.9041748046875, -0.8974141478538513, -0.9164543747901917, -0.9634455442428589, -0.9731192588806152, -0.941338300704956, -1.0773823261260986, -0.9659152626991272, -1.0527124404907227, -0.9642521142959595, -1.021978497505188];[0.44624051451683044, 0.4135609269142151, 0.3842768967151642, 0.33778706192970276, 0.3732722997665405, 0.3688100576400757, 0.36492088437080383, 0.38579073548316956, 0.40421062707901, 0.44914710521698, 0.45526909828186035, 0.4621526300907135, 0.5055587887763977, 0.5240194797515869, 0.4513826072216034, 0.6080374121665955, 0.5680618286132812, 0.619255781173706, 0.5647522211074829, 0.4407110810279846, 0.5825484395027161, 0.5112701654434204, 0.6012699007987976, 0.6043827533721924, 0.6466243267059326, 0.6054030060768127, 0.7129388451576233, 0.567804217338562, 0.4440367817878723, 0.43853092193603516];1457.7094321250916
