Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[1.1691153049468994, 1.170282244682312, 1.164792776107788, 1.1618921756744385, 1.1637850999832153, 1.1633031368255615, 1.1630058288574219, 1.16245436668396, 1.1665196418762207, 1.1621050834655762, 1.1582454442977905, 1.1555438041687012, 1.1605976819992065, 1.161912202835083, 1.159008502960205, 1.159759521484375, 1.165771245956421, 1.1695808172225952, 1.1640467643737793, 1.1704418659210205, 1.162097692489624, 1.1680554151535034, 1.1630287170410156, 1.1650582551956177, 1.1606396436691284, 1.164291262626648, 1.1635801792144775, 1.1676249504089355, 1.170997977256775, 1.1656161546707153, 1.1645196676254272];[0.09585244953632355, 0.09685894846916199, 0.09296276420354843, 0.09301744401454926, 0.09511152654886246, 0.09334928542375565, 0.09304389357566833, 0.09265963733196259, 0.09492643177509308, 0.09142474830150604, 0.09038640558719635, 0.08943907171487808, 0.09152121096849442, 0.09080308675765991, 0.08928504586219788, 0.09295730292797089, 0.09315279126167297, 0.09570103138685226, 0.09264756739139557, 0.09383121132850647, 0.09224703162908554, 0.09343638271093369, 0.09462535381317139, 0.09312199801206589, 0.08938062936067581, 0.09281514585018158, 0.09556169807910919, 0.09193160384893417, 0.09657507389783859, 0.0951569601893425, 0.09100592136383057];[-2.1586570739746094, -2.1668567657470703, -2.1383585929870605, -2.1337006092071533, -2.155397415161133, -2.1362712383270264, -2.1206212043762207, -2.1275641918182373, -2.141815423965454, -2.121680736541748, -2.1220171451568604, -2.115800142288208, -2.126028060913086, -2.1179771423339844, -2.1061551570892334, -2.138275384902954, -2.1469383239746094, -2.1474156379699707, -2.1322548389434814, -2.13667893409729, -2.1233906745910645, -2.142536163330078, -2.1304550170898438, -2.124492645263672, -2.1080119609832764, -2.123666763305664, -2.1489157676696777, -2.1282694339752197, -2.1463234424591064, -2.1490535736083984, -2.121103525161743];[0.021408801898360252, 0.022434262558817863, 0.025715960189700127, 0.020686889067292213, 0.02177700214087963, 0.02302468568086624, 0.029601983726024628, 0.020865686237812042, 0.020047996193170547, 0.020823407918214798, 0.025272423401474953, 0.021802546456456184, 0.02243463136255741, 0.023861566558480263, 0.03253229334950447, 0.022498518228530884, 0.026238009333610535, 0.023707730695605278, 0.023934053257107735, 0.021395962685346603, 0.026500379666686058, 0.023026900365948677, 0.018797745928168297, 0.02359265834093094, 0.020345838740468025, 0.02092548832297325, 0.02340780943632126, 0.02317729964852333, 0.01869647204875946, 0.024516452103853226];2350.590307712555
50;[1.6182197332382202, 1.6185431480407715, 1.6143397092819214, 1.6128177642822266, 1.6141149997711182, 1.6142778396606445, 1.6128400564193726, 1.613571047782898, 1.6166908740997314, 1.61125910282135, 1.6100614070892334, 1.6072213649749756, 1.6120305061340332, 1.612574577331543, 1.6106345653533936, 1.611259937286377, 1.6165070533752441, 1.619117021560669, 1.6139957904815674, 1.619969129562378, 1.6126198768615723, 1.6193459033966064, 1.6134428977966309, 1.614688754081726, 1.6118278503417969, 1.6151131391525269, 1.6143559217453003, 1.618638515472412, 1.620954155921936, 1.6171458959579468, 1.6145528554916382];[0.1960361897945404, 0.19721151888370514, 0.1946433037519455, 0.19570845365524292, 0.19664135575294495, 0.19585298001766205, 0.19515234231948853, 0.19522057473659515, 0.19628338515758514, 0.19309207797050476, 0.19438110291957855, 0.1937052607536316, 0.19436506927013397, 0.19312265515327454, 0.19293765723705292, 0.19598227739334106, 0.19490420818328857, 0.19613371789455414, 0.19357335567474365, 0.19404520094394684, 0.19439257681369781, 0.1946382075548172, 0.19694456458091736, 0.19458599388599396, 0.19201785326004028, 0.19423547387123108, 0.1972319632768631, 0.19354906678199768, 0.19735649228096008, 0.1973899006843567, 0.19191746413707733];[-4.32171106338501, -4.321962833404541, -4.298412322998047, -4.29587459564209, -4.331094741821289, -4.299399375915527, -4.257218360900879, -4.278909206390381, -4.300272464752197, -4.2645344734191895, -4.2885003089904785, -4.282679080963135, -4.282188415527344, -4.258284091949463, -4.243002891540527, -4.300771713256836, -4.301351070404053, -4.286962032318115, -4.280123233795166, -4.269644737243652, -4.267575263977051, -4.294309139251709, -4.269471645355225, -4.259866237640381, -4.243308067321777, -4.260722637176514, -4.312004089355469, -4.265923976898193, -4.285192966461182, -4.3020195960998535, -4.244956970214844];[0.021408801898360252, 0.02498176135122776, 0.025541087612509727, 0.020613055676221848, 0.0214040856808424, 0.02109210006892681, 0.029648838564753532, 0.022433476522564888, 0.020610328763723373, 0.028009066358208656, 0.02322499267756939, 0.023259926587343216, 0.02006569877266884, 0.025031743571162224, 0.028832916170358658, 0.02556624263525009, 0.01976889558136463, 0.025012603029608727, 0.024176692590117455, 0.03331061080098152, 0.026702269911766052, 0.022944921627640724, 0.02655046619474888, 0.022558920085430145, 0.023311860859394073, 0.036759428679943085, 0.02108880504965782, 0.019739003852009773, 0.01886666566133499, 0.024365223944187164];2166.5621700286865
100;[1.1636465787887573, 1.1606487035751343, 1.1643898487091064, 1.1614477634429932, 1.1629363298416138, 1.165985345840454, 1.163372278213501, 1.1638386249542236, 1.1639193296432495, 1.1611912250518799, 1.1679977178573608, 1.163123369216919, 1.1658873558044434, 1.1632585525512695, 1.162789225578308, 1.1685216426849365, 1.16386079788208, 1.1636055707931519, 1.1613260507583618, 1.1584515571594238, 1.1601301431655884, 1.1657099723815918, 1.1609529256820679, 1.1689050197601318, 1.1606857776641846, 1.1640897989273071, 1.1638736724853516, 1.1633628606796265, 1.1661856174468994, 1.166038990020752, 1.1613010168075562];[0.09291034936904907, 0.09252821654081345, 0.09301536530256271, 0.09488173574209213, 0.09408493340015411, 0.09395390003919601, 0.09077955782413483, 0.0902162715792656, 0.0904887393116951, 0.09140869230031967, 0.091689832508564, 0.08774563670158386, 0.08910476416349411, 0.09019117057323456, 0.08887816965579987, 0.09287779033184052, 0.08925884962081909, 0.08824177086353302, 0.08737773448228836, 0.09043785184621811, 0.08737094700336456, 0.08794676512479782, 0.08733002841472626, 0.09089677780866623, 0.08929675817489624, 0.08842997252941132, 0.08793353289365768, 0.09116414934396744, 0.08921906352043152, 0.09049604833126068, 0.08865675330162048];[-2.136005401611328, -2.1286568641662598, -2.138188362121582, -2.1360297203063965, -2.1493890285491943, -2.142035722732544, -2.117232322692871, -2.0994505882263184, -2.1097769737243652, -2.1179544925689697, -2.1299962997436523, -2.1004364490509033, -2.108001947402954, -2.1069998741149902, -2.0882582664489746, -2.1167800426483154, -2.1038818359375, -2.098393440246582, -2.091343641281128, -2.1019906997680664, -2.085642099380493, -2.0791659355163574, -2.0938732624053955, -2.2111775875091553, -2.1012120246887207, -2.098142385482788, -2.0813937187194824, -2.105543613433838, -2.091596841812134, -2.096832036972046, -2.097501516342163];[0.025728534907102585, 0.03057299181818962, 0.02360069379210472, 0.021861182525753975, 0.016137145459651947, 0.02590273693203926, 0.02619008906185627, 0.021746965125203133, 0.023774651810526848, 0.023786574602127075, 0.020594093948602676, 0.02314402535557747, 0.025480961427092552, 0.025137875229120255, 0.021650154143571854, 0.016986215487122536, 0.024734290316700935, 0.020141806453466415, 0.024640368297696114, 0.029076561331748962, 0.027176842093467712, 0.02095976285636425, 0.026518482714891434, 0.04118489846587181, 0.02200254797935486, 0.02156384289264679, 0.02162880077958107, 0.020451121032238007, 0.02200866863131523, 0.029470238834619522];2278.0421512126923
100;[1.6148221492767334, 1.6108654737472534, 1.616183876991272, 1.6106128692626953, 1.613991618156433, 1.6162251234054565, 1.614132046699524, 1.6136432886123657, 1.61478853225708, 1.612607479095459, 1.6194889545440674, 1.6138631105422974, 1.6180435419082642, 1.6144323348999023, 1.6133276224136353, 1.6175944805145264, 1.6160086393356323, 1.6164087057113647, 1.612076997756958, 1.610198736190796, 1.6112077236175537, 1.6160589456558228, 1.613925576210022, 1.6197588443756104, 1.6127535104751587, 1.6158944368362427, 1.6138455867767334, 1.6141574382781982, 1.616581916809082, 1.616337537765503, 1.612438440322876];[0.19523769617080688, 0.19537970423698425, 0.1958569586277008, 0.19693493843078613, 0.196780726313591, 0.19595862925052643, 0.193496972322464, 0.1930146962404251, 0.19401095807552338, 0.1950821727514267, 0.19534319639205933, 0.19029942154884338, 0.19261041283607483, 0.19335941970348358, 0.1916024088859558, 0.1938861757516861, 0.19267748296260834, 0.1919289082288742, 0.19084487855434418, 0.19470243155956268, 0.1912609487771988, 0.19015052914619446, 0.19116823375225067, 0.19433516263961792, 0.1925487369298935, 0.19162088632583618, 0.18981894850730896, 0.19377075135707855, 0.19129393994808197, 0.19233869016170502, 0.19207929074764252];[-4.304330825805664, -4.286806106567383, -4.311684608459473, -4.308568477630615, -4.333338737487793, -4.311336994171143, -4.270683765411377, -4.220093727111816, -4.252921104431152, -4.274322032928467, -4.276378154754639, -4.236952781677246, -4.256937026977539, -4.24250602722168, -4.20444393157959, -4.2426886558532715, -4.234645843505859, -4.234984874725342, -4.219719886779785, -4.25, -4.211650848388672, -4.176326751708984, -4.232831954956055, -4.3308892250061035, -4.236285209655762, -4.223419666290283, -4.185161113739014, -4.246437072753906, -4.193429946899414, -4.215127944946289, -4.222292900085449];[0.025728534907102585, 0.02593972720205784, 0.023761199787259102, 0.02133590541779995, 0.01879720762372017, 0.022585134953260422, 0.021239710971713066, 0.021515879780054092, 0.026567751541733742, 0.024212980642914772, 0.023395216092467308, 0.024157069623470306, 0.024391157552599907, 0.021183200180530548, 0.017780553549528122, 0.020034030079841614, 0.021835027262568474, 0.02310914732515812, 0.022875463590025902, 0.01777690462768078, 0.01799759455025196, 0.02365264855325222, 0.027142614126205444, 0.03453892841935158, 0.02331978641450405, 0.02699390985071659, 0.01929914951324463, 0.029904503375291824, 0.025026971474289894, 0.030619194731116295];2289.475611925125
150;[1.1630229949951172, 1.1611398458480835, 1.1606554985046387, 1.163760781288147, 1.1605867147445679, 1.1651054620742798, 1.1652973890304565, 1.1711467504501343, 1.1554216146469116, 1.1687915325164795, 1.1593217849731445, 1.1619733572006226, 1.1648056507110596, 1.1664563417434692, 1.165891170501709, 1.155898928642273, 1.1659533977508545, 1.1705098152160645, 1.1582599878311157, 1.1585807800292969, 1.165837049484253, 1.1593537330627441, 1.162095069885254, 1.1629436016082764, 1.157306432723999, 1.168505072593689, 1.1659914255142212, 1.158998727798462, 1.1662195920944214, 1.1604344844818115, 1.1674326658248901];[0.09222948551177979, 0.08982311934232712, 0.09338296204805374, 0.09353798627853394, 0.09458751976490021, 0.09439512342214584, 0.09449857473373413, 0.0964873731136322, 0.09008092433214188, 0.09644154459238052, 0.09067735075950623, 0.09350933134555817, 0.09299995005130768, 0.09317070990800858, 0.09218396246433258, 0.08890987932682037, 0.09214796870946884, 0.09315339475870132, 0.09076203405857086, 0.08899427950382233, 0.08930157124996185, 0.08857634663581848, 0.08925655484199524, 0.09009703993797302, 0.08862628042697906, 0.09323932230472565, 0.0910910815000534, 0.08977280557155609, 0.09126194566488266, 0.09217720478773117, 0.09314301609992981];[-2.1348283290863037, -2.1223275661468506, -2.141754388809204, -2.1417574882507324, -2.154073715209961, -2.156188488006592, -2.1429033279418945, -2.155747890472412, -2.122532606124878, -2.1446239948272705, -2.124237537384033, -2.139216423034668, -2.131889581680298, -2.1308515071868896, -2.134786367416382, -2.114227771759033, -2.1159844398498535, -2.1557085514068604, -2.1229119300842285, -2.1096243858337402, -2.1058802604675293, -2.099461317062378, -2.1015236377716064, -2.1201248168945312, -2.1047778129577637, -2.129188060760498, -2.1088225841522217, -2.1140801906585693, -2.1119678020477295, -2.1219241619110107, -2.1157639026641846];[0.021650508046150208, 0.024912262335419655, 0.02634473890066147, 0.02601095288991928, 0.022851888090372086, 0.020594600588083267, 0.021910862997174263, 0.020481422543525696, 0.023271460086107254, 0.02443573996424675, 0.026782222092151642, 0.035710982978343964, 0.022735076025128365, 0.022858574986457825, 0.025249678641557693, 0.021123113110661507, 0.015340803191065788, 0.027959538623690605, 0.025468308478593826, 0.02293926104903221, 0.03155674412846565, 0.021735381335020065, 0.02348484843969345, 0.025293223559856415, 0.025527676567435265, 0.025310056284070015, 0.024035537615418434, 0.023957889527082443, 0.024720419198274612, 0.02338773012161255];2270.629681110382
150;[1.6139203310012817, 1.6126511096954346, 1.6115601062774658, 1.615211009979248, 1.61227285861969, 1.6156225204467773, 1.6152763366699219, 1.6206516027450562, 1.6077549457550049, 1.6181737184524536, 1.610553503036499, 1.6123605966567993, 1.6150215864181519, 1.6181656122207642, 1.616982102394104, 1.6093710660934448, 1.6152679920196533, 1.6204167604446411, 1.6104475259780884, 1.6112432479858398, 1.6172622442245483, 1.6102131605148315, 1.614349365234375, 1.6147934198379517, 1.609368920326233, 1.619121789932251, 1.6168466806411743, 1.61142897605896, 1.6170977354049683, 1.6121550798416138, 1.6185458898544312];[0.1945616751909256, 0.19224490225315094, 0.19642601907253265, 0.1961561143398285, 0.19768701493740082, 0.1966211497783661, 0.19593767821788788, 0.1970355212688446, 0.19435812532901764, 0.1971893161535263, 0.19398096203804016, 0.19564010202884674, 0.1948413997888565, 0.19520989060401917, 0.19459058344364166, 0.19412365555763245, 0.1935100555419922, 0.1951785385608673, 0.19462886452674866, 0.19315969944000244, 0.19187869131565094, 0.19221468269824982, 0.19261693954467773, 0.19313940405845642, 0.19237260520458221, 0.19514206051826477, 0.1936723291873932, 0.19381563365459442, 0.19317761063575745, 0.19574229419231415, 0.19543881714344025];[-4.298182010650635, -4.278297424316406, -4.326938629150391, -4.317755699157715, -4.344609260559082, -4.336335182189941, -4.3067216873168945, -4.311955451965332, -4.298910140991211, -4.29984188079834, -4.287408828735352, -4.30812931060791, -4.2820725440979, -4.277451992034912, -4.294291973114014, -4.297604084014893, -4.24514627456665, -4.297257900238037, -4.285671234130859, -4.269240379333496, -4.241806507110596, -4.2355780601501465, -4.244494438171387, -4.271947383880615, -4.263271808624268, -4.270004749298096, -4.240964889526367, -4.273980140686035, -4.24595832824707, -4.28778076171875, -4.259513854980469];[0.021650508046150208, 0.024868054315447807, 0.02014947310090065, 0.02589147724211216, 0.023202458396553993, 0.0209499541670084, 0.01843975856900215, 0.023037999868392944, 0.02115940861403942, 0.021328743547201157, 0.03489115089178085, 0.0402878075838089, 0.02327841892838478, 0.021204348653554916, 0.026466136798262596, 0.030398722738027573, 0.023940490558743477, 0.024175940081477165, 0.028023473918437958, 0.020808475092053413, 0.021423067897558212, 0.0212619099766016, 0.024581564590334892, 0.02219153568148613, 0.02849818393588066, 0.023179523646831512, 0.026977183297276497, 0.024169739335775375, 0.02139868214726448, 0.025568192824721336];2255.1028983592987
200;[1.1612826585769653, 1.1565665006637573, 1.1664457321166992, 1.160581111907959, 1.1673322916030884, 1.1617445945739746, 1.16965651512146, 1.159671664237976, 1.1610310077667236, 1.1614022254943848, 1.1628633737564087, 1.1564749479293823, 1.154884696006775, 1.1629446744918823, 1.1606277227401733, 1.1618962287902832, 1.1665366888046265, 1.1638054847717285, 1.1625785827636719, 1.1680994033813477, 1.1636731624603271, 1.160140037536621, 1.1624590158462524, 1.1678555011749268, 1.1559386253356934, 1.163906216621399, 1.1591265201568604, 1.1661180257797241, 1.1603599786758423, 1.1605499982833862, 1.1599980592727661];[0.0945221334695816, 0.09093112498521805, 0.09410346299409866, 0.09298495948314667, 0.09535203874111176, 0.09369449317455292, 0.0978035107254982, 0.09204660356044769, 0.09637609869241714, 0.09685365110635757, 0.09754016995429993, 0.09356808662414551, 0.09543748199939728, 0.09650828689336777, 0.09667693078517914, 0.0950467512011528, 0.09790732711553574, 0.09569069743156433, 0.096175417304039, 0.09817187488079071, 0.09747596830129623, 0.09489858895540237, 0.09926451742649078, 0.09831823408603668, 0.09487321227788925, 0.09713949263095856, 0.09329245984554291, 0.09708984196186066, 0.09546270221471786, 0.09312661737203598, 0.09473778307437897];[-2.1454927921295166, -2.134719133377075, -2.153795003890991, -2.14044189453125, -2.1557211875915527, -2.1469712257385254, -2.1744868755340576, -2.141273021697998, -2.1619040966033936, -2.1771183013916016, -2.1775710582733154, -2.1558947563171387, -2.164137125015259, -2.179306983947754, -2.173191547393799, -2.165524482727051, -2.1833081245422363, -2.1700291633605957, -2.1645407676696777, -2.177250862121582, -2.1726760864257812, -2.16597580909729, -2.1803581714630127, -2.1813275814056396, -2.1626970767974854, -2.1849493980407715, -2.1541948318481445, -2.1708154678344727, -2.1643223762512207, -2.1567065715789795, -2.1635615825653076];[0.02319033443927765, 0.019771095365285873, 0.02854975312948227, 0.022169217467308044, 0.025259528309106827, 0.02694312110543251, 0.023919088765978813, 0.022064946591854095, 0.024627195671200752, 0.023399416357278824, 0.02508656308054924, 0.022746775299310684, 0.02332102321088314, 0.025650419294834137, 0.02632630243897438, 0.027938855811953545, 0.023713838309049606, 0.02007119543850422, 0.03066396713256836, 0.03297574818134308, 0.023525629192590714, 0.027966279536485672, 0.020776942372322083, 0.02075636200606823, 0.021629104390740395, 0.02478671632707119, 0.025324486196041107, 0.025598475709557533, 0.023283062502741814, 0.023592960089445114];2168.5657658576965
200;[1.6124927997589111, 1.607646107673645, 1.6163721084594727, 1.61093008518219, 1.616853952407837, 1.612526535987854, 1.6192739009857178, 1.610085129737854, 1.6113096475601196, 1.6115859746932983, 1.6128647327423096, 1.6089218854904175, 1.6066524982452393, 1.613713264465332, 1.6125537157058716, 1.6127142906188965, 1.6168913841247559, 1.6136524677276611, 1.6124482154846191, 1.6171680688858032, 1.6134737730026245, 1.610421895980835, 1.6119585037231445, 1.6167516708374023, 1.607909083366394, 1.6148521900177002, 1.6096516847610474, 1.6153383255004883, 1.6112511157989502, 1.6110572814941406, 1.6095539331436157];[0.19693005084991455, 0.1944265216588974, 0.1956077516078949, 0.19560907781124115, 0.19790269434452057, 0.1969607025384903, 0.19903147220611572, 0.1956253945827484, 0.1991799920797348, 0.19933661818504333, 0.20003893971443176, 0.1987183541059494, 0.20006096363067627, 0.19950571656227112, 0.2001330703496933, 0.19811436533927917, 0.1994638293981552, 0.19769929349422455, 0.1986490935087204, 0.19973504543304443, 0.19954225420951843, 0.19816122949123383, 0.20168182253837585, 0.1995309740304947, 0.19941748678684235, 0.1998598277568817, 0.1970129758119583, 0.1992332935333252, 0.19905534386634827, 0.19631034135818481, 0.19821883738040924];[-4.322001934051514, -4.320207118988037, -4.33772087097168, -4.322842597961426, -4.341622352600098, -4.341582775115967, -4.3613457679748535, -4.337944030761719, -4.369664192199707, -4.401952266693115, -4.394930839538574, -4.393539905548096, -4.406823635101318, -4.40359354019165, -4.401874542236328, -4.376641273498535, -4.409276485443115, -4.382400989532471, -4.380796432495117, -4.385501861572266, -4.390348434448242, -4.386414051055908, -4.404906272888184, -4.398493766784668, -4.396297931671143, -4.421848773956299, -4.382612705230713, -4.3827385902404785, -4.3938517570495605, -4.378494739532471, -4.388136386871338];[0.02319033443927765, 0.021173883229494095, 0.0340321846306324, 0.022890113294124603, 0.025373514741659164, 0.027150262147188187, 0.022685803472995758, 0.02381226420402527, 0.025368312373757362, 0.018909910693764687, 0.020482219755649567, 0.026103723794221878, 0.01941720023751259, 0.027175389230251312, 0.019889473915100098, 0.023134084418416023, 0.02418537065386772, 0.021898452192544937, 0.030977200716733932, 0.029629359021782875, 0.02149093896150589, 0.023291394114494324, 0.021915191784501076, 0.02577381208539009, 0.02778138965368271, 0.023887109011411667, 0.02259851060807705, 0.020942049100995064, 0.02237505093216896, 0.02494140900671482];2298.461016893387
250;[1.167892575263977, 1.1616675853729248, 1.1640201807022095, 1.1683518886566162, 1.1694499254226685, 1.1636173725128174, 1.1658432483673096, 1.1587326526641846, 1.1608830690383911, 1.1671062707901, 1.1536438465118408, 1.161858320236206, 1.167206048965454, 1.1551084518432617, 1.15900719165802, 1.157891869544983, 1.154464602470398, 1.1642868518829346, 1.1591359376907349, 1.158184289932251, 1.1544413566589355, 1.1670753955841064, 1.166419506072998, 1.153092622756958, 1.1567116975784302, 1.1580239534378052, 1.1509863138198853, 1.1574474573135376, 1.1562910079956055, 1.1602095365524292, 1.154451847076416];[0.09595180302858353, 0.09608734399080276, 0.09257448464632034, 0.09747149795293808, 0.09784238040447235, 0.09423811733722687, 0.09187664091587067, 0.09195929765701294, 0.09107990562915802, 0.09567630290985107, 0.09141194820404053, 0.093397356569767, 0.096439428627491, 0.0911012589931488, 0.09237164258956909, 0.09259188175201416, 0.08983587473630905, 0.09512075781822205, 0.09129369258880615, 0.09192848205566406, 0.09052015841007233, 0.09480547159910202, 0.09340334683656693, 0.08907385915517807, 0.09101704508066177, 0.08925393968820572, 0.08825602382421494, 0.08984833210706711, 0.09063366055488586, 0.09260803461074829, 0.09067973494529724];[-2.164726972579956, -2.16178297996521, -2.1364400386810303, -2.16750431060791, -2.1954290866851807, -2.1455910205841064, -2.1389169692993164, -2.1286685466766357, -2.123060941696167, -2.1664533615112305, -2.129227638244629, -2.1493818759918213, -2.155102252960205, -2.129563093185425, -2.134098529815674, -2.1388351917266846, -2.1260530948638916, -2.165456533432007, -2.131577253341675, -2.1346771717071533, -2.1304218769073486, -2.133985757827759, -2.136749505996704, -2.1144161224365234, -2.123121976852417, -2.109482526779175, -2.1139864921569824, -2.115044116973877, -2.1213998794555664, -2.1278722286224365, -2.129685401916504];[0.023616217076778412, 0.01918402872979641, 0.04030144214630127, 0.02385358139872551, 0.02189403586089611, 0.02151142619550228, 0.027459753677248955, 0.024077417328953743, 0.027722354978322983, 0.021953819319605827, 0.02540302835404873, 0.023902341723442078, 0.022710826247930527, 0.028122123330831528, 0.0252654068171978, 0.02173348143696785, 0.028397247195243835, 0.028101608157157898, 0.020533734932541847, 0.022305363789200783, 0.022979306057095528, 0.02591055817902088, 0.026940537616610527, 0.024322574958205223, 0.020395105704665184, 0.03237046301364899, 0.024655627086758614, 0.02810710482299328, 0.022873181849718094, 0.026983968913555145];2130.5003447532654
250;[1.6186182498931885, 1.6128242015838623, 1.6153639554977417, 1.617820382118225, 1.6194015741348267, 1.6141904592514038, 1.617904543876648, 1.610509991645813, 1.611262321472168, 1.617643117904663, 1.606123685836792, 1.6126224994659424, 1.6176668405532837, 1.6076865196228027, 1.6105233430862427, 1.6098414659500122, 1.6083229780197144, 1.616121768951416, 1.6111384630203247, 1.6109704971313477, 1.6068029403686523, 1.6170079708099365, 1.6168781518936157, 1.6059272289276123, 1.6077067852020264, 1.6103063821792603, 1.6036213636398315, 1.6103047132492065, 1.6077255010604858, 1.612760066986084, 1.6075949668884277];[0.19714635610580444, 0.19799771904945374, 0.19494719803333282, 0.19751384854316711, 0.19851019978523254, 0.1960420161485672, 0.19427740573883057, 0.1952214241027832, 0.1939004361629486, 0.19726133346557617, 0.19653412699699402, 0.19582045078277588, 0.19766022264957428, 0.19590920209884644, 0.19530841708183289, 0.19631929695606232, 0.19525006413459778, 0.19770243763923645, 0.19490967690944672, 0.1962386816740036, 0.19497990608215332, 0.1960599273443222, 0.19500461220741272, 0.19375130534172058, 0.1943007856607437, 0.1931823343038559, 0.19329354166984558, 0.19408442080020905, 0.1945999562740326, 0.19612890481948853, 0.19534951448440552];[-4.344611167907715, -4.3509721755981445, -4.305314064025879, -4.333225727081299, -4.374269485473633, -4.309732437133789, -4.296750068664551, -4.291728973388672, -4.280697345733643, -4.337287425994873, -4.317715644836426, -4.334168910980225, -4.32395601272583, -4.324125289916992, -4.308424949645996, -4.324301242828369, -4.320381164550781, -4.369244575500488, -4.3071794509887695, -4.326307773590088, -4.3257222175598145, -4.280401229858398, -4.29474401473999, -4.292773246765137, -4.297375679016113, -4.264392852783203, -4.298009395599365, -4.280165195465088, -4.291032314300537, -4.2948174476623535, -4.323782920837402];[0.023616217076778412, 0.022011423483490944, 0.040334008634090424, 0.019566748291254044, 0.025002362206578255, 0.02224142849445343, 0.020250963047146797, 0.022076109424233437, 0.023770812898874283, 0.021964997053146362, 0.025501646101474762, 0.02063177525997162, 0.022533170878887177, 0.027222217991948128, 0.025102486833930016, 0.029024794697761536, 0.025947336107492447, 0.02259768731892109, 0.01888640969991684, 0.023682227358222008, 0.023568499833345413, 0.032798830419778824, 0.0260599497705698, 0.028516998514533043, 0.02112705633044243, 0.018535610288381577, 0.022976357489824295, 0.02924652211368084, 0.030858447775244713, 0.023981917649507523];2128.05241894722
