Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7740139961242676, 0.7753456830978394, 0.7757976055145264, 0.7757847905158997, 0.7760569453239441, 0.7742875218391418, 0.7813211679458618, 0.7786116003990173, 0.7772131562232971, 0.7690086960792542, 0.775935173034668, 0.7703466415405273, 0.7774584293365479, 0.7694240808486938, 0.7670333385467529, 0.7779920697212219, 0.7764684557914734, 0.7766064405441284, 0.7753113508224487, 0.7740512490272522, 0.7808826565742493, 0.7745374441146851, 0.7787287831306458, 0.7701689600944519, 0.7781878709793091, 0.7778328657150269, 0.7716929316520691, 0.7828654646873474, 0.7737260460853577, 0.7773000001907349];[0.04275934398174286, 0.034091219305992126, 0.03579848259687424, 0.036780260503292084, 0.03656550496816635, 0.0352741964161396, 0.035349491983652115, 0.03929828479886055, 0.0391387939453125, 0.035926494747400284, 0.029417332261800766, 0.03758196160197258, 0.03179165720939636, 0.036603279411792755, 0.027926964685320854, 0.029112646356225014, 0.034281983971595764, 0.034453265368938446, 0.03496234863996506, 0.034449536353349686, 0.03299451246857643, 0.0392056405544281, 0.03493080660700798, 0.03777486830949783, 0.02808471955358982, 0.035281628370285034, 0.0378364697098732, 0.02871011570096016, 0.03684505075216293, 0.03163842856884003, 0.03346742317080498];[-0.8513761162757874, -0.8207434415817261, -0.83001708984375, -0.8286950588226318, -0.8345511555671692, -0.8299016952514648, -0.8245446085929871, -0.8385392427444458, -0.8361282348632812, -0.8318318128585815, -0.8121418356895447, -0.8431980013847351, -0.8130125999450684, -0.8328006267547607, -0.8072860240936279, -0.8111904263496399, -0.8305968046188354, -0.8222056031227112, -0.8273454308509827, -0.8286266922950745, -0.8212842345237732, -0.8381044864654541, -0.823771059513092, -0.8340299129486084, -0.8061167001724243, -0.8291079998016357, -0.8312097191810608, -0.8084089159965515, -0.8410341143608093, -0.8202073574066162, -0.820792555809021];[0.021408801898360252, 0.024547051638364792, 0.023147452622652054, 0.02616000361740589, 0.02049613744020462, 0.023372717201709747, 0.026169806718826294, 0.020325956866145134, 0.02463839203119278, 0.03142480179667473, 0.020667968317866325, 0.024944599717855453, 0.026957228779792786, 0.027507243677973747, 0.021450867876410484, 0.02083631046116352, 0.02619543857872486, 0.022838125005364418, 0.02717610076069832, 0.020771799609065056, 0.020656101405620575, 0.021964170038700104, 0.024358095601201057, 0.02909339778125286, 0.018506132066249847, 0.03286231681704521, 0.02128136157989502, 0.023079458624124527, 0.026716701686382294, 0.019276872277259827]
100;[0.7740078568458557, 0.7716709971427917, 0.7720111012458801, 0.7719808220863342, 0.7705755829811096, 0.7752052545547485, 0.7724993228912354, 0.774886965751648, 0.7748591899871826, 0.7680598497390747, 0.7745976448059082, 0.7710968255996704, 0.7742578387260437, 0.7720960974693298, 0.7734494805335999, 0.7743788361549377, 0.7724628448486328, 0.7805642485618591, 0.771673321723938, 0.777314305305481, 0.7720701694488525, 0.7842192053794861, 0.7713943123817444, 0.7778709530830383, 0.7706464529037476, 0.7691543698310852, 0.7809479832649231, 0.7702996730804443, 0.7796915173530579, 0.7687740325927734, 0.770996630191803];[0.03575695678591728, 0.03620659187436104, 0.03372655808925629, 0.03487742692232132, 0.036629751324653625, 0.0369667187333107, 0.03581791743636131, 0.03532755747437477, 0.03439895063638687, 0.031921885907649994, 0.0334121510386467, 0.03235860541462898, 0.03401963785290718, 0.034091100096702576, 0.033586129546165466, 0.0348210483789444, 0.03409973159432411, 0.039016835391521454, 0.03204090893268585, 0.0387362465262413, 0.03288273513317108, 0.041056081652641296, 0.03216201066970825, 0.03911600634455681, 0.03399958088994026, 0.02999001182615757, 0.038380078971385956, 0.03433971852064133, 0.03812677040696144, 0.030605414882302284, 0.03048255294561386];[-0.8250949382781982, -0.8275513648986816, -0.8213545083999634, -0.8265069723129272, -0.829658567905426, -0.8302248120307922, -0.835995078086853, -0.8326799273490906, -0.8251144886016846, -0.8226789832115173, -0.8511902689933777, -0.8197265863418579, -0.8266456127166748, -0.8261595368385315, -0.8207090497016907, -0.8272287845611572, -0.8276598453521729, -0.8552641868591309, -0.8148756623268127, -0.8490617275238037, -0.8192213177680969, -0.8426986932754517, -0.8209577798843384, -0.8401875495910645, -0.8249245285987854, -0.8117974996566772, -0.8348008990287781, -0.8240939378738403, -0.8413937091827393, -0.8130205273628235, -0.8206233978271484];[0.025728534907102585, 0.019424699246883392, 0.023279398679733276, 0.02499496564269066, 0.026336638256907463, 0.02327241748571396, 0.024962464347481728, 0.02427084743976593, 0.020792514085769653, 0.02357962541282177, 0.029247231781482697, 0.017813626676797867, 0.024941710755228996, 0.02358277514576912, 0.023202497512102127, 0.027627557516098022, 0.03527508303523064, 0.02284560166299343, 0.019805599004030228, 0.021587315946817398, 0.018734265118837357, 0.024931028485298157, 0.020061561837792397, 0.023462679237127304, 0.019542336463928223, 0.02161422371864319, 0.02072121948003769, 0.022530928254127502, 0.027315430343151093, 0.032535307109355927]
150;[0.7738230228424072, 0.7756107449531555, 0.7682534456253052, 0.7669545412063599, 0.769681990146637, 0.771903395652771, 0.7754413485527039, 0.7736716270446777, 0.7626188397407532, 0.7694061398506165, 0.7672990560531616, 0.767021656036377, 0.7748536467552185, 0.7677000164985657, 0.774597704410553, 0.7662895321846008, 0.778058648109436, 0.7685413956642151, 0.7673764824867249, 0.7664631605148315, 0.7757907509803772, 0.7744795680046082, 0.7718108892440796, 0.7680928707122803, 0.7679658532142639, 0.7696473002433777, 0.7759566903114319, 0.763754665851593, 0.7775114178657532, 0.7745067477226257, 0.7753873467445374];[0.0353887565433979, 0.03621524199843407, 0.03182322531938553, 0.03164174407720566, 0.034311577677726746, 0.03540205582976341, 0.03813079372048378, 0.03370402380824089, 0.02690523862838745, 0.03090398572385311, 0.030359996482729912, 0.02973296493291855, 0.03700175881385803, 0.032374244183301926, 0.03647031635046005, 0.030625758692622185, 0.04048324003815651, 0.03294585645198822, 0.03193924203515053, 0.029872730374336243, 0.03579180687665939, 0.037344761192798615, 0.03423844650387764, 0.032311879098415375, 0.0329781249165535, 0.033311039209365845, 0.03671703487634659, 0.02890072390437126, 0.03871123865246773, 0.03765283152461052, 0.036913447082042694];[-0.8276398181915283, -0.8332293629646301, -0.818751335144043, -0.8205045461654663, -0.8253124356269836, -0.8302578926086426, -0.838674783706665, -0.8232914209365845, -0.803361713886261, -0.815544068813324, -0.8113434910774231, -0.8108230829238892, -0.8320164680480957, -0.8191709518432617, -0.8297194838523865, -0.8140609264373779, -0.8399321436882019, -0.8192592263221741, -0.820173442363739, -0.8111830949783325, -0.8282710909843445, -0.8345463871955872, -0.8202796578407288, -0.8221017718315125, -0.8213439583778381, -0.8216433525085449, -0.8337740898132324, -0.8074824810028076, -0.8346806764602661, -0.8390079140663147, -0.8404340744018555];[0.021650508046150208, 0.025430437177419662, 0.026679225265979767, 0.02439837157726288, 0.022774001583456993, 0.026389431208372116, 0.020487168803811073, 0.027540886774659157, 0.023206939920783043, 0.022634707391262054, 0.020585976541042328, 0.0263101514428854, 0.021397722885012627, 0.019855616614222527, 0.0254085510969162, 0.01880766451358795, 0.021888533607125282, 0.020097270607948303, 0.02312455326318741, 0.024871904402971268, 0.0233704075217247, 0.02906835451722145, 0.024083303287625313, 0.02949964813888073, 0.028496019542217255, 0.030262695625424385, 0.026849104091525078, 0.02371376007795334, 0.020109621807932854, 0.02305164933204651]
200;[0.7712486386299133, 0.7733103632926941, 0.7771385312080383, 0.7686880230903625, 0.7784332633018494, 0.7788955569267273, 0.7835105061531067, 0.7817298173904419, 0.7763402462005615, 0.7737654447555542, 0.7814400792121887, 0.7779245376586914, 0.7724443674087524, 0.7818987369537354, 0.7798861861228943, 0.7852476835250854, 0.7828097939491272, 0.7757497429847717, 0.7819787859916687, 0.7891221642494202, 0.78605055809021, 0.7828643321990967, 0.788885235786438, 0.7834235429763794, 0.7771999835968018, 0.7831015586853027, 0.7837270498275757, 0.7889522314071655, 0.7822822332382202, 0.7839581966400146, 0.7862756252288818];[0.03644751384854317, 0.03953959420323372, 0.03742057830095291, 0.033865559846162796, 0.03700745105743408, 0.03891195356845856, 0.04177006334066391, 0.037775877863168716, 0.03654151409864426, 0.03415979817509651, 0.040744055062532425, 0.03809721767902374, 0.03335057571530342, 0.04048139229416847, 0.03864700719714165, 0.04128989949822426, 0.04090307280421257, 0.033114880323410034, 0.038425512611866, 0.043622151017189026, 0.04110187292098999, 0.038391727954149246, 0.04413223639130592, 0.035886090248823166, 0.035440582782030106, 0.03973736986517906, 0.03680925816297531, 0.041847243905067444, 0.03631765767931938, 0.038468971848487854, 0.03920229524374008];[-0.8304311633110046, -0.8398615121841431, -0.8408666849136353, -0.8203737735748291, -0.8443155884742737, -0.8387441039085388, -0.8515166640281677, -0.8330373167991638, -0.8298301100730896, -0.8245759010314941, -0.841414749622345, -0.8365409970283508, -0.8210458159446716, -0.8445395231246948, -0.835830807685852, -0.8479966521263123, -0.8463243842124939, -0.8248445987701416, -0.8432271480560303, -0.8546620607376099, -0.8450976610183716, -0.841822624206543, -0.8580747842788696, -0.8260353207588196, -0.8258630633354187, -0.8376877307891846, -0.8343316912651062, -0.847048819065094, -0.8320173025131226, -0.8340011835098267, -0.8372634053230286];[0.02319033443927765, 0.023238731548190117, 0.02101399376988411, 0.024347277358174324, 0.02166805788874626, 0.02264299988746643, 0.023933367803692818, 0.022415559738874435, 0.03304598852992058, 0.01825655996799469, 0.023958852514624596, 0.026254121214151382, 0.02623884566128254, 0.02147410437464714, 0.02301810495555401, 0.027841610834002495, 0.02359151467680931, 0.01800103299319744, 0.03371087834239006, 0.021368399262428284, 0.019774051383137703, 0.01881178468465805, 0.02320183254778385, 0.02261471375823021, 0.02095712721347809, 0.02417413517832756, 0.03156014904379845, 0.024994036182761192, 0.026181410998106003, 0.025425830855965614]
250;[0.7790236473083496, 0.7770665287971497, 0.7762714624404907, 0.7713643908500671, 0.7824857234954834, 0.7760311365127563, 0.7785215973854065, 0.7726128101348877, 0.7744272947311401, 0.774400532245636, 0.7646592855453491, 0.776940107345581, 0.7832068800926208, 0.7759696841239929, 0.773941695690155, 0.7769638299942017, 0.7695797085762024, 0.7751433253288269, 0.7752928137779236, 0.7709519267082214, 0.7687190175056458, 0.7771695852279663, 0.782821536064148, 0.7685832381248474, 0.7744221091270447, 0.7817962169647217, 0.7683329582214355, 0.7844393253326416, 0.7737361788749695, 0.7693930268287659, 0.7670902013778687];[0.04095490276813507, 0.041430119425058365, 0.03563418611884117, 0.033667560666799545, 0.04263056442141533, 0.036536458879709244, 0.03484240174293518, 0.033498615026474, 0.033321790397167206, 0.03563562408089638, 0.028237661346793175, 0.03801126033067703, 0.04288477823138237, 0.03467797860503197, 0.03622870892286301, 0.03788295388221741, 0.03043253719806671, 0.035333264619112015, 0.034335315227508545, 0.03258279338479042, 0.030091190710663795, 0.035172756761312485, 0.04029306024312973, 0.031279344111680984, 0.03687000647187233, 0.039209507405757904, 0.030869701877236366, 0.04131839796900749, 0.033265143632888794, 0.03225789964199066, 0.028955185785889626];[-0.8494722843170166, -0.8510187268257141, -0.8296055793762207, -0.8219035267829895, -0.8732460141181946, -0.8313248157501221, -0.8366630673408508, -0.8191477060317993, -0.8191524744033813, -0.8274182677268982, -0.8086633086204529, -0.8412436246871948, -0.850091814994812, -0.8496173024177551, -0.8313775658607483, -0.8363887667655945, -0.8153392672538757, -0.825765073299408, -0.8240688443183899, -0.8191571831703186, -0.8154776096343994, -0.8319820761680603, -0.8432151675224304, -0.8137401938438416, -0.8317809104919434, -0.8388419151306152, -0.8139460682868958, -0.844372034072876, -0.8206897974014282, -0.8156075477600098, -0.8080250024795532];[0.023616217076778412, 0.0209715086966753, 0.025691954419016838, 0.023721974343061447, 0.025136195123195648, 0.027564747259020805, 0.023924801498651505, 0.020900597795844078, 0.024632470682263374, 0.028758056461811066, 0.023911533877253532, 0.023875348269939423, 0.021894894540309906, 0.02388729900121689, 0.021572275087237358, 0.017707157880067825, 0.02010362409055233, 0.02428250014781952, 0.023742390796542168, 0.024306364357471466, 0.018158968538045883, 0.027254268527030945, 0.026218190789222717, 0.023224100470542908, 0.021202988922595978, 0.02624025195837021, 0.02241337299346924, 0.024949515238404274, 0.01735176146030426, 0.02429884672164917]
300;[0.7677474617958069, 0.7695490121841431, 0.7766231298446655, 0.7720868587493896, 0.7770134210586548, 0.770855188369751, 0.7713550925254822, 0.7711999416351318, 0.7684779763221741, 0.7710082530975342, 0.7690197825431824, 0.7701037526130676, 0.7829497456550598, 0.7714248895645142, 0.776780903339386, 0.7763916850090027, 0.7707683444023132, 0.7666424512863159, 0.7682130336761475, 0.7719928026199341, 0.7774101495742798, 0.7820467948913574, 0.7720015048980713, 0.7732274532318115, 0.7762191891670227, 0.7745397686958313, 0.7763025164604187, 0.7686807513237, 0.7723897695541382, 0.7763610482215881, 0.7715507745742798];[0.03291848674416542, 0.032405998557806015, 0.03780955821275711, 0.033063631504774094, 0.03892426937818527, 0.03212154284119606, 0.03171233460307121, 0.033855631947517395, 0.029984459280967712, 0.0312657468020916, 0.0294091384857893, 0.0303181204944849, 0.036051537841558456, 0.030088618397712708, 0.03462866693735123, 0.03701084479689598, 0.02933649905025959, 0.026739414781332016, 0.02629934437572956, 0.03111107274889946, 0.03599577769637108, 0.039021436125040054, 0.03077753446996212, 0.03223606199026108, 0.032121483236551285, 0.03201821818947792, 0.03112313337624073, 0.029432380571961403, 0.02950194850564003, 0.03149398788809776, 0.02788226492702961];[-0.821944534778595, -0.8177403807640076, -0.832135796546936, -0.8212656378746033, -0.833317756652832, -0.8204289674758911, -0.8158963918685913, -0.8217287659645081, -0.8121700882911682, -0.8135655522346497, -0.8099349141120911, -0.8162723183631897, -0.8577038645744324, -0.8100271821022034, -0.8278710246086121, -0.8311741352081299, -0.810774564743042, -0.8029729723930359, -0.8022192120552063, -0.8179095983505249, -0.8325627446174622, -0.8527841567993164, -0.8137696385383606, -0.8218300342559814, -0.819116473197937, -0.8176447749137878, -0.8156179189682007, -0.8114342093467712, -0.8086873292922974, -0.8238863348960876, -0.8100093007087708];[0.022548051550984383, 0.018003985285758972, 0.02713710069656372, 0.024119960144162178, 0.022460399195551872, 0.01968705654144287, 0.025903847068548203, 0.022159766405820847, 0.021693430840969086, 0.03607983514666557, 0.02426946721971035, 0.02554529905319214, 0.021620314568281174, 0.024988025426864624, 0.022280115634202957, 0.03587744012475014, 0.02991221286356449, 0.027847861871123314, 0.027191713452339172, 0.0391540452837944, 0.027891505509614944, 0.022529898211359978, 0.025061575695872307, 0.02631457895040512, 0.02616283670067787, 0.023185407742857933, 0.026019619777798653, 0.02382875420153141, 0.02472717873752117, 0.018900178372859955]
350;[0.7704355716705322, 0.7771117091178894, 0.7746567130088806, 0.777297854423523, 0.7714064717292786, 0.7671915888786316, 0.7766621112823486, 0.7770882844924927, 0.7744003534317017, 0.77392578125, 0.7733034491539001, 0.7797200083732605, 0.7622768878936768, 0.7707667350769043, 0.783089816570282, 0.7818856239318848, 0.7706334590911865, 0.7746513485908508, 0.7821992039680481, 0.7881481051445007, 0.7724075317382812, 0.7774778008460999, 0.7692797780036926, 0.7732752561569214, 0.7699922919273376, 0.7810571193695068, 0.7819089889526367, 0.7814663052558899, 0.7806487083435059, 0.7790834307670593, 0.7742336988449097];[0.03398638591170311, 0.03871076926589012, 0.037668827921152115, 0.037317872047424316, 0.03319317847490311, 0.03151753917336464, 0.036880265921354294, 0.03616179898381233, 0.03618312254548073, 0.03348385542631149, 0.031144460663199425, 0.03815058246254921, 0.026117324829101562, 0.030230697244405746, 0.03876661881804466, 0.03884294629096985, 0.02907581999897957, 0.03319111093878746, 0.03633382171392441, 0.04219510033726692, 0.02919442020356655, 0.036562878638505936, 0.02992059476673603, 0.03187854588031769, 0.030559148639440536, 0.0366981066763401, 0.03724022954702377, 0.03820057958364487, 0.037702009081840515, 0.037022434175014496, 0.032743990421295166];[-0.8258494138717651, -0.8406973481178284, -0.8355200886726379, -0.8332033157348633, -0.8203079700469971, -0.8137412667274475, -0.840836763381958, -0.8335506319999695, -0.8298548460006714, -0.8177210688591003, -0.8178447484970093, -0.834810733795166, -0.8024041056632996, -0.8137396574020386, -0.8379454612731934, -0.8436580300331116, -0.8118056654930115, -0.8234921097755432, -0.8322240114212036, -0.8807880282402039, -0.8120229840278625, -0.8348405361175537, -0.814836859703064, -0.8210921883583069, -0.8154853582382202, -0.8326049447059631, -0.8345299363136292, -0.8364613056182861, -0.8358210921287537, -0.8380894660949707, -0.8166252374649048];[0.023030459880828857, 0.02062321826815605, 0.022629139944911003, 0.024274073541164398, 0.01839335635304451, 0.03034195676445961, 0.0306612066924572, 0.04273969680070877, 0.027700606733560562, 0.019922811537981033, 0.024266138672828674, 0.02215450629591942, 0.025920018553733826, 0.029708903282880783, 0.03143099322915077, 0.022822100669145584, 0.022248098626732826, 0.023314742371439934, 0.025396576151251793, 0.023879144340753555, 0.017435038462281227, 0.02632318250834942, 0.032267674803733826, 0.02286483347415924, 0.03959149122238159, 0.025046538561582565, 0.028347745537757874, 0.02275971882045269, 0.03334585577249527, 0.02489287778735161]
400;[0.7718713283538818, 0.7735650539398193, 0.7719340324401855, 0.772125780582428, 0.7708955407142639, 0.7787849307060242, 0.7723132371902466, 0.7760320901870728, 0.7648869752883911, 0.7749184370040894, 0.7700991630554199, 0.7763184905052185, 0.7700362801551819, 0.7716181874275208, 0.7703117728233337, 0.7660999298095703, 0.7784683704376221, 0.7715439796447754, 0.7717136144638062, 0.7699739336967468, 0.7787846922874451, 0.7769051790237427, 0.7752119898796082, 0.7739591002464294, 0.7727975845336914, 0.7807615399360657, 0.781365156173706, 0.7778608798980713, 0.7680566310882568, 0.777772068977356, 0.7760248780250549];[0.038732193410396576, 0.03468899801373482, 0.03347071260213852, 0.033877141773700714, 0.03298606723546982, 0.04053386673331261, 0.032659415155649185, 0.0341007262468338, 0.027527963742613792, 0.03421241044998169, 0.029015986248850822, 0.034254252910614014, 0.029901724308729172, 0.03081323578953743, 0.028413360938429832, 0.02496536262333393, 0.032595448195934296, 0.03063618764281273, 0.03108939342200756, 0.027844544500112534, 0.03305183723568916, 0.03131480887532234, 0.030889395624399185, 0.02770225517451763, 0.028154300525784492, 0.033538300544023514, 0.0342487171292305, 0.031296029686927795, 0.02402515523135662, 0.03196330741047859, 0.026645686477422714];[-0.8386055827140808, -0.826561450958252, -0.821324348449707, -0.8253441452980042, -0.8202340006828308, -0.8452637195587158, -0.8242512345314026, -0.8234185576438904, -0.803809642791748, -0.8253041505813599, -0.810175359249115, -0.8356767892837524, -0.8068792819976807, -0.8180413842201233, -0.8048765659332275, -0.8008482456207275, -0.838990330696106, -0.8152235746383667, -0.8177624344825745, -0.8086970448493958, -0.8240024447441101, -0.813060998916626, -0.8156909346580505, -0.8049963712692261, -0.8058194518089294, -0.8183928728103638, -0.8240374326705933, -0.8153695464134216, -0.7953736186027527, -0.8214547038078308, -0.8043607473373413];[0.024744393303990364, 0.034211453050374985, 0.019951913505792618, 0.024237878620624542, 0.023278187960386276, 0.018648942932486534, 0.02194153517484665, 0.02701801434159279, 0.02235386148095131, 0.02546178735792637, 0.01994621567428112, 0.023426838219165802, 0.022883445024490356, 0.022988207638263702, 0.021740268915891647, 0.02785276621580124, 0.024007365107536316, 0.024810967966914177, 0.026713019236922264, 0.025603991001844406, 0.021961066871881485, 0.024134717881679535, 0.024437779560685158, 0.02402408979833126, 0.020009804517030716, 0.029408812522888184, 0.022118953987956047, 0.021056625992059708, 0.025827821344137192, 0.020358769223093987]
450;[0.7701276540756226, 0.7696753144264221, 0.7765135765075684, 0.7738785147666931, 0.7735063433647156, 0.7713962197303772, 0.7762891054153442, 0.7728209495544434, 0.7816108465194702, 0.7760540843009949, 0.7800386548042297, 0.7740789651870728, 0.778704047203064, 0.7735958099365234, 0.7839229702949524, 0.7759285569190979, 0.7775505185127258, 0.7668830752372742, 0.7773064970970154, 0.7871974110603333, 0.7840312123298645, 0.7842722535133362, 0.7749748826026917, 0.7779718637466431, 0.7918850779533386, 0.7779014110565186, 0.7920154929161072, 0.7839211821556091, 0.7916781902313232, 0.7797684073448181, 0.7890105843544006];[0.03517783433198929, 0.034477997571229935, 0.03897310793399811, 0.03546050563454628, 0.036990921944379807, 0.03612302243709564, 0.04141240194439888, 0.03671729937195778, 0.04402504861354828, 0.04019295424222946, 0.04517558962106705, 0.03703620284795761, 0.03977321833372116, 0.041000790894031525, 0.046979427337646484, 0.04000245779752731, 0.04135558381676674, 0.034374747425317764, 0.039396982640028, 0.050160448998212814, 0.04549874737858772, 0.04900596663355827, 0.042188290506601334, 0.043166495859622955, 0.05445825681090355, 0.044663555920124054, 0.05475366860628128, 0.04591111093759537, 0.05332750082015991, 0.04737691953778267, 0.05265389755368233];[-0.8249574303627014, -0.8254061341285706, -0.8383181691169739, -0.8292356729507446, -0.8399697542190552, -0.8259537220001221, -0.8424223065376282, -0.8293781280517578, -0.851752519607544, -0.8402261734008789, -0.8594033122062683, -0.8311439156532288, -0.8469266295433044, -0.8462250828742981, -0.8634862303733826, -0.8467290997505188, -0.8417119383811951, -0.8224034309387207, -0.8420028686523438, -0.8840147256851196, -0.8560738563537598, -0.8680220246315002, -0.8483574986457825, -0.8509221076965332, -0.8965524435043335, -0.8520378470420837, -0.9022661447525024, -0.8647722005844116, -0.878430187702179, -0.8617357015609741, -0.8804577589035034];[0.022252686321735382, 0.02123473957180977, 0.02660343423485756, 0.03249998390674591, 0.024085158482193947, 0.025935662910342216, 0.028396019712090492, 0.02289200946688652, 0.021846793591976166, 0.022670019418001175, 0.024723323062062263, 0.024546034634113312, 0.025302307680249214, 0.02489183284342289, 0.02848365157842636, 0.02588001824915409, 0.02456924133002758, 0.021747320890426636, 0.023204365745186806, 0.02070838399231434, 0.026661410927772522, 0.02465401217341423, 0.02748016268014908, 0.023929428309202194, 0.02517615258693695, 0.022563576698303223, 0.022633465006947517, 0.023647263646125793, 0.02028130553662777, 0.028558094054460526]
500;[0.7742420434951782, 0.7707579135894775, 0.7889419198036194, 0.7825267314910889, 0.7737039923667908, 0.7767909169197083, 0.7824466228485107, 0.7731844186782837, 0.7742566466331482, 0.7738135457038879, 0.769608199596405, 0.7738515734672546, 0.772998034954071, 0.7811742424964905, 0.7715178728103638, 0.7785509824752808, 0.7796525359153748, 0.7782889604568481, 0.7823377251625061, 0.7812209129333496, 0.7768539786338806, 0.7805562019348145, 0.7754522562026978, 0.789882242679596, 0.7801878452301025, 0.7847824692726135, 0.7963231801986694, 0.7845785617828369, 0.793628454208374, 0.7776653170585632, 0.7856255173683167];[0.036258865147829056, 0.03472607582807541, 0.044303975999355316, 0.03897367790341377, 0.033371008932590485, 0.034402113407850266, 0.03993668034672737, 0.033688560128211975, 0.034137118607759476, 0.0327121876180172, 0.029001053422689438, 0.035827185958623886, 0.03377220407128334, 0.03845309838652611, 0.029261479154229164, 0.03421267122030258, 0.0366596058011055, 0.03427420184016228, 0.037193041294813156, 0.03702341392636299, 0.03349161893129349, 0.036703839898109436, 0.03350893780589104, 0.04309588670730591, 0.03617750480771065, 0.04036901891231537, 0.04935753718018532, 0.03898034989833832, 0.046254176646471024, 0.03461349010467529, 0.04094573110342026];[-0.8328738808631897, -0.826050877571106, -0.8719382882118225, -0.8380696773529053, -0.8184322714805603, -0.8260387182235718, -0.8389047384262085, -0.8228256702423096, -0.828273594379425, -0.8213629722595215, -0.8122103810310364, -0.8328965902328491, -0.8219416737556458, -0.835313618183136, -0.8114705681800842, -0.8269883990287781, -0.828607976436615, -0.8253573775291443, -0.8329473733901978, -0.8294785618782043, -0.8268598914146423, -0.8313111662864685, -0.8236614465713501, -0.8544347882270813, -0.8284754753112793, -0.8482860326766968, -0.8731573224067688, -0.8401798009872437, -0.8599326014518738, -0.8267914056777954, -0.8443307876586914];[0.025333791971206665, 0.024386558681726456, 0.026921594515442848, 0.026765387505292892, 0.02529982104897499, 0.02403366006910801, 0.04401731491088867, 0.024348394945263863, 0.028164517134428024, 0.02666614018380642, 0.02078177221119404, 0.02396390587091446, 0.023417232558131218, 0.025995953008532524, 0.021594174206256866, 0.020119285210967064, 0.021261826157569885, 0.021467365324497223, 0.021404316648840904, 0.018587009981274605, 0.028090262785553932, 0.023822646588087082, 0.01888449676334858, 0.023713435977697372, 0.018511522561311722, 0.022579016163945198, 0.02133195661008358, 0.021709619089961052, 0.02647729590535164, 0.034199684858322144]
