Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7843334674835205, 0.7772707939147949, 0.7731817364692688, 0.7752125263214111, 0.7741483449935913, 0.7752776741981506, 0.773479163646698, 0.7789842486381531, 0.7756057381629944, 0.7683376669883728, 0.765346884727478, 0.7717514634132385, 0.7734073400497437, 0.7699618339538574, 0.7703896760940552, 0.7782209515571594, 0.7834603190422058, 0.7770938277244568, 0.7852962613105774, 0.7745711207389832, 0.7798462510108948, 0.7762028574943542, 0.7793466448783875, 0.7727124691009521, 0.7773751616477966, 0.7765096426010132, 0.7811160683631897, 0.7852086424827576, 0.7776035070419312, 0.779019832611084];[0.04275934398174286, 0.0437077172100544, 0.03728911280632019, 0.03587953746318817, 0.03918414190411568, 0.03644289821386337, 0.03694195672869682, 0.035695333033800125, 0.040361031889915466, 0.03611498698592186, 0.030182812362909317, 0.028491776436567307, 0.033354852348566055, 0.03363852947950363, 0.029808010905981064, 0.03321051225066185, 0.036816053092479706, 0.042912643402814865, 0.03776908293366432, 0.04166995361447334, 0.03594667837023735, 0.03800312057137489, 0.03865162655711174, 0.03899822756648064, 0.03223571553826332, 0.03779389709234238, 0.04028920829296112, 0.037344906479120255, 0.04224499687552452, 0.037883494049310684, 0.03830111399292946];[-0.8513761162757874, -0.8657854199409485, -0.8341424465179443, -0.8284561038017273, -0.8418329358100891, -0.8327186107635498, -0.8308100700378418, -0.8282741904258728, -0.840770423412323, -0.8263586163520813, -0.8127956390380859, -0.8087570667266846, -0.8228704929351807, -0.8234978914260864, -0.8135796189308167, -0.8293079733848572, -0.8433046340942383, -0.8526306748390198, -0.8336831331253052, -0.8455635905265808, -0.8253751397132874, -0.8430536389350891, -0.835419774055481, -0.8336285352706909, -0.8146263957023621, -0.8331202268600464, -0.8414885997772217, -0.8334739804267883, -0.851718544960022, -0.8422684073448181, -0.8341606259346008];[0.021408801898360252, 0.024173181504011154, 0.02594289928674698, 0.02793452888727188, 0.02257000282406807, 0.018638931214809418, 0.029422283172607422, 0.021522928029298782, 0.024274300783872604, 0.019840389490127563, 0.02200179174542427, 0.021537769585847855, 0.030876729637384415, 0.03521500155329704, 0.022458506748080254, 0.027210699394345284, 0.0200808048248291, 0.023785488680005074, 0.026178428903222084, 0.01904037967324257, 0.030314898118376732, 0.024304935708642006, 0.031035495921969414, 0.02234755828976631, 0.0243441890925169, 0.03152395039796829, 0.022513166069984436, 0.019742870703339577, 0.018047727644443512, 0.023653116077184677];2160.8927109241486
100;[0.7740078568458557, 0.7717134952545166, 0.7738715410232544, 0.7738237380981445, 0.7731996178627014, 0.777128279209137, 0.7739633917808533, 0.7758529782295227, 0.7740041613578796, 0.7710760235786438, 0.7771599888801575, 0.7740247845649719, 0.7747932076454163, 0.7733479142189026, 0.7736063003540039, 0.7818355560302734, 0.773281991481781, 0.7719641923904419, 0.7721307277679443, 0.7682641744613647, 0.7710358500480652, 0.7777861952781677, 0.7696358561515808, 0.7795684337615967, 0.7704817056655884, 0.7733635902404785, 0.7757707834243774, 0.7735223174095154, 0.7776904702186584, 0.7780900597572327, 0.7712556719779968];[0.03575695678591728, 0.03479069098830223, 0.03425450995564461, 0.03819001466035843, 0.03514391928911209, 0.036215562373399734, 0.0326014943420887, 0.03267880901694298, 0.030677102506160736, 0.030825497582554817, 0.031077757477760315, 0.029643524438142776, 0.029165633022785187, 0.031117429956793785, 0.030001243576407433, 0.03878000006079674, 0.029674753546714783, 0.027126770466566086, 0.02753264270722866, 0.029291516169905663, 0.02715182676911354, 0.03172225505113602, 0.02629782259464264, 0.030495334416627884, 0.029527857899665833, 0.027841297909617424, 0.030442548915743828, 0.03168269246816635, 0.031658049672842026, 0.033046506345272064, 0.027792060747742653];[-0.8250949382781982, -0.8239901661872864, -0.8246749043464661, -0.8313061594963074, -0.8325609564781189, -0.8369787335395813, -0.8201912045478821, -0.8215492367744446, -0.8166621327400208, -0.8173957467079163, -0.8343763947486877, -0.8125108480453491, -0.8146737217903137, -0.8186524510383606, -0.8123481273651123, -0.8365586400032043, -0.8145930171012878, -0.8087087869644165, -0.8054349422454834, -0.8084521889686584, -0.8029399514198303, -0.8159124851226807, -0.8043611645698547, -0.925618588924408, -0.8114455938339233, -0.8123055696487427, -0.8141757249832153, -0.8172817826271057, -0.8209264874458313, -0.819710910320282, -0.8108595609664917];[0.025728534907102585, 0.029377896338701248, 0.023352183401584625, 0.021635059267282486, 0.021220482885837555, 0.03148087114095688, 0.02011070027947426, 0.019435521215200424, 0.026698466390371323, 0.024497270584106445, 0.025365909561514854, 0.02337128482758999, 0.026346910744905472, 0.020569801330566406, 0.018516303971409798, 0.014366953633725643, 0.021971644833683968, 0.023646583780646324, 0.020146101713180542, 0.02553291991353035, 0.025276940315961838, 0.0230972059071064, 0.02016565203666687, 0.022412311285734177, 0.022508563473820686, 0.025128576904535294, 0.02203267440199852, 0.022843969985842705, 0.0221125315874815, 0.025420336052775383];2193.0419704914093
150;[0.7738230228424072, 0.7712631821632385, 0.7703881859779358, 0.7738580703735352, 0.7700089812278748, 0.7757563591003418, 0.7769016623497009, 0.7837762236595154, 0.7638012766838074, 0.7814128398895264, 0.7692397236824036, 0.7729440331459045, 0.7760416865348816, 0.7768725752830505, 0.7764803171157837, 0.7628164887428284, 0.7791560888290405, 0.7821221947669983, 0.7669035792350769, 0.7668266892433167, 0.7761749029159546, 0.7700096368789673, 0.7711527943611145, 0.772226095199585, 0.7659173011779785, 0.7791269421577454, 0.776193380355835, 0.7670829892158508, 0.7772300839424133, 0.7693701386451721, 0.7770790457725525];[0.0353887565433979, 0.03240935504436493, 0.03422165662050247, 0.0359114333987236, 0.035216931253671646, 0.036775097250938416, 0.039483435451984406, 0.04352346807718277, 0.028329547494649887, 0.04260721430182457, 0.031399697065353394, 0.03694271668791771, 0.03712092712521553, 0.037052273750305176, 0.03599562123417854, 0.02584170363843441, 0.038947075605392456, 0.03680584207177162, 0.0300767719745636, 0.028599809855222702, 0.03197740763425827, 0.02910052053630352, 0.030071159824728966, 0.031363051384687424, 0.028001202270388603, 0.03660868480801582, 0.03345510736107826, 0.02878725156188011, 0.03528608754277229, 0.032730042934417725, 0.03481629863381386];[-0.8276398181915283, -0.8185593485832214, -0.8232098817825317, -0.829206645488739, -0.8312548995018005, -0.8395693898200989, -0.8386107087135315, -0.8559693694114685, -0.8073972463607788, -0.8462148904800415, -0.8173847794532776, -0.8310495615005493, -0.8361026644706726, -0.8346536159515381, -0.8336182832717896, -0.7978211045265198, -0.8354593515396118, -0.8686228394508362, -0.8167833685874939, -0.8080252408981323, -0.8193312287330627, -0.8099430203437805, -0.8100008368492126, -0.8234732151031494, -0.8056048154830933, -0.8402811884880066, -0.824569821357727, -0.8115713596343994, -0.8291676044464111, -0.8204121589660645, -0.8281910419464111];[0.021650508046150208, 0.025035766884684563, 0.02398510091006756, 0.02622899040579796, 0.022165510803461075, 0.02012932300567627, 0.022700894623994827, 0.020575929433107376, 0.022790802642703056, 0.02041279710829258, 0.027010440826416016, 0.0274550449103117, 0.022345926612615585, 0.027759870514273643, 0.025999855250120163, 0.023863879963755608, 0.02631247788667679, 0.023634953424334526, 0.02466321364045143, 0.024012988433241844, 0.02211824432015419, 0.022680262103676796, 0.023624302819371223, 0.02701972797513008, 0.02686440944671631, 0.019615430384874344, 0.02139592170715332, 0.026686206459999084, 0.023469794541597366, 0.024383198469877243];2216.7247231006622
200;[0.7712486386299133, 0.7672715187072754, 0.7790004014968872, 0.7731307148933411, 0.7810935378074646, 0.7746372818946838, 0.7845419645309448, 0.7739123702049255, 0.7753868699073792, 0.777016818523407, 0.7789149284362793, 0.768525242805481, 0.7683151960372925, 0.7788024544715881, 0.776758074760437, 0.7784069180488586, 0.7838032841682434, 0.7816779017448425, 0.7816362380981445, 0.7885351777076721, 0.7825059294700623, 0.7793222665786743, 0.7829999923706055, 0.7891665101051331, 0.7729384899139404, 0.7840045094490051, 0.7791707515716553, 0.787447988986969, 0.7797430753707886, 0.7803767323493958, 0.7825061082839966];[0.03644751384854317, 0.031832460314035416, 0.038563892245292664, 0.03677373379468918, 0.03954938054084778, 0.03702257201075554, 0.044063545763492584, 0.03488843888044357, 0.03924829140305519, 0.042153000831604004, 0.043347083032131195, 0.03187866508960724, 0.035583410412073135, 0.04045256972312927, 0.04163828864693642, 0.03961038962006569, 0.045552514493465424, 0.04256768897175789, 0.042391300201416016, 0.04687585309147835, 0.044613856822252274, 0.041234374046325684, 0.047347672283649445, 0.048648133873939514, 0.0375550203025341, 0.04547278210520744, 0.03889113664627075, 0.04652760177850723, 0.041586704552173615, 0.04081778600811958, 0.04332200065255165];[-0.8304311633110046, -0.8156700730323792, -0.8378599882125854, -0.8291760683059692, -0.845711350440979, -0.8298951387405396, -0.8607964515686035, -0.8256014585494995, -0.8377794623374939, -0.8497191667556763, -0.8555887937545776, -0.8160625100135803, -0.8245705962181091, -0.8499754667282104, -0.8465944528579712, -0.8441267013549805, -0.8575105667114258, -0.8508999347686768, -0.848919153213501, -0.8661567568778992, -0.8547607660293579, -0.8478788137435913, -0.8651695847511292, -0.8655375838279724, -0.8332927227020264, -0.8611082434654236, -0.8365821242332458, -0.864693820476532, -0.8458107113838196, -0.84129798412323, -0.8524205684661865];[0.02319033443927765, 0.022734560072422028, 0.024120766669511795, 0.02207641676068306, 0.025733759626746178, 0.023228183388710022, 0.027985593304038048, 0.025809448212385178, 0.027510900050401688, 0.021408744156360626, 0.02703588455915451, 0.02927244082093239, 0.02159847877919674, 0.022844888269901276, 0.02522641234099865, 0.029622098430991173, 0.023633403703570366, 0.0194768738001585, 0.02560511603951454, 0.02397623099386692, 0.03305531293153763, 0.021022193133831024, 0.021304553374648094, 0.02201726660132408, 0.025260716676712036, 0.02053784765303135, 0.02032289281487465, 0.026865042746067047, 0.02090485580265522, 0.026202546432614326];2216.8116233348846
250;[0.7790236473083496, 0.7717311978340149, 0.7741526961326599, 0.7814909815788269, 0.7811170816421509, 0.7749075889587402, 0.7756640911102295, 0.7680577635765076, 0.7725993990898132, 0.7779468894004822, 0.762095034122467, 0.7721368074417114, 0.778875470161438, 0.7630985379219055, 0.768945574760437, 0.7672417163848877, 0.7614989280700684, 0.7736092209815979, 0.7685312032699585, 0.7663444876670837, 0.7628453373908997, 0.7794626355171204, 0.7771199941635132, 0.761279821395874, 0.766990602016449, 0.7669969201087952, 0.7597836852073669, 0.7659338116645813, 0.766923189163208, 0.7688830494880676, 0.7621079087257385];[0.04095490276813507, 0.03838421404361725, 0.03466976806521416, 0.04517335444688797, 0.042351432144641876, 0.037150125950574875, 0.03302354738116264, 0.03158440813422203, 0.03313016891479492, 0.03848743438720703, 0.027515247464179993, 0.034514524042606354, 0.04074516519904137, 0.027420926839113235, 0.03319167345762253, 0.03195193409919739, 0.02527761645615101, 0.03598613291978836, 0.030947528779506683, 0.02954755537211895, 0.02726105973124504, 0.039140116423368454, 0.035960420966148376, 0.02573557011783123, 0.03106383979320526, 0.028260868042707443, 0.024487486109137535, 0.02709021419286728, 0.030027788132429123, 0.03176209703087807, 0.027113936841487885];[-0.8494722843170166, -0.8394407629966736, -0.8237404823303223, -0.8571084141731262, -0.8791910409927368, -0.8319495916366577, -0.8293758034706116, -0.8160768747329712, -0.817394495010376, -0.855269193649292, -0.8051396012306213, -0.8248793482780457, -0.8479390144348145, -0.8029773831367493, -0.819147527217865, -0.8186125755310059, -0.8015727996826172, -0.8335250020027161, -0.817308247089386, -0.8104145526885986, -0.8054824471473694, -0.8379995226860046, -0.832902193069458, -0.7989736199378967, -0.8119138479232788, -0.8079050183296204, -0.7960710525512695, -0.8063812851905823, -0.8140848278999329, -0.8175945281982422, -0.8031901121139526];[0.023616217076778412, 0.020444009453058243, 0.040308352559804916, 0.023755822330713272, 0.028401730582118034, 0.02290523052215576, 0.02265617623925209, 0.025704609230160713, 0.02280479669570923, 0.02295716665685177, 0.027227094396948814, 0.023829247802495956, 0.023281743749976158, 0.020180128514766693, 0.025966977700591087, 0.018710097298026085, 0.02079077996313572, 0.022950345650315285, 0.02175506204366684, 0.020411759614944458, 0.024643974378705025, 0.027222195640206337, 0.02778560295701027, 0.02796616591513157, 0.01997213065624237, 0.02776782587170601, 0.022060120478272438, 0.026537559926509857, 0.023172933608293533, 0.02556215040385723];2100.5117542743683
300;[0.7677474617958069, 0.7644790410995483, 0.7773101925849915, 0.7727163434028625, 0.7808287739753723, 0.779349148273468, 0.7745847702026367, 0.7781855463981628, 0.7730879187583923, 0.7837251424789429, 0.775554895401001, 0.7811149954795837, 0.7878355383872986, 0.7814413905143738, 0.7785311341285706, 0.7723053097724915, 0.7729490399360657, 0.7776284217834473, 0.7719501256942749, 0.7707759737968445, 0.777024507522583, 0.7691020369529724, 0.7724384665489197, 0.771328866481781, 0.7757768034934998, 0.7758252024650574, 0.7772144675254822, 0.77298504114151, 0.7726264595985413, 0.7689657211303711, 0.7758780121803284];[0.03291848674416542, 0.026349613443017006, 0.03692450001835823, 0.03136860951781273, 0.03900599107146263, 0.036892134696245193, 0.03321732580661774, 0.035808298736810684, 0.03198723495006561, 0.037872448563575745, 0.03313867002725601, 0.038797348737716675, 0.03898966684937477, 0.034475699067115784, 0.03507726639509201, 0.029874056577682495, 0.030006347224116325, 0.03339773416519165, 0.026395583525300026, 0.02937859296798706, 0.03638380393385887, 0.02703741006553173, 0.030707435682415962, 0.03113701567053795, 0.03117746114730835, 0.03378225490450859, 0.03238469734787941, 0.03280669450759888, 0.0297605749219656, 0.024430101737380028, 0.02902647852897644];[-0.821944534778595, -0.8025928735733032, -0.8337497711181641, -0.8166232705116272, -0.8375673294067383, -0.8356376886367798, -0.8203651905059814, -0.8403831720352173, -0.8188548684120178, -0.8323423266410828, -0.8208644986152649, -0.8387711644172668, -0.8647684454917908, -0.8256130218505859, -0.825518786907196, -0.8105911016464233, -0.8157750368118286, -0.8303086757659912, -0.8030884265899658, -0.8105928897857666, -0.8304387331008911, -0.8052552342414856, -0.8121638894081116, -0.8169151544570923, -0.8146158456802368, -0.8202359676361084, -0.8208033442497253, -0.8202123045921326, -0.8078118562698364, -0.7961696982383728, -0.8173761367797852];[0.022548051550984383, 0.024379588663578033, 0.025188954547047615, 0.02738107368350029, 0.02826821431517601, 0.024362897500395775, 0.018953174352645874, 0.03181010112166405, 0.020983781665563583, 0.02096475288271904, 0.024601183831691742, 0.03638552129268646, 0.021998979151248932, 0.02384890243411064, 0.024546895176172256, 0.02647366002202034, 0.023349883034825325, 0.018702253699302673, 0.019745517522096634, 0.023692138493061066, 0.025392994284629822, 0.02094200998544693, 0.034009598195552826, 0.026631753891706467, 0.021031474694609642, 0.02571507729589939, 0.023936305195093155, 0.021636085584759712, 0.02624529041349888, 0.031003713607788086];2237.0961644649506
350;[0.7704355716705322, 0.7679577469825745, 0.7726355195045471, 0.777050256729126, 0.7715092301368713, 0.7784013748168945, 0.7763844132423401, 0.7806048393249512, 0.772097647190094, 0.7817407846450806, 0.7743104100227356, 0.7775902152061462, 0.7640098929405212, 0.7821289300918579, 0.7830919623374939, 0.7871308922767639, 0.7738395929336548, 0.7784295678138733, 0.7858859300613403, 0.7777144908905029, 0.772724449634552, 0.7812829613685608, 0.7726227641105652, 0.7802181243896484, 0.7732271552085876, 0.7711560130119324, 0.783812940120697, 0.7834734320640564, 0.7808085680007935, 0.7794651389122009, 0.7780159115791321];[0.03398638591170311, 0.0315534807741642, 0.03663386031985283, 0.03770418465137482, 0.03264372795820236, 0.0402669832110405, 0.03667212650179863, 0.03889987990260124, 0.03417380154132843, 0.03883471339941025, 0.03181169554591179, 0.03519369289278984, 0.02717725746333599, 0.04011601209640503, 0.03917136788368225, 0.044037967920303345, 0.030675651505589485, 0.035243093967437744, 0.040067486464977264, 0.03556492552161217, 0.03056735172867775, 0.03823644295334816, 0.03248831629753113, 0.039804067462682724, 0.03305026516318321, 0.028103351593017578, 0.03934970870614052, 0.041745662689208984, 0.03860308974981308, 0.04023102670907974, 0.035801757127046585];[-0.8258494138717651, -0.81498783826828, -0.8316214680671692, -0.8326786756515503, -0.8161473274230957, -0.8411717414855957, -0.8398306369781494, -0.8405110239982605, -0.8231502175331116, -0.8392921686172485, -0.8177047967910767, -0.8257834911346436, -0.8026198148727417, -0.8406237959861755, -0.8394507169723511, -0.8531535267829895, -0.8137179017066956, -0.8377381563186646, -0.846227765083313, -0.8290745615959167, -0.8116417527198792, -0.8384285569190979, -0.8206082582473755, -0.8451772928237915, -0.821532666683197, -0.8088048696517944, -0.8385041356086731, -0.8484931588172913, -0.8364447951316833, -0.8420825600624084, -0.8262799978256226];[0.023030459880828857, 0.024883486330509186, 0.02039908617734909, 0.02377864345908165, 0.019483081996440887, 0.023420333862304688, 0.023726578801870346, 0.030292104929685593, 0.02162201702594757, 0.02473284676671028, 0.023991603404283524, 0.023839903995394707, 0.026744568720459938, 0.02632642537355423, 0.023642178624868393, 0.021330993622541428, 0.020498348399996758, 0.020191410556435585, 0.02339080348610878, 0.022214055061340332, 0.03010433539748192, 0.028287166729569435, 0.023507043719291687, 0.026072347536683083, 0.02341851219534874, 0.026416337117552757, 0.024150490760803223, 0.02225707843899727, 0.024817757308483124, 0.02190735936164856];2210.7114362716675
400;[0.7718713283538818, 0.7837978601455688, 0.7738677263259888, 0.7756863236427307, 0.7754594087600708, 0.7759456038475037, 0.7785441875457764, 0.7847369313240051, 0.7697373032569885, 0.7816038727760315, 0.7752553224563599, 0.7739202380180359, 0.7734473943710327, 0.7746422290802002, 0.7752852439880371, 0.7795065641403198, 0.7826282978057861, 0.7835605144500732, 0.7783033847808838, 0.7799160480499268, 0.7860153317451477, 0.787004292011261, 0.7841720581054688, 0.7904970645904541, 0.7805257439613342, 0.790325403213501, 0.7866612672805786, 0.7892231941223145, 0.7778513431549072, 0.7821486592292786, 0.7861040830612183];[0.038732193410396576, 0.04232182726264, 0.03406774625182152, 0.03586898371577263, 0.035577934235334396, 0.03447802737355232, 0.036039043217897415, 0.03960385546088219, 0.030722010880708694, 0.038110505789518356, 0.03261622413992882, 0.03267043083906174, 0.03265685588121414, 0.032579950988292694, 0.031025635078549385, 0.03548178821802139, 0.03649037331342697, 0.03931291028857231, 0.0357925221323967, 0.03523537144064903, 0.03856063261628151, 0.036714933812618256, 0.03602903336286545, 0.04086815193295479, 0.03295266628265381, 0.0409533828496933, 0.04017391428351402, 0.03969614580273628, 0.03032325953245163, 0.03364924341440201, 0.03514397516846657];[-0.8386055827140808, -0.8475073575973511, -0.8257898688316345, -0.8313374519348145, -0.8286612629890442, -0.8259013295173645, -0.8325141668319702, -0.8438696265220642, -0.8124317526817322, -0.834818422794342, -0.820649266242981, -0.8193014860153198, -0.8200247287750244, -0.8167350888252258, -0.8136200308799744, -0.8331842422485352, -0.837322473526001, -0.8388846516609192, -0.8276299834251404, -0.8315552473068237, -0.8402075171470642, -0.8355808854103088, -0.834745466709137, -0.8393992781639099, -0.819603681564331, -0.845795214176178, -0.8393453359603882, -0.8373695015907288, -0.8132691383361816, -0.8271374702453613, -0.8248300552368164];[0.024744393303990364, 0.02310875803232193, 0.021941229701042175, 0.02730555646121502, 0.02157433331012726, 0.018389273434877396, 0.02261672355234623, 0.02200377732515335, 0.02301064133644104, 0.024131841957569122, 0.020676668733358383, 0.02576921135187149, 0.021823232993483543, 0.02109345979988575, 0.030028609558939934, 0.030376693233847618, 0.023420773446559906, 0.020111653953790665, 0.020636670291423798, 0.017893746495246887, 0.02434650994837284, 0.02835652604699135, 0.018792597576975822, 0.022791896015405655, 0.020476030185818672, 0.02018427476286888, 0.021697212010622025, 0.02171264961361885, 0.021626880392432213, 0.021560225635766983];2425.1311643123627
450;[0.7701276540756226, 0.767673134803772, 0.7747408151626587, 0.7744289636611938, 0.7730493545532227, 0.7656792402267456, 0.778550922870636, 0.7883742451667786, 0.7820671200752258, 0.7777909636497498, 0.7815613150596619, 0.7767449021339417, 0.781030535697937, 0.7789595723152161, 0.7876270413398743, 0.782234787940979, 0.7791000008583069, 0.7834339737892151, 0.7800151109695435, 0.7791697978973389, 0.7853215932846069, 0.7860715389251709, 0.7802361845970154, 0.782120943069458, 0.7991640567779541, 0.7811400294303894, 0.7955476641654968, 0.7860590219497681, 0.7956959009170532, 0.7805918455123901, 0.7913153767585754];[0.03517783433198929, 0.031645290553569794, 0.036985889077186584, 0.037507064640522, 0.034859903156757355, 0.03126290813088417, 0.04102948680520058, 0.04426844045519829, 0.0430520661175251, 0.03922443091869354, 0.04401225969195366, 0.03708784654736519, 0.03748141601681709, 0.03837966173887253, 0.04526810348033905, 0.0403885692358017, 0.03896559402346611, 0.04311928525567055, 0.03730267286300659, 0.03836647793650627, 0.04201348125934601, 0.04153597354888916, 0.040970444679260254, 0.04200422763824463, 0.05444047600030899, 0.04070451483130455, 0.05257904902100563, 0.04347246140241623, 0.05009615793824196, 0.04115009307861328, 0.04751002416014671];[-0.8249574303627014, -0.8172375559806824, -0.8337507247924805, -0.8355086445808411, -0.8308327198028564, -0.8152864575386047, -0.8430172204971313, -0.8629212975502014, -0.8478938937187195, -0.8487116694450378, -0.8552941083908081, -0.8295230865478516, -0.835026741027832, -0.8346759676933289, -0.8535344004631042, -0.8550904989242554, -0.8334947228431702, -0.8586117029190063, -0.8328227400779724, -0.8372395038604736, -0.8469519019126892, -0.8493303060531616, -0.8444601893424988, -0.8468050360679626, -0.8957462310791016, -0.8561722636222839, -0.879271924495697, -0.8546929955482483, -0.8698733448982239, -0.8438956141471863, -0.8694141507148743];[0.022252686321735382, 0.02441341057419777, 0.02477770484983921, 0.016963370144367218, 0.021571308374404907, 0.023483967408537865, 0.02284899353981018, 0.021061094477772713, 0.017807886004447937, 0.02510770969092846, 0.023601997643709183, 0.022853057831525803, 0.021612418815493584, 0.02659802883863449, 0.01909945160150528, 0.024055857211351395, 0.023257724940776825, 0.018288806080818176, 0.02308514341711998, 0.029000526294112206, 0.02732486091554165, 0.024923017248511314, 0.023748090490698814, 0.01936052367091179, 0.02737816609442234, 0.02471780776977539, 0.022011039778590202, 0.019390076398849487, 0.028299428522586823, 0.02298717387020588];2518.702697277069
500;[0.7742420434951782, 0.7696609497070312, 0.7867462038993835, 0.7755334377288818, 0.7712787985801697, 0.7796909213066101, 0.7781568169593811, 0.7726844549179077, 0.7710326313972473, 0.7699927687644958, 0.7669014930725098, 0.7654435634613037, 0.7704311609268188, 0.777128279209137, 0.7713183164596558, 0.7750555276870728, 0.7808855772018433, 0.7805752158164978, 0.7844417095184326, 0.7694673538208008, 0.7759708166122437, 0.7813971042633057, 0.7766933441162109, 0.7782230973243713, 0.7836714386940002, 0.7887512445449829, 0.7985827922821045, 0.7945177555084229, 0.7967011332511902, 0.7849779725074768, 0.7898069024085999];[0.036258865147829056, 0.03286285325884819, 0.044166382402181625, 0.035581719130277634, 0.03252208232879639, 0.03862820193171501, 0.037869393825531006, 0.034076232463121414, 0.03342976048588753, 0.03290781378746033, 0.030053749680519104, 0.030618689954280853, 0.03352444991469383, 0.03571202605962753, 0.031224876642227173, 0.03461224585771561, 0.03864594176411629, 0.03706575930118561, 0.040768709033727646, 0.030948705971240997, 0.03455221280455589, 0.037743356078863144, 0.034908100962638855, 0.034659262746572495, 0.0391869843006134, 0.044140346348285675, 0.05279663950204849, 0.04926561191678047, 0.050584495067596436, 0.04103878140449524, 0.04367200285196304];[-0.8328738808631897, -0.8230581283569336, -0.8671552538871765, -0.8273288607597351, -0.81754070520401, -0.849925696849823, -0.8343862295150757, -0.8265345096588135, -0.8235012888908386, -0.8210588693618774, -0.8159657716751099, -0.8115050196647644, -0.8228549361228943, -0.8323985934257507, -0.8178085684776306, -0.8226094841957092, -0.8420484066009521, -0.8351261615753174, -0.8453863263130188, -0.8150743842124939, -0.8252484202384949, -0.8362982273101807, -0.82472825050354, -0.8274304866790771, -0.8391621112823486, -0.8506813645362854, -0.884705126285553, -0.8766876459121704, -0.8686830997467041, -0.8437858819961548, -0.8616647720336914];[0.025333791971206665, 0.021148962900042534, 0.030203256756067276, 0.025980280712246895, 0.027863461524248123, 0.019304770976305008, 0.029643015936017036, 0.03710460290312767, 0.02210306189954281, 0.02338283509016037, 0.022876543924212456, 0.01932785101234913, 0.02248327247798443, 0.025547243654727936, 0.022580625489354134, 0.0189481433480978, 0.027981407940387726, 0.02237360179424286, 0.029432345181703568, 0.02322564087808132, 0.020519984886050224, 0.019899539649486542, 0.023638639599084854, 0.020949622616171837, 0.02503422647714615, 0.020966030657291412, 0.019168918952345848, 0.029014185070991516, 0.019671907648444176, 0.023426901549100876];2469.998655319214
