Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[1.1691153049468994, 1.1709810495376587, 1.172828197479248, 1.168425440788269, 1.1629997491836548, 1.1684346199035645, 1.1643269062042236, 1.1641322374343872, 1.1726040840148926, 1.1656204462051392, 1.163354754447937, 1.1689622402191162, 1.16666579246521, 1.1605960130691528, 1.1593620777130127, 1.163873553276062, 1.1621559858322144, 1.1614450216293335, 1.1694287061691284, 1.1591850519180298, 1.1692028045654297, 1.1663740873336792, 1.1654558181762695, 1.1594362258911133, 1.1608960628509521, 1.1672353744506836, 1.1583030223846436, 1.1614035367965698, 1.16402268409729, 1.1585386991500854, 1.1621960401535034];[0.09585244953632355, 0.0968702957034111, 0.09999258816242218, 0.09485845267772675, 0.09125428646802902, 0.09409476816654205, 0.09339180588722229, 0.09471071511507034, 0.0962565466761589, 0.0928676649928093, 0.09333294630050659, 0.09293761104345322, 0.09407659620046616, 0.09258369356393814, 0.09117000550031662, 0.09135577082633972, 0.0924515500664711, 0.09200912714004517, 0.0975046306848526, 0.09222353994846344, 0.09372099488973618, 0.09554492682218552, 0.09630049020051956, 0.09292863309383392, 0.09286633878946304, 0.09471350163221359, 0.09106461703777313, 0.09222298860549927, 0.0955738052725792, 0.09432864934206009, 0.09466428309679031];[-2.1586570739746094, -2.1483724117279053, -2.160146474838257, -2.131176710128784, -2.128018617630005, -2.154364824295044, -2.1398589611053467, -2.1427783966064453, -2.1544864177703857, -2.136402130126953, -2.1406021118164062, -2.1297831535339355, -2.1618261337280273, -2.134409189224243, -2.116697311401367, -2.1153244972229004, -2.137979030609131, -2.12060809135437, -2.1684165000915527, -2.132835865020752, -2.139059543609619, -2.1615424156188965, -2.16104793548584, -2.1447629928588867, -2.1378378868103027, -2.1505002975463867, -2.127765655517578, -2.137315273284912, -2.15743350982666, -2.1373631954193115, -2.159575939178467];[];902.0021274089813
50;[1.6182197332382202, 1.6206445693969727, 1.622812032699585, 1.6168736219406128, 1.6140650510787964, 1.6195026636123657, 1.6149660348892212, 1.6159557104110718, 1.621873140335083, 1.6151518821716309, 1.613457202911377, 1.6187294721603394, 1.6176921129226685, 1.6105492115020752, 1.6115444898605347, 1.6140793561935425, 1.614374041557312, 1.6122183799743652, 1.6199283599853516, 1.610926866531372, 1.6189628839492798, 1.6161465644836426, 1.6150586605072021, 1.611992597579956, 1.6124567985534668, 1.6170589923858643, 1.6105526685714722, 1.612546443939209, 1.6136629581451416, 1.6094807386398315, 1.6156013011932373];[0.1960361897945404, 0.19722852110862732, 0.2002541571855545, 0.19545435905456543, 0.19382259249687195, 0.1953868865966797, 0.19508980214595795, 0.19713068008422852, 0.1962084323167801, 0.1945543885231018, 0.19488872587680817, 0.19411776959896088, 0.19586612284183502, 0.19454741477966309, 0.19464784860610962, 0.19364558160305023, 0.19539426267147064, 0.1946978121995926, 0.1987234503030777, 0.19572988152503967, 0.1948249489068985, 0.19662979245185852, 0.1977144032716751, 0.19680088758468628, 0.19576537609100342, 0.19590798020362854, 0.19484618306159973, 0.1951364427804947, 0.19705744087696075, 0.1973796933889389, 0.19824109971523285];[-4.32171106338501, -4.297066688537598, -4.318748474121094, -4.253014087677002, -4.283144474029541, -4.311337947845459, -4.291253566741943, -4.310005187988281, -4.300492763519287, -4.287256240844727, -4.302794933319092, -4.270978927612305, -4.339653968811035, -4.295289039611816, -4.268832206726074, -4.25000524520874, -4.314586162567139, -4.272100448608398, -4.345871448516846, -4.30789041519165, -4.295260429382324, -4.335813045501709, -4.326390743255615, -4.342634677886963, -4.313648700714111, -4.3046956062316895, -4.3028035163879395, -4.314016342163086, -4.326108932495117, -4.3045148849487305, -4.3650360107421875];[];881.1527018547058
100;[1.1636465787887573, 1.1704261302947998, 1.1644203662872314, 1.165834665298462, 1.1593811511993408, 1.1603689193725586, 1.1583642959594727, 1.1676599979400635, 1.165591835975647, 1.16753351688385, 1.1627994775772095, 1.163143277168274, 1.1623433828353882, 1.1601271629333496, 1.1578145027160645, 1.1599220037460327, 1.1587188243865967, 1.1616754531860352, 1.1634633541107178, 1.1564322710037231, 1.162269949913025, 1.1624001264572144, 1.1659892797470093, 1.1648435592651367, 1.1644339561462402, 1.1706395149230957, 1.1612051725387573, 1.1590522527694702, 1.1650201082229614, 1.165130376815796, 1.1633013486862183];[0.09291034936904907, 0.0957292765378952, 0.09412068128585815, 0.09293287247419357, 0.09110412746667862, 0.09459641575813293, 0.09167957305908203, 0.09622599929571152, 0.0914033055305481, 0.09393402189016342, 0.09200281649827957, 0.09486138820648193, 0.09458532929420471, 0.09411407262086868, 0.09190651774406433, 0.09202295541763306, 0.09145786613225937, 0.09341062605381012, 0.09149006009101868, 0.09271879494190216, 0.09131541848182678, 0.09324315935373306, 0.09379145503044128, 0.09574539959430695, 0.0951695516705513, 0.09678392857313156, 0.09372645616531372, 0.09228647500276566, 0.09216291457414627, 0.09522359073162079, 0.09397558867931366];[-2.136005401611328, -2.1461005210876465, -2.138436794281006, -2.1331050395965576, -2.1248674392700195, -2.144538164138794, -2.131232261657715, -2.1557018756866455, -2.1274704933166504, -2.1378579139709473, -2.140836238861084, -2.1426663398742676, -2.149040699005127, -2.146632432937622, -2.1279540061950684, -2.1341359615325928, -2.1248178482055664, -2.1418263912200928, -2.1324009895324707, -2.1373534202575684, -2.138265609741211, -2.1366448402404785, -2.1384365558624268, -2.149477005004883, -2.157417058944702, -2.1555521488189697, -2.133373498916626, -2.125621795654297, -2.129075527191162, -2.149458408355713, -2.145756483078003];[];862.3825280666351
100;[1.6148221492767334, 1.6193208694458008, 1.6146149635314941, 1.6161205768585205, 1.6108568906784058, 1.6122376918792725, 1.610403060913086, 1.6177380084991455, 1.6156584024429321, 1.617157220840454, 1.6142082214355469, 1.6137540340423584, 1.612593173980713, 1.6105703115463257, 1.6091066598892212, 1.6120351552963257, 1.6102938652038574, 1.612105369567871, 1.613858938217163, 1.60831880569458, 1.6137721538543701, 1.612912654876709, 1.6155705451965332, 1.6148015260696411, 1.6160516738891602, 1.6198201179504395, 1.612237572669983, 1.6084755659103394, 1.6152105331420898, 1.6151574850082397, 1.613637924194336];[0.19523769617080688, 0.19582706689834595, 0.1959669440984726, 0.19476059079170227, 0.1945289522409439, 0.19785477221012115, 0.19576388597488403, 0.19760730862617493, 0.1935092955827713, 0.1949928253889084, 0.19461031258106232, 0.19659732282161713, 0.1966077834367752, 0.19643300771713257, 0.1951296627521515, 0.19539570808410645, 0.19516727328300476, 0.19569562375545502, 0.19371850788593292, 0.19673006236553192, 0.19429518282413483, 0.19551250338554382, 0.19548416137695312, 0.1973928064107895, 0.19755709171295166, 0.19702032208442688, 0.19626739621162415, 0.19455486536026, 0.19413761794567108, 0.19678039848804474, 0.19640110433101654];[-4.304330825805664, -4.286991119384766, -4.298332691192627, -4.285259246826172, -4.290339946746826, -4.32737398147583, -4.311956882476807, -4.320789813995361, -4.272955894470215, -4.2855753898620605, -4.3160552978515625, -4.3069329261779785, -4.322138786315918, -4.322988510131836, -4.2943878173828125, -4.3102312088012695, -4.288507461547852, -4.311210632324219, -4.292562007904053, -4.324104309082031, -4.3137736320495605, -4.29568338394165, -4.288913726806641, -4.308904647827148, -4.329354286193848, -4.303864479064941, -4.293214797973633, -4.27821683883667, -4.274162769317627, -4.313981533050537, -4.309403896331787];[];890.8430745601654
150;[1.1630229949951172, 1.1625568866729736, 1.167913556098938, 1.1623471975326538, 1.1664083003997803, 1.1583014726638794, 1.1678845882415771, 1.1658991575241089, 1.1643092632293701, 1.1630260944366455, 1.1662346124649048, 1.164322018623352, 1.1668174266815186, 1.1674892902374268, 1.162187933921814, 1.1644757986068726, 1.1684919595718384, 1.1632051467895508, 1.1667553186416626, 1.1698997020721436, 1.1704187393188477, 1.1665699481964111, 1.1657530069351196, 1.1703064441680908, 1.1706061363220215, 1.1678907871246338, 1.171875, 1.167634129524231, 1.168786883354187, 1.1691069602966309, 1.1685597896575928];[0.09222948551177979, 0.09594292938709259, 0.09628253430128098, 0.09403038024902344, 0.094268798828125, 0.09263931214809418, 0.09458684176206589, 0.09209473431110382, 0.09191632270812988, 0.08938833326101303, 0.09397012740373611, 0.09079943597316742, 0.09280752390623093, 0.0943235531449318, 0.0891675353050232, 0.08952612429857254, 0.09026607871055603, 0.08972395956516266, 0.09055063873529434, 0.09260179102420807, 0.09298146516084671, 0.09251932054758072, 0.09254059195518494, 0.09051772207021713, 0.09159775078296661, 0.09043245762586594, 0.09287305921316147, 0.09161851555109024, 0.09008266031742096, 0.08869335800409317, 0.09130339324474335];[-2.1348283290863037, -2.155547618865967, -2.158236503601074, -2.1463704109191895, -2.1420233249664307, -2.1532304286956787, -2.1515142917633057, -2.122775077819824, -2.131711721420288, -2.101247549057007, -2.1334359645843506, -2.1190686225891113, -2.127906322479248, -2.1344351768493652, -2.097824811935425, -2.1134495735168457, -2.099696159362793, -2.103145122528076, -2.1071858406066895, -2.1126797199249268, -2.107248067855835, -2.124302864074707, -2.111492395401001, -2.0959205627441406, -2.1071712970733643, -2.1036934852600098, -2.1163880825042725, -2.098365545272827, -2.090254306793213, -2.080200433731079, -2.1016242504119873];[];882.4126341342926
150;[1.6139203310012817, 1.614641547203064, 1.6180579662322998, 1.6141796112060547, 1.6164816617965698, 1.610480546951294, 1.6183993816375732, 1.6153470277786255, 1.6143606901168823, 1.612720251083374, 1.6158459186553955, 1.6158908605575562, 1.6168901920318604, 1.616379737854004, 1.6115375757217407, 1.612999439239502, 1.6169087886810303, 1.6134041547775269, 1.6144648790359497, 1.61795973777771, 1.6182782649993896, 1.615587592124939, 1.614983320236206, 1.618740200996399, 1.6186078786849976, 1.614854097366333, 1.6190576553344727, 1.6154927015304565, 1.6169631481170654, 1.6165456771850586, 1.6159166097640991];[0.1945616751909256, 0.1988111287355423, 0.1974593698978424, 0.19691036641597748, 0.19565147161483765, 0.19633059203624725, 0.1958361715078354, 0.19317345321178436, 0.19356666505336761, 0.191714346408844, 0.19568182528018951, 0.1936684250831604, 0.19444721937179565, 0.19591124355793, 0.19168852269649506, 0.19109272956848145, 0.1916264295578003, 0.19230516254901886, 0.19170968234539032, 0.19314412772655487, 0.19355924427509308, 0.19384287297725677, 0.1948280930519104, 0.19190086424350739, 0.19242992997169495, 0.19153787195682526, 0.19366800785064697, 0.1934836506843567, 0.19191832840442657, 0.18974114954471588, 0.19292612373828888];[-4.298182010650635, -4.344803333282471, -4.314218521118164, -4.323268890380859, -4.296792030334473, -4.356621742248535, -4.317299842834473, -4.252413749694824, -4.281520843505859, -4.229851245880127, -4.2831902503967285, -4.2680206298828125, -4.26475191116333, -4.273967742919922, -4.223769664764404, -4.2411932945251465, -4.2031378746032715, -4.2378458976745605, -4.221190929412842, -4.222649097442627, -4.214914321899414, -4.267897605895996, -4.235312461853027, -4.194692611694336, -4.215485572814941, -4.2120771408081055, -4.231558799743652, -4.209357261657715, -4.1939520835876465, -4.164290904998779, -4.21744441986084];[];890.6626529693604
200;[1.1612826585769653, 1.1632280349731445, 1.1668518781661987, 1.1632179021835327, 1.1635076999664307, 1.1638458967208862, 1.1639223098754883, 1.1643853187561035, 1.1607160568237305, 1.163409948348999, 1.1620084047317505, 1.1625488996505737, 1.1611320972442627, 1.1638847589492798, 1.1572719812393188, 1.162757396697998, 1.1652491092681885, 1.15676748752594, 1.1663044691085815, 1.1566227674484253, 1.156197190284729, 1.157699465751648, 1.1636779308319092, 1.1618385314941406, 1.1576389074325562, 1.157400131225586, 1.1560086011886597, 1.160311222076416, 1.1562131643295288, 1.1557456254959106, 1.161733865737915];[0.0945221334695816, 0.09578423947095871, 0.09817995131015778, 0.09559515118598938, 0.09382764250040054, 0.09538991004228592, 0.0966905951499939, 0.09525353461503983, 0.09297782927751541, 0.09492510557174683, 0.09489823877811432, 0.09500554949045181, 0.09317193925380707, 0.0945494994521141, 0.09367924183607101, 0.09622545540332794, 0.0956164225935936, 0.09252817183732986, 0.09353213757276535, 0.09369819611310959, 0.09288809448480606, 0.09458976984024048, 0.09699845314025879, 0.09443038702011108, 0.09380195289850235, 0.09340785443782806, 0.0949954092502594, 0.09508287161588669, 0.09289389103651047, 0.09401396661996841, 0.0966138243675232];[-2.1454927921295166, -2.1604225635528564, -2.187264919281006, -2.1627049446105957, -2.144294023513794, -2.1675214767456055, -2.1765997409820557, -2.151294469833374, -2.1489946842193604, -2.157672643661499, -2.1542835235595703, -2.161865234375, -2.1540145874023438, -2.1475186347961426, -2.156881809234619, -2.1681814193725586, -2.1683318614959717, -2.1346514225006104, -2.1418347358703613, -2.156339168548584, -2.147207021713257, -2.16270112991333, -2.163299322128296, -2.1437549591064453, -2.152862548828125, -2.1591384410858154, -2.1632683277130127, -2.158703327178955, -2.143815517425537, -2.162928819656372, -2.1647403240203857];[];867.134352684021
200;[1.6124927997589111, 1.6144423484802246, 1.6174112558364868, 1.6138821840286255, 1.6149660348892212, 1.6158159971237183, 1.616491675376892, 1.6141875982284546, 1.6128625869750977, 1.6141862869262695, 1.6114851236343384, 1.6147021055221558, 1.613923192024231, 1.6148872375488281, 1.6088179349899292, 1.614795207977295, 1.615474820137024, 1.6075340509414673, 1.617013931274414, 1.609142780303955, 1.6091258525848389, 1.6101452112197876, 1.614709496498108, 1.6125503778457642, 1.6091723442077637, 1.6097477674484253, 1.6077661514282227, 1.6108916997909546, 1.609134316444397, 1.60792076587677, 1.6136488914489746];[0.19693005084991455, 0.19827596843242645, 0.1993691325187683, 0.19804736971855164, 0.19655276834964752, 0.19793131947517395, 0.1991708129644394, 0.1968095749616623, 0.19604510068893433, 0.19686679542064667, 0.1967577040195465, 0.19800309836864471, 0.1965588480234146, 0.19701234996318817, 0.19744952023029327, 0.19918683171272278, 0.19717085361480713, 0.19623497128486633, 0.19547641277313232, 0.1974208652973175, 0.1976485252380371, 0.19803118705749512, 0.19916033744812012, 0.19716106355190277, 0.1973717212677002, 0.1969190388917923, 0.19889779388904572, 0.19804227352142334, 0.19699987769126892, 0.1981392502784729, 0.1995709091424942];[-4.322001934051514, -4.353079319000244, -4.3928046226501465, -4.361026287078857, -4.320112705230713, -4.373669624328613, -4.394212245941162, -4.327787399291992, -4.344155311584473, -4.349488258361816, -4.337918281555176, -4.368180274963379, -4.359493732452393, -4.321731090545654, -4.364659309387207, -4.384235382080078, -4.35465145111084, -4.317387580871582, -4.310281276702881, -4.370960712432861, -4.361048698425293, -4.381020545959473, -4.3600754737854, -4.3202409744262695, -4.3555731773376465, -4.3719611167907715, -4.387442588806152, -4.360722541809082, -4.341938495635986, -4.3918070793151855, -4.353854656219482];[];883.4263038635254
250;[1.167892575263977, 1.1608169078826904, 1.1583458185195923, 1.1597508192062378, 1.1676056385040283, 1.158050298690796, 1.1607400178909302, 1.1610596179962158, 1.169615387916565, 1.1658459901809692, 1.159974455833435, 1.174760341644287, 1.1561204195022583, 1.1616096496582031, 1.1633732318878174, 1.1588674783706665, 1.162341833114624, 1.1534905433654785, 1.1571085453033447, 1.1638811826705933, 1.1602420806884766, 1.165279746055603, 1.1579689979553223, 1.1584776639938354, 1.1606037616729736, 1.1672356128692627, 1.1626899242401123, 1.1585958003997803, 1.159669280052185, 1.154703140258789, 1.1564133167266846];[0.09595180302858353, 0.0929255336523056, 0.09264051914215088, 0.09241066128015518, 0.09698931872844696, 0.09249810874462128, 0.09108423441648483, 0.09200303256511688, 0.09487660974264145, 0.09192169457674026, 0.08860183507204056, 0.09845168143510818, 0.0898941308259964, 0.0913098156452179, 0.09245540201663971, 0.09137874841690063, 0.09016840159893036, 0.08839330822229385, 0.09058862924575806, 0.09345536679029465, 0.0915226861834526, 0.09179490804672241, 0.09273219853639603, 0.09086926281452179, 0.08956689387559891, 0.09579163044691086, 0.09313566237688065, 0.09147040545940399, 0.09060494601726532, 0.08740177750587463, 0.08945057541131973];[-2.164726972579956, -2.1440987586975098, -2.149512529373169, -2.126234292984009, -2.1544299125671387, -2.121000289916992, -2.1087772846221924, -2.1220505237579346, -2.1397440433502197, -2.1130614280700684, -2.0995140075683594, -2.152334690093994, -2.117488384246826, -2.120837926864624, -2.1264536380767822, -2.116302013397217, -2.1154963970184326, -2.1044983863830566, -2.123250961303711, -2.1421878337860107, -2.125448703765869, -2.1269497871398926, -2.138725519180298, -2.1291158199310303, -2.107948064804077, -2.144779920578003, -2.132680654525757, -2.1208016872406006, -2.118222713470459, -2.106248378753662, -2.1224076747894287];[];908.7107951641083
250;[1.6186182498931885, 1.6110035181045532, 1.6104178428649902, 1.6117390394210815, 1.6174705028533936, 1.609136939048767, 1.6107168197631836, 1.6111093759536743, 1.6192622184753418, 1.6151022911071777, 1.6094497442245483, 1.6223862171173096, 1.6086609363555908, 1.6123363971710205, 1.6130893230438232, 1.6099086999893188, 1.6133792400360107, 1.6056855916976929, 1.6080399751663208, 1.6146998405456543, 1.612239956855774, 1.6151541471481323, 1.6096149682998657, 1.611566424369812, 1.611405611038208, 1.6167654991149902, 1.6141959428787231, 1.609407901763916, 1.6112483739852905, 1.6079919338226318, 1.6080654859542847];[0.19714635610580444, 0.19533149898052216, 0.19642722606658936, 0.19608724117279053, 0.19842873513698578, 0.19541597366333008, 0.19373951852321625, 0.1947314441204071, 0.19580170512199402, 0.1931508183479309, 0.19029414653778076, 0.19703911244869232, 0.19417007267475128, 0.19384567439556122, 0.19461826980113983, 0.19443601369857788, 0.19337792694568634, 0.19333477318286896, 0.19361165165901184, 0.19539514183998108, 0.19517242908477783, 0.1935175657272339, 0.19642597436904907, 0.19537261128425598, 0.19269445538520813, 0.197228342294693, 0.1960216462612152, 0.19488956034183502, 0.19406618177890778, 0.19241531193256378, 0.1937464326620102];[-4.344611167907715, -4.3204450607299805, -4.347493648529053, -4.2943525314331055, -4.316133975982666, -4.275899410247803, -4.238011837005615, -4.27086067199707, -4.283076286315918, -4.240870475769043, -4.2224884033203125, -4.285080432891846, -4.282958030700684, -4.271821975708008, -4.271029949188232, -4.264720916748047, -4.26008939743042, -4.267767906188965, -4.288805961608887, -4.307030200958252, -4.295312881469727, -4.269423961639404, -4.314876079559326, -4.313250541687012, -4.248380184173584, -4.301211357116699, -4.302470684051514, -4.276834964752197, -4.2691497802734375, -4.2742509841918945, -4.299045562744141];[];885.2699437141418
