Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7744492292404175, 0.782048225402832, 0.7739897966384888, 0.7696326375007629, 0.7767897844314575, 0.7752290964126587, 0.7734375, 0.7822602391242981, 0.7748045921325684, 0.77460116147995, 0.7713755965232849, 0.77375328540802, 0.7710164785385132, 0.7670267224311829, 0.7763462662696838, 0.771764874458313, 0.7754544615745544, 0.7789981961250305, 0.7733109593391418, 0.7787299752235413, 0.7764052748680115, 0.7739990949630737, 0.7612388134002686, 0.7680765390396118, 0.7735698223114014, 0.7641290426254272, 0.7750328183174133, 0.775158703327179, 0.7665776610374451, 0.7659218907356262];[0.04275934398174286, 0.035510264337062836, 0.04352101683616638, 0.03607291355729103, 0.032031621783971786, 0.0386619009077549, 0.03678322210907936, 0.03457458317279816, 0.04226985201239586, 0.03651396930217743, 0.03818334639072418, 0.032542869448661804, 0.036822572350502014, 0.03472049534320831, 0.030216792598366737, 0.036175139248371124, 0.034286417067050934, 0.03864936903119087, 0.04037272557616234, 0.0344664640724659, 0.035838812589645386, 0.03744334354996681, 0.03652438148856163, 0.025088569149374962, 0.03049222193658352, 0.03415914997458458, 0.02706115134060383, 0.03718709573149681, 0.036042675375938416, 0.029606549069285393, 0.02914898283779621];[-0.8513761162757874, -0.8275979161262512, -0.856465220451355, -0.8281150460243225, -0.8166565895080566, -0.8361314535140991, -0.8326293230056763, -0.8303546905517578, -0.8503349423408508, -0.8291482329368591, -0.8370735049247742, -0.8192248940467834, -0.8451564908027649, -0.8257572054862976, -0.8120682239532471, -0.831866979598999, -0.8235065937042236, -0.8383885025978088, -0.8540980219841003, -0.8236100673675537, -0.8329615592956543, -0.834379255771637, -0.8337350487709045, -0.7985527515411377, -0.8131544589996338, -0.8248572945594788, -0.8025088906288147, -0.8293828964233398, -0.8309603333473206, -0.8106111288070679, -0.8122859597206116];[];831.9549241065979
100;[0.7740078568458557, 0.7828853130340576, 0.7762529253959656, 0.7751418948173523, 0.7724589109420776, 0.7751961350440979, 0.7716956734657288, 0.7848221659660339, 0.780341625213623, 0.7806982398033142, 0.7757481932640076, 0.779060423374176, 0.7787240147590637, 0.7761463522911072, 0.7745723724365234, 0.7816600203514099, 0.773152232170105, 0.7838084101676941, 0.7802242040634155, 0.7708973288536072, 0.7770958542823792, 0.7856677770614624, 0.7795919179916382, 0.7802884578704834, 0.7807583212852478, 0.7822806239128113, 0.7771526575088501, 0.7816810011863708, 0.7828792333602905, 0.7847207188606262, 0.7831494212150574];[0.03575695678591728, 0.04342540353536606, 0.03950341045856476, 0.03555281087756157, 0.03382174298167229, 0.03703473508358002, 0.035350169986486435, 0.04464225098490715, 0.03722815588116646, 0.040328849107027054, 0.03585854917764664, 0.039353109896183014, 0.039270855486392975, 0.0409824475646019, 0.03629707172513008, 0.042567603290081024, 0.03480115905404091, 0.042531173676252365, 0.03836792707443237, 0.033954158425331116, 0.03758879750967026, 0.04445116966962814, 0.03764844313263893, 0.040501873940229416, 0.039498940110206604, 0.039658378809690475, 0.03784295916557312, 0.03946494311094284, 0.03967168927192688, 0.04101131111383438, 0.04177616909146309];[-0.8250949382781982, -0.8488302826881409, -0.8393433690071106, -0.8293517827987671, -0.8265718817710876, -0.8325451016426086, -0.8253081440925598, -0.8583332300186157, -0.8388038277626038, -0.8401671648025513, -0.8324664831161499, -0.8395650386810303, -0.8441298007965088, -0.8461297750473022, -0.8387754559516907, -0.8475582003593445, -0.8269012570381165, -0.848135769367218, -0.8378182649612427, -0.8235130906105042, -0.8324450850486755, -0.8568196296691895, -0.8347748517990112, -0.8374999165534973, -0.8526114821434021, -0.8397700190544128, -0.8360797166824341, -0.839814305305481, -0.8368574976921082, -0.8470627069473267, -0.8453139066696167];[];888.6328287124634
150;[0.7738230228424072, 0.7761908173561096, 0.7821232676506042, 0.7812615633010864, 0.7788589000701904, 0.7663608193397522, 0.7834299206733704, 0.7882084250450134, 0.7811577916145325, 0.7811623811721802, 0.7818918824195862, 0.7739729881286621, 0.7834471464157104, 0.777454137802124, 0.7782494425773621, 0.7889919877052307, 0.787352979183197, 0.7781919240951538, 0.78800368309021, 0.785382866859436, 0.788821816444397, 0.7829743027687073, 0.7849379181861877, 0.7841996550559998, 0.7923219203948975, 0.7951055765151978, 0.7918316721916199, 0.790431022644043, 0.790240466594696, 0.7969669103622437, 0.7894426584243774];[0.0353887565433979, 0.041239481419324875, 0.04263739660382271, 0.04236910119652748, 0.04042700305581093, 0.031577229499816895, 0.04428255558013916, 0.044258181005716324, 0.04045293480157852, 0.03999892249703407, 0.04209768772125244, 0.03651865944266319, 0.04221304506063461, 0.03884776309132576, 0.0359685979783535, 0.04548095539212227, 0.042746055871248245, 0.037351951003074646, 0.04434843361377716, 0.042123641818761826, 0.04612401872873306, 0.041844647377729416, 0.044333480298519135, 0.03918948024511337, 0.04737323150038719, 0.04841826111078262, 0.0476282462477684, 0.046090997755527496, 0.04569694399833679, 0.0490913912653923, 0.04550734907388687];[-0.8276398181915283, -0.8527566194534302, -0.8523996472358704, -0.849287211894989, -0.8442994952201843, -0.8166788220405579, -0.8566799163818359, -0.8533161282539368, -0.8464377522468567, -0.8418736457824707, -0.849014401435852, -0.8273873329162598, -0.8507329225540161, -0.8357357382774353, -0.8314598202705383, -0.8600473999977112, -0.8450685143470764, -0.8373409509658813, -0.8518754839897156, -0.8524476289749146, -0.8637765049934387, -0.8465239405632019, -0.8569595813751221, -0.8394895792007446, -0.8611347675323486, -0.8740838766098022, -0.8707135915756226, -0.8599064946174622, -0.8554711937904358, -0.8686912059783936, -0.859607994556427];[];839.9968144893646
200;[0.7712486386299133, 0.7720938920974731, 0.7779460549354553, 0.7678623199462891, 0.7744221091270447, 0.7694663405418396, 0.7722922563552856, 0.7687341570854187, 0.7713345289230347, 0.7684603333473206, 0.7774707078933716, 0.7799854874610901, 0.7690814733505249, 0.781984806060791, 0.7689424753189087, 0.7659972310066223, 0.7780636548995972, 0.7721744775772095, 0.7765723466873169, 0.7627447843551636, 0.7641067504882812, 0.7629963755607605, 0.7794008851051331, 0.7817540168762207, 0.7702456116676331, 0.7747138142585754, 0.7701639533042908, 0.7723453640937805, 0.7685322165489197, 0.7706196308135986, 0.7782228589057922];[0.03644751384854317, 0.03521020710468292, 0.04040946438908577, 0.032526757568120956, 0.03427080810070038, 0.03238698095083237, 0.036091797053813934, 0.03143854811787605, 0.032473716884851456, 0.03155745565891266, 0.03726867958903313, 0.04084072262048721, 0.03205062448978424, 0.03912496939301491, 0.0333576500415802, 0.03019159473478794, 0.03815661743283272, 0.033999133855104446, 0.03505537658929825, 0.027758833020925522, 0.028580443933606148, 0.029204485937952995, 0.04068624600768089, 0.04073413461446762, 0.03381184861063957, 0.038935523480176926, 0.03438788652420044, 0.03235292062163353, 0.03231179714202881, 0.03484867140650749, 0.040254462510347366];[-0.8304311633110046, -0.8257812261581421, -0.8445475101470947, -0.8195067048072815, -0.8244325518608093, -0.8228577971458435, -0.8305623531341553, -0.8125522136688232, -0.822222888469696, -0.816064715385437, -0.8322672247886658, -0.8439933657646179, -0.8151900768280029, -0.8436248898506165, -0.8200975060462952, -0.8172540068626404, -0.8423195481300354, -0.8227632641792297, -0.824308454990387, -0.8066449165344238, -0.8064897656440735, -0.8099173903465271, -0.8433380722999573, -0.8461300730705261, -0.8231021165847778, -0.8428855538368225, -0.825019896030426, -0.8241193294525146, -0.8144964575767517, -0.8290720582008362, -0.8465405106544495];[];836.442459821701
250;[0.7790236473083496, 0.7671434283256531, 0.7655153870582581, 0.775965690612793, 0.7761222124099731, 0.7663241028785706, 0.7722426652908325, 0.7734973430633545, 0.7823103666305542, 0.7728643417358398, 0.7739890813827515, 0.7741073369979858, 0.7677662372589111, 0.7779846787452698, 0.7773994207382202, 0.7713344693183899, 0.7755539417266846, 0.7734215259552002, 0.7692251205444336, 0.7763095498085022, 0.770124077796936, 0.7751181721687317, 0.7684342265129089, 0.76575767993927, 0.7738561630249023, 0.7730279564857483, 0.7739199995994568, 0.7790602445602417, 0.7703889608383179, 0.7673642635345459, 0.7667408585548401];[0.04095490276813507, 0.0319799929857254, 0.030995216220617294, 0.04136138781905174, 0.04067026451230049, 0.032324790954589844, 0.034100838005542755, 0.035396941006183624, 0.041245270520448685, 0.03466244414448738, 0.034370481967926025, 0.03625974431633949, 0.02913886122405529, 0.03652271628379822, 0.03926395624876022, 0.03260238096117973, 0.033478930592536926, 0.034226108342409134, 0.03279774636030197, 0.03857388719916344, 0.03254329785704613, 0.03388354554772377, 0.03272172808647156, 0.029237860813736916, 0.03218482434749603, 0.034585174173116684, 0.03477061167359352, 0.040665581822395325, 0.03248191997408867, 0.029963403940200806, 0.028139900416135788];[-0.8494722843170166, -0.8176061511039734, -0.8144208192825317, -0.8460516929626465, -0.8435057401657104, -0.816922128200531, -0.8190355896949768, -0.8338746428489685, -0.8438922762870789, -0.8251631855964661, -0.822847306728363, -0.8329446315765381, -0.8079631328582764, -0.8337308764457703, -0.8366090059280396, -0.8187060356140137, -0.823805570602417, -0.824028730392456, -0.8154870867729187, -0.8333538770675659, -0.8204875588417053, -0.8209148645401001, -0.8237780928611755, -0.8103489875793457, -0.8194011449813843, -0.827143669128418, -0.8247656226158142, -0.8411588072776794, -0.8171626329421997, -0.8137648105621338, -0.8062236309051514];[];841.8418366909027
300;[0.7677474617958069, 0.7699675559997559, 0.7697373032569885, 0.7763179540634155, 0.7748833298683167, 0.7824606895446777, 0.7730868458747864, 0.7750315070152283, 0.7720792889595032, 0.7779598236083984, 0.7741701006889343, 0.7703619003295898, 0.7788269519805908, 0.7714620232582092, 0.7708695530891418, 0.7778615355491638, 0.7729085683822632, 0.7855648994445801, 0.78897625207901, 0.7758163809776306, 0.7810424566268921, 0.7821140885353088, 0.7876380085945129, 0.7815681099891663, 0.7771851420402527, 0.78342604637146, 0.7860255837440491, 0.7813361287117004, 0.7797085046768188, 0.7923097014427185, 0.778247058391571];[0.03291848674416542, 0.033890463411808014, 0.03343851864337921, 0.03704138845205307, 0.03551168739795685, 0.04148384928703308, 0.03775438293814659, 0.03481833636760712, 0.03281138092279434, 0.03994458168745041, 0.03660087659955025, 0.032142337411642075, 0.04127559810876846, 0.033755213022232056, 0.03336377814412117, 0.0393359549343586, 0.034622106701135635, 0.0421571284532547, 0.04595794156193733, 0.03801551088690758, 0.04163104295730591, 0.04187387973070145, 0.04544023796916008, 0.039683111011981964, 0.039204902946949005, 0.04321380704641342, 0.04312298446893692, 0.04295600578188896, 0.04132125899195671, 0.050345562398433685, 0.03861284255981445];[-0.821944534778595, -0.819388747215271, -0.8248472809791565, -0.8427767753601074, -0.8242262601852417, -0.8448652625083923, -0.8351145386695862, -0.8260390162467957, -0.8196340203285217, -0.8441488742828369, -0.8327938914299011, -0.817408561706543, -0.8518215417861938, -0.8232231736183167, -0.8242442011833191, -0.8379474878311157, -0.8275482654571533, -0.8527700901031494, -0.8861655592918396, -0.8396788239479065, -0.8447149395942688, -0.8487865924835205, -0.8565449118614197, -0.8501657843589783, -0.8392578363418579, -0.8710622191429138, -0.8528245687484741, -0.8557389378547668, -0.8442073464393616, -0.8744834661483765, -0.8361095190048218];[];881.6533455848694
350;[0.7704355716705322, 0.771936297416687, 0.7700678110122681, 0.7728368043899536, 0.7678327560424805, 0.7776079177856445, 0.7654290199279785, 0.7649367451667786, 0.7781369090080261, 0.7654390335083008, 0.7737104892730713, 0.7707418203353882, 0.7893226742744446, 0.7744553089141846, 0.7739492654800415, 0.777961254119873, 0.7748599052429199, 0.7682906985282898, 0.7773924469947815, 0.7647157907485962, 0.7735968232154846, 0.7723711133003235, 0.7787107229232788, 0.7733575105667114, 0.7705179452896118, 0.7728739976882935, 0.7751355171203613, 0.7676222920417786, 0.773918092250824, 0.7725781798362732, 0.778498113155365];[0.03398638591170311, 0.03240830451250076, 0.03299121931195259, 0.03218330815434456, 0.029886536300182343, 0.038911089301109314, 0.026233699172735214, 0.028527386486530304, 0.03944995626807213, 0.030707979574799538, 0.034544892609119415, 0.034481484442949295, 0.0453794039785862, 0.03315253555774689, 0.03357090428471565, 0.03545230254530907, 0.03378819301724434, 0.03274641931056976, 0.037540607154369354, 0.029599525034427643, 0.032825104892253876, 0.03177963197231293, 0.037510838359594345, 0.032252758741378784, 0.03247688710689545, 0.032886482775211334, 0.036508090794086456, 0.030407551676034927, 0.03521043434739113, 0.032594945281744, 0.03467053920030594];[-0.8258494138717651, -0.8224102854728699, -0.8212119340896606, -0.8231018781661987, -0.813542366027832, -0.8474124670028687, -0.8020062446594238, -0.8102966547012329, -0.843783974647522, -0.8143278360366821, -0.8234241008758545, -0.8254590630531311, -0.8590803742408752, -0.8252480626106262, -0.824185311794281, -0.8274046778678894, -0.8235172033309937, -0.8194279670715332, -0.8338826298713684, -0.8107215166091919, -0.816739022731781, -0.8197182416915894, -0.8349380493164062, -0.8197266459465027, -0.8222522139549255, -0.8208757638931274, -0.8265410661697388, -0.8161105513572693, -0.8305453658103943, -0.8210384249687195, -0.843445897102356];[];847.1097934246063
400;[0.7718713283538818, 0.7760276198387146, 0.7690520286560059, 0.771445095539093, 0.7725488543510437, 0.775972306728363, 0.7697901725769043, 0.7700838446617126, 0.7672542929649353, 0.7647411227226257, 0.7703227400779724, 0.7784730195999146, 0.7772771120071411, 0.7671229839324951, 0.7745647430419922, 0.7747710943222046, 0.7686396837234497, 0.7767326831817627, 0.7727856040000916, 0.7739413380622864, 0.76871657371521, 0.7694821357727051, 0.7789589166641235, 0.7760869264602661, 0.7689154148101807, 0.7688685059547424, 0.7717671990394592, 0.7689439058303833, 0.7727413773536682, 0.7672941088676453, 0.768164873123169];[0.038732193410396576, 0.03795613348484039, 0.033291589468717575, 0.04010434448719025, 0.034180495887994766, 0.039213310927152634, 0.034652773290872574, 0.033272236585617065, 0.02909812331199646, 0.029652338474988937, 0.03384151682257652, 0.03802432492375374, 0.035933274775743484, 0.02791648916900158, 0.035203367471694946, 0.03550517186522484, 0.032634299248456955, 0.035091836005449295, 0.030976463109254837, 0.03358739614486694, 0.03190699964761734, 0.031704824417829514, 0.036801695823669434, 0.03566735237836838, 0.030462615191936493, 0.03049379773437977, 0.03392453119158745, 0.03149774298071861, 0.03367355838418007, 0.028649475425481796, 0.02970823645591736];[-0.8386055827140808, -0.8332539796829224, -0.8199846744537354, -0.8374287486076355, -0.8235289454460144, -0.8400474786758423, -0.8268647193908691, -0.8181232810020447, -0.8130815625190735, -0.8092844486236572, -0.8272967338562012, -0.8351878523826599, -0.8302618861198425, -0.8067846894264221, -0.826812207698822, -0.8263601064682007, -0.8171664476394653, -0.8344883918762207, -0.8138781189918518, -0.8233810067176819, -0.8208723068237305, -0.8196920156478882, -0.8316422700881958, -0.8307912349700928, -0.8141156435012817, -0.8126897215843201, -0.8228581547737122, -0.8200260400772095, -0.8239457607269287, -0.8090291619300842, -0.8138712048530579];[];849.7682504653931
450;[0.7701276540756226, 0.7702904939651489, 0.7676678895950317, 0.7729808688163757, 0.765546977519989, 0.7780566215515137, 0.7719164490699768, 0.7655678987503052, 0.7784519195556641, 0.7749570608139038, 0.7751766443252563, 0.7683481574058533, 0.76891028881073, 0.7701749801635742, 0.7849777340888977, 0.770250678062439, 0.7774114012718201, 0.7714601755142212, 0.7842515110969543, 0.782336413860321, 0.7791356444358826, 0.7750229239463806, 0.7804350256919861, 0.7702528238296509, 0.7752424478530884, 0.7764189839363098, 0.7805417776107788, 0.7741426825523376, 0.7801844477653503, 0.7709404826164246, 0.7758533954620361];[0.03517783433198929, 0.03573984652757645, 0.029574811458587646, 0.03335285559296608, 0.03131075203418732, 0.040145181119441986, 0.033325646072626114, 0.028640808537602425, 0.039833564311265945, 0.0346856527030468, 0.033220041543245316, 0.03224140405654907, 0.03133269399404526, 0.03184814378619194, 0.04398909956216812, 0.03442792966961861, 0.0377810075879097, 0.03371304273605347, 0.04384365305304527, 0.045251067727804184, 0.03737253323197365, 0.03669215738773346, 0.03864626586437225, 0.03165406733751297, 0.0370546393096447, 0.03435596451163292, 0.03946791961789131, 0.035420142114162445, 0.04067094251513481, 0.031279418617486954, 0.038327790796756744];[-0.8249574303627014, -0.8268069624900818, -0.8129898905754089, -0.8222120404243469, -0.8223937749862671, -0.8438276052474976, -0.8212257027626038, -0.8074629902839661, -0.8350192904472351, -0.8360358476638794, -0.823549747467041, -0.8177352547645569, -0.8184550404548645, -0.8145759701728821, -0.8576051592826843, -0.8237839937210083, -0.8309841156005859, -0.8261308073997498, -0.857162594795227, -0.860568642616272, -0.8362529277801514, -0.8351339101791382, -0.8406689167022705, -0.8155090808868408, -0.8293371796607971, -0.832144558429718, -0.8462851047515869, -0.8282775282859802, -0.8451856970787048, -0.8125854134559631, -0.8357757329940796];[];835.8170454502106
500;[0.7742420434951782, 0.7747895121574402, 0.7757744193077087, 0.7757608294487, 0.7795305848121643, 0.7795522212982178, 0.7699851393699646, 0.7855871915817261, 0.7745319604873657, 0.773849368095398, 0.7848535776138306, 0.7715693712234497, 0.7779614329338074, 0.7785739302635193, 0.768052339553833, 0.7775750756263733, 0.7800508737564087, 0.7708709836006165, 0.7834011912345886, 0.7894766926765442, 0.7725409269332886, 0.7738214135169983, 0.7738558053970337, 0.7831352949142456, 0.7766587734222412, 0.7845017313957214, 0.7754522562026978, 0.7695926427841187, 0.777975857257843, 0.7783163785934448, 0.7749104499816895];[0.036258865147829056, 0.036109793931245804, 0.03848123550415039, 0.0388387106359005, 0.03954577073454857, 0.03913214057683945, 0.035838548094034195, 0.04564087837934494, 0.03820446878671646, 0.03770057111978531, 0.04680986329913139, 0.038885004818439484, 0.04093346744775772, 0.042238831520080566, 0.0349399596452713, 0.040924813598394394, 0.042468369007110596, 0.03873983398079872, 0.04608701169490814, 0.04970254749059677, 0.0365007258951664, 0.03808373957872391, 0.037385426461696625, 0.04724723845720291, 0.04092666879296303, 0.04679463803768158, 0.03900797665119171, 0.03701503574848175, 0.04252766817808151, 0.04230203852057457, 0.037993159145116806];[-0.8328738808631897, -0.8277683258056641, -0.8350586891174316, -0.8387240767478943, -0.8394401669502258, -0.8405975103378296, -0.830642819404602, -0.8543424010276794, -0.8312523365020752, -0.8305103778839111, -0.8658075928688049, -0.8403255939483643, -0.8433738946914673, -0.8441082835197449, -0.8256958723068237, -0.8422844409942627, -0.8493525385856628, -0.8368052840232849, -0.8610737919807434, -0.8729303479194641, -0.8291003704071045, -0.8357238173484802, -0.8312987685203552, -0.8728755116462708, -0.8451709747314453, -0.8615103960037231, -0.8378084897994995, -0.8321021199226379, -0.8450793027877808, -0.8447734713554382, -0.8373436331748962];[];878.8012402057648
