Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[0.7821969985961914, 0.7835567593574524, 0.7842802405357361, 0.7826888561248779, 0.7735031843185425, 0.7791337966918945, 0.7753522992134094, 0.7731940746307373, 0.785717785358429, 0.7777175903320312, 0.7750580906867981, 0.7817717790603638, 0.7771821022033691, 0.772232174873352, 0.7680948376655579, 0.7751215100288391, 0.7711263298988342, 0.7727000117301941, 0.7803667187690735, 0.7682839035987854, 0.7817121148109436, 0.7785684466362, 0.7771487236022949, 0.7676274180412292, 0.770461916923523, 0.7793720364570618, 0.7670142650604248, 0.7714216113090515, 0.7756009101867676, 0.768742024898529, 0.7698099613189697];[0.04275934398174286, 0.043177347630262375, 0.04551040753722191, 0.041935209184885025, 0.03371777385473251, 0.03846617043018341, 0.0369095616042614, 0.03589088097214699, 0.044440414756536484, 0.03717968985438347, 0.03809651732444763, 0.039483971893787384, 0.037201229482889175, 0.03627529740333557, 0.031112011522054672, 0.034817006438970566, 0.03425250202417374, 0.034993723034858704, 0.04078243300318718, 0.03195283189415932, 0.03933052718639374, 0.04085654765367508, 0.04063396528363228, 0.032109957188367844, 0.034178074449300766, 0.04057222232222557, 0.030752109363675117, 0.03375428169965744, 0.03918752074241638, 0.03588763251900673, 0.03449667617678642];[-0.8513761162757874, -0.8503917455673218, -0.8572471737861633, -0.8470357060432434, -0.8238273859024048, -0.8479793667793274, -0.8381137847900391, -0.8315677642822266, -0.8605005741119385, -0.8385518193244934, -0.8347095847129822, -0.836078405380249, -0.8463162779808044, -0.8293312191963196, -0.8158884048461914, -0.8250318765640259, -0.8237407207489014, -0.8235781192779541, -0.8516414761543274, -0.8175240159034729, -0.8361550569534302, -0.8486944437026978, -0.8523684740066528, -0.8166148662567139, -0.8234608769416809, -0.847371518611908, -0.8128911852836609, -0.8235741257667542, -0.8457981944084167, -0.8275700807571411, -0.8295722007751465];[];719.6014697551727
100;[0.7740078568458557, 0.783869743347168, 0.7758610844612122, 0.7772807478904724, 0.7691045999526978, 0.7697051167488098, 0.7671533226966858, 0.7791503667831421, 0.7774736285209656, 0.7800515294075012, 0.7726847529411316, 0.7742003798484802, 0.7730610966682434, 0.7712088823318481, 0.7675002813339233, 0.7686653733253479, 0.7683849930763245, 0.772557258605957, 0.7749444842338562, 0.7649177312850952, 0.7722791433334351, 0.7734445333480835, 0.7781122326850891, 0.7764180898666382, 0.7743176221847534, 0.7835935354232788, 0.771460771560669, 0.7715972065925598, 0.777180552482605, 0.7770448923110962, 0.7750296592712402];[0.03575695678591728, 0.04320140182971954, 0.03840634599328041, 0.03721203655004501, 0.03200601786375046, 0.035053569823503494, 0.03105844184756279, 0.0405200831592083, 0.03466693311929703, 0.039867572486400604, 0.03401089459657669, 0.03825858607888222, 0.0364186130464077, 0.036195460706949234, 0.03186853229999542, 0.032705724239349365, 0.031781282275915146, 0.03651221841573715, 0.035127636045217514, 0.03131742775440216, 0.03307012468576431, 0.03635919839143753, 0.037958089262247086, 0.0397554375231266, 0.037054695188999176, 0.04397149756550789, 0.03588084504008293, 0.03597375005483627, 0.03668949380517006, 0.040457941591739655, 0.03716498240828514];[-0.8250949382781982, -0.8553880453109741, -0.8342195749282837, -0.8329266309738159, -0.8160629868507385, -0.8263131380081177, -0.8138912320137024, -0.8480657935142517, -0.830031156539917, -0.8409749269485474, -0.8273249268531799, -0.8364920616149902, -0.8371251225471497, -0.8338558077812195, -0.819155216217041, -0.8212932348251343, -0.8157312870025635, -0.8304451107978821, -0.8265458941459656, -0.8165480494499207, -0.8215476274490356, -0.8312951922416687, -0.8376080393791199, -0.8448143601417542, -0.8443579077720642, -0.8568729758262634, -0.8269987106323242, -0.8252427577972412, -0.8302545547485352, -0.8455120325088501, -0.8379756212234497];[];716.4420328140259
150;[0.7738230228424072, 0.7711023092269897, 0.7792764902114868, 0.7711378335952759, 0.7776059508323669, 0.7667850255966187, 0.7789984345436096, 0.7784548997879028, 0.7766072750091553, 0.7755959630012512, 0.7789540886878967, 0.7746368050575256, 0.779312014579773, 0.7810562252998352, 0.7755814790725708, 0.7795834541320801, 0.7840784788131714, 0.7763078808784485, 0.783231794834137, 0.7865361571311951, 0.7869396805763245, 0.7810022234916687, 0.781353771686554, 0.7875155210494995, 0.787697434425354, 0.7868772745132446, 0.7902622222900391, 0.7856109738349915, 0.7862801551818848, 0.7881281971931458, 0.7873828411102295];[0.0353887565433979, 0.036841265857219696, 0.04092583805322647, 0.03462836146354675, 0.039070263504981995, 0.032331258058547974, 0.04008371755480766, 0.03796019405126572, 0.03702094033360481, 0.033375758677721024, 0.039476051926612854, 0.03360850363969803, 0.0385395772755146, 0.039789412170648575, 0.033588677644729614, 0.03643897548317909, 0.038882456719875336, 0.034098900854587555, 0.03889070823788643, 0.04242371395230293, 0.04247051849961281, 0.039139315485954285, 0.03940097987651825, 0.04029262810945511, 0.04223265498876572, 0.040938638150691986, 0.04281958192586899, 0.040468230843544006, 0.039267659187316895, 0.03929978236556053, 0.041080541908741];[-0.8276398181915283, -0.8343536257743835, -0.8537548780441284, -0.8287967443466187, -0.8383965492248535, -0.8224501013755798, -0.8430084586143494, -0.8357828259468079, -0.8364787101745605, -0.8195785880088806, -0.8401169776916504, -0.8232641220092773, -0.8401942849159241, -0.8467451930046082, -0.820512056350708, -0.831946611404419, -0.835371732711792, -0.8222531676292419, -0.8390924334526062, -0.8477121591567993, -0.8464621305465698, -0.842141330242157, -0.8428887724876404, -0.8399826288223267, -0.8479534983634949, -0.8456810712814331, -0.859306275844574, -0.8396022915840149, -0.8370130658149719, -0.8384876251220703, -0.846145510673523];[];725.3794555664062
200;[0.7712486386299133, 0.7731097340583801, 0.7772237658500671, 0.7733602523803711, 0.7733408808708191, 0.7729014158248901, 0.7720693349838257, 0.7761913537979126, 0.769475519657135, 0.7738688588142395, 0.7742468118667603, 0.7707845568656921, 0.7694979310035706, 0.7748634219169617, 0.7667116522789001, 0.7720681428909302, 0.7765655517578125, 0.7670871615409851, 0.7775454521179199, 0.7650604844093323, 0.7634192705154419, 0.7659344673156738, 0.774075984954834, 0.7729005813598633, 0.7671502232551575, 0.7656196355819702, 0.7648915648460388, 0.771045446395874, 0.7638166546821594, 0.7642362713813782, 0.770735502243042];[0.03644751384854317, 0.0375843346118927, 0.04144234210252762, 0.03705190122127533, 0.03544061258435249, 0.03614842891693115, 0.037785064429044724, 0.03940178081393242, 0.03381648287177086, 0.03821782395243645, 0.03867311030626297, 0.034609876573085785, 0.033325016498565674, 0.037837784737348557, 0.033472057431936264, 0.03716666251420975, 0.03951328247785568, 0.03251555189490318, 0.03742382675409317, 0.032849691808223724, 0.02961728908121586, 0.03419189527630806, 0.039963752031326294, 0.03693164512515068, 0.03374003991484642, 0.03279390558600426, 0.03344486653804779, 0.03680643066763878, 0.030649006366729736, 0.033308278769254684, 0.037351470440626144];[-0.8304311633110046, -0.8363770842552185, -0.857157826423645, -0.8337385654449463, -0.8301067352294922, -0.8352454304695129, -0.8390882015228271, -0.8371281027793884, -0.825253963470459, -0.8358983397483826, -0.8362049460411072, -0.8304566740989685, -0.8206484317779541, -0.833854079246521, -0.8235754370689392, -0.8326766490936279, -0.8464390635490417, -0.8174460530281067, -0.8330466151237488, -0.8216103315353394, -0.8106927275657654, -0.824083149433136, -0.8402778506278992, -0.8311038613319397, -0.8239585161209106, -0.824684202671051, -0.8214735984802246, -0.829386293888092, -0.8163096904754639, -0.8205976486206055, -0.8428899645805359];[];714.0021238327026
250;[0.7790236473083496, 0.7723679542541504, 0.7671236991882324, 0.768600583076477, 0.7791736721992493, 0.7680200338363647, 0.7727473378181458, 0.7726326584815979, 0.7821862101554871, 0.7787490487098694, 0.7727090120315552, 0.790120005607605, 0.7650172114372253, 0.7729588747024536, 0.7762913703918457, 0.7693567276000977, 0.7731649875640869, 0.7626591920852661, 0.767695426940918, 0.7752795219421387, 0.7696216702461243, 0.7783706784248352, 0.7678088545799255, 0.7670824527740479, 0.7720361948013306, 0.7799203991889954, 0.7726389169692993, 0.769848644733429, 0.7702495455741882, 0.7624533772468567, 0.766202986240387];[0.04095490276813507, 0.03616691753268242, 0.03274554759263992, 0.031821463257074356, 0.04171740263700485, 0.03404810652136803, 0.03402594104409218, 0.03481235355138779, 0.04111165553331375, 0.03795943036675453, 0.03314477577805519, 0.05031000077724457, 0.028718844056129456, 0.03441326692700386, 0.03784957900643349, 0.03321387246251106, 0.03191256523132324, 0.026288233697414398, 0.03184681013226509, 0.037556786090135574, 0.031617917120456696, 0.03749051317572594, 0.03310128301382065, 0.02966795675456524, 0.031586654484272, 0.03928230702877045, 0.034814801067113876, 0.0328797772526741, 0.032475631684064865, 0.02452203445136547, 0.028928212821483612];[-0.8494722843170166, -0.8297749757766724, -0.8205255270004272, -0.8184900283813477, -0.8486860394477844, -0.8208332061767578, -0.822662889957428, -0.8252862691879272, -0.8469096422195435, -0.830316424369812, -0.8187698721885681, -0.8706293106079102, -0.8075434565544128, -0.8233138918876648, -0.8357738256454468, -0.819941520690918, -0.8209306597709656, -0.7997660636901855, -0.8156757950782776, -0.8383938670158386, -0.818520724773407, -0.8329216241836548, -0.8248355388641357, -0.8121158480644226, -0.8157116174697876, -0.8478957414627075, -0.8276995420455933, -0.8205944895744324, -0.8209461569786072, -0.7966851592063904, -0.8085007667541504];[];714.3756654262543
300;[0.7677474617958069, 0.7780370116233826, 0.7698889970779419, 0.7707254886627197, 0.7749047875404358, 0.7801034450531006, 0.7749337553977966, 0.7773223519325256, 0.770418107509613, 0.7725139260292053, 0.7694294452667236, 0.7762632966041565, 0.7766539454460144, 0.7723625898361206, 0.7696279287338257, 0.7746763825416565, 0.7688006162643433, 0.7807132005691528, 0.7851898074150085, 0.7699662446975708, 0.7745522856712341, 0.7814356088638306, 0.7778120040893555, 0.7783429026603699, 0.7698926329612732, 0.7743914127349854, 0.7777204513549805, 0.7660843729972839, 0.771030843257904, 0.7741559743881226, 0.7727949619293213];[0.03291848674416542, 0.04006681963801384, 0.03596418723464012, 0.036226287484169006, 0.03723950684070587, 0.03938628360629082, 0.03975512087345123, 0.03908710926771164, 0.03333791717886925, 0.03585087135434151, 0.035600706934928894, 0.03980214521288872, 0.04094378277659416, 0.03618999570608139, 0.03482156991958618, 0.03881717473268509, 0.03365994617342949, 0.03972401097416878, 0.04483035206794739, 0.03587216138839722, 0.03836291283369064, 0.04177136346697807, 0.04041734337806702, 0.039459478110075, 0.034257154911756516, 0.037406787276268005, 0.03773317113518715, 0.030732287093997, 0.03533352166414261, 0.03616531938314438, 0.034495238214731216];[-0.821944534778595, -0.8399448394775391, -0.8322637677192688, -0.8282164335250854, -0.8325832486152649, -0.8364988565444946, -0.8394865989685059, -0.838959276676178, -0.8220213651657104, -0.8304623365402222, -0.8270059823989868, -0.8418096303939819, -0.8494277000427246, -0.8311441540718079, -0.8255608081817627, -0.8356755971908569, -0.8259763717651367, -0.8394371867179871, -0.8786439895629883, -0.834683895111084, -0.8374146223068237, -0.8479641079902649, -0.8454604744911194, -0.8392171859741211, -0.8253774642944336, -0.8358064293861389, -0.836411714553833, -0.8138825297355652, -0.8253514766693115, -0.8314930200576782, -0.8252374529838562];[];706.4871506690979
350;[0.7704355716705322, 0.7778576016426086, 0.7711606621742249, 0.7796065807342529, 0.7685064673423767, 0.7722075581550598, 0.7653025984764099, 0.7692422866821289, 0.7780327200889587, 0.7649387121200562, 0.7725686430931091, 0.7721307277679443, 0.7894887924194336, 0.773867666721344, 0.7741751074790955, 0.7789567112922668, 0.7754740118980408, 0.7649806141853333, 0.779389500617981, 0.7770142555236816, 0.7768098711967468, 0.7719351649284363, 0.7821648120880127, 0.7719748020172119, 0.7713033556938171, 0.7736644148826599, 0.7787391543388367, 0.7793657183647156, 0.7753821611404419, 0.770232081413269, 0.7792997360229492];[0.03398638591170311, 0.04118204116821289, 0.03762626647949219, 0.03974936529994011, 0.03309353440999985, 0.037003614008426666, 0.02944241836667061, 0.034677259624004364, 0.04227787256240845, 0.03317616134881973, 0.03655169904232025, 0.03774713724851608, 0.04836205020546913, 0.03554389998316765, 0.037014707922935486, 0.0388285368680954, 0.03708073869347572, 0.03238695114850998, 0.041489068418741226, 0.04337852820754051, 0.039335694164037704, 0.03444525599479675, 0.04297288507223129, 0.03522706404328346, 0.03652491047978401, 0.03660159558057785, 0.041151877492666245, 0.04160688817501068, 0.03820573166012764, 0.0312856063246727, 0.03791525587439537];[-0.8258494138717651, -0.8432329297065735, -0.8306305408477783, -0.8564434051513672, -0.8219394087791443, -0.8338614106178284, -0.8106966018676758, -0.8272103071212769, -0.8516094088554382, -0.8188064098358154, -0.8315175771713257, -0.8302070498466492, -0.8697952628135681, -0.8308416604995728, -0.8358137011528015, -0.8359358310699463, -0.8348678350448608, -0.8167916536331177, -0.8482027649879456, -0.8491701483726501, -0.837351381778717, -0.8250246644020081, -0.8525310754776001, -0.827839195728302, -0.8310643434524536, -0.8334455490112305, -0.8450497984886169, -0.8481965661048889, -0.8367717266082764, -0.8139817118644714, -0.8492674231529236];[];693.7041258811951
400;[0.7718713283538818, 0.7753597497940063, 0.7692185044288635, 0.7685417532920837, 0.772844135761261, 0.7707528471946716, 0.7709217071533203, 0.7672371864318848, 0.7687042951583862, 0.7820979952812195, 0.771492063999176, 0.7732269167900085, 0.7783553004264832, 0.7733572125434875, 0.7752576470375061, 0.7780685424804688, 0.7697246670722961, 0.7735236883163452, 0.7755299210548401, 0.7772091031074524, 0.7661832571029663, 0.7674660682678223, 0.7777615785598755, 0.7734372615814209, 0.7685015201568604, 0.7718212604522705, 0.7713526487350464, 0.7729621529579163, 0.7739426493644714, 0.7694862484931946, 0.7674033045768738];[0.038732193410396576, 0.03781287372112274, 0.032768554985523224, 0.0347868911921978, 0.035626351833343506, 0.035328209400177, 0.037332724779844284, 0.03272158280014992, 0.03189747780561447, 0.04413647577166557, 0.03687616437673569, 0.03670704737305641, 0.04069185256958008, 0.03600875288248062, 0.037864167243242264, 0.04011576622724533, 0.03613215684890747, 0.03627034276723862, 0.035046156495809555, 0.03896797448396683, 0.03214261308312416, 0.03267727792263031, 0.03987114876508713, 0.03730861842632294, 0.033200234174728394, 0.037407286465168, 0.03724011033773422, 0.03901689872145653, 0.0381406769156456, 0.03538411855697632, 0.032373953610658646];[-0.8386055827140808, -0.8361669778823853, -0.8184648156166077, -0.8235129714012146, -0.8297876119613647, -0.8255445957183838, -0.8341307044029236, -0.8191707134246826, -0.8174861669540405, -0.8697620630264282, -0.8359287977218628, -0.8291905522346497, -0.8387427926063538, -0.8282073140144348, -0.8361242413520813, -0.8475065231323242, -0.8315438628196716, -0.8291676640510559, -0.8231722116470337, -0.8332308530807495, -0.8234640955924988, -0.8203357458114624, -0.8423219919204712, -0.8352967500686646, -0.8214578628540039, -0.8319416642189026, -0.8347126245498657, -0.8451926708221436, -0.8376367688179016, -0.8252996802330017, -0.8179432153701782];[];704.1634125709534
450;[0.7701276540756226, 0.7733498215675354, 0.7663463950157166, 0.781769871711731, 0.7687861919403076, 0.7700643539428711, 0.7747398018836975, 0.7660910487174988, 0.7799715995788574, 0.7753053903579712, 0.7735379934310913, 0.7654053568840027, 0.7688884139060974, 0.7795444130897522, 0.7835202813148499, 0.7769976258277893, 0.7787867784500122, 0.7816336750984192, 0.7826142311096191, 0.7737165689468384, 0.7751902937889099, 0.771285891532898, 0.7780380845069885, 0.7783686518669128, 0.7734291553497314, 0.7807527184486389, 0.7814397215843201, 0.7724746465682983, 0.7779747843742371, 0.7796969413757324, 0.7764637470245361];[0.03517783433198929, 0.03852250427007675, 0.031099466606974602, 0.043055448681116104, 0.03520119935274124, 0.03610842674970627, 0.03649253770709038, 0.031809646636247635, 0.04116220772266388, 0.03766883537173271, 0.03576372563838959, 0.03058571182191372, 0.0324881337583065, 0.041275396943092346, 0.04442271962761879, 0.03928562253713608, 0.038610246032476425, 0.044677361845970154, 0.04394747316837311, 0.03832231089472771, 0.03642870485782623, 0.03318782150745392, 0.038255494087934494, 0.04045729339122772, 0.03619810938835144, 0.04135477542877197, 0.04136206582188606, 0.03502596169710159, 0.04021400213241577, 0.040448810905218124, 0.039927709847688675];[-0.8249574303627014, -0.8340673446655273, -0.8175225257873535, -0.8521018624305725, -0.8366078734397888, -0.8291905522346497, -0.8291088342666626, -0.8161413669586182, -0.8424707055091858, -0.8352091908454895, -0.8271656632423401, -0.811426043510437, -0.8188793659210205, -0.8534443378448486, -0.8615461587905884, -0.8455007672309875, -0.8360386490821838, -0.8623524308204651, -0.8557135462760925, -0.8348087072372437, -0.8332117199897766, -0.8237768411636353, -0.8382849097251892, -0.8443326354026794, -0.8281503915786743, -0.8478388786315918, -0.8437157869338989, -0.8307019472122192, -0.8424710035324097, -0.8461845517158508, -0.8342369198799133];[];702.5443103313446
500;[0.7742420434951782, 0.7725920677185059, 0.7724441885948181, 0.7704141139984131, 0.7787290811538696, 0.7751336693763733, 0.7689738273620605, 0.7786820530891418, 0.7734869122505188, 0.779657244682312, 0.7840154767036438, 0.7724219560623169, 0.7762872576713562, 0.7660040259361267, 0.7667973637580872, 0.773460328578949, 0.7727863788604736, 0.7697967886924744, 0.7794836759567261, 0.7831429243087769, 0.7690629959106445, 0.7823163866996765, 0.7713435292243958, 0.7855485081672668, 0.775464653968811, 0.7757044434547424, 0.7723692655563354, 0.7739551067352295, 0.7789800763130188, 0.7687349319458008, 0.7703102827072144];[0.036258865147829056, 0.034774236381053925, 0.03674784302711487, 0.03564472123980522, 0.03940195217728615, 0.03595636785030365, 0.035819459706544876, 0.04216362163424492, 0.03761856257915497, 0.045241452753543854, 0.04679962620139122, 0.03849681466817856, 0.039644308388233185, 0.03446183726191521, 0.03468861058354378, 0.039282169193029404, 0.039789605885744095, 0.0379294827580452, 0.04357938468456268, 0.04524882510304451, 0.03466454893350601, 0.04806878790259361, 0.03607778996229172, 0.04801815003156662, 0.04092588648200035, 0.043337225914001465, 0.036704178899526596, 0.03864835202693939, 0.043034110218286514, 0.03381352871656418, 0.03707732632756233];[-0.8328738808631897, -0.8275845050811768, -0.8341573476791382, -0.8313989043235779, -0.8392332792282104, -0.829872727394104, -0.8289517760276794, -0.8521146178245544, -0.8338714241981506, -0.8610039353370667, -0.8645219802856445, -0.8360241055488586, -0.8418247699737549, -0.8263583779335022, -0.8260635137557983, -0.8402882814407349, -0.8380243182182312, -0.8324489593505859, -0.8548454642295837, -0.8706046938896179, -0.8244038224220276, -0.8672438263893127, -0.827863872051239, -0.8834057450294495, -0.8471207022666931, -0.8516538143157959, -0.8326433897018433, -0.8372141718864441, -0.8494283556938171, -0.820580244064331, -0.8295006155967712];[];707.0929503440857
