Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.5963945388793945, 3.7023613452911377, 3.649083137512207, 3.5739409923553467, 3.420459747314453, 3.3683876991271973];[0.2673826813697815, 0.2762818932533264, 0.2847170829772949, 0.2624170184135437, 0.22735585272312164, 0.2581304609775543];[-2.60251522064209, -2.66148042678833, -2.698845624923706, -2.649975061416626, -2.515347480773926, -2.6340904235839844];[1.4264227151870728, 1.4240007400512695, 1.3838284015655518, 1.3723362684249878, 1.3968204259872437];370.78530502319336
50;[4.426402568817139, 4.617347717285156, 4.5883564949035645, 4.519740581512451, 4.382308006286621, 4.287642955780029];[0.21169903874397278, 0.228629931807518, 0.23903363943099976, 0.22794100642204285, 0.18443569540977478, 0.21453458070755005];[-3.230581521987915, -3.2808480262756348, -3.433457136154175, -3.296947956085205, -3.1657891273498535, -3.3346469402313232];[1.4264227151870728, 1.4104273319244385, 1.3417904376983643, 1.3660269975662231, 1.3587491512298584];371.47479724884033
100;[3.735288619995117, 3.705674409866333, 3.6894421577453613, 3.7659974098205566, 3.7867443561553955, 3.571758985519409];[0.257673442363739, 0.29204005002975464, 0.2942207157611847, 0.3068685233592987, 0.32017603516578674, 0.27662205696105957];[-2.5990281105041504, -2.7622454166412354, -2.7180233001708984, -2.7613823413848877, -2.8309271335601807, -2.6498656272888184];[1.3921425342559814, 1.352184534072876, 1.3540617227554321, 1.4591822624206543, 1.3962894678115845];380.3710460662842
100;[4.835776329040527, 4.678262710571289, 4.631842613220215, 4.686800956726074, 4.7140116691589355, 4.53060245513916];[0.19413888454437256, 0.23901452124118805, 0.2290821522474289, 0.2447904348373413, 0.2594330608844757, 0.21256522834300995];[-3.375126838684082, -3.434427261352539, -3.4595155715942383, -3.4298598766326904, -3.5182974338531494, -3.405600070953369];[1.3921425342559814, 1.3522741794586182, 1.381424069404602, 1.4134188890457153, 1.3993029594421387];368.92379927635193
150;[3.5757877826690674, 3.6209206581115723, 3.636955499649048, 3.4793550968170166, 3.473036766052246, 3.5155465602874756];[0.25986701250076294, 0.2370184063911438, 0.24367161095142365, 0.22882086038589478, 0.2221112996339798, 0.23393245041370392];[-2.5824029445648193, -2.4894587993621826, -2.4927382469177246, -2.450235605239868, -2.440640449523926, -2.4841270446777344];[1.4685475826263428, 1.4702688455581665, 1.4597458839416504, 1.5418254137039185, 1.4100255966186523];365.84431171417236
150;[4.472259998321533, 4.5444231033325195, 4.543121814727783, 4.41327428817749, 4.493167877197266, 4.4812421798706055];[0.20966465771198273, 0.17612528800964355, 0.1894920915365219, 0.1659172624349594, 0.14511381089687347, 0.14797170460224152];[-3.1632049083709717, -3.1087470054626465, -3.071021556854248, -3.1644952297210693, -3.1542201042175293, -3.2049291133880615];[1.4685475826263428, 1.4687515497207642, 1.4767372608184814, 1.4753702878952026, 1.4414966106414795];368.66396927833557
200;[3.6300575733184814, 3.826448678970337, 3.8335378170013428, 3.902862071990967, 3.826934337615967, 3.9801743030548096];[0.26128193736076355, 0.3010563850402832, 0.3062792420387268, 0.33362171053886414, 0.32067736983299255, 0.3706513047218323];[-2.5926427841186523, -2.7039060592651367, -2.8247406482696533, -2.9355690479278564, -2.830089807510376, -3.0958633422851562];[1.4078642129898071, 1.4069575071334839, 1.3709269762039185, 1.4894158840179443, 1.4535654783248901];366.079124212265
200;[4.565479278564453, 4.7404351234436035, 4.730917930603027, 4.792545318603516, 4.658624649047852, 4.879195690155029];[0.20539163053035736, 0.24638116359710693, 0.25561773777008057, 0.28651970624923706, 0.27664318680763245, 0.30657958984375];[-3.2673463821411133, -3.396028995513916, -3.5078837871551514, -3.596172332763672, -3.4405884742736816, -3.698352336883545];[1.4078642129898071, 1.4124927520751953, 1.3753525018692017, 1.4733352661132812, 1.4668657779693604];370.5309166908264
250;[3.6311590671539307, 3.859894275665283, 3.7333996295928955, 3.8810617923736572, 3.9535908699035645, 3.827031135559082];[0.2639690935611725, 0.3262039124965668, 0.3182104229927063, 0.31956011056900024, 0.3560395836830139, 0.3499915897846222];[-2.6001079082489014, -2.805421829223633, -2.8507978916168213, -2.7874414920806885, -2.9811646938323975, -2.955152750015259];[1.4171242713928223, 1.3630245923995972, 1.3685526847839355, 1.3954362869262695, 1.3825486898422241];367.38117480278015
250;[4.5491437911987305, 4.689781188964844, 4.6107988357543945, 4.785458564758301, 4.873080730438232, 4.700177192687988];[0.2102264165878296, 0.2770439386367798, 0.28286752104759216, 0.272455096244812, 0.3044978082180023, 0.30373838543891907];[-3.227867841720581, -3.465531826019287, -3.4449350833892822, -3.4618327617645264, -3.7083327770233154, -3.5685083866119385];[1.4171242713928223, 1.3941717147827148, 1.3763666152954102, 1.393931269645691, 1.4833228588104248];376.74224734306335
300;[3.608785390853882, 3.478445529937744, 3.5493812561035156, 3.5923192501068115, 3.615267515182495, 3.5901103019714355];[0.2620380222797394, 0.24207386374473572, 0.23256877064704895, 0.2604130804538727, 0.2692682445049286, 0.2791077196598053];[-2.5871784687042236, -2.519000291824341, -2.4884650707244873, -2.6121227741241455, -2.688291072845459, -2.731895685195923];[1.416370153427124, 1.4281833171844482, 1.4151161909103394, 1.3733830451965332, 1.3582422733306885];388.6666374206543
300;[4.553678512573242, 4.355306148529053, 4.4479827880859375, 4.431779384613037, 4.568337440490723, 4.453028678894043];[0.20786184072494507, 0.1882130205631256, 0.1653444617986679, 0.2044529765844345, 0.20777004957199097, 0.21946893632411957];[-3.237621545791626, -3.1174604892730713, -3.0875954627990723, -3.1863863468170166, -3.391906261444092, -3.3406121730804443];[1.416370153427124, 1.4318808317184448, 1.458903431892395, 1.3867875337600708, 1.3612066507339478];369.0832018852234
350;[3.5682172775268555, 3.688666820526123, 3.5574355125427246, 3.5931055545806885, 3.721072196960449, 3.4898266792297363];[0.24421259760856628, 0.25583016872406006, 0.26234257221221924, 0.25590378046035767, 0.25488683581352234, 0.2291274219751358];[-2.5504534244537354, -2.5270512104034424, -2.6042211055755615, -2.5384795665740967, -2.53708553314209, -2.4721665382385254];[1.4400101900100708, 1.4597458839416504, 1.3408427238464355, 1.4119197130203247, 1.4263675212860107];368.61384105682373
350;[4.506901741027832, 4.7240400314331055, 4.488333225250244, 4.50333833694458, 4.705572128295898, 4.335175514221191];[0.19590841233730316, 0.18412986397743225, 0.21805569529533386, 0.20041650533676147, 0.18297941982746124, 0.17043296992778778];[-3.2085630893707275, -3.31449556350708, -3.301992654800415, -3.2375221252441406, -3.2024881839752197, -3.0595531463623047];[1.4400101900100708, 1.4583375453948975, 1.4898216724395752, 1.410452961921692, 1.434873104095459];376.36480021476746
400;[3.6232104301452637, 3.6188552379608154, 3.439340353012085, 3.4271769523620605, 3.4702401161193848, 3.0496022701263428];[0.2675291895866394, 0.253603458404541, 0.23852017521858215, 0.2270575314760208, 0.24819669127464294, 0.1924433559179306];[-2.628702402114868, -2.5568687915802, -2.5318191051483154, -2.5346503257751465, -2.6262784004211426, -2.452819585800171];[1.4105747938156128, 1.4405606985092163, 1.3351718187332153, 1.363412857055664, 1.2910553216934204];363.51414585113525
400;[4.562415599822998, 4.552762508392334, 4.391003608703613, 4.41493558883667, 4.459373950958252, 3.967987298965454];[0.21526625752449036, 0.19829286634922028, 0.1797606647014618, 0.16449792683124542, 0.16913644969463348, 0.12852786481380463];[-3.2425050735473633, -3.1713457107543945, -3.1642708778381348, -3.129518985748291, -3.172668695449829, -2.929856061935425];[1.4105747938156128, 1.439505696296692, 1.3705049753189087, 1.3927472829818726, 1.3415323495864868];365.76009607315063
450;[3.7663233280181885, 3.4213643074035645, 3.6298186779022217, 3.8691883087158203, 3.633341073989868, 3.6137359142303467];[0.2668311297893524, 0.2525275647640228, 0.2993529438972473, 0.3792441785335541, 0.32116207480430603, 0.3160775899887085];[-2.5983407497406006, -2.611039876937866, -2.811600923538208, -3.1268937587738037, -2.9288318157196045, -2.85681414604187];[1.562289834022522, 1.3613722324371338, 1.3025306463241577, 1.3083758354187012, 1.294203758239746];367.45185947418213
450;[4.84308385848999, 4.332406044006348, 4.534114837646484, 4.721917629241943, 4.461000442504883, 4.374320030212402];[0.19913171231746674, 0.19956770539283752, 0.24331296980381012, 0.2966320216655731, 0.2508934736251831, 0.2451704442501068];[-3.3539881706237793, -3.2664296627044678, -3.45576548576355, -3.800880193710327, -3.51326847076416, -3.284363031387329];[1.562289834022522, 1.3711923360824585, 1.4757976531982422, 1.342654824256897, 1.2889227867126465];368.2308599948883
500;[3.508882761001587, 3.423140048980713, 3.3712258338928223, 3.3190157413482666, 3.4582724571228027, 3.236145496368408];[0.25678908824920654, 0.22909072041511536, 0.23684561252593994, 0.23003853857517242, 0.2743209898471832, 0.2600623667240143];[-2.552490711212158, -2.5206406116485596, -2.5329184532165527, -2.5093791484832764, -2.748023509979248, -2.713613748550415];[1.525174617767334, 1.333804726600647, 1.3331409692764282, 1.3507053852081299, 1.3161249160766602];375.5213234424591
500;[4.289403438568115, 4.322713375091553, 4.298597812652588, 4.162816524505615, 4.35248327255249, 4.05142879486084];[0.21325765550136566, 0.17020882666110992, 0.16363032162189484, 0.1491498202085495, 0.18984128534793854, 0.17624597251415253];[-3.0696234703063965, -3.077502965927124, -3.1949033737182617, -3.08414888381958, -3.3175485134124756, -3.336148500442505];[1.525174617767334, 1.3473258018493652, 1.3615686893463135, 1.383859634399414, 1.3572978973388672];375.80789828300476
550;[3.5074756145477295, 3.6863880157470703, 3.748769998550415, 3.711097002029419, 3.632917881011963, 3.595079183578491];[0.2489609271287918, 0.29088300466537476, 0.299456387758255, 0.27668875455856323, 0.24549639225006104, 0.23284725844860077];[-2.563462018966675, -2.6802000999450684, -2.746027946472168, -2.660944938659668, -2.5545551776885986, -2.48997163772583];[1.3570165634155273, 1.4422146081924438, 1.3630493879318237, 1.3794918060302734, 1.485113501548767];378.52872252464294
550;[4.351565837860107, 4.579998016357422, 4.686180591583252, 4.6532158851623535, 4.602090835571289, 4.462963104248047];[0.20682527124881744, 0.24005863070487976, 0.2430742383003235, 0.23321180045604706, 0.19977493584156036, 0.19157537817955017];[-3.1306111812591553, -3.3131821155548096, -3.4317660331726074, -3.2857768535614014, -3.2406563758850098, -3.0802857875823975];[1.3570165634155273, 1.4589976072311401, 1.3770314455032349, 1.3441758155822754, 1.4817421436309814];425.8690736293793
600;[3.617435932159424, 3.773266077041626, 3.752368688583374, 3.8736517429351807, 3.736161231994629, 3.548053741455078];[0.2547748386859894, 0.27128520607948303, 0.2837120294570923, 0.29890942573547363, 0.29214513301849365, 0.266274094581604];[-2.543565273284912, -2.616684675216675, -2.6669108867645264, -2.6799848079681396, -2.6685094833374023, -2.5894112586975098];[1.4240550994873047, 1.3908506631851196, 1.517202377319336, 1.5758917331695557, 1.4435011148452759];372.07219529151917
600;[4.563321113586426, 4.819655418395996, 4.661140441894531, 4.877104759216309, 4.689229965209961, 4.405070781707764];[0.19733910262584686, 0.20255519449710846, 0.23160873353481293, 0.24017955362796783, 0.23597413301467896, 0.22373703122138977];[-3.2397382259368896, -3.335757255554199, -3.280379295349121, -3.4179086685180664, -3.4339759349823, -3.251817464828491];[1.4240550994873047, 1.4228589534759521, 1.503278374671936, 1.5763276815414429, 1.4266630411148071];370.87694549560547
650;[3.680776834487915, 3.5250232219696045, 3.502634048461914, 3.532569646835327, 3.375645160675049, 3.3777270317077637];[0.2660680115222931, 0.2548729181289673, 0.2257988303899765, 0.233345165848732, 0.2292688637971878, 0.23265494406223297];[-2.624011516571045, -2.581055164337158, -2.4668920040130615, -2.498140335083008, -2.518221616744995, -2.5061028003692627];[1.4594218730926514, 1.4373047351837158, 1.3810687065124512, 1.3359872102737427, 1.3251796960830688];368.3232741355896
650;[4.647861480712891, 4.420652389526367, 4.47661018371582, 4.502608776092529, 4.330052852630615, 4.400193691253662];[0.20702391862869263, 0.2042321115732193, 0.16282899677753448, 0.16769985854625702, 0.18310655653476715, 0.1695256233215332];[-3.303933620452881, -3.212214708328247, -3.1130263805389404, -3.212445020675659, -3.2049238681793213, -3.339461326599121];[1.4594218730926514, 1.431904673576355, 1.3685849905014038, 1.3427103757858276, 1.3310158252716064];376.7309567928314
700;[3.6097609996795654, 3.6927781105041504, 3.6257784366607666, 3.637298822402954, 3.4795422554016113, 3.441984176635742];[0.26129427552223206, 0.2700861096382141, 0.24392147362232208, 0.2694920301437378, 0.23912829160690308, 0.20414312183856964];[-2.6213600635528564, -2.628807306289673, -2.5281167030334473, -2.6205999851226807, -2.5061745643615723, -2.3997647762298584];[1.3925169706344604, 1.4003163576126099, 1.4964971542358398, 1.4502650499343872, 1.4318593740463257];371.85264682769775
700;[4.549201965332031, 4.632160663604736, 4.601773738861084, 4.533771514892578, 4.310339450836182, 4.379288196563721];[0.20686805248260498, 0.22326886653900146, 0.17940472066402435, 0.2239617556333542, 0.20576739311218262, 0.15311752259731293];[-3.2490110397338867, -3.246699333190918, -3.1841633319854736, -3.223949432373047, -3.016328811645508, -2.9716544151306152];[1.3925169706344604, 1.4001505374908447, 1.4620052576065063, 1.4075884819030762, 1.517761468887329];369.15447068214417
750;[3.6174590587615967, 3.7645580768585205, 3.747976064682007, 3.541881799697876, 3.789452314376831, 3.9042153358459473];[0.27185893058776855, 0.2805615961551666, 0.28049615025520325, 0.2690035402774811, 0.3035970628261566, 0.314965158700943];[-2.628617763519287, -2.645697593688965, -2.647002935409546, -2.6658546924591064, -2.722984790802002, -2.7481255531311035];[1.4034637212753296, 1.4577945470809937, 1.419002890586853, 1.369655966758728, 1.442198634147644];371.41369700431824
750;[4.464746475219727, 4.737778663635254, 4.69130277633667, 4.456127643585205, 4.639468669891357, 4.803224086761475];[0.2118217796087265, 0.21847394108772278, 0.21362262964248657, 0.21053482592105865, 0.24598999321460724, 0.2549501657485962];[-3.257805109024048, -3.319936513900757, -3.3411812782287598, -3.3416173458099365, -3.309638261795044, -3.3782401084899902];[1.4034637212753296, 1.4578502178192139, 1.4026225805282593, 1.3688089847564697, 1.4475531578063965];380.1573944091797
800;[3.689725637435913, 3.4907476902008057, 3.556004047393799, 3.6448235511779785, 3.608398914337158, 3.480773448944092];[0.26083558797836304, 0.2509321868419647, 0.2867213189601898, 0.304528146982193, 0.3214580714702606, 0.2852849066257477];[-2.595075845718384, -2.5047860145568848, -2.7203991413116455, -2.827683687210083, -2.8855042457580566, -2.7777035236358643];[1.4197908639907837, 1.3998832702636719, 1.377537727355957, 1.3340460062026978, 1.2627809047698975];370.26269268989563
800;[4.729539394378662, 4.3408989906311035, 4.431115627288818, 4.607192516326904, 4.394761562347412, 4.273190498352051];[0.19635504484176636, 0.19744369387626648, 0.21467307209968567, 0.22050723433494568, 0.23263707756996155, 0.19133615493774414];[-3.3301219940185547, -3.13057804107666, -3.3411784172058105, -3.524353504180908, -3.399531602859497, -3.2760415077209473];[1.4197908639907837, 1.4712246656417847, 1.3769268989562988, 1.3715944290161133, 1.32716703414917];366.2945144176483
850;[3.485654354095459, 3.6380534172058105, 3.7204620838165283, 3.6251559257507324, 3.506521463394165, 3.2229723930358887];[0.2553580105304718, 0.2766861617565155, 0.3021557629108429, 0.30678191781044006, 0.26504066586494446, 0.23956316709518433];[-2.545236825942993, -2.652276039123535, -2.8515331745147705, -2.873434543609619, -2.71164608001709, -2.6412100791931152];[1.4117730855941772, 1.3908418416976929, 1.3426177501678467, 1.262665033340454, 1.2490748167037964];368.2236144542694
850;[4.289032459259033, 4.482996940612793, 4.628805637359619, 4.4944047927856445, 4.412260055541992, 4.019407272338867];[0.20825296640396118, 0.22319364547729492, 0.25097382068634033, 0.24193625152111053, 0.1989908069372177, 0.18481320142745972];[-3.125176429748535, -3.2962429523468018, -3.4649953842163086, -3.4909236431121826, -3.3283603191375732, -3.1836977005004883];[1.4117730855941772, 1.3958866596221924, 1.30222487449646, 1.2728935480117798, 1.2197734117507935];378.1918671131134
900;[3.6521084308624268, 3.5416953563690186, 3.704604387283325, 3.6495907306671143, 3.605004072189331, 3.488335371017456];[0.26608631014823914, 0.2748105525970459, 0.27023953199386597, 0.2830520272254944, 0.27741798758506775, 0.28028982877731323];[-2.5824172496795654, -2.715963363647461, -2.636019229888916, -2.7393295764923096, -2.678863763809204, -2.735771656036377];[1.4822183847427368, 1.3692245483398438, 1.3995126485824585, 1.3500242233276367, 1.3125494718551636];370.37494349479675
