Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 3.392120599746704, 3.565800189971924, 3.4506423473358154, 3.3430418968200684, 3.3855087757110596];[0.44550904631614685, 0.41717320680618286, 0.4657818078994751, 0.45265883207321167, 0.4122697114944458, 0.44401878118515015];[-2.1841557025909424, -2.1207780838012695, -2.26183819770813, -2.2108161449432373, -2.1333861351013184, -2.1862123012542725];[1.4264227151870728, 1.3481361865997314, 1.4237987995147705, 1.3916256427764893, 1.3590844869613647];403.3783631324768
100;[3.597290515899658, 3.4587740898132324, 3.4692914485931396, 3.6634230613708496, 3.697758674621582, 3.7299020290374756];[0.4178268313407898, 0.41703301668167114, 0.4133855998516083, 0.4678836166858673, 0.46841537952423096, 0.4565778970718384];[-2.225539207458496, -2.1498186588287354, -2.160301685333252, -2.258892059326172, -2.2881991863250732, -2.266967296600342];[1.3921425342559814, 1.42988920211792, 1.4140595197677612, 1.570621132850647, 1.4353586435317993];377.4789192676544
150;[3.4319088459014893, 3.5500645637512207, 3.5967235565185547, 3.5679056644439697, 3.501474618911743, 3.680152177810669];[0.43440350890159607, 0.4452773928642273, 0.4557967185974121, 0.4305579364299774, 0.3961896300315857, 0.4285462498664856];[-2.1458182334899902, -2.2067854404449463, -2.2115914821624756, -2.189110040664673, -2.133389711380005, -2.195712089538574];[1.4685475826263428, 1.380124807357788, 1.4064918756484985, 1.4065566062927246, 1.5420610904693604];380.1871976852417
200;[3.4882147312164307, 3.585505485534668, 3.5001280307769775, 3.474104642868042, 3.3939874172210693, 3.62642765045166];[0.43370386958122253, 0.42812854051589966, 0.42791399359703064, 0.4354397654533386, 0.4528897702693939, 0.47209277749061584];[-2.181112289428711, -2.1652846336364746, -2.1802432537078857, -2.1842212677001953, -2.1737163066864014, -2.277195692062378];[1.4078642129898071, 1.4476606845855713, 1.4722492694854736, 1.4477946758270264, 1.4399998188018799];376.95721435546875
250;[3.4891486167907715, 3.316579580307007, 3.143855094909668, 3.237764596939087, 3.199126958847046, 3.4324686527252197];[0.43905624747276306, 0.4424359202384949, 0.4025808274745941, 0.4102228879928589, 0.4083215594291687, 0.4561366140842438];[-2.1856272220611572, -2.1677069664001465, -2.0550272464752197, -2.1044864654541016, -2.1136112213134766, -2.1853747367858887];[1.4171242713928223, 1.3405102491378784, 1.3105400800704956, 1.323974609375, 1.306264877319336];379.92857837677
300;[3.4684314727783203, 3.5941312313079834, 3.6446285247802734, 3.9327354431152344, 3.948744773864746, 3.83383846282959];[0.433230459690094, 0.47345760464668274, 0.4570511281490326, 0.4954356849193573, 0.48746055364608765, 0.5000232458114624];[-2.175381660461426, -2.2473909854888916, -2.2446529865264893, -2.3311944007873535, -2.3469362258911133, -2.3620340824127197];[1.416370153427124, 1.4050625562667847, 1.3840190172195435, 1.493752360343933, 1.6678292751312256];377.01818346977234
350;[3.426074743270874, 3.5779054164886475, 3.455965995788574, 3.4463555812835693, 3.5044937133789062, 3.1280179023742676];[0.4136400818824768, 0.4291858375072479, 0.4423767924308777, 0.4405020773410797, 0.4122273027896881, 0.3588626980781555];[-2.1508469581604004, -2.2318837642669678, -2.1928226947784424, -2.209616184234619, -2.1768295764923096, -1.9707262516021729];[1.4400101900100708, 1.458257794380188, 1.4073166847229004, 1.3390103578567505, 1.4067838191986084];389.10414576530457
400;[3.480447769165039, 3.6578550338745117, 3.3884360790252686, 3.5354490280151367, 3.668384552001953, 3.3309104442596436];[0.4406643807888031, 0.46671098470687866, 0.4285075068473816, 0.4298100769519806, 0.4254503846168518, 0.3639669120311737];[-2.1900761127471924, -2.2589306831359863, -2.173801898956299, -2.1948859691619873, -2.1898882389068604, -2.0208137035369873];[1.4105747938156128, 1.3689978122711182, 1.3524094820022583, 1.3661978244781494, 1.4958792924880981];382.1788911819458
450;[3.629896402359009, 3.388010025024414, 3.5823779106140137, 3.651618719100952, 3.494067668914795, 3.2426350116729736];[0.42785149812698364, 0.4436752200126648, 0.4643486440181732, 0.49263498187065125, 0.446255087852478, 0.4136143624782562];[-2.2236576080322266, -2.1729912757873535, -2.267648220062256, -2.3455593585968018, -2.1872811317443848, -2.0707571506500244];[1.562289834022522, 1.4358596801757812, 1.4621754884719849, 1.3610408306121826, 1.46368408203125];376.54949831962585
500;[3.3648812770843506, 3.2933688163757324, 3.3010029792785645, 3.401125431060791, 3.4771103858947754, 3.2179808616638184];[0.44050097465515137, 0.40181609988212585, 0.4044356644153595, 0.4219011962413788, 0.42826396226882935, 0.37283340096473694];[-2.117938995361328, -2.099367380142212, -2.1439316272735596, -2.1481242179870605, -2.1971511840820312, -2.0387423038482666];[1.525174617767334, 1.4007008075714111, 1.4110699892044067, 1.6897456645965576, 1.4096578359603882];383.4403989315033
