Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.229369640350342, 1.9813389778137207, 1.7871321439743042, 1.724341630935669, 1.6003215312957764];[0.44550904631614685, 0.30877581238746643, 0.3094951808452606, 0.2779787480831146, 0.25413331389427185, 0.23206207156181335];[-2.1841557025909424, -2.021683692932129, -2.3183469772338867, -2.0599679946899414, -2.011401653289795, -1.8554937839508057];[1.4264227151870728, 0.8255599737167358, 0.5229597687721252, 0.320476233959198, 0.18210788071155548];379.9465973377228
100;[3.597290515899658, 3.4348576068878174, 3.9469265937805176, 3.584580659866333, 3.4211084842681885, 3.3901617527008057];[0.4178268313407898, 0.8120978474617004, 1.2661144733428955, 1.2343004941940308, 1.2167472839355469, 1.235567569732666];[-2.225539207458496, -3.5000758171081543, -9.971320152282715, -10.563836097717285, -11.50039291381836, -12.94227123260498];[1.3921425342559814, 0.911188006401062, 0.705712616443634, 0.5345566272735596, 0.3974164128303528];374.1821835041046
150;[3.4319088459014893, 2.430077075958252, 2.0402560234069824, 2.0084481239318848, 2.147209882736206, 1.9778915643692017];[0.43440350890159607, 0.32791218161582947, 0.3325202763080597, 0.3662070631980896, 0.4036847651004791, 0.3361349403858185];[-2.1458182334899902, -2.1505284309387207, -2.446448802947998, -2.7332589626312256, -3.05397891998291, -2.6384482383728027];[1.4685475826263428, 0.8065126538276672, 0.4281793534755707, 0.22124598920345306, 0.13710595667362213];379.28177523612976
200;[3.4882147312164307, 2.400768995285034, 2.1436970233917236, 2.0225324630737305, 1.8066493272781372, 1.985626220703125];[0.43370386958122253, 0.3422137498855591, 0.41622838377952576, 0.3903029263019562, 0.32868877053260803, 0.3787170648574829];[-2.181112289428711, -2.1635923385620117, -2.7311782836914062, -2.723419666290283, -2.3848373889923096, -2.800962448120117];[1.4078642129898071, 0.7948923110961914, 0.46704989671707153, 0.33634787797927856, 0.20938950777053833];380.482385635376
250;[3.4891486167907715, 2.0917108058929443, 1.861107587814331, 1.7125966548919678, 1.65460205078125, 1.5864042043685913];[0.43905624747276306, 0.3182644844055176, 0.2934328019618988, 0.2735847234725952, 0.2514873445034027, 0.24302031099796295];[-2.1856272220611572, -2.1334824562072754, -2.1686136722564697, -1.9758151769638062, -1.9270665645599365, -1.878328561782837];[1.4171242713928223, 0.7148329019546509, 0.4638284146785736, 0.26903286576271057, 0.14806194603443146];375.36690521240234
300;[3.4684314727783203, 2.403829574584961, 2.1901140213012695, 1.911036729812622, 1.9813932180404663, 1.8266147375106812];[0.433230459690094, 0.3467459976673126, 0.39017900824546814, 0.33214280009269714, 0.3365926146507263, 0.30545148253440857];[-2.175381660461426, -2.2048778533935547, -2.8605844974517822, -2.55269455909729, -2.6240346431732178, -2.405057668685913];[1.416370153427124, 0.7957216501235962, 0.4776516258716583, 0.32375025749206543, 0.22107450664043427];382.00997495651245
350;[3.426074743270874, 2.615743637084961, 2.0384268760681152, 1.9289438724517822, 2.040522813796997, 1.7360761165618896];[0.4136400818824768, 0.3706227242946625, 0.3258076608181, 0.32519522309303284, 0.3513769209384918, 0.27902916073799133];[-2.1508469581604004, -2.357964277267456, -2.437715768814087, -2.4313509464263916, -2.633035659790039, -2.21744704246521];[1.4400101900100708, 0.791114091873169, 0.45698583126068115, 0.30886271595954895, 0.2050720900297165];372.95751786231995
400;[3.480447769165039, 2.2613322734832764, 1.8448599576950073, 1.6589182615280151, 1.6181118488311768, 1.491409182548523];[0.4406643807888031, 0.2912047803401947, 0.23817193508148193, 0.19218853116035461, 0.18377065658569336, 0.1698506772518158];[-2.1900761127471924, -1.953133225440979, -1.797401785850525, -1.6274938583374023, -1.6195766925811768, -1.5590401887893677];[1.4105747938156128, 0.8298233151435852, 0.5416368246078491, 0.39523637294769287, 0.27159011363983154];380.82507944107056
450;[3.629896402359009, 2.186455249786377, 1.929810881614685, 1.7912510633468628, 1.645106315612793, 1.6139955520629883];[0.42785149812698364, 0.3468950092792511, 0.3732737898826599, 0.356452077627182, 0.30708613991737366, 0.3294709324836731];[-2.2236576080322266, -2.2971248626708984, -2.3781354427337646, -2.2386794090270996, -2.0323691368103027, -2.078359842300415];[1.562289834022522, 0.684241533279419, 0.4453214406967163, 0.26475009322166443, 0.1806214302778244];386.4620568752289
500;[3.3648812770843506, 2.2036514282226562, 1.9751253128051758, 1.7854243516921997, 1.734926462173462, 1.5500757694244385];[0.44050097465515137, 0.3200762867927551, 0.32487428188323975, 0.31491029262542725, 0.2999657392501831, 0.23400886356830597];[-2.117938995361328, -2.231025457382202, -2.35660457611084, -2.132002592086792, -2.0535166263580322, -1.801859736442566];[1.525174617767334, 0.7092678546905518, 0.529610812664032, 0.37027883529663086, 0.23198598623275757];380.7434105873108
550;[3.362457513809204, 2.5684432983398438, 2.6109561920166016, 2.28171968460083, 2.2142858505249023, 1.9559394121170044];[0.4273624122142792, 0.4103116989135742, 0.6737558245658875, 0.5604425668716431, 0.5679662823677063, 0.4933392405509949];[-2.1138741970062256, -2.2693188190460205, -4.201850414276123, -3.5470635890960693, -3.718214988708496, -3.238668441772461];[1.3570165634155273, 0.8674240112304688, 0.48495450615882874, 0.34229251742362976, 0.21668720245361328];380.61532616615295
600;[3.4779739379882812, 2.6786398887634277, 2.130322217941284, 2.1449942588806152, 1.9813172817230225, 1.8012146949768066];[0.42433440685272217, 0.37959256768226624, 0.3858771026134491, 0.3937455713748932, 0.3850427567958832, 0.3415799140930176];[-2.1737163066864014, -2.390568256378174, -2.6363980770111084, -2.8445701599121094, -2.7707324028015137, -2.525862693786621];[1.4240550994873047, 0.7658287882804871, 0.49436822533607483, 0.3000739812850952, 0.17640838027000427];382.63001680374146
650;[3.5407519340515137, 2.612781524658203, 2.4600284099578857, 2.3496181964874268, 2.1210291385650635, 2.0855751037597656];[0.43656808137893677, 0.45131269097328186, 0.5339440107345581, 0.555546224117279, 0.5087698101997375, 0.47604724764823914];[-2.2121787071228027, -2.4554266929626465, -3.213726758956909, -3.529059410095215, -3.2967236042022705, -3.167647361755371];[1.4594218730926514, 0.8111060261726379, 0.5382070541381836, 0.37071630358695984, 0.23699916899204254];378.1900646686554
