Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.518050193786621, 2.868587017059326, 2.8138535022735596, 2.82381010055542, 3.1754984855651855, 3.3830442428588867];[0.3292688727378845, 0.3032341003417969, 0.3443771004676819, 0.4236184358596802, 0.549937903881073, 0.6478126049041748];[-2.347703695297241, -2.417198657989502, -2.6212399005889893, -3.0710840225219727, -3.85615611076355, -4.507980823516846];[1.4264227151870728, 1.0083775520324707, 0.9483339786529541, 0.908725380897522, 0.8888038992881775];689.2698230743408
50;[3.7702865600585938, 3.1611545085906982, 3.101349115371704, 3.1231870651245117, 3.540515661239624, 3.776679039001465];[0.289466917514801, 0.25066134333610535, 0.3032000660896301, 0.4075706899166107, 0.5406941175460815, 0.6380507349967957];[-2.377535104751587, -2.357189416885376, -2.5269405841827393, -2.95894455909729, -3.789421319961548, -4.583925247192383];[1.4264227151870728, 1.0212502479553223, 0.9627097845077515, 0.9221338033676147, 0.9219291806221008];386.0654652118683
100;[3.659580945968628, 4.090775012969971, 3.5865204334259033, 3.094522476196289, 2.789853811264038, 2.8565311431884766];[0.31416648626327515, 0.355270117521286, 0.29558074474334717, 0.26340973377227783, 0.2676455080509186, 0.30020400881767273];[-2.374498128890991, -2.4252028465270996, -2.2738749980926514, -2.219055414199829, -2.2640717029571533, -2.4760117530822754];[1.3921425342559814, 1.6470201015472412, 1.4960237741470337, 1.2556023597717285, 0.9817936420440674];348.5045335292816
100;[4.006771564483643, 3.5935144424438477, 3.7767491340637207, 3.537332773208618, 3.3467953205108643, 3.4987924098968506];[0.258314311504364, 0.1930387169122696, 0.39544913172721863, 0.43767037987709045, 0.44918501377105713, 0.46434012055397034];[-2.436501979827881, -2.224426031112671, -2.975066661834717, -3.2362728118896484, -3.2787630558013916, -3.5798773765563965];[1.3921425342559814, 1.5027928352355957, 1.0486356019973755, 0.9043284058570862, 0.8948246836662292];683.9950475692749
150;[3.497097969055176, 2.8987185955047607, 2.838547706604004, 2.4289023876190186, 2.603905439376831, 2.5357232093811035];[0.32012543082237244, 0.2189994752407074, 0.2694767117500305, 0.22749324142932892, 0.2621675133705139, 0.24649249017238617];[-2.320436954498291, -2.0916364192962646, -2.255297899246216, -2.130357503890991, -2.3551888465881348, -2.300598621368408];[1.4685475826263428, 1.1757415533065796, 1.0054218769073486, 0.8676710724830627, 0.8101508617401123];477.27553129196167
150;[3.7729921340942383, 3.1788547039031982, 3.1056361198425293, 2.6664600372314453, 2.841148853302002, 2.8008675575256348];[0.28246140480041504, 0.15719006955623627, 0.16286905109882355, 0.1304243952035904, 0.156143918633461, 0.15110518038272858];[-2.3357129096984863, -2.1310830116271973, -2.3215219974517822, -2.129760980606079, -2.323930025100708, -2.3070101737976074];[1.4685475826263428, 1.1734864711761475, 1.0327060222625732, 0.868243932723999, 0.8320122361183167];569.9726252555847
200;[3.5523300170898438, 2.91603422164917, 2.6025986671447754, 2.7468395233154297, 2.8058502674102783, 2.9166483879089355];[0.32133498787879944, 0.23195984959602356, 0.2633170783519745, 0.36760497093200684, 0.4279540479183197, 0.4738902747631073];[-2.3463809490203857, -2.116669178009033, -2.3403115272521973, -2.8373255729675293, -3.174720048904419, -3.433590888977051];[1.4078642129898071, 1.2395637035369873, 0.8929665088653564, 0.8630392551422119, 0.8514267802238464];371.34279322624207
200;[3.841989278793335, 3.1926894187927246, 2.91111159324646, 3.067657709121704, 3.122570514678955, 3.2557764053344727];[0.2777068316936493, 0.17777815461158752, 0.23851825296878815, 0.34962165355682373, 0.4173585772514343, 0.4658074676990509];[-2.3814196586608887, -2.1735846996307373, -2.4333739280700684, -2.973552942276001, -3.2935030460357666, -3.556194305419922];[1.4078642129898071, 1.1639763116836548, 0.889121949672699, 0.8597545027732849, 0.8736419677734375];350.63684725761414
250;[3.553293466567993, 2.9445595741271973, 3.007110834121704, 3.250060558319092, 3.3709421157836914, 3.6828372478485107];[0.32453498244285583, 0.401000052690506, 0.475735068321228, 0.5600987672805786, 0.6380527019500732, 0.7335038185119629];[-2.351017951965332, -2.8291072845458984, -3.2317285537719727, -3.825453042984009, -4.44767427444458, -4.978357791900635];[1.4171242713928223, 0.9035319089889526, 0.882919430732727, 0.878439724445343, 0.8791620135307312];349.11632776260376
250;[3.8362362384796143, 3.1787798404693604, 3.2553813457489014, 3.54447603225708, 3.7041022777557373, 4.008268356323242];[0.2837018370628357, 0.34571871161460876, 0.42866379022598267, 0.521594226360321, 0.615557074546814, 0.6995118856430054];[-2.3730008602142334, -2.7062880992889404, -3.080127716064453, -3.697913408279419, -4.368269920349121, -5.049957752227783];[1.4171242713928223, 0.9362450242042542, 0.9255735278129578, 0.8891968727111816, 0.8883771300315857];539.7556390762329
