Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.699355125427246, 2.4196107387542725, 2.17999529838562, 2.358065128326416, 2.2893378734588623];[0.44550904631614685, 0.3428652286529541, 0.31762823462486267, 0.30559787154197693, 0.3483824133872986, 0.33665701746940613];[-2.1841557025909424, -1.9502760171890259, -1.9622836112976074, -1.9068176746368408, -2.131294012069702, -2.1738619804382324];[1.4264227151870728, 1.0269196033477783, 0.8778790235519409, 0.8497483134269714, 0.8109043836593628];321.81273651123047
100;[3.597290515899658, 3.0126004219055176, 2.955047607421875, 3.390709161758423, 4.191874027252197, 4.571341037750244];[0.4178268313407898, 0.37112101912498474, 0.3301173150539398, 0.49718496203422546, 0.8031173348426819, 0.898224413394928];[-2.225539207458496, -2.057925224304199, -1.970344066619873, -2.3785059452056885, -4.234013557434082, -5.632106304168701];[1.3921425342559814, 1.3631361722946167, 1.427567958831787, 1.2019864320755005, 0.9968931674957275];311.70101833343506
150;[3.4319088459014893, 3.8812520503997803, 4.103950023651123, 4.190687656402588, 4.258032321929932, 4.60956335067749];[0.43440350890159607, 0.813243567943573, 0.8933347463607788, 0.9683114290237427, 0.9899539947509766, 1.048593521118164];[-2.1458182334899902, -4.319192886352539, -5.448219299316406, -6.443109035491943, -6.922036647796631, -7.884212970733643];[1.4685475826263428, 0.9174598455429077, 0.8646279573440552, 0.8168706893920898, 0.7922078967094421];312.17446660995483
200;[3.4882147312164307, 3.295055627822876, 3.3654673099517822, 3.519761562347412, 3.812978506088257, 3.7738959789276123];[0.43370386958122253, 0.701065182685852, 0.785172700881958, 0.8514950275421143, 0.9271554350852966, 0.9354057908058167];[-2.181112289428711, -3.3678066730499268, -4.130812168121338, -4.617405414581299, -5.522644519805908, -5.749661445617676];[1.4078642129898071, 0.8697887659072876, 0.8425016403198242, 0.8386057615280151, 0.833701491355896];309.3356702327728
250;[3.4891486167907715, 2.5437543392181396, 2.4521944522857666, 2.5409858226776123, 2.6423416137695312, 2.8018863201141357];[0.43905624747276306, 0.33992084860801697, 0.4240696430206299, 0.492214173078537, 0.5834375023841858, 0.6573221683502197];[-2.1856272220611572, -1.936874270439148, -2.1620848178863525, -2.4133949279785156, -2.781737804412842, -3.134425401687622];[1.4171242713928223, 0.9712076187133789, 0.8592736124992371, 0.8940226435661316, 0.8219792246818542];314.4044096469879
300;[3.4684314727783203, 2.986178159713745, 3.12833833694458, 3.414414882659912, 3.7106683254241943, 4.00211763381958];[0.433230459690094, 0.5740801095962524, 0.6775899529457092, 0.7863116264343262, 0.8609790802001953, 0.9417665600776672];[-2.175381660461426, -2.6288633346557617, -3.280877113342285, -4.192704200744629, -4.902249336242676, -5.932472229003906];[1.416370153427124, 0.9252507090568542, 0.8707705140113831, 0.868848443031311, 0.8781988024711609];310.3714818954468
350;[3.426074743270874, 4.243165016174316, 4.294201374053955, 4.453794479370117, 4.646998882293701, 4.942579746246338];[0.4136400818824768, 0.8248859643936157, 0.9650799632072449, 1.0142393112182617, 1.0128638744354248, 1.115457534790039];[-2.1508469581604004, -4.526109218597412, -6.147733688354492, -6.909798622131348, -7.201444625854492, -8.884003639221191];[1.4400101900100708, 0.9218226671218872, 0.8602045774459839, 0.8659633994102478, 0.864467203617096];310.90793657302856
400;[3.480447769165039, 2.650993585586548, 2.4630017280578613, 2.3870742321014404, 2.4659502506256104, 2.2878644466400146];[0.4406643807888031, 0.31534382700920105, 0.2988522946834564, 0.284145325422287, 0.30209803581237793, 0.28755900263786316];[-2.1900761127471924, -1.8843942880630493, -1.8336491584777832, -1.8187772035598755, -1.874178171157837, -1.809398889541626];[1.4105747938156128, 0.9965319633483887, 0.9267059564590454, 0.926504909992218, 0.9370982646942139];309.88099193573
450;[3.629896402359009, 2.617861032485962, 2.4588193893432617, 2.5951321125030518, 2.5323095321655273, 2.535358190536499];[0.42785149812698364, 0.3985476791858673, 0.43377381563186646, 0.5230638384819031, 0.5871607065200806, 0.6110888123512268];[-2.2236576080322266, -2.065486431121826, -2.271676778793335, -2.6611521244049072, -2.8686647415161133, -3.0452919006347656];[1.562289834022522, 0.8895115256309509, 0.7628905773162842, 0.7568976283073425, 0.7079489231109619];313.0283958911896
500;[3.3648812770843506, 2.5618531703948975, 2.4758825302124023, 2.5374200344085693, 2.455052137374878, 2.4848392009735107];[0.44050097465515137, 0.31926167011260986, 0.36896201968193054, 0.4090883135795593, 0.45084014534950256, 0.4771304130554199];[-2.117938995361328, -1.9317951202392578, -2.0865652561187744, -2.2035152912139893, -2.3105430603027344, -2.3938608169555664];[1.525174617767334, 0.9359915852546692, 0.8858227729797363, 0.8436219692230225, 0.8572322130203247];312.9441909790039
