Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.7632088661193848, 2.6277551651000977, 2.5991764068603516, 2.8683183193206787, 2.9193339347839355];[0.44550904631614685, 0.36923226714134216, 0.4773963689804077, 0.5861729979515076, 0.7018808722496033, 0.7518789172172546];[-2.1841557025909424, -1.9803706407546997, -2.2903754711151123, -2.7621231079101562, -3.4587056636810303, -3.7812514305114746];[1.4264227151870728, 1.0467864274978638, 0.9387481212615967, 0.8711318373680115, 0.8343045115470886];340.35829997062683
100;[3.597290515899658, 3.0294101238250732, 2.974407434463501, 2.8410048484802246, 2.6873319149017334, 2.804598331451416];[0.4178268313407898, 0.35124441981315613, 0.4367595314979553, 0.5234338641166687, 0.5351433753967285, 0.5538734197616577];[-2.225539207458496, -2.0299291610717773, -2.224111557006836, -2.5313496589660645, -2.5567502975463867, -2.7409629821777344];[1.3921425342559814, 1.37514066696167, 0.9914342761039734, 0.8759748339653015, 0.8577695488929749];311.34688115119934
150;[3.4319088459014893, 2.7904884815216064, 2.6393918991088867, 2.2931134700775146, 2.5261070728302, 2.4662485122680664];[0.43440350890159607, 0.31493401527404785, 0.331525057554245, 0.31420010328292847, 0.3623899519443512, 0.3555268943309784];[-2.1458182334899902, -1.9080270528793335, -2.043105363845825, -1.9719635248184204, -2.321155309677124, -2.3035974502563477];[1.4685475826263428, 1.1652741432189941, 0.8926538825035095, 0.8258992433547974, 0.7516913414001465];310.9297573566437
200;[3.4882147312164307, 2.8020827770233154, 2.5349655151367188, 2.726715564727783, 2.820709705352783, 2.9587512016296387];[0.43370386958122253, 0.33533892035484314, 0.40469634532928467, 0.54897540807724, 0.6292728781700134, 0.6816310286521912];[-2.181112289428711, -1.9409129619598389, -2.0973949432373047, -2.630608320236206, -3.011794328689575, -3.32747483253479];[1.4078642129898071, 1.205238699913025, 0.890130877494812, 0.8619245886802673, 0.8608988523483276];321.392254114151
250;[3.4891486167907715, 2.759061098098755, 2.8508520126342773, 3.183757781982422, 3.38547945022583, 3.789290189743042];[0.43905624747276306, 0.4402824938297272, 0.5368435382843018, 0.6571409106254578, 0.759034276008606, 0.8655773997306824];[-2.1856272220611572, -2.1601972579956055, -2.4715240001678467, -3.099172353744507, -3.7756590843200684, -4.492498874664307];[1.4171242713928223, 0.936607837677002, 0.9113009572029114, 0.9352192282676697, 0.9047157168388367];312.6984329223633
300;[3.4684314727783203, 2.719510316848755, 2.5310144424438477, 2.6184136867523193, 2.869903802871704, 2.813849687576294];[0.433230459690094, 0.3262237310409546, 0.3857158124446869, 0.49878132343292236, 0.6127590537071228, 0.6390023231506348];[-2.175381660461426, -1.91164231300354, -2.0928430557250977, -2.447129487991333, -3.005051374435425, -3.118812084197998];[1.416370153427124, 1.1676386594772339, 0.8465511798858643, 0.7878402471542358, 0.7776637077331543];312.93421626091003
350;[3.426074743270874, 2.915083885192871, 2.3118138313293457, 2.2377288341522217, 2.4154884815216064, 2.2179834842681885];[0.4136400818824768, 0.3379289209842682, 0.34652790427207947, 0.3706933856010437, 0.39303794503211975, 0.4374154210090637];[-2.1508469581604004, -2.0173497200012207, -1.9291987419128418, -2.009004831314087, -2.16176176071167, -2.2532951831817627];[1.4400101900100708, 1.1506518125534058, 0.8588047027587891, 0.8221721649169922, 0.7958680391311646];316.3846230506897
400;[3.480447769165039, 2.550462007522583, 2.368136405944824, 2.3299062252044678, 2.391533136367798, 2.2857465744018555];[0.4406643807888031, 0.28814855217933655, 0.2714751958847046, 0.27625641226768494, 0.2858046889305115, 0.27944299578666687];[-2.1900761127471924, -1.8060294389724731, -1.7424917221069336, -1.7818779945373535, -1.8516290187835693, -1.8040213584899902];[1.4105747938156128, 0.9994083046913147, 0.9854472875595093, 0.9555554389953613, 0.9110623002052307];328.2108840942383
450;[3.629896402359009, 2.5956945419311523, 2.4041807651519775, 2.4639527797698975, 2.285586357116699, 2.237722396850586];[0.42785149812698364, 0.3624584376811981, 0.36227741837501526, 0.39070770144462585, 0.3698212802410126, 0.3752412796020508];[-2.2236576080322266, -2.0276222229003906, -2.1877832412719727, -2.3967201709747314, -2.3058457374572754, -2.301928758621216];[1.562289834022522, 0.9284974336624146, 0.763951301574707, 0.7638596892356873, 0.7583109736442566];313.2594094276428
500;[3.3648812770843506, 2.5182273387908936, 2.4516191482543945, 2.4996957778930664, 2.4971630573272705, 2.6229023933410645];[0.44050097465515137, 0.31847330927848816, 0.3748760521411896, 0.4185775816440582, 0.4954789876937866, 0.5534615516662598];[-2.117938995361328, -1.8783315420150757, -2.046431303024292, -2.157876968383789, -2.41530179977417, -2.6216957569122314];[1.525174617767334, 0.9550609588623047, 0.9492371082305908, 0.8850710988044739, 0.863856852054596];318.2863059043884
550;[3.362457513809204, 2.8762428760528564, 2.50016450881958, 2.4475886821746826, 2.4430651664733887, 2.3002235889434814];[0.4273624122142792, 0.3407013416290283, 0.30863678455352783, 0.32112038135528564, 0.33616119623184204, 0.3144477903842926];[-2.1138741970062256, -1.937464714050293, -1.9249409437179565, -1.9937543869018555, -2.1433193683624268, -2.0427141189575195];[1.3570165634155273, 1.2900773286819458, 0.8924063444137573, 0.8451515436172485, 0.8242753148078918];312.98672103881836
600;[3.4779739379882812, 2.9892876148223877, 2.535750389099121, 2.681504011154175, 2.8082292079925537, 2.8766629695892334];[0.42433440685272217, 0.34862586855888367, 0.35797351598739624, 0.553787112236023, 0.6682589054107666, 0.7160456776618958];[-2.1737163066864014, -2.0459787845611572, -1.9882149696350098, -2.627631425857544, -3.248481035232544, -3.626969575881958];[1.4240550994873047, 1.1276708841323853, 0.8868796825408936, 0.8154870271682739, 0.7764109373092651];312.7668492794037
650;[3.5407519340515137, 2.7045881748199463, 2.4990594387054443, 2.5676612854003906, 2.9948570728302, 3.279024124145508];[0.43656808137893677, 0.322244256734848, 0.31832990050315857, 0.39635705947875977, 0.5840219259262085, 0.7188975811004639];[-2.2121787071228027, -1.9278944730758667, -1.8478280305862427, -2.0723652839660645, -2.7627668380737305, -3.5880868434906006];[1.4594218730926514, 1.1382535696029663, 0.9764972925186157, 0.96317458152771, 0.9426900148391724];311.28069043159485
700;[3.4655158519744873, 2.9222681522369385, 2.702756881713867, 2.58827805519104, 2.6306369304656982, 2.586101770401001];[0.4309043884277344, 0.33928653597831726, 0.34184667468070984, 0.36020106077194214, 0.3802787661552429, 0.3998332619667053];[-2.1853156089782715, -1.9372174739837646, -2.0155506134033203, -2.2078680992126465, -2.264615058898926, -2.4316980838775635];[1.3925169706344604, 1.2279958724975586, 0.9935241937637329, 0.906494140625, 0.8326665163040161];313.5613646507263
750;[3.474484443664551, 2.9105846881866455, 2.4101991653442383, 2.399137496948242, 2.346254825592041, 2.204983711242676];[0.4471079111099243, 0.3595195412635803, 0.34030064940452576, 0.38088956475257874, 0.39096468687057495, 0.37500983476638794];[-2.1904795169830322, -2.031761407852173, -2.047196865081787, -2.222996234893799, -2.2873194217681885, -2.2094101905822754];[1.4034637212753296, 1.12040376663208, 0.810703694820404, 0.7637282013893127, 0.7407942414283752];312.4046356678009
800;[3.5488901138305664, 2.641073703765869, 2.555270195007324, 2.6179604530334473, 2.529581308364868, 2.698810577392578];[0.4226207137107849, 0.33324381709098816, 0.452983558177948, 0.5034967660903931, 0.5950233340263367, 0.6866495609283447];[-2.211388349533081, -1.9241560697555542, -2.2423272132873535, -2.5175814628601074, -2.845715045928955, -3.318329095840454];[1.4197908639907837, 1.1033499240875244, 0.8157212734222412, 0.8330525159835815, 0.7886369824409485];311.099956035614
850;[3.3409130573272705, 2.634655475616455, 2.6821670532226562, 2.6627089977264404, 2.7715296745300293, 2.950584650039673];[0.43717724084854126, 0.4121139347553253, 0.4823473393917084, 0.5283595323562622, 0.6157017350196838, 0.6623680591583252];[-2.1206741333007812, -2.100395441055298, -2.368079662322998, -2.5355889797210693, -2.9199438095092773, -3.2361207008361816];[1.4117730855941772, 0.9629150629043579, 0.8840495944023132, 0.8637824058532715, 0.8769983649253845];316.0337359905243
900;[3.5120975971221924, 2.6594481468200684, 2.4225873947143555, 2.5683088302612305, 2.2707436084747314, 2.3794052600860596];[0.43827444314956665, 0.33980458974838257, 0.2985599637031555, 0.3347509801387787, 0.30811023712158203, 0.3489841818809509];[-2.1942410469055176, -1.8824957609176636, -1.8224523067474365, -2.111530065536499, -1.980241298675537, -2.209995746612549];[1.4822183847427368, 1.1384339332580566, 0.8927707076072693, 0.8601406216621399, 0.832180380821228];310.49248576164246
950;[3.4888288974761963, 2.664679765701294, 2.63777756690979, 2.7501108646392822, 3.133976459503174, 3.420442819595337];[0.4305139482021332, 0.30880236625671387, 0.3283845782279968, 0.4634500741958618, 0.6691330671310425, 0.8367502689361572];[-2.1909918785095215, -1.855340838432312, -1.94731867313385, -2.2528061866760254, -3.265735387802124, -4.416164875030518];[1.3763808012008667, 1.1125394105911255, 0.9313285946846008, 0.8944050669670105, 0.8078109622001648];313.00056171417236
1000;[3.4790709018707275, 3.0030579566955566, 2.6264753341674805, 2.384752035140991, 2.382446050643921, 2.590904712677002];[0.4421994388103485, 0.3824236989021301, 0.342720091342926, 0.34908950328826904, 0.3565899133682251, 0.3908444941043854];[-2.195986032485962, -2.116314172744751, -1.9739923477172852, -1.957126259803772, -2.0105042457580566, -2.2409863471984863];[1.4298933744430542, 1.0707226991653442, 0.9000522494316101, 0.8348063230514526, 0.8079816699028015];316.30176997184753
1050;[3.4341771602630615, 2.8160223960876465, 2.816129446029663, 2.8683583736419678, 2.9447176456451416, 3.0706114768981934];[0.4304201006889343, 0.3373890519142151, 0.3765164017677307, 0.5844487547874451, 0.6903119087219238, 0.716318666934967];[-2.155642032623291, -1.9546669721603394, -2.1188066005706787, -2.7433128356933594, -3.1886653900146484, -3.5755717754364014];[1.3702319860458374, 1.2174615859985352, 0.9930623769760132, 0.909679114818573, 0.8753030300140381];316.1237144470215
