Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.5963945388793945, 2.6596779823303223, 2.077540874481201, 2.0061838626861572, 1.7713143825531006, 1.7276171445846558];[0.2673826813697815, 0.2851110100746155, 0.2200273871421814, 0.22587484121322632, 0.12755511701107025, 0.13407474756240845];[-2.60251522064209, -3.2858545780181885, -3.36971378326416, -3.545073986053467, -2.761765480041504, -2.87174129486084];[1.4264227151870728, 0.8710469603538513, 0.3510121703147888, 0.23227258026599884, 0.17170991003513336];281.887305021286
50;[4.426402568817139, 3.6750800609588623, 3.4341862201690674, 3.3868753910064697, 3.1013541221618652, 3.0643584728240967];[0.21169903874397278, 0.2615818381309509, 0.31658312678337097, 0.3237626850605011, 0.2055530697107315, 0.22057026624679565];[-3.230581521987915, -4.567278861999512, -5.224795818328857, -5.354005813598633, -4.85971212387085, -4.988577365875244];[1.4264227151870728, 0.8702083826065063, 0.35434460639953613, 0.24467241764068604, 0.17589984834194183];290.56086707115173
100;[3.735288619995117, 4.567899227142334, 3.7944424152374268, 2.8355138301849365, 2.7642531394958496, 2.8055920600891113];[0.257673442363739, 1.0058696269989014, 0.9697007536888123, 0.7254997491836548, 0.7134634852409363, 0.7435178756713867];[-2.5990281105041504, -10.779463768005371, -15.7708101272583, -11.280677795410156, -11.79597282409668, -12.76302719116211];[1.3921425342559814, 0.953467071056366, 0.5609086155891418, 0.2782827913761139, 0.1749267876148224];284.9490964412689
100;[4.835776329040527, 4.819292068481445, 4.05145788192749, 4.5129899978637695, 3.7700304985046387, 3.700594663619995];[0.19413888454437256, 0.5622894167900085, 0.5530133247375488, 0.7736499309539795, 0.5612500905990601, 0.535028338432312];[-3.375126838684082, -8.46460247039795, -9.90367317199707, -23.98961067199707, -13.379488945007324, -12.902077674865723];[1.3921425342559814, 0.9654302597045898, 0.5478191375732422, 0.36189350485801697, 0.2412693351507187];295.8215169906616
150;[3.5757877826690674, 2.7696938514709473, 2.5139079093933105, 2.12235689163208, 2.3348019123077393, 2.403414011001587];[0.25986701250076294, 0.2909856140613556, 0.34024396538734436, 0.25184059143066406, 0.3500629663467407, 0.41429275274276733];[-2.5824029445648193, -2.9085395336151123, -3.6284101009368896, -3.148963689804077, -3.8751771450042725, -4.639202117919922];[1.4685475826263428, 0.8248218894004822, 0.40546974539756775, 0.23643134534358978, 0.16156114637851715];281.9890601634979
150;[4.472259998321533, 3.689936637878418, 3.168530225753784, 3.100766658782959, 3.3409266471862793, 3.3377444744110107];[0.20966465771198273, 0.1686863899230957, 0.1253208965063095, 0.16508996486663818, 0.20418097078800201, 0.22539132833480835];[-3.1632049083709717, -4.400214672088623, -3.6653823852539062, -4.487189292907715, -5.366759777069092, -5.9966254234313965];[1.4685475826263428, 0.8242301940917969, 0.7669243216514587, 0.36928004026412964, 0.23801589012145996];283.33481526374817
200;[3.6300575733184814, 2.7616329193115234, 2.0985653400421143, 2.000119209289551, 1.9439207315444946, 1.880935549736023];[0.26128193736076355, 0.3018464148044586, 0.2200627624988556, 0.22754782438278198, 0.23958370089530945, 0.17734093964099884];[-2.5926427841186523, -2.8665828704833984, -2.773881196975708, -3.0310721397399902, -3.198298692703247, -2.9900636672973633];[1.4078642129898071, 0.8303964138031006, 0.38706693053245544, 0.2292281687259674, 0.19175374507904053];292.96852803230286
200;[4.565479278564453, 3.6579318046569824, 3.4984517097473145, 3.328749418258667, 3.344461441040039, 3.325965642929077];[0.20539163053035736, 0.16945302486419678, 0.24240118265151978, 0.2424187958240509, 0.3100741505622864, 0.24454835057258606];[-3.2673463821411133, -4.3055219650268555, -6.281388282775879, -6.594719409942627, -8.220709800720215, -6.889532089233398];[1.4078642129898071, 0.8479644656181335, 0.4288688600063324, 0.22052384912967682, 0.1742473691701889];302.39226841926575
250;[3.6311590671539307, 2.7059216499328613, 2.1647119522094727, 2.1559829711914062, 1.8709505796432495, 1.791352391242981];[0.2639690935611725, 0.34279686212539673, 0.2864223122596741, 0.3000406324863434, 0.18557864427566528, 0.1772429198026657];[-2.6001079082489014, -3.7184057235717773, -3.906008005142212, -4.030557155609131, -3.287186622619629, -3.250159740447998];[1.4171242713928223, 0.781777024269104, 0.3501896262168884, 0.23960252106189728, 0.15364907681941986];291.8622624874115
250;[4.5491437911987305, 3.6286935806274414, 3.371565103530884, 3.4324350357055664, 3.1701197624206543, 2.9923510551452637];[0.2102264165878296, 0.3225939869880676, 0.3719713091850281, 0.37912312150001526, 0.27482709288597107, 0.2568918466567993];[-3.227867841720581, -4.968214988708496, -5.398587226867676, -5.722291469573975, -5.255144119262695, -5.140884876251221];[1.4171242713928223, 0.7838752865791321, 0.34727802872657776, 0.245421901345253, 0.1555381417274475];294.8910644054413
