Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 18.296802520751953, 17.849468231201172, 23.747657775878906, 30.47141456604004, 32.0500373840332];[0.44550904631614685, 1.3809442520141602, 1.4648535251617432, 1.540839672088623, 1.6095118522644043, 1.604202389717102];[-2.1841557025909424, -24.18848419189453, -27.815839767456055, -32.29210662841797, -35.067264556884766, -36.046775817871094];[1.4264227151870728, 1.1049107313156128, 0.6892107725143433, 0.5187714099884033, 0.28075873851776123];286.04980182647705
100;[3.597290515899658, 3.2844057083129883, 2.30533766746521, 3.5249595642089844, 4.009143829345703, 3.856593608856201];[0.4178268313407898, 0.7336074709892273, 0.6310414671897888, 1.2873282432556152, 1.3908584117889404, 1.3801935911178589];[-2.225539207458496, -3.1115684509277344, -2.9227845668792725, -14.268144607543945, -28.181926727294922, -27.228168487548828];[1.3921425342559814, 0.9419776201248169, 0.5344946980476379, 0.38675445318222046, 0.22623710334300995];274.29470348358154
150;[3.4319088459014893, 4.93850040435791, 4.923418045043945, 4.090493679046631, 4.177558422088623, 3.8616929054260254];[0.43440350890159607, 1.4746625423431396, 1.5232616662979126, 1.4343998432159424, 1.4370118379592896, 1.3794355392456055];[-2.1458182334899902, -22.84328842163086, -42.65814208984375, -28.680200576782227, -28.745389938354492, -27.641481399536133];[1.4685475826263428, 0.9656355381011963, 0.49750834703445435, 0.2775384783744812, 0.18476183712482452];277.6365211009979
200;[3.4882147312164307, 21.44515037536621, 45.37602233886719, 36.7398681640625, 39.63335418701172, 44.827022552490234];[0.43370386958122253, 1.4217835664749146, 1.610803484916687, 1.5339399576187134, 1.6148715019226074, 1.624218225479126];[-2.181112289428711, -26.603471755981445, -38.74460220336914, -35.24281692504883, -37.91196823120117, -37.89729309082031];[1.4078642129898071, 1.055315613746643, 1.0073068141937256, 0.8230050802230835, 0.35017362236976624];275.419105052948
250;[3.4891486167907715, 2.2263500690460205, 2.0009679794311523, 1.853379487991333, 1.9793121814727783, 2.2409579753875732];[0.43905624747276306, 0.30486592650413513, 0.30888476967811584, 0.29958608746528625, 0.3143504559993744, 0.5444367527961731];[-2.1856272220611572, -2.0249202251434326, -2.2835066318511963, -2.2353086471557617, -2.7235777378082275, -3.7958195209503174];[1.4171242713928223, 0.8210437297821045, 0.37336626648902893, 0.21639059484004974, 0.1848992109298706];265.27195167541504
300;[3.4684314727783203, 23.779354095458984, 34.815452575683594, 27.789493560791016, 30.147457122802734, 30.406423568725586];[0.433230459690094, 1.4598995447158813, 1.5414055585861206, 1.5062479972839355, 1.5881948471069336, 1.5965707302093506];[-2.175381660461426, -29.2771053314209, -34.71356201171875, -32.95174789428711, -34.73305130004883, -35.48530578613281];[1.416370153427124, 1.031445860862732, 1.0986578464508057, 0.7888778448104858, 0.43647488951683044];271.02566027641296
350;[3.426074743270874, 5.06656551361084, 3.901041030883789, 2.2014060020446777, 2.098632574081421, 1.9642423391342163];[0.4136400818824768, 1.4622583389282227, 1.3593049049377441, 0.8675124645233154, 0.7795137763023376, 0.8073992133140564];[-2.1508469581604004, -16.72041130065918, -22.002613067626953, -6.695764064788818, -6.272585391998291, -6.374125957489014];[1.4400101900100708, 0.94602370262146, 0.5532382130622864, 0.28799906373023987, 0.2128148227930069];281.65163230895996
400;[3.480447769165039, 4.051877021789551, 4.357468128204346, 4.298133373260498, 2.5597572326660156, 2.2448573112487793];[0.4406643807888031, 1.2070974111557007, 1.430843710899353, 1.417548418045044, 0.9419705271720886, 0.844062089920044];[-2.1900761127471924, -6.5904130935668945, -20.398155212402344, -25.299901962280273, -6.710727691650391, -5.700392246246338];[1.4105747938156128, 1.0344254970550537, 0.4998920261859894, 0.4067869484424591, 0.17853222787380219];264.45596837997437
450;[3.629896402359009, 2.29571795463562, 1.7890208959579468, 1.6173944473266602, 1.3966032266616821, 1.3132926225662231];[0.42785149812698364, 0.37080156803131104, 0.3557209372520447, 0.30828073620796204, 0.1422533541917801, 0.0952986627817154];[-2.2236576080322266, -2.104635715484619, -2.056281566619873, -1.9265837669372559, -1.4070351123809814, -1.2581939697265625];[1.562289834022522, 0.7485201358795166, 0.3708942234516144, 0.22454692423343658, 0.1674158275127411];260.93513560295105
500;[3.3648812770843506, 2.3771493434906006, 1.6759088039398193, 1.5635937452316284, 1.4249967336654663, 1.3695369958877563];[0.44050097465515137, 0.3154310882091522, 0.26056569814682007, 0.2580935060977936, 0.08922461420297623, 0.0881212055683136];[-2.117938995361328, -2.003141403198242, -1.7536171674728394, -1.7342171669006348, -1.306751012802124, -1.291555643081665];[1.525174617767334, 0.8327613472938538, 0.36366161704063416, 0.24579741060733795, 0.21240012347698212];263.497132062912
550;[3.362457513809204, 20.29239845275879, 26.556184768676758, 17.47895622253418, 22.737266540527344, 30.649019241333008];[0.4273624122142792, 1.3989849090576172, 1.4751840829849243, 1.4345059394836426, 1.5198147296905518, 1.617831826210022];[-2.1138741970062256, -26.158201217651367, -30.504600524902344, -27.138381958007812, -31.46159553527832, -35.91870880126953];[1.3570165634155273, 1.1237688064575195, 1.0477334260940552, 0.791174590587616, 0.583425760269165];276.9280652999878
600;[3.4779739379882812, 24.829500198364258, 26.51747703552246, 26.37494468688965, 25.99067497253418, 27.626272201538086];[0.42433440685272217, 1.4566410779953003, 1.521160364151001, 1.526414155960083, 1.5694397687911987, 1.603448748588562];[-2.1737163066864014, -28.486486434936523, -32.80282974243164, -32.744476318359375, -33.165672302246094, -34.989017486572266];[1.4240550994873047, 1.03494393825531, 0.6481239199638367, 0.5148570537567139, 0.4901277720928192];257.1107757091522
650;[3.5407519340515137, 2.457360029220581, 2.186781406402588, 2.3487389087677, 2.1958322525024414, 2.3107922077178955];[0.43656808137893677, 0.35900288820266724, 0.3771395683288574, 0.4843898415565491, 0.46528705954551697, 0.5522923469543457];[-2.2121787071228027, -2.067730665206909, -2.347154140472412, -3.26243257522583, -3.2778396606445312, -3.742997169494629];[1.4594218730926514, 0.8880902528762817, 0.4320710301399231, 0.2623479962348938, 0.1768806427717209];268.8275532722473
700;[3.4655158519744873, 17.877376556396484, 22.275400161743164, 46.57719421386719, 49.752315521240234, 52.14089584350586];[0.4309043884277344, 1.3812079429626465, 1.4254695177078247, 1.603297233581543, 1.6482306718826294, 1.6869921684265137];[-2.1853156089782715, -23.8074893951416, -26.21222496032715, -39.175193786621094, -40.8054313659668, -40.94786071777344];[1.3925169706344604, 1.1328078508377075, 1.1584354639053345, 1.0676536560058594, 0.5529636740684509];258.4449315071106
750;[3.474484443664551, 17.365636825561523, 16.89328384399414, 34.34814453125, 28.78395652770996, 28.83539390563965];[0.4471079111099243, 1.3627805709838867, 1.2981632947921753, 1.5259513854980469, 1.5096389055252075, 1.584165334701538];[-2.1904795169830322, -22.726709365844727, -17.606725692749023, -34.26129913330078, -33.45683288574219, -34.23246765136719];[1.4034637212753296, 1.064390778541565, 1.4908006191253662, 0.9905964732170105, 0.6916143894195557];261.9937002658844
850;[3.3409130573272705, 18.672029495239258, 42.55274200439453, 38.028099060058594, 42.75312805175781, 47.99848175048828];[0.43717724084854126, 1.3936586380004883, 1.5909148454666138, 1.555952787399292, 1.6181111335754395, 1.6612615585327148];[-2.1206741333007812, -24.696008682250977, -37.81565856933594, -35.6783447265625, -37.945526123046875, -39.823692321777344];[1.4117730855941772, 1.155165433883667, 1.0351630449295044, 0.7356335520744324, 0.30843475461006165];265.0637662410736
900;[3.5120975971221924, 23.048389434814453, 50.17641067504883, 47.572269439697266, 46.2596549987793, 55.57802200317383];[0.43827444314956665, 1.4514954090118408, 1.6076561212539673, 1.5787540674209595, 1.620625615119934, 1.6390504837036133];[-2.1942410469055176, -29.591156005859375, -38.796424865722656, -38.12872314453125, -37.69611740112305, -40.49148178100586];[1.4822183847427368, 1.0315810441970825, 1.0331732034683228, 0.6292056441307068, 0.3204934298992157];255.8078486919403
950;[3.4888288974761963, 2.4989964962005615, 2.222677230834961, 2.3799564838409424, 2.893411636352539, 2.6772546768188477];[0.4305139482021332, 0.3815448582172394, 0.4088728129863739, 0.48242640495300293, 0.79770827293396, 0.6307121515274048];[-2.1909918785095215, -2.136704683303833, -2.6147029399871826, -3.5044047832489014, -5.665481090545654, -4.97501277923584];[1.3763808012008667, 0.8868862986564636, 0.414860337972641, 0.26421862840652466, 0.29312875866889954];277.44845962524414
1000;[3.4790709018707275, 2.4751827716827393, 2.16015625, 1.6323235034942627, 1.544529914855957, 1.5765185356140137];[0.4421994388103485, 0.3386307954788208, 0.3508670926094055, 0.22910098731517792, 0.2024281620979309, 0.21607659757137299];[-2.195986032485962, -2.176919460296631, -2.7011940479278564, -1.768467664718628, -1.6835192441940308, -1.7386490106582642];[1.4298933744430542, 0.8010150194168091, 0.40416380763053894, 0.21471789479255676, 0.13176576793193817];264.30663681030273
1050;[3.4341771602630615, 2.7852089405059814, 1.4725269079208374, 2.21821665763855, 1.9861828088760376, 1.6118685007095337];[0.4304201006889343, 0.5248622298240662, 0.13159134984016418, 0.6652906537055969, 0.5496397018432617, 0.3374592363834381];[-2.155642032623291, -2.732041120529175, -1.3174077272415161, -3.4455137252807617, -3.0384747982025146, -2.12473464012146];[1.3702319860458374, 0.8442419767379761, 0.39312461018562317, 0.3724910318851471, 0.22740304470062256];264.0744659900665
1100;[3.5694146156311035, 17.42408561706543, 18.490427017211914, 38.09823989868164, 45.97868728637695, 44.75109100341797];[0.4306790828704834, 1.3821227550506592, 1.3781371116638184, 1.5591623783111572, 1.6469727754592896, 1.646841287612915];[-2.2354342937469482, -24.226165771484375, -23.57254409790039, -35.390472412109375, -39.62934494018555, -38.110042572021484];[1.4891663789749146, 1.0742977857589722, 1.180994987487793, 1.0416100025177002, 0.5289210081100464];292.18224930763245
1150;[3.4858319759368896, 2.686823844909668, 1.6180408000946045, 2.4004688262939453, 2.2142505645751953, 2.2708005905151367];[0.43737438321113586, 0.4939063489437103, 0.17166346311569214, 0.8068746328353882, 0.8490267395973206, 0.8567901253700256];[-2.1709494590759277, -2.3818471431732178, -1.4487111568450928, -4.352950572967529, -5.408089637756348, -5.693883895874023];[1.4211032390594482, 0.9376979470252991, 0.5033313035964966, 0.3935237526893616, 0.22720754146575928];292.0530924797058
1200;[3.437978982925415, 19.215755462646484, 23.668193817138672, 40.483177185058594, 45.321102142333984, 46.556705474853516];[0.4222293496131897, 1.4005473852157593, 1.4639031887054443, 1.5861544609069824, 1.634050726890564, 1.6564080715179443];[-2.1453921794891357, -25.224557876586914, -29.562902450561523, -37.34465789794922, -38.9935302734375, -39.55088806152344];[1.4090831279754639, 1.0773752927780151, 1.0635128021240234, 1.0737812519073486, 0.5579761862754822];264.435307264328
1250;[3.4220948219299316, 2.570627450942993, 1.5807173252105713, 1.3532803058624268, 1.3138319253921509, 1.3905712366104126];[0.4305312931537628, 0.3601353168487549, 0.10232439637184143, 0.0668601468205452, 0.07340259850025177, 0.09748363494873047];[-2.1536736488342285, -2.3048646450042725, -1.3703731298446655, -1.1961009502410889, -1.214812159538269, -1.32545006275177];[1.4425804615020752, 0.7746046185493469, 0.3759678304195404, 0.22992873191833496, 0.15266379714012146];275.0189905166626
1300;[3.4729998111724854, 2.338303327560425, 1.7260714769363403, 1.7307182550430298, 1.774843692779541, 2.0099778175354004];[0.4191039800643921, 0.28846800327301025, 0.20027074217796326, 0.22753304243087769, 0.25854071974754333, 0.38297367095947266];[-2.148639678955078, -1.8855456113815308, -1.6306647062301636, -1.8368587493896484, -2.07100248336792, -2.7419557571411133];[1.4331846237182617, 0.8389378786087036, 0.3682844042778015, 0.23745322227478027, 0.1586771160364151];285.53106451034546
