Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.303483724594116, 1.55417799949646, 1.4391847848892212, 1.417326807975769, 1.3312515020370483];[0.44550904631614685, 0.31941208243370056, 0.16414660215377808, 0.13980524241924286, 0.09152738004922867, 0.07699879258871078];[-2.1841557025909424, -1.9445345401763916, -1.4711101055145264, -1.4006434679031372, -1.3140602111816406, -1.2425957918167114];[1.4264227151870728, 0.8816945552825928, 0.3658604025840759, 0.23722796142101288, 0.1652367115020752];270.0928695201874
100;[3.597290515899658, 3.3495235443115234, 2.0273640155792236, 1.7374259233474731, 1.7527488470077515, 1.8110276460647583];[0.4178268313407898, 0.7641462683677673, 0.4843026101589203, 0.42446333169937134, 0.47516369819641113, 0.5357763171195984];[-2.225539207458496, -3.3381597995758057, -2.3734130859375, -2.3606672286987305, -2.7505087852478027, -3.1637465953826904];[1.3921425342559814, 0.9000033140182495, 0.4892982840538025, 0.35317736864089966, 0.2098187506198883];269.9945991039276
150;[3.4319088459014893, 2.4270076751708984, 1.975142002105713, 1.7151154279708862, 1.851118564605713, 1.8255894184112549];[0.43440350890159607, 0.31504926085472107, 0.26748111844062805, 0.20255640149116516, 0.25343310832977295, 0.26930901408195496];[-2.1458182334899902, -2.076545476913452, -1.9867085218429565, -1.7428690195083618, -2.0165488719940186, -2.1012368202209473];[1.4685475826263428, 0.8207558393478394, 0.401581346988678, 0.23005369305610657, 0.15256595611572266];284.2745985984802
200;[3.4882147312164307, 2.3847930431365967, 1.6486679315567017, 1.5532646179199219, 1.5219429731369019, 1.6197541952133179];[0.43370386958122253, 0.31299784779548645, 0.15302373468875885, 0.14239248633384705, 0.17418161034584045, 0.18136712908744812];[-2.181112289428711, -2.0222301483154297, -1.4620171785354614, -1.461181402206421, -1.55557119846344, -1.6767996549606323];[1.4078642129898071, 0.8231155276298523, 0.3895607590675354, 0.21918652951717377, 0.16296926140785217];269.47666692733765
250;[3.4891486167907715, 2.226846694946289, 1.5514905452728271, 1.4349197149276733, 1.414335012435913, 1.378783941268921];[0.43905624747276306, 0.34172770380973816, 0.20657318830490112, 0.14490927755832672, 0.12343179434537888, 0.12340375036001205];[-2.1856272220611572, -2.0199365615844727, -1.5445770025253296, -1.4142934083938599, -1.3858965635299683, -1.36801016330719];[1.4171242713928223, 0.8094645738601685, 0.3401392698287964, 0.2217378169298172, 0.14075419306755066];272.1462433338165
300;[3.4684314727783203, 2.404283046722412, 1.4708778858184814, 1.3152962923049927, 1.3327592611312866, 1.267702579498291];[0.433230459690094, 0.34354791045188904, 0.08086523413658142, 0.05830998346209526, 0.045782651752233505, 0.04139263182878494];[-2.175381660461426, -2.1932551860809326, -1.2583128213882446, -1.1680378913879395, -1.1878174543380737, -1.1366121768951416];[1.416370153427124, 0.7975136041641235, 0.3524514138698578, 0.2306799292564392, 0.14196649193763733];272.3540515899658
350;[3.426074743270874, 2.605787515640259, 1.6082770824432373, 1.4543814659118652, 1.618440866470337, 1.459718942642212];[0.4136400818824768, 0.3524788022041321, 0.14241167902946472, 0.09712076932191849, 0.1552964746952057, 0.1451161652803421];[-2.1508469581604004, -2.2524220943450928, -1.4272165298461914, -1.3105438947677612, -1.560933232307434, -1.482255458831787];[1.4400101900100708, 0.8110405206680298, 0.35790616273880005, 0.24433952569961548, 0.17352567613124847];277.42557430267334
400;[3.480447769165039, 2.404937982559204, 1.596691608428955, 1.5888034105300903, 1.5147550106048584, 1.3699860572814941];[0.4406643807888031, 0.28054726123809814, 0.16094182431697845, 0.21957984566688538, 0.19878332316875458, 0.1639004498720169];[-2.1900761127471924, -1.8014782667160034, -1.4644259214401245, -1.663915991783142, -1.622260570526123, -1.4690113067626953];[1.4105747938156128, 0.9295010566711426, 0.4299938380718231, 0.2681557536125183, 0.19235554337501526];269.6049876213074
450;[3.629896402359009, 2.3110272884368896, 1.7688461542129517, 1.6827906370162964, 1.4786738157272339, 1.3961890935897827];[0.42785149812698364, 0.3439619541168213, 0.32105743885040283, 0.3518855571746826, 0.23288945853710175, 0.16166946291923523];[-2.2236576080322266, -2.118818759918213, -1.9286013841629028, -2.0856857299804688, -1.6781361103057861, -1.4504609107971191];[1.562289834022522, 0.7562411427497864, 0.3469286262989044, 0.21571475267410278, 0.15115496516227722];270.16215348243713
500;[3.3648812770843506, 2.3207035064697266, 1.6461787223815918, 1.5381343364715576, 1.4728718996047974, 1.327518343925476];[0.44050097465515137, 0.30731210112571716, 0.22410036623477936, 0.24445675313472748, 0.1901169717311859, 0.11568788439035416];[-2.117938995361328, -1.922347903251648, -1.6469590663909912, -1.6957058906555176, -1.5860788822174072, -1.3556824922561646];[1.525174617767334, 0.8576371073722839, 0.3868510127067566, 0.2499818354845047, 0.16110111773014069];270.2322909832001
550;[3.362457513809204, 2.5406248569488525, 1.8474504947662354, 1.5966823101043701, 1.5276333093643188, 1.4324525594711304];[0.4273624122142792, 0.4017653167247772, 0.26398932933807373, 0.1785409152507782, 0.16259649395942688, 0.16127051413059235];[-2.1138741970062256, -2.2706758975982666, -1.7790805101394653, -1.5426359176635742, -1.5460466146469116, -1.505624771118164];[1.3570165634155273, 0.8165252208709717, 0.3646259605884552, 0.2467292994260788, 0.15563178062438965];271.4684853553772
600;[3.4779739379882812, 2.6854429244995117, 1.4777594804763794, 1.4343894720077515, 1.3560587167739868, 1.2956011295318604];[0.42433440685272217, 0.35889071226119995, 0.08654658496379852, 0.07217013835906982, 0.06268369406461716, 0.07126975804567337];[-2.1737163066864014, -2.2528958320617676, -1.2617578506469727, -1.2623740434646606, -1.2264678478240967, -1.2034282684326172];[1.4240550994873047, 0.830047070980072, 0.39041873812675476, 0.23631049692630768, 0.1435682326555252];274.26346731185913
650;[3.5407519340515137, 2.581529140472412, 1.5191142559051514, 1.4970898628234863, 1.4251389503479004, 1.521094799041748];[0.43656808137893677, 0.40197083353996277, 0.08684719353914261, 0.14005343616008759, 0.14627288281917572, 0.1878848671913147];[-2.2121787071228027, -2.2606587409973145, -1.2856396436691284, -1.429567813873291, -1.4484905004501343, -1.644867181777954];[1.4594218730926514, 0.8482800722122192, 0.40150246024131775, 0.26568880677223206, 0.14957331120967865];268.14650440216064
700;[3.4655158519744873, 2.438347816467285, 1.9709810018539429, 1.7247288227081299, 1.6089555025100708, 1.6200984716415405];[0.4309043884277344, 0.32916173338890076, 0.27002209424972534, 0.2379857897758484, 0.2287658452987671, 0.20305222272872925];[-2.1853156089782715, -2.072209358215332, -1.9178789854049683, -1.812982201576233, -1.7833824157714844, -1.7665845155715942];[1.3925169706344604, 0.8294522166252136, 0.38843682408332825, 0.2423636019229889, 0.15391956269741058];271.12689447402954
750;[3.474484443664551, 2.580021619796753, 1.7092493772506714, 1.6467092037200928, 1.5890498161315918, 1.6366974115371704];[0.4471079111099243, 0.35565412044525146, 0.16514642536640167, 0.18346403539180756, 0.17595148086547852, 0.1885167807340622];[-2.1904795169830322, -2.2897863388061523, -1.5417996644973755, -1.6366376876831055, -1.6114572286605835, -1.7373405694961548];[1.4034637212753296, 0.7829284071922302, 0.35712823271751404, 0.2098676562309265, 0.16358886659145355];268.74437379837036
800;[3.5488901138305664, 2.325310230255127, 1.429829478263855, 1.4294568300247192, 1.280792474746704, 1.2814428806304932];[0.4226207137107849, 0.33040302991867065, 0.07185985147953033, 0.05883834883570671, 0.05111879110336304, 0.043725136667490005];[-2.211388349533081, -2.1508634090423584, -1.2265361547470093, -1.2402141094207764, -1.1509169340133667, -1.150984764099121];[1.4197908639907837, 0.7454413175582886, 0.35287633538246155, 0.2224748283624649, 0.14474692940711975];275.58981561660767
850;[3.3409130573272705, 2.2795419692993164, 1.8173720836639404, 1.6623238325119019, 1.5562572479248047, 1.4370412826538086];[0.43717724084854126, 0.3875075578689575, 0.3689723610877991, 0.3479982912540436, 0.2430533766746521, 0.24219650030136108];[-2.1206741333007812, -2.097205400466919, -2.115013599395752, -2.0856053829193115, -1.7517740726470947, -1.7005976438522339];[1.4117730855941772, 0.8614352345466614, 0.3697957396507263, 0.21000109612941742, 0.15116064250469208];268.4074008464813
900;[3.5120975971221924, 2.1572093963623047, 1.53998863697052, 1.425642728805542, 1.400204062461853, 1.2847633361816406];[0.43827444314956665, 0.2878408133983612, 0.08747965097427368, 0.07247893512248993, 0.07085311412811279, 0.05316419154405594];[-2.1942410469055176, -1.948269009590149, -1.315142035484314, -1.2491884231567383, -1.2649469375610352, -1.1653151512145996];[1.4822183847427368, 0.8038733601570129, 0.3743134140968323, 0.23207944631576538, 0.1621808111667633];270.9338402748108
950;[3.4888288974761963, 2.5145585536956787, 1.5812036991119385, 1.4813132286071777, 1.3665145635604858, 1.3569077253341675];[0.4305139482021332, 0.3638772666454315, 0.13623984158039093, 0.08436562865972519, 0.04061529412865639, 0.03860597684979439];[-2.1909918785095215, -2.028578758239746, -1.353679895401001, -1.2978988885879517, -1.1927560567855835, -1.2044371366500854];[1.3763808012008667, 0.896614670753479, 0.42591142654418945, 0.294177770614624, 0.1682664304971695];278.3574049472809
1000;[3.4790709018707275, 2.5148532390594482, 1.5952847003936768, 1.4588713645935059, 1.4380981922149658, 1.5087711811065674];[0.4421994388103485, 0.34613803029060364, 0.16425183415412903, 0.12590070068836212, 0.13562364876270294, 0.14557470381259918];[-2.195986032485962, -2.2562344074249268, -1.4702560901641846, -1.3751816749572754, -1.433578372001648, -1.5332658290863037];[1.4298933744430542, 0.7703747749328613, 0.3620028793811798, 0.2406778335571289, 0.14412902295589447];270.30449867248535
1050;[3.4341771602630615, 2.630887985229492, 1.4414416551589966, 1.5336333513259888, 1.474735140800476, 1.371240258216858];[0.4304201006889343, 0.4363483190536499, 0.09584953635931015, 0.16645286977291107, 0.14675670862197876, 0.1184631809592247];[-2.155642032623291, -2.39979887008667, -1.236465334892273, -1.4995245933532715, -1.473562479019165, -1.360607385635376];[1.3702319860458374, 0.8680566549301147, 0.40892523527145386, 0.27496424317359924, 0.18720024824142456];275.37553691864014
1100;[3.5694146156311035, 2.5090858936309814, 1.563623070716858, 1.510557770729065, 1.2812013626098633, 1.36945641040802];[0.4306790828704834, 0.4179075360298157, 0.16169393062591553, 0.09780842065811157, 0.05634923651814461, 0.048042524605989456];[-2.2354342937469482, -2.2379813194274902, -1.427947759628296, -1.3463035821914673, -1.1569207906723022, -1.223899006843567];[1.4891663789749146, 0.8610738515853882, 0.36700889468193054, 0.2508091926574707, 0.16799506545066833];271.0060350894928
1150;[3.4858319759368896, 2.7221901416778564, 1.8276978731155396, 1.3146817684173584, 1.1926381587982178, 1.2050085067749023];[0.43737438321113586, 0.5173088908195496, 0.3155134916305542, 0.022206952795386314, 0.006524072960019112, 0.01171090081334114];[-2.1709494590759277, -2.415647029876709, -1.8249411582946777, -1.1019062995910645, -1.020958662033081, -1.045487642288208];[1.4211032390594482, 0.928699791431427, 0.48940420150756836, 0.3347916305065155, 0.2029808759689331];269.2758207321167
