Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.5963945388793945, 3.691208839416504, 3.626340389251709, 3.536586284637451, 3.3646509647369385, 3.318277597427368];[0.2673826813697815, 0.275070458650589, 0.28475621342658997, 0.26423728466033936, 0.22794194519519806, 0.26128044724464417];[-2.60251522064209, -2.659122943878174, -2.7095699310302734, -2.6786293983459473, -2.541623592376709, -2.682469367980957];[0.06187061592936516, 0.05097408592700958, 0.04636319354176521, 0.04503237456083298, 0.04106251150369644];436.89145851135254
50;[4.426402568817139, 4.602836608886719, 4.53768253326416, 4.434952259063721, 4.272305965423584, 4.108949661254883];[0.21169903874397278, 0.22394511103630066, 0.21881680190563202, 0.19313162565231323, 0.14160394668579102, 0.1449345350265503];[-3.230581521987915, -3.259643077850342, -3.3353662490844727, -3.1371312141418457, -2.971095323562622, -3.034113883972168];[0.06187061592936516, 0.05142822861671448, 0.0489167757332325, 0.04991058632731438, 0.04446034133434296];437.32720017433167
100;[3.735288619995117, 3.706672191619873, 3.6796209812164307, 3.7468783855438232, 3.7565512657165527, 3.540653705596924];[0.257673442363739, 0.29194146394729614, 0.29145288467407227, 0.3010243773460388, 0.31098300218582153, 0.26680245995521545];[-2.5990281105041504, -2.76119327545166, -2.705554962158203, -2.73488712310791, -2.7881956100463867, -2.6075832843780518];[0.0655156597495079, 0.05580667033791542, 0.0543779619038105, 0.051473528146743774, 0.048040661960840225];434.0221858024597
100;[4.835776329040527, 4.674403667449951, 4.616718769073486, 4.658041477203369, 4.667413711547852, 4.479283332824707];[0.19413888454437256, 0.23781640827655792, 0.22478027641773224, 0.23653599619865417, 0.2462945431470871, 0.19706176221370697];[-3.375126838684082, -3.4293339252471924, -3.4414913654327393, -3.396247625350952, -3.4627785682678223, -3.348449230194092];[0.0655156597495079, 0.05351928621530533, 0.050273649394512177, 0.05127166956663132, 0.04807456210255623];436.10826683044434
150;[3.5757877826690674, 3.6144628524780273, 3.6266560554504395, 3.453589916229248, 3.445929765701294, 3.467183828353882];[0.25986701250076294, 0.2355126589536667, 0.24074101448059082, 0.22250904142856598, 0.21685707569122314, 0.2247135043144226];[-2.5824029445648193, -2.484090566635132, -2.481415271759033, -2.426981210708618, -2.4170806407928467, -2.4455604553222656];[0.06006681174039841, 0.062490418553352356, 0.05520746111869812, 0.053169701248407364, 0.04887327179312706];432.18451285362244
150;[4.472259998321533, 4.537430286407471, 4.5241827964782715, 4.372746467590332, 4.454542636871338, 4.417837619781494];[0.20966465771198273, 0.17435918748378754, 0.18412542343139648, 0.15405996143817902, 0.13257230818271637, 0.12887108325958252];[-3.1632049083709717, -3.1019678115844727, -3.0511884689331055, -3.1191930770874023, -3.1116106510162354, -3.1426708698272705];[0.06006681174039841, 0.061762142926454544, 0.05912774056196213, 0.04805855080485344, 0.048788681626319885];430.75827074050903
200;[3.6300575733184814, 3.8198554515838623, 3.8194775581359863, 3.8751165866851807, 3.788238525390625, 3.9219343662261963];[0.26128193736076355, 0.2993960678577423, 0.3026604652404785, 0.326397180557251, 0.3100334405899048, 0.35525649785995483];[-2.5926427841186523, -2.6973912715911865, -2.8086135387420654, -2.9019856452941895, -2.783902883529663, -3.0175981521606445];[0.062077850103378296, 0.060063526034355164, 0.05000709742307663, 0.05056476220488548, 0.04942118003964424];429.4346776008606
200;[4.565479278564453, 4.732694149017334, 4.7123847007751465, 4.7545928955078125, 4.599451541900635, 4.79518985748291];[0.20539163053035736, 0.24450762569904327, 0.25119128823280334, 0.2772841155529022, 0.2614223062992096, 0.2804606556892395];[-3.2673463821411133, -3.3881938457489014, -3.486416816711426, -3.550638198852539, -3.3710036277770996, -3.5651066303253174];[0.062077850103378296, 0.06003594771027565, 0.048921119421720505, 0.05025000870227814, 0.0585322342813015];432.5996367931366
250;[3.6311590671539307, 3.8462913036346436, 3.7155025005340576, 3.839672803878784, 3.8831448554992676, 3.7291159629821777];[0.2639690935611725, 0.32443392276763916, 0.3176024854183197, 0.3162980377674103, 0.3480406403541565, 0.33853188157081604];[-2.6001079082489014, -2.8015296459198, -2.8566057682037354, -2.7870571613311768, -2.9671120643615723, -2.934793472290039];[0.06077289953827858, 0.06267481297254562, 0.05443045496940613, 0.053595829755067825, 0.044951193034648895];436.2628540992737
250;[4.5491437911987305, 4.657661437988281, 4.561318397521973, 4.708641529083252, 4.749876976013184, 4.554319381713867];[0.2102264165878296, 0.26679757237434387, 0.2666078507900238, 0.25036728382110596, 0.2707297205924988, 0.2621687650680542];[-3.227867841720581, -3.4163906574249268, -3.368072032928467, -3.3618667125701904, -3.5433008670806885, -3.382296085357666];[0.06077289953827858, 0.0644557997584343, 0.05729701370000839, 0.05596406012773514, 0.04938362166285515];435.26362919807434
300;[3.608785390853882, 3.4669675827026367, 3.5127851963043213, 3.50281023979187, 3.4793500900268555, 3.3818130493164062];[0.2620380222797394, 0.23944513499736786, 0.22652660310268402, 0.24409566819667816, 0.24567165970802307, 0.24398285150527954];[-2.5871784687042236, -2.508984088897705, -2.4677960872650146, -2.5556399822235107, -2.606597423553467, -2.6143128871917725];[0.05939791351556778, 0.06332597136497498, 0.06046897917985916, 0.046173837035894394, 0.04597165808081627];431.97426438331604
300;[4.553678512573242, 4.3422441482543945, 4.408394813537598, 4.322373867034912, 4.419395446777344, 4.223508834838867];[0.20786184072494507, 0.18491119146347046, 0.15606500208377838, 0.17683498561382294, 0.16863222420215607, 0.1616346538066864];[-3.237621545791626, -3.105769634246826, -3.0541017055511475, -3.074458599090576, -3.242241144180298, -3.1291799545288086];[0.05939791351556778, 0.06329479068517685, 0.060797069221735, 0.04768407717347145, 0.04826285317540169];429.7346947193146
350;[3.5682172775268555, 3.6790549755096436, 3.5289456844329834, 3.536039113998413, 3.6410415172576904, 3.375854730606079];[0.24421259760856628, 0.25377705693244934, 0.2555506229400635, 0.24401140213012695, 0.24074147641658783, 0.20925940573215485];[-2.5504534244537354, -2.5199291706085205, -2.5786564350128174, -2.498262643814087, -2.491583824157715, -2.405982494354248];[0.05479623004794121, 0.06375809013843536, 0.053220584988594055, 0.05097871273756027, 0.05510229244828224];429.052118062973
