Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 3.398139715194702, 3.581723928451538, 3.4758107662200928, 3.377110242843628, 3.4231514930725098];[0.44550904631614685, 0.4180228114128113, 0.46763941645622253, 0.45580554008483887, 0.4166012704372406, 0.4480256736278534];[-2.1841557025909424, -2.123000383377075, -2.2671985626220703, -2.219749689102173, -2.1453819274902344, -2.1968538761138916];[0.06187061592936516, 0.05323223024606705, 0.05429292842745781, 0.052850142121315, 0.05129315331578255];430.8095602989197
100;[3.597290515899658, 3.454557180404663, 3.4612629413604736, 3.648165464401245, 3.6770920753479004, 3.705000162124634];[0.4178268313407898, 0.4158634543418884, 0.41080114245414734, 0.4631941616535187, 0.4623243808746338, 0.44962722063064575];[-2.225539207458496, -2.1470179557800293, -2.1544339656829834, -2.2468111515045166, -2.2715444564819336, -2.2486109733581543];[0.0655156597495079, 0.054546404629945755, 0.056617479771375656, 0.06151845306158066, 0.05269221216440201];431.2124013900757
150;[3.4319088459014893, 3.5556695461273193, 3.613708019256592, 3.598903179168701, 3.5468668937683105, 3.7289702892303467];[0.43440350890159607, 0.4460815489292145, 0.45810988545417786, 0.4348800480365753, 0.40232476592063904, 0.43331286311149597];[-2.1458182334899902, -2.2090001106262207, -2.2182400226593018, -2.2011537551879883, -2.1500320434570312, -2.2091712951660156];[0.06006681174039841, 0.057885292917490005, 0.05633724480867386, 0.053934670984745026, 0.04848966747522354];428.5443961620331
200;[3.4882147312164307, 3.59110689163208, 3.5149803161621094, 3.501906156539917, 3.4384443759918213, 3.691758394241333];[0.43370386958122253, 0.42878952622413635, 0.42975732684135437, 0.4392988979816437, 0.45922666788101196, 0.48097726702690125];[-2.181112289428711, -2.1671648025512695, -2.18537974357605, -2.1948745250701904, -2.1912081241607666, -2.3025522232055664];[0.062077850103378296, 0.07312687486410141, 0.06294406950473785, 0.05723223090171814, 0.060012251138687134];429.3488347530365
250;[3.4891486167907715, 3.2977194786071777, 3.118340253829956, 3.198448896408081, 3.160120964050293, 3.3734335899353027];[0.43905624747276306, 0.4378027319908142, 0.3954733610153198, 0.399007111787796, 0.39561545848846436, 0.4370284676551819];[-2.1856272220611572, -2.1560399532318115, -2.0388495922088623, -2.077096462249756, -2.083275318145752, -2.135014057159424];[0.06077289953827858, 0.06258682906627655, 0.05038653314113617, 0.047558896243572235, 0.0412069596350193];429.12341380119324
300;[3.4684314727783203, 3.604567289352417, 3.660645008087158, 3.960493803024292, 3.992659568786621, 3.88563871383667];[0.433230459690094, 0.47492972016334534, 0.4586681127548218, 0.4974822998046875, 0.4912174940109253, 0.5038511753082275];[-2.175381660461426, -2.2516090869903564, -2.2494935989379883, -2.338006019592285, -2.3590404987335205, -2.37504243850708];[0.05939791351556778, 0.058922179043293, 0.05978197604417801, 0.05659276619553566, 0.052719928324222565];425.13313841819763
350;[3.426074743270874, 3.5818099975585938, 3.4484851360321045, 3.4172158241271973, 3.466088056564331, 3.0646493434906006];[0.4136400818824768, 0.4294479787349701, 0.4392693340778351, 0.43186983466148376, 0.4021919071674347, 0.3435847759246826];[-2.1508469581604004, -2.232684850692749, -2.185023546218872, -2.1883785724639893, -2.154564619064331, -1.9390980005264282];[0.05479623004794121, 0.05614615976810455, 0.05368807539343834, 0.05242614820599556, 0.052091218531131744];431.4101800918579
400;[3.480447769165039, 3.6578550338745117, 3.3913466930389404, 3.543304443359375, 3.6716854572296143, 3.3317089080810547];[0.4406643807888031, 0.46671098470687866, 0.42894330620765686, 0.4312295615673065, 0.4255601167678833, 0.3633282482624054];[-2.1900761127471924, -2.2589306831359863, -2.174976110458374, -2.198664665222168, -2.1903929710388184, -2.0197112560272217];[0.06116157025098801, 0.05441514402627945, 0.06800021976232529, 0.0543842650949955, 0.05367276072502136];429.06994104385376
450;[3.629896402359009, 3.371201515197754, 3.528287410736084, 3.558441638946533, 3.366068124771118, 3.092050552368164];[0.42785149812698364, 0.43989643454551697, 0.45299243927001953, 0.47330138087272644, 0.4196159839630127, 0.38005951046943665];[-2.2236576080322266, -2.1631815433502197, -2.2360219955444336, -2.2900166511535645, -2.1186699867248535, -1.9894838333129883];[0.055468592792749405, 0.05743175745010376, 0.05382588878273964, 0.047786206007003784, 0.05329323559999466];434.41633915901184
500;[3.3648812770843506, 3.2799477577209473, 3.276820421218872, 3.3577420711517334, 3.4245688915252686, 3.1448936462402344];[0.44050097465515137, 0.3990817666053772, 0.3998200297355652, 0.41355374455451965, 0.41807761788368225, 0.3591800630092621];[-2.117938995361328, -2.0928518772125244, -2.1334025859832764, -2.1287920475006104, -2.1734602451324463, -2.007852554321289];[0.06317595392465591, 0.05083269253373146, 0.051501065492630005, 0.051202137023210526, 0.05048348754644394];428.7226912975311
