Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.208760976791382, 1.6068594455718994, 1.4201596975326538, 1.4301728010177612, 1.3667632341384888];[0.44550904631614685, 0.27002763748168945, 0.16542299091815948, 0.1421411782503128, 0.1325010359287262, 0.13150371611118317];[-2.1841557025909424, -1.8348740339279175, -1.4991594552993774, -1.4205595254898071, -1.4447439908981323, -1.4129959344863892];[2.356001377105713, 1.2823771238327026, 0.8264214992523193, 0.48761582374572754, 0.3068174719810486];455.10584783554077
100;[3.597290515899658, 3.571078300476074, 2.04317045211792, 1.5626531839370728, 1.5473734140396118, 1.5743217468261719];[0.4178268313407898, 0.8978012800216675, 0.5612425804138184, 0.37382617592811584, 0.33486902713775635, 0.25710877776145935];[-2.225539207458496, -3.7666103839874268, -2.925844669342041, -2.4076225757598877, -2.266185998916626, -1.8993712663650513];[2.080871820449829, 1.4186910390853882, 1.07442045211792, 0.47787588834762573, 0.33704671263694763];438.541654586792
150;[3.4319088459014893, 2.6079366207122803, 3.305445671081543, 3.2936365604400635, 3.432758331298828, 3.282431125640869];[0.43440350890159607, 0.41936802864074707, 0.9138883352279663, 1.023559331893921, 1.0267255306243896, 0.9913758635520935];[-2.1458182334899902, -2.1881935596466064, -7.9131178855896, -10.702589988708496, -11.915031433105469, -11.625638961791992];[2.046673059463501, 1.2428348064422607, 1.0596848726272583, 0.761127769947052, 0.4415774345397949];412.28695940971375
200;[3.4882147312164307, 2.5228519439697266, 2.454549789428711, 2.227109909057617, 2.023556709289551, 2.180549383163452];[0.43370386958122253, 0.4074101150035858, 0.5781043767929077, 0.5511835217475891, 0.48997995257377625, 0.5170540809631348];[-2.181112289428711, -2.213536262512207, -4.014163017272949, -3.811300277709961, -3.4737155437469482, -3.8278727531433105];[1.9768502712249756, 1.2417008876800537, 0.9343105554580688, 0.6376288533210754, 0.2306569516658783];416.5922884941101
250;[3.4891486167907715, 2.0589139461517334, 1.5118951797485352, 1.419489860534668, 1.4378557205200195, 1.4246950149536133];[0.43905624747276306, 0.2631155252456665, 0.16252340376377106, 0.17275188863277435, 0.13778021931648254, 0.1456488072872162];[-2.1856272220611572, -1.865321397781372, -1.451838731765747, -1.5156095027923584, -1.4739357233047485, -1.4976110458374023];[2.0990514755249023, 1.157019019126892, 0.7843721508979797, 0.38423803448677063, 0.24849161505699158];427.1715624332428
300;[3.4684314727783203, 2.6863274574279785, 1.6932775974273682, 1.2391045093536377, 1.2535191774368286, 1.1849204301834106];[0.433230459690094, 0.5082536339759827, 0.14608094096183777, 0.03514184057712555, 0.022837745025753975, 0.014805441722273827];[-2.175381660461426, -2.443784236907959, -1.5512279272079468, -1.1020220518112183, -1.1213064193725586, -1.0573649406433105];[1.9611821174621582, 1.256263017654419, 0.9977013468742371, 0.6622511148452759, 0.3700082004070282];436.60709404945374
350;[3.426074743270874, 2.7697668075561523, 1.6354740858078003, 1.2814404964447021, 1.408210039138794, 1.2395730018615723];[0.4136400818824768, 0.4429447650909424, 0.1555575281381607, 0.03643663972616196, 0.06959729641675949, 0.04545135423541069];[-2.1508469581604004, -2.3435049057006836, -1.4374620914459229, -1.1260783672332764, -1.2852396965026855, -1.1398837566375732];[1.9831596612930298, 1.2881813049316406, 0.8182252049446106, 0.5255177021026611, 0.295511394739151];446.51356053352356
400;[3.480447769165039, 2.2613322734832764, 1.689217209815979, 1.4744435548782349, 1.4967641830444336, 1.4783692359924316];[0.4406643807888031, 0.2912047803401947, 0.19058796763420105, 0.14203791320323944, 0.1527492254972458, 0.15421733260154724];[-2.1900761127471924, -1.9531333446502686, -1.5862469673156738, -1.456558108329773, -1.5239835977554321, -1.5566976070404053];[2.0452139377593994, 1.1785600185394287, 0.8674600124359131, 0.5378780364990234, 0.296058714389801];426.31403160095215
450;[3.629896402359009, 2.148163318634033, 1.7149534225463867, 1.599204659461975, 1.512900710105896, 1.4795602560043335];[0.42785149812698364, 0.32189273834228516, 0.3340568542480469, 0.34182974696159363, 0.31435057520866394, 0.30457940697669983];[-2.2236576080322266, -2.139862537384033, -2.02974009513855, -2.104355573654175, -1.986753225326538, -1.9165947437286377];[2.0625710487365723, 1.103358268737793, 0.7335208058357239, 0.3835688531398773, 0.2512086033821106];421.459623336792
500;[3.3648812770843506, 2.1797897815704346, 1.6740155220031738, 1.4982930421829224, 1.526804804801941, 1.4125863313674927];[0.44050097465515137, 0.3058484196662903, 0.238727405667305, 0.24812918901443481, 0.25652486085891724, 0.17905859649181366];[-2.117938995361328, -2.1117188930511475, -1.760055661201477, -1.750672459602356, -1.8317204713821411, -1.5792189836502075];[2.0119752883911133, 1.0879580974578857, 0.7534105777740479, 0.5019679665565491, 0.26742833852767944];433.0378415584564
550;[3.362457513809204, 2.9081969261169434, 1.7194507122039795, 1.3346734046936035, 1.256846308708191, 1.1888455152511597];[0.4273624122142792, 0.6267395615577698, 0.21849463880062103, 0.0692327544093132, 0.04049413651227951, 0.04032137617468834];[-2.1138741970062256, -2.6772665977478027, -1.6548974514007568, -1.2174060344696045, -1.1651380062103271, -1.1185458898544312];[2.111241340637207, 1.3641221523284912, 0.9541463851928711, 0.7626421451568604, 0.42640918493270874];467.30865454673767
600;[3.4779739379882812, 2.9011521339416504, 1.729123830795288, 1.5367263555526733, 1.3892042636871338, 1.3340250253677368];[0.42433440685272217, 0.47666287422180176, 0.1790798008441925, 0.12480193376541138, 0.09888877719640732, 0.10691425949335098];[-2.1737163066864014, -2.4317445755004883, -1.6394790410995483, -1.4482136964797974, -1.3550870418548584, -1.3408275842666626];[1.9874095916748047, 1.24951171875, 1.0406739711761475, 0.7312159538269043, 0.30764010548591614];439.9009394645691
650;[3.5407519340515137, 2.854231834411621, 1.6968237161636353, 1.3455435037612915, 1.2106469869613647, 1.2538137435913086];[0.43656808137893677, 0.5940394401550293, 0.14460963010787964, 0.04228678345680237, 0.008136111311614513, 0.0063647679053246975];[-2.2121787071228027, -2.6809842586517334, -1.4916516542434692, -1.1776936054229736, -1.0508644580841064, -1.0910090208053589];[2.024178981781006, 1.284076452255249, 1.0666848421096802, 0.6925552487373352, 0.29576796293258667];413.353453874588
