Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.518050193786621, 2.7201993465423584, 2.4845683574676514, 2.3255937099456787, 2.495859384536743, 2.4704246520996094];[0.3292688727378845, 0.27018749713897705, 0.27607405185699463, 0.3025853931903839, 0.36772066354751587, 0.4029541015625];[-2.347703695297241, -2.3340840339660645, -2.44963002204895, -2.668935537338257, -3.0299489498138428, -3.2352869510650635];[2.239530324935913, 1.1193631887435913, 0.6269153356552124, 0.5271372199058533, 0.43530645966529846];394.0794711112976
50;[3.7702865600585938, 2.9572672843933105, 2.757181167602539, 2.5191214084625244, 2.6935973167419434, 2.6245837211608887];[0.289466917514801, 0.15519480407238007, 0.15262016654014587, 0.15336309373378754, 0.1913381814956665, 0.19845670461654663];[-2.377535104751587, -2.0908901691436768, -2.201072931289673, -2.166614055633545, -2.388624906539917, -2.4906961917877197];[2.239530324935913, 1.2837821245193481, 0.9483802914619446, 0.6465483903884888, 0.5704100728034973];385.12766337394714
100;[3.659580945968628, 4.032376766204834, 3.193619728088379, 3.0446741580963135, 2.9066953659057617, 3.0425307750701904];[0.31416648626327515, 0.3420572876930237, 0.3112008571624756, 0.39467111229896545, 0.39562487602233887, 0.406813383102417];[-2.374498128890991, -2.3886125087738037, -2.2569336891174316, -2.5322611331939697, -2.5124216079711914, -2.5992660522460938];[1.882926344871521, 2.7154717445373535, 1.9001821279525757, 1.1970837116241455, 0.9284534454345703];380.41441440582275
100;[4.006771564483643, 3.3762199878692627, 3.0544517040252686, 2.9894251823425293, 2.8128108978271484, 2.9496054649353027];[0.258314311504364, 0.1748833954334259, 0.1598091721534729, 0.18288053572177887, 0.1828932762145996, 0.2063850462436676];[-2.436501979827881, -2.2147464752197266, -2.3448519706726074, -2.4389050006866455, -2.353118896484375, -2.5378518104553223];[1.882926344871521, 2.319211483001709, 0.9117516875267029, 0.7081820964813232, 0.7285135984420776];377.65790128707886
150;[3.497097969055176, 2.7771823406219482, 3.0333428382873535, 2.7174460887908936, 2.883603096008301, 2.8188388347625732];[0.32012543082237244, 0.2245345413684845, 0.39210399985313416, 0.3691791892051697, 0.37752920389175415, 0.3550431728363037];[-2.320436954498291, -2.064474105834961, -2.5251526832580566, -2.4262797832489014, -2.5306529998779297, -2.4355251789093018];[2.1786041259765625, 1.6763184070587158, 1.0865422487258911, 1.1407339572906494, 1.0991910696029663];395.33241844177246
150;[3.7729921340942383, 3.0287089347839355, 3.241424560546875, 2.913346290588379, 3.0994820594787598, 3.0544769763946533];[0.28246140480041504, 0.13631613552570343, 0.258632630109787, 0.248963862657547, 0.25106075406074524, 0.23385319113731384];[-2.3357129096984863, -2.088763475418091, -2.601199150085449, -2.4721908569335938, -2.5867502689361572, -2.5062386989593506];[2.1786041259765625, 1.4295471906661987, 1.116296648979187, 1.1130352020263672, 1.1939480304718018];387.32955622673035
200;[3.5523300170898438, 2.736837387084961, 2.896176815032959, 3.1006758213043213, 2.977263927459717, 3.031662702560425];[0.32133498787879944, 0.2120082676410675, 0.3688430190086365, 0.46653419733047485, 0.42890259623527527, 0.43338871002197266];[-2.3463809490203857, -2.0399715900421143, -2.4313619136810303, -2.8387069702148438, -2.6876792907714844, -2.705594301223755];[2.1115198135375977, 1.573756456375122, 1.0731357336044312, 0.7931061387062073, 0.7180653810501099];384.9626019001007
200;[3.841989278793335, 2.9958086013793945, 2.797517776489258, 2.8268351554870605, 2.751242160797119, 2.8226478099823];[0.2777068316936493, 0.13487711548805237, 0.13318315148353577, 0.15156829357147217, 0.16848409175872803, 0.2221565842628479];[-2.3814196586608887, -2.0870487689971924, -2.1352529525756836, -2.2921628952026367, -2.289475440979004, -2.4902939796447754];[2.1115198135375977, 1.7882392406463623, 1.0602304935455322, 0.928487241268158, 0.5920984745025635];382.45750522613525
250;[3.553293466567993, 2.7256972789764404, 2.4148244857788086, 2.4619436264038086, 2.4497897624969482, 2.3705410957336426];[0.32453498244285583, 0.33809810876846313, 0.30999380350112915, 0.3274857997894287, 0.34467020630836487, 0.31850653886795044];[-2.351017951965332, -2.631688117980957, -2.6483964920043945, -2.8462274074554443, -2.9576141834259033, -2.853773355484009];[2.0582685470581055, 1.032656192779541, 0.6518058776855469, 0.5828351974487305, 0.6309612989425659];377.3491654396057
250;[3.8362362384796143, 2.851276159286499, 2.733707904815674, 2.7415785789489746, 2.700549364089966, 2.584050178527832];[0.2837018370628357, 0.18061597645282745, 0.25099852681159973, 0.25426292419433594, 0.243249773979187, 0.2058134824037552];[-2.3730008602142334, -2.168635845184326, -2.454984426498413, -2.659538745880127, -2.7396953105926514, -2.6887428760528564];[2.0582685470581055, 1.2742934226989746, 0.6814053654670715, 0.5639222860336304, 0.6529706716537476];389.8478755950928
300;[3.531836748123169, 2.7430896759033203, 2.5602102279663086, 2.536306858062744, 2.6336238384246826, 2.4417057037353516];[0.32167282700538635, 0.2433878481388092, 0.24078670144081116, 0.2308003455400467, 0.2557777464389801, 0.22266682982444763];[-2.3390114307403564, -2.0944268703460693, -2.1457016468048096, -2.1705844402313232, -2.4148008823394775, -2.2768399715423584];[1.7283567190170288, 1.255996823310852, 0.961576521396637, 0.5982228517532349, 0.7336950302124023];389.0675449371338
300;[3.8254170417785645, 2.9646949768066406, 2.9037363529205322, 2.9395861625671387, 3.0841968059539795, 2.8760921955108643];[0.2792637348175049, 0.15205338597297668, 0.16671164333820343, 0.16569659113883972, 0.18011707067489624, 0.14421334862709045];[-2.3687820434570312, -2.11855149269104, -2.2745556831359863, -2.3200366497039795, -2.5895237922668457, -2.260695219039917];[1.7283567190170288, 1.5872225761413574, 0.973423421382904, 0.8948678374290466, 0.8912885785102844];388.75098967552185
