Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.5378756523132324, 2.463890314102173, 2.2272729873657227, 2.347634792327881, 2.2756054401397705];[0.44550904631614685, 0.29063981771469116, 0.3309139609336853, 0.28414085507392883, 0.28919288516044617, 0.28856566548347473];[-2.1841557025909424, -1.8399521112442017, -1.9567734003067017, -1.7917320728302002, -1.8685306310653687, -1.9054826498031616];[2.239530324935913, 1.173904538154602, 0.7112820744514465, 0.6605060696601868, 0.5705720782279968];411.73956990242004
100;[3.597290515899658, 2.9586808681488037, 2.907726526260376, 2.648071765899658, 2.512894630432129, 2.510018825531006];[0.4178268313407898, 0.37613749504089355, 0.3712436556816101, 0.3198343515396118, 0.2994603216648102, 0.2861481010913849];[-2.225539207458496, -2.0591795444488525, -2.0430490970611572, -1.9349638223648071, -1.8505924940109253, -1.8448623418807983];[1.882926344871521, 1.56642484664917, 1.6866075992584229, 1.0247712135314941, 1.1944693326950073];399.12096071243286
150;[3.4319088459014893, 4.499927043914795, 4.420337677001953, 4.160483360290527, 3.9016757011413574, 4.048315048217773];[0.43440350890159607, 0.8877102136611938, 0.9345722794532776, 0.9503883123397827, 0.9275785088539124, 0.9678822755813599];[-2.1458182334899902, -5.3687286376953125, -6.317631244659424, -6.395323753356934, -5.985789775848389, -6.601681232452393];[2.1786041259765625, 0.8957422971725464, 0.7142771482467651, 0.6573843955993652, 0.6909574270248413];406.3409607410431
200;[3.4882147312164307, 3.874570608139038, 3.6108579635620117, 3.511362075805664, 3.5850915908813477, 3.355853319168091];[0.43370386958122253, 0.821998119354248, 0.8388679027557373, 0.8498205542564392, 0.8791055679321289, 0.8435078263282776];[-2.181112289428711, -4.4461822509765625, -4.771457195281982, -4.683812618255615, -5.029067039489746, -4.72274112701416];[2.1115198135375977, 1.004187822341919, 0.9850410223007202, 0.751830518245697, 0.7224774956703186];395.3284842967987
250;[3.4891486167907715, 2.4106645584106445, 2.2629215717315674, 2.2957472801208496, 2.3151743412017822, 2.1604819297790527];[0.43905624747276306, 0.28475627303123474, 0.2822364866733551, 0.2854844629764557, 0.2985577881336212, 0.2613966763019562];[-2.1856272220611572, -1.800872802734375, -1.79086434841156, -1.8844594955444336, -1.934267282485962, -1.859544277191162];[2.0582685470581055, 1.4307684898376465, 0.7418302893638611, 0.7097547054290771, 0.6614895462989807];393.5787672996521
300;[3.4684314727783203, 3.0484540462493896, 2.8889248371124268, 2.9122087955474854, 2.9972500801086426, 2.9384658336639404];[0.433230459690094, 0.6720697283744812, 0.662757396697998, 0.7037930488586426, 0.7206873297691345, 0.7390599846839905];[-2.175381660461426, -3.1759836673736572, -3.284775733947754, -3.5706963539123535, -3.691803455352783, -3.870374917984009];[1.7283567190170288, 0.8105946779251099, 0.7010906934738159, 0.6897388100624084, 0.5498788356781006];395.72139978408813
350;[3.426074743270874, 4.792895793914795, 4.77359676361084, 4.679316520690918, 4.934799671173096, 4.947675704956055];[0.4136400818824768, 0.8684903979301453, 1.007512092590332, 1.0317051410675049, 1.0434244871139526, 1.1179473400115967];[-2.1508469581604004, -5.264665126800537, -7.25731897354126, -7.612564563751221, -8.194249153137207, -9.382722854614258];[1.8754745721817017, 0.9242938756942749, 0.7537280321121216, 0.8149345517158508, 0.5169892311096191];428.4725477695465
400;[3.480447769165039, 2.650993585586548, 2.5516414642333984, 2.405353307723999, 2.408679723739624, 2.1881227493286133];[0.4406643807888031, 0.3153436779975891, 0.34392455220222473, 0.302560418844223, 0.2951839566230774, 0.280409038066864];[-2.1900761127471924, -1.8843936920166016, -1.9878654479980469, -1.9061585664749146, -1.8937269449234009, -1.8185551166534424];[1.8667047023773193, 1.215681791305542, 0.9103780388832092, 0.9289686679840088, 0.7756356000900269];409.95705127716064
450;[3.629896402359009, 2.504194974899292, 2.374324321746826, 2.4708781242370605, 2.3724334239959717, 2.321990728378296];[0.42785149812698364, 0.3392144739627838, 0.35559460520744324, 0.445744127035141, 0.5161177515983582, 0.5226026773452759];[-2.2236576080322266, -1.9094539880752563, -2.0310561656951904, -2.3734004497528076, -2.607879400253296, -2.7178759574890137];[1.6526668071746826, 1.200244665145874, 0.4689352512359619, 0.7398617267608643, 0.491508424282074];394.3975350856781
500;[3.3648812770843506, 2.536044120788574, 2.4351301193237305, 2.4525339603424072, 2.3042733669281006, 2.2886016368865967];[0.44050097465515137, 0.3066006302833557, 0.3766966760158539, 0.39613237977027893, 0.39526137709617615, 0.39501768350601196];[-2.117938995361328, -1.8925690650939941, -2.088122606277466, -2.1913363933563232, -2.217054605484009, -2.2498223781585693];[2.1344246864318848, 0.8914793729782104, 0.9161370992660522, 0.5555818676948547, 0.5063443779945374];388.9268522262573
