Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.5565240383148193, 2.3821747303009033, 2.118358850479126, 2.2563183307647705, 2.1805260181427];[0.44550904631614685, 0.2936089038848877, 0.2922792136669159, 0.2637544274330139, 0.3007182776927948, 0.3031734526157379];[-2.1841557025909424, -1.8054660558700562, -1.8249661922454834, -1.7152247428894043, -1.8600013256072998, -1.892432451248169];[2.239530324935913, 1.3012582063674927, 0.98069167137146, 0.6597860455513, 0.5935069918632507];423.11165142059326
100;[3.597290515899658, 2.937863826751709, 2.6061558723449707, 2.519923448562622, 2.3505897521972656, 2.449495792388916];[0.4178268313407898, 0.34798428416252136, 0.31302276253700256, 0.34371283650398254, 0.355887234210968, 0.37185412645339966];[-2.225539207458496, -2.0197815895080566, -1.9552173614501953, -2.043370246887207, -2.007094621658325, -2.1378109455108643];[1.882926344871521, 2.1903624534606934, 0.8527528047561646, 0.6913079619407654, 0.6321717500686646];396.7537968158722
150;[3.4319088459014893, 2.6426596641540527, 2.8712058067321777, 2.5582275390625, 2.7275288105010986, 2.6680777072906494];[0.43440350890159607, 0.29921919107437134, 0.4606706202030182, 0.439814954996109, 0.43839335441589355, 0.4181887209415436];[-2.1458182334899902, -1.8641189336776733, -2.273746967315674, -2.142507314682007, -2.2162084579467773, -2.1529359817504883];[2.1786041259765625, 1.4277704954147339, 1.0798377990722656, 1.101363182067871, 1.184773564338684];398.01665139198303
200;[3.4882147312164307, 2.6049842834472656, 2.7101223468780518, 2.902757167816162, 2.772002935409546, 2.8130319118499756];[0.43370386958122253, 0.29170235991477966, 0.42929065227508545, 0.5241472125053406, 0.47989577054977417, 0.47317251563072205];[-2.181112289428711, -1.844854474067688, -2.1708061695098877, -2.5476419925689697, -2.37387752532959, -2.3588390350341797];[2.1115198135375977, 1.5217440128326416, 0.8307716846466064, 0.6852744221687317, 0.7575826048851013];395.17256689071655
250;[3.4891486167907715, 2.46105694770813, 2.1909472942352295, 2.255779266357422, 2.2249977588653564, 2.1331069469451904];[0.43905624747276306, 0.3077451288700104, 0.3030703663825989, 0.34147921204566956, 0.3612551987171173, 0.3389107286930084];[-2.1856272220611572, -1.8251800537109375, -1.8230676651000977, -2.0111989974975586, -2.0909101963043213, -2.0511772632598877];[2.0582685470581055, 1.2784382104873657, 0.7758623957633972, 0.5577584505081177, 0.7801790833473206];395.3636841773987
300;[3.4684314727783203, 2.6003787517547607, 2.498581647872925, 2.5169410705566406, 2.6325767040252686, 2.409766674041748];[0.433230459690094, 0.31657543778419495, 0.3505851924419403, 0.343455046415329, 0.35178443789482117, 0.2926609218120575];[-2.175381660461426, -1.8815997838974, -2.0195271968841553, -2.0470404624938965, -2.2707438468933105, -1.9550939798355103];[1.7283567190170288, 1.2316457033157349, 0.9009339809417725, 0.7750875949859619, 0.6516200304031372];399.6990578174591
350;[3.426074743270874, 2.7885684967041016, 2.47737193107605, 2.479037284851074, 2.925278425216675, 2.555225133895874];[0.4136400818824768, 0.3251578211784363, 0.3829564154148102, 0.4272240698337555, 0.5663632750511169, 0.4899832010269165];[-2.1508469581604004, -1.9885432720184326, -1.997058629989624, -2.1171562671661377, -2.637691020965576, -2.3452939987182617];[1.8754745721817017, 1.179168701171875, 0.8223102688789368, 0.6402902007102966, 0.6590628623962402];401.5394959449768
400;[3.480447769165039, 2.550461769104004, 2.311767101287842, 2.2448763847351074, 2.3023390769958496, 2.2029471397399902];[0.4406643807888031, 0.28814855217933655, 0.2908814549446106, 0.2874375581741333, 0.303340882062912, 0.29256653785705566];[-2.1900761127471924, -1.8060294389724731, -1.7827523946762085, -1.807652473449707, -1.9274976253509521, -1.9041029214859009];[1.8667047023773193, 1.2354413270950317, 0.7365351319313049, 0.6770946979522705, 0.8019738793373108];395.298761844635
450;[3.629896402359009, 2.4970333576202393, 2.406440019607544, 2.4585092067718506, 2.288923740386963, 2.2414610385894775];[0.42785149812698364, 0.3153238296508789, 0.3570551872253418, 0.3596670627593994, 0.32665637135505676, 0.3240583539009094];[-2.2236576080322266, -1.916867733001709, -2.036669969558716, -2.1266283988952637, -2.025996208190918, -2.041877031326294];[1.6526668071746826, 1.1626019477844238, 0.7195548415184021, 0.7070772647857666, 0.6070460677146912];395.54354882240295
500;[3.3648812770843506, 2.4699082374572754, 2.31270432472229, 2.273723602294922, 2.13942551612854, 2.13854718208313];[0.44050097465515137, 0.29316166043281555, 0.32920804619789124, 0.3131105899810791, 0.3306044340133667, 0.33662548661231995];[-2.117938995361328, -1.8168851137161255, -1.9514132738113403, -1.929986596107483, -2.010641098022461, -2.038004159927368];[2.1344246864318848, 1.2763419151306152, 0.5854802131652832, 0.5742233395576477, 0.5204128623008728];394.8915276527405
