Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.5963945388793945, 3.7497806549072266, 3.9820477962493896, 3.9101619720458984, 4.247520446777344, 4.121990203857422];[0.2673826813697815, 0.2829838991165161, 0.2957286536693573, 0.28666529059410095, 0.3399253785610199, 0.3317147493362427];[-2.60251522064209, -2.689866065979004, -2.6847453117370605, -2.656790018081665, -2.8481943607330322, -2.820772171020508];[];319.1118109226227
50;[4.426402568817139, 4.60362434387207, 4.871456146240234, 4.8738179206848145, 5.145045757293701, 5.0006303787231445];[0.21169903874397278, 0.23775769770145416, 0.2299640029668808, 0.2203100025653839, 0.2713812291622162, 0.27178552746772766];[-3.230581521987915, -3.239246129989624, -3.3179831504821777, -3.3193557262420654, -3.4640634059906006, -3.3633854389190674];[];321.2609910964966
100;[3.735288619995117, 3.7881484031677246, 3.452833414077759, 3.4953300952911377, 3.6352858543395996, 3.455487012863159];[0.257673442363739, 0.2604261040687561, 0.2414751797914505, 0.22123776376247406, 0.24153810739517212, 0.22420759499073029];[-2.5990281105041504, -2.6041176319122314, -2.5426414012908936, -2.4468610286712646, -2.550522565841675, -2.4769952297210693];[];322.72995352745056
100;[4.835776329040527, 4.960996627807617, 4.343239784240723, 4.490960597991943, 4.630704879760742, 4.408337116241455];[0.19413888454437256, 0.19950948655605316, 0.1997273564338684, 0.1771160066127777, 0.20516306161880493, 0.19022485613822937];[-3.375126838684082, -3.397982358932495, -3.13986873626709, -3.1594741344451904, -3.2294230461120605, -3.1487646102905273];[];391.3794765472412
150;[3.5757877826690674, 3.415302276611328, 3.5208120346069336, 3.7108829021453857, 3.7298367023468018, 4.053287029266357];[0.25986701250076294, 0.21630994975566864, 0.23736226558685303, 0.26183271408081055, 0.2575879693031311, 0.331086665391922];[-2.5824029445648193, -2.45918345451355, -2.554711103439331, -2.611931324005127, -2.595315933227539, -2.8813347816467285];[];320.9867787361145
150;[4.472259998321533, 4.382687091827393, 4.400596618652344, 4.684791564941406, 4.706039905548096, 5.020010471343994];[0.20966465771198273, 0.16073143482208252, 0.19690260291099548, 0.20913515985012054, 0.20985227823257446, 0.28286829590797424];[-3.1632049083709717, -3.1637210845947266, -3.166687488555908, -3.293555736541748, -3.2867696285247803, -3.608229398727417];[];322.55367159843445
200;[3.6300575733184814, 3.3957176208496094, 3.5260350704193115, 3.4454965591430664, 3.58367919921875, 3.6335532665252686];[0.26128193736076355, 0.22611497342586517, 0.26401931047439575, 0.2516309320926666, 0.2961227297782898, 0.30779027938842773];[-2.5926427841186523, -2.4639649391174316, -2.6039462089538574, -2.6091084480285645, -2.7548904418945312, -2.8042502403259277];[];328.2166817188263
200;[4.565479278564453, 4.248223304748535, 4.453354358673096, 4.348647117614746, 4.524125576019287, 4.5755815505981445];[0.20539163053035736, 0.17584829032421112, 0.20884637534618378, 0.20553471148014069, 0.23820382356643677, 0.25303488969802856];[-3.2673463821411133, -3.080979108810425, -3.3653597831726074, -3.283539056777954, -3.4574673175811768, -3.5329344272613525];[];329.6978294849396
250;[3.6311590671539307, 3.545135498046875, 3.6544480323791504, 3.8597397804260254, 3.97116756439209, 3.993518352508545];[0.2639690935611725, 0.24633380770683289, 0.2688505947589874, 0.3091641068458557, 0.3160424530506134, 0.2952967584133148];[-2.6001079082489014, -2.546090841293335, -2.609149932861328, -2.7384305000305176, -2.7136728763580322, -2.6604084968566895];[];329.3445863723755
250;[4.5491437911987305, 4.435140609741211, 4.578842639923096, 4.805696964263916, 4.8071513175964355, 4.984229564666748];[0.2102264165878296, 0.20120197534561157, 0.21417276561260223, 0.24013957381248474, 0.2662222981452942, 0.24861326813697815];[-3.227867841720581, -3.1357455253601074, -3.2558786869049072, -3.480837821960449, -3.3483774662017822, -3.4130163192749023];[];330.2799415588379
