Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 3.4077982902526855, 3.5831284523010254, 3.7128052711486816, 3.9158618450164795, 3.7346537113189697];[0.44550904631614685, 0.4268198013305664, 0.44381585717201233, 0.47322478890419006, 0.5311827063560486, 0.5442405343055725];[-2.1841557025909424, -2.1304614543914795, -2.2282919883728027, -2.30492901802063, -2.478292226791382, -2.4815473556518555];[];320.65906286239624
100;[3.597290515899658, 3.9279682636260986, 3.4938929080963135, 3.6884207725524902, 3.9097862243652344, 3.8039071559906006];[0.4178268313407898, 0.4595147669315338, 0.4477202594280243, 0.4346402585506439, 0.4755411446094513, 0.4607445001602173];[-2.225539207458496, -2.35305118560791, -2.177518129348755, -2.215416669845581, -2.314220666885376, -2.253716468811035];[];321.2539999485016
150;[3.4319088459014893, 3.4577300548553467, 3.199338912963867, 3.1515631675720215, 3.1280486583709717, 3.4358458518981934];[0.43440350890159607, 0.4205264747142792, 0.4024052619934082, 0.37928491830825806, 0.3819233179092407, 0.438786119222641];[-2.1458182334899902, -2.1535301208496094, -2.088564395904541, -2.0697021484375, -2.063232183456421, -2.2115213871002197];[];327.4556050300598
200;[3.4882147312164307, 3.354631185531616, 3.3494393825531006, 3.2927772998809814, 3.3965256214141846, 3.3949429988861084];[0.43370386958122253, 0.40452873706817627, 0.3968998193740845, 0.40675708651542664, 0.4383911192417145, 0.437399685382843];[-2.181112289428711, -2.074181318283081, -2.0874977111816406, -2.1082992553710938, -2.1753575801849365, -2.2106070518493652];[];322.64903688430786
250;[3.4891486167907715, 3.195706605911255, 3.339101552963257, 3.3526129722595215, 3.3560619354248047, 3.4087510108947754];[0.43905624747276306, 0.3917849361896515, 0.39247050881385803, 0.39188075065612793, 0.4175620377063751, 0.4141446650028229];[-2.1856272220611572, -2.0605597496032715, -2.092869281768799, -2.109560251235962, -2.1231517791748047, -2.1785364151000977];[];323.4450988769531
300;[3.4684314727783203, 3.5299882888793945, 3.7201807498931885, 3.5565059185028076, 3.6176772117614746, 3.4029135704040527];[0.433230459690094, 0.47096341848373413, 0.4790644943714142, 0.4591912627220154, 0.4692930281162262, 0.47856101393699646];[-2.175381660461426, -2.2762413024902344, -2.3271615505218506, -2.2408111095428467, -2.295159101486206, -2.254514217376709];[];320.5552484989166
350;[3.426074743270874, 3.334026575088501, 3.252178430557251, 3.4804458618164062, 3.486159563064575, 3.384725332260132];[0.4136400818824768, 0.44027724862098694, 0.39700987935066223, 0.4225753843784332, 0.4439382255077362, 0.46208393573760986];[-2.1508469581604004, -2.1448540687561035, -2.090092420578003, -2.2007858753204346, -2.215567111968994, -2.196298599243164];[];326.7865388393402
400;[3.480447769165039, 3.3246119022369385, 3.459184169769287, 3.5995521545410156, 3.6099414825439453, 3.5957672595977783];[0.4406643807888031, 0.4267710745334625, 0.440292626619339, 0.4840275049209595, 0.46050533652305603, 0.46174687147140503];[-2.1900761127471924, -2.110671043395996, -2.1869864463806152, -2.3113367557525635, -2.2631874084472656, -2.3015077114105225];[];320.81645464897156
450;[3.629896402359009, 3.7111942768096924, 3.6575565338134766, 3.5622920989990234, 3.832181215286255, 3.649104118347168];[0.42785149812698364, 0.4553106129169464, 0.4000491201877594, 0.40343713760375977, 0.422087162733078, 0.40917834639549255];[-2.2236576080322266, -2.2197837829589844, -2.135491371154785, -2.096437931060791, -2.1826789379119873, -2.114778757095337];[];313.01191902160645
500;[3.3648812770843506, 3.389045000076294, 3.5203120708465576, 3.3870866298675537, 3.418409585952759, 3.233363628387451];[0.44050097465515137, 0.42897385358810425, 0.4355204701423645, 0.39729562401771545, 0.39230793714523315, 0.38372522592544556];[-2.117938995361328, -2.1552042961120605, -2.1801819801330566, -2.1053669452667236, -2.1264054775238037, -2.0545120239257812];[];318.58562207221985
550;[3.362457513809204, 3.495506763458252, 3.5445871353149414, 3.5329489707946777, 3.4533393383026123, 3.4477651119232178];[0.4273624122142792, 0.4347131550312042, 0.4696274399757385, 0.4730059802532196, 0.4328979551792145, 0.43125060200691223];[-2.1138741970062256, -2.188474416732788, -2.2240796089172363, -2.276308059692383, -2.2218918800354004, -2.2052557468414307];[];319.9885730743408
600;[3.4779739379882812, 3.4961273670196533, 3.4800186157226562, 3.584517002105713, 3.3279988765716553, 3.4750685691833496];[0.42433440685272217, 0.459071546792984, 0.4604172110557556, 0.4693162143230438, 0.4487639367580414, 0.43396127223968506];[-2.1737163066864014, -2.248692512512207, -2.250465154647827, -2.309666633605957, -2.172426462173462, -2.2080085277557373];[];329.00873851776123
650;[3.5407519340515137, 3.319445848464966, 3.517275810241699, 3.6534676551818848, 3.6786000728607178, 3.5609185695648193];[0.43656808137893677, 0.39698687195777893, 0.4254601299762726, 0.4101124405860901, 0.4191958010196686, 0.406246155500412];[-2.2121787071228027, -2.0845985412597656, -2.1727406978607178, -2.180105209350586, -2.194502592086792, -2.127354383468628];[];322.9202370643616
700;[3.4655158519744873, 3.443251848220825, 3.4665935039520264, 3.567301034927368, 3.6690163612365723, 3.679934501647949];[0.4309043884277344, 0.4308681786060333, 0.4503529667854309, 0.44200587272644043, 0.4996185302734375, 0.49799948930740356];[-2.1853156089782715, -2.1720075607299805, -2.224696397781372, -2.2387142181396484, -2.340651750564575, -2.334678888320923];[];1160.277906179428
750;[3.474484443664551, 3.4642553329467773, 3.4917473793029785, 3.3818533420562744, 3.3504621982574463, 3.749479055404663];[0.4471079111099243, 0.4250524938106537, 0.4403068423271179, 0.45440515875816345, 0.4423919916152954, 0.4466923773288727];[-2.1904795169830322, -2.180035352706909, -2.2058773040771484, -2.1951632499694824, -2.128613233566284, -2.2409234046936035];[];323.09305000305176
800;[3.5488901138305664, 3.550893545150757, 3.3148691654205322, 3.286945343017578, 3.3035898208618164, 3.2978856563568115];[0.4226207137107849, 0.4344492554664612, 0.40752068161964417, 0.4008278548717499, 0.3888944089412689, 0.37978458404541016];[-2.211388349533081, -2.1753432750701904, -2.1087613105773926, -2.088108777999878, -2.0760929584503174, -2.0559136867523193];[];322.8905415534973
850;[3.3409130573272705, 3.2842092514038086, 3.154536485671997, 3.317291021347046, 3.370497941970825, 3.200732946395874];[0.43717724084854126, 0.39548563957214355, 0.362289160490036, 0.378179132938385, 0.4032767415046692, 0.3951866328716278];[-2.1206741333007812, -2.0665221214294434, -1.9846932888031006, -2.0571625232696533, -2.0776360034942627, -2.0300302505493164];[];504.5375838279724
900;[3.5120975971221924, 3.44218111038208, 3.313314914703369, 3.4148998260498047, 3.2196152210235596, 3.0610744953155518];[0.43827444314956665, 0.4274735152721405, 0.4088819921016693, 0.39295557141304016, 0.37954679131507874, 0.38565608859062195];[-2.1942410469055176, -2.1488471031188965, -2.0765137672424316, -2.1330013275146484, -2.0409367084503174, -1.9981164932250977];[];321.0948648452759
950;[3.4888288974761963, 3.404207468032837, 3.228626012802124, 3.333683729171753, 3.3010611534118652, 3.295482635498047];[0.4305139482021332, 0.433865487575531, 0.4169626533985138, 0.3798677325248718, 0.374772310256958, 0.3850977122783661];[-2.1909918785095215, -2.157008171081543, -2.0697901248931885, -2.1003379821777344, -2.04995059967041, -2.0136492252349854];[];320.49704909324646
1000;[3.4790709018707275, 3.5365731716156006, 3.515603542327881, 3.739677906036377, 3.696458578109741, 3.570181131362915];[0.4421994388103485, 0.44069549441337585, 0.4398382306098938, 0.47517943382263184, 0.4813194274902344, 0.4620307683944702];[-2.195986032485962, -2.2122256755828857, -2.234740734100342, -2.2900493144989014, -2.3051698207855225, -2.248303174972534];[];319.623939037323
1050;[3.4341771602630615, 3.360015392303467, 3.5546913146972656, 3.4092564582824707, 3.428314685821533, 3.501474142074585];[0.4304201006889343, 0.42518842220306396, 0.46048590540885925, 0.4715580642223358, 0.46893036365509033, 0.4671415686607361];[-2.155642032623291, -2.1247172355651855, -2.253044605255127, -2.24345326423645, -2.264016628265381, -2.2773520946502686];[];320.6998815536499
1100;[3.5694146156311035, 3.474440813064575, 3.6114401817321777, 3.5332577228546143, 3.651948928833008, 3.813274621963501];[0.4306790828704834, 0.42867493629455566, 0.39881283044815063, 0.4118548631668091, 0.44136252999305725, 0.45269298553466797];[-2.2354342937469482, -2.135063648223877, -2.148944139480591, -2.1161532402038574, -2.176706075668335, -2.2221922874450684];[];318.1396837234497
1150;[3.4858319759368896, 3.6304357051849365, 3.47517466545105, 3.5821640491485596, 3.686884880065918, 3.770475149154663];[0.43737438321113586, 0.43690288066864014, 0.42622384428977966, 0.4441683292388916, 0.43541163206100464, 0.4930168092250824];[-2.1709494590759277, -2.207479476928711, -2.144221782684326, -2.2373552322387695, -2.247598648071289, -2.334916591644287];[];728.5091292858124
1200;[3.437978982925415, 3.488548517227173, 3.6680750846862793, 3.516842842102051, 3.839698553085327, 3.8628149032592773];[0.4222293496131897, 0.41758736968040466, 0.42558586597442627, 0.4242614805698395, 0.46467602252960205, 0.49609246850013733];[-2.1453921794891357, -2.1626315116882324, -2.1811416149139404, -2.141963005065918, -2.3003625869750977, -2.3262314796447754];[];325.2911560535431
1250;[3.4220948219299316, 3.4902379512786865, 3.3435754776000977, 3.4216668605804443, 3.3175415992736816, 3.306473731994629];[0.4305312931537628, 0.42802685499191284, 0.4267295002937317, 0.42602574825286865, 0.42136743664741516, 0.40951669216156006];[-2.1536736488342285, -2.195702075958252, -2.168267011642456, -2.2107534408569336, -2.1489439010620117, -2.1499650478363037];[];384.74474835395813
