Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.2370710372924805, 2.315359592437744, 2.2996139526367188, 2.279493808746338, 2.2007882595062256];[0.44550904631614685, 0.3048962950706482, 0.4121784567832947, 0.3922482430934906, 0.40847882628440857, 0.3972150683403015];[-2.1841557025909424, -2.0742099285125732, -3.6120245456695557, -3.7689054012298584, -4.024434566497803, -3.89298939704895];[];335.22159147262573
100;[3.597290515899658, 3.6785359382629395, 1.8927490711212158, 1.4122581481933594, 1.3584260940551758, 1.3375765085220337];[0.4178268313407898, 0.4617796242237091, 0.23642539978027344, 0.09892278909683228, 0.07903677225112915, 0.07750139385461807];[-2.225539207458496, -2.349234104156494, -1.6328870058059692, -1.3251638412475586, -1.2760224342346191, -1.2616215944290161];[];336.0640950202942
150;[3.4319088459014893, 3.0116147994995117, 3.060115098953247, 2.3814828395843506, 1.9088094234466553, 1.8188246488571167];[0.43440350890159607, 0.37357378005981445, 0.5816441774368286, 0.4076840579509735, 0.2538154423236847, 0.23873166739940643];[-2.1458182334899902, -2.0561728477478027, -2.6261801719665527, -2.1673977375030518, -1.8106542825698853, -1.9494324922561646];[];333.4330608844757
200;[3.4882147312164307, 2.0296804904937744, 2.03407621383667, 1.9636093378067017, 2.144059658050537, 2.0324487686157227];[0.43370386958122253, 0.30554312467575073, 0.35786929726600647, 0.3370451331138611, 0.3651043474674225, 0.35313618183135986];[-2.181112289428711, -2.095828056335449, -2.6129841804504395, -2.7635838985443115, -3.281552791595459, -3.0425944328308105];[];331.7681996822357
250;[3.4891486167907715, 2.336090087890625, 2.5228700637817383, 2.5826547145843506, 2.1776387691497803, 2.3963119983673096];[0.43905624747276306, 0.3230147361755371, 0.5459293127059937, 0.5550403594970703, 0.4312715232372284, 0.46930360794067383];[-2.1856272220611572, -2.03898549079895, -4.118847846984863, -4.697360515594482, -3.889279365539551, -4.45452880859375];[];332.9256122112274
300;[3.4684314727783203, 2.4666662216186523, 2.2999773025512695, 2.161149263381958, 2.249438762664795, 2.0895092487335205];[0.433230459690094, 0.47761601209640503, 0.4058372378349304, 0.38378357887268066, 0.3897855281829834, 0.3706260323524475];[-2.175381660461426, -2.55975604057312, -3.160196304321289, -3.337345600128174, -3.809713840484619, -3.6996469497680664];[];352.09643363952637
350;[3.426074743270874, 3.6051418781280518, 4.616918563842773, 1.5073680877685547, 1.244520664215088, 1.1870672702789307];[0.4136400818824768, 0.5182394981384277, 0.7201706171035767, 0.037368569523096085, 0.0189172625541687, 0.014082595705986023];[-2.1508469581604004, -2.3521475791931152, -3.0966572761535645, -1.2074414491653442, -1.0858296155929565, -1.03997802734375];[];335.86609721183777
400;[3.480447769165039, 4.097996234893799, 1.6648364067077637, 1.5660516023635864, 1.5763534307479858, 1.408260464668274];[0.4406643807888031, 0.5961877703666687, 0.08240368962287903, 0.37169650197029114, 0.3769156336784363, 0.1964743286371231];[-2.1900761127471924, -2.610938787460327, -1.2955456972122192, -2.2257637977600098, -2.4244368076324463, -1.702328085899353];[];333.22335863113403
450;[3.629896402359009, 2.5446414947509766, 2.728447198867798, 2.362743616104126, 2.4441518783569336, 2.4325432777404785];[0.42785149812698364, 0.3382755219936371, 0.6686068773269653, 0.5938225984573364, 0.5613698363304138, 0.529353678226471];[-2.2236576080322266, -2.028578758239746, -4.454705238342285, -4.264878749847412, -4.471991539001465, -4.550151824951172];[];332.1762535572052
500;[3.3648812770843506, 2.240039110183716, 2.267241954803467, 2.3621675968170166, 2.3495614528656006, 2.220111846923828];[0.44050097465515137, 0.4136754870414734, 0.42183130979537964, 0.46245941519737244, 0.4477371871471405, 0.42303377389907837];[-2.117938995361328, -2.2795495986938477, -3.2213022708892822, -3.812603235244751, -4.023310661315918, -3.9305708408355713];[];341.5755262374878
