Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.518050193786621, 2.7931323051452637, 2.4706172943115234, 2.323913812637329, 2.4169540405273438, 2.319135904312134];[0.3292688727378845, 0.2702561616897583, 0.24562163650989532, 0.23990276455879211, 0.28214526176452637, 0.262666255235672];[-2.347703695297241, -2.29652738571167, -2.3595025539398193, -2.395930767059326, -2.6617069244384766, -2.607511520385742];[];363.2226195335388
50;[3.7702865600585938, 3.0645322799682617, 2.734712839126587, 2.6229450702667236, 2.7226293087005615, 2.6313910484313965];[0.289466917514801, 0.21857774257659912, 0.18396742641925812, 0.18479490280151367, 0.22139418125152588, 0.20772916078567505];[-2.377535104751587, -2.2390570640563965, -2.4497358798980713, -2.5253870487213135, -2.865108013153076, -2.8257265090942383];[];289.0182454586029
100;[3.659580945968628, 3.737891674041748, 3.5797371864318848, 3.54085111618042, 3.618518114089966, 3.868187427520752];[0.31416648626327515, 0.3628145158290863, 0.3881199359893799, 0.4169054925441742, 0.42671650648117065, 0.48395976424217224];[-2.374498128890991, -2.5236728191375732, -2.5829055309295654, -2.6283931732177734, -2.718696117401123, -2.911492109298706];[];282.40925121307373
100;[4.006771564483643, 4.148853778839111, 3.95662784576416, 3.862126350402832, 3.9984564781188965, 4.214843273162842];[0.258314311504364, 0.3193680942058563, 0.35056474804878235, 0.3914646804332733, 0.39250463247299194, 0.44501644372940063];[-2.436501979827881, -2.622267961502075, -2.680692434310913, -2.688800096511841, -2.818193197250366, -2.997713565826416];[];256.3480792045593
150;[3.497097969055176, 3.20029616355896, 3.2027812004089355, 3.3101675510406494, 3.3260436058044434, 3.1504993438720703];[0.32012543082237244, 0.2673097550868988, 0.32855600118637085, 0.3878561854362488, 0.41510167717933655, 0.44865840673446655];[-2.320436954498291, -2.2261645793914795, -2.4207658767700195, -2.623278856277466, -2.7464985847473145, -2.8812577724456787];[];256.8350737094879
150;[3.7729921340942383, 3.588860273361206, 3.678499937057495, 3.872795820236206, 3.931363344192505, 3.7345504760742188];[0.28246140480041504, 0.211201474070549, 0.29865387082099915, 0.3793903589248657, 0.4185605049133301, 0.48182007670402527];[-2.3357129096984863, -2.2429707050323486, -2.492609977722168, -2.8007900714874268, -2.987738847732544, -3.153428077697754];[];325.6846354007721
200;[3.5523300170898438, 2.6549086570739746, 2.6938703060150146, 2.935065984725952, 2.898813009262085, 3.102034330368042];[0.32133498787879944, 0.3020532429218292, 0.3849581182003021, 0.42614978551864624, 0.4604737162590027, 0.5482776165008545];[-2.3463809490203857, -2.460526943206787, -2.899609327316284, -3.124094009399414, -3.2858145236968994, -3.899993658065796];[];287.621835231781
200;[3.841989278793335, 2.8923985958099365, 2.9119210243225098, 3.2368345260620117, 3.1590328216552734, 3.4389989376068115];[0.2777068316936493, 0.23561030626296997, 0.3268711566925049, 0.3489302396774292, 0.39504900574684143, 0.49329638481140137];[-2.3814196586608887, -2.381591796875, -2.7184784412384033, -3.062744617462158, -3.148176670074463, -3.870918035507202];[];263.0609276294708
250;[3.553293466567993, 2.879005193710327, 2.9504048824310303, 3.0772721767425537, 2.89302396774292, 2.940122365951538];[0.32453498244285583, 0.22273871302604675, 0.28457972407341003, 0.4715580344200134, 0.4744653105735779, 0.47056615352630615];[-2.351017951965332, -2.07427978515625, -2.2495734691619873, -3.042098045349121, -3.250450611114502, -3.3297994136810303];[];277.8958537578583
250;[3.8362362384796143, 3.135329246520996, 3.1901562213897705, 3.3113021850585938, 3.153857946395874, 3.2353906631469727];[0.2837018370628357, 0.16944420337677002, 0.18883922696113586, 0.3399987816810608, 0.3587990403175354, 0.3552105128765106];[-2.3730008602142334, -2.10360050201416, -2.2978675365448, -3.3746275901794434, -3.8005130290985107, -3.953734874725342];[];282.4586727619171
