Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.6302437782287598, 2.461745500564575, 2.4569292068481445, 2.6267905235290527, 2.6719870567321777];[0.44550904631614685, 0.32196295261383057, 0.3322567045688629, 0.3547394871711731, 0.4605719745159149, 0.522497296333313];[-2.1841557025909424, -1.8902229070663452, -1.9343147277832031, -1.9620922803878784, -2.276533603668213, -2.527568817138672];[];284.0211224555969
100;[3.597290515899658, 4.009881019592285, 3.933712959289551, 4.12347936630249, 4.168617248535156, 4.305171966552734];[0.4178268313407898, 0.5175513625144958, 0.5860092639923096, 0.6738727688789368, 0.6416888236999512, 0.6748978495597839];[-2.225539207458496, -2.5280449390411377, -2.6924381256103516, -2.9361703395843506, -2.906527519226074, -3.026618003845215];[];269.23751997947693
150;[3.4319088459014893, 3.2826850414276123, 3.1706392765045166, 3.0984609127044678, 3.078561544418335, 2.711897134780884];[0.43440350890159607, 0.40688368678092957, 0.40411993861198425, 0.3790228068828583, 0.3936488926410675, 0.3795178532600403];[-2.1458182334899902, -2.1140964031219482, -2.127720355987549, -2.101083278656006, -2.1130967140197754, -2.0067837238311768];[];271.07827830314636
200;[3.4882147312164307, 2.5511367321014404, 2.559614658355713, 2.888507604598999, 3.0491039752960205, 3.1785171031951904];[0.43370386958122253, 0.3366257846355438, 0.47055819630622864, 0.5606959462165833, 0.7060310244560242, 0.7320069670677185];[-2.181112289428711, -1.8893498182296753, -2.280843496322632, -2.7217023372650146, -3.4150540828704834, -3.808793067932129];[];272.06111097335815
250;[3.4891486167907715, 2.680341958999634, 2.6994998455047607, 2.7449820041656494, 2.7894742488861084, 2.9658007621765137];[0.43905624747276306, 0.32191386818885803, 0.3483123779296875, 0.46392011642456055, 0.5885221362113953, 0.6628749370574951];[-2.1856272220611572, -1.9179129600524902, -2.0247552394866943, -2.324542284011841, -2.7795231342315674, -3.139462471008301];[];268.128280878067
300;[3.4684314727783203, 3.053391456604004, 2.8892862796783447, 2.634990692138672, 2.7117979526519775, 2.510791778564453];[0.433230459690094, 0.46765077114105225, 0.46681076288223267, 0.43374988436698914, 0.46299073100090027, 0.46689558029174805];[-2.175381660461426, -2.278782606124878, -2.2704765796661377, -2.183868646621704, -2.411440849304199, -2.3446879386901855];[];270.57609272003174
350;[3.426074743270874, 3.3642401695251465, 3.351565361022949, 3.2579116821289062, 3.3807756900787354, 3.717531681060791];[0.4136400818824768, 0.48426586389541626, 0.4926971197128296, 0.4796997904777527, 0.5242307186126709, 0.5749603509902954];[-2.1508469581604004, -2.2458999156951904, -2.3106088638305664, -2.264860153198242, -2.375190496444702, -2.567681312561035];[];272.09099817276
400;[3.480447769165039, 3.5669424533843994, 3.816164493560791, 4.027078628540039, 3.979180097579956, 4.1988091468811035];[0.4406643807888031, 0.5145726799964905, 0.5654049515724182, 0.59908127784729, 0.6233639717102051, 0.6583782434463501];[-2.1900761127471924, -2.3406059741973877, -2.5988335609436035, -2.7292237281799316, -2.7785134315490723, -2.909152030944824];[];268.28867650032043
450;[3.629896402359009, 3.0982372760772705, 3.2798779010772705, 3.2200348377227783, 3.403506278991699, 3.540447950363159];[0.42785149812698364, 0.34862053394317627, 0.5281035900115967, 0.6513708829879761, 0.7121750712394714, 0.8103461861610413];[-2.2236576080322266, -1.9704813957214355, -2.5088040828704834, -3.0430877208709717, -3.5171751976013184, -4.24563455581665];[];283.10982871055603
500;[3.3648812770843506, 3.9334475994110107, 4.282535552978516, 4.678062438964844, 4.758783340454102, 4.909425258636475];[0.44050097465515137, 0.7821186184883118, 0.941990852355957, 0.9863508939743042, 1.03597092628479, 1.016343116760254];[-2.117938995361328, -3.8578567504882812, -5.740456581115723, -6.750736713409424, -7.429137706756592, -7.446354389190674];[];266.1729645729065
