Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
50;[3.4535317420959473, 2.6923375129699707, 2.3403050899505615, 2.1868059635162354, 2.275238275527954, 2.1768946647644043];[0.44550904631614685, 0.34914925694465637, 0.3075718283653259, 0.292666494846344, 0.3343218266963959, 0.310002863407135];[-2.1841557025909424, -1.9188830852508545, -1.955214262008667, -1.9260226488113403, -2.156526803970337, -2.0834872722625732];[];285.94848585128784
100;[3.597290515899658, 3.679605007171631, 3.518385171890259, 3.4803667068481445, 3.558133125305176, 3.8125438690185547];[0.4178268313407898, 0.4658021032810211, 0.49813365936279297, 0.5358177423477173, 0.5384199023246765, 0.5921839475631714];[-2.225539207458496, -2.3605048656463623, -2.400280237197876, -2.4256749153137207, -2.506685495376587, -2.6954214572906494];[];261.19208216667175
150;[3.4319088459014893, 3.1111843585968018, 3.110588312149048, 3.2165141105651855, 3.2280826568603516, 3.0401558876037598];[0.43440350890159607, 0.3802722096443176, 0.4474063813686371, 0.5064734220504761, 0.5337895750999451, 0.5759463310241699];[-2.1458182334899902, -2.0653562545776367, -2.2301101684570312, -2.4085679054260254, -2.5063703060150146, -2.571885347366333];[];259.638552904129
200;[3.4882147312164307, 2.4683520793914795, 2.457789897918701, 2.7219109535217285, 2.6490697860717773, 2.8726091384887695];[0.43370386958122253, 0.3251112401485443, 0.3981263041496277, 0.43239983916282654, 0.46639302372932434, 0.5848004221916199];[-2.181112289428711, -1.8885527849197388, -2.0668179988861084, -2.300312042236328, -2.328629732131958, -2.875365734100342];[];259.2784104347229
250;[3.4891486167907715, 2.7476274967193604, 2.7772297859191895, 2.907122850418091, 2.785102367401123, 2.848268508911133];[0.43905624747276306, 0.3267051577568054, 0.355503112077713, 0.52337646484375, 0.5535736680030823, 0.5488113164901733];[-2.1856272220611572, -1.8909451961517334, -2.0308849811553955, -2.7197446823120117, -2.9796204566955566, -3.0690019130706787];[];260.8218948841095
300;[3.4684314727783203, 3.295792579650879, 3.1481854915618896, 2.9917759895324707, 3.2110369205474854, 3.2106077671051025];[0.433230459690094, 0.5602785348892212, 0.5424374341964722, 0.5000166296958923, 0.5672553181648254, 0.6529420614242554];[-2.175381660461426, -2.5766115188598633, -2.470944881439209, -2.3290138244628906, -2.6267411708831787, -2.9388017654418945];[];261.21402502059937
350;[3.426074743270874, 3.627084970474243, 3.6671786308288574, 3.63669753074646, 3.736074924468994, 3.9944775104522705];[0.4136400818824768, 0.529757022857666, 0.5409664511680603, 0.5560529232025146, 0.5848484039306641, 0.6131519675254822];[-2.1508469581604004, -2.3852622509002686, -2.4538779258728027, -2.4972074031829834, -2.596741199493408, -2.735765218734741];[];257.67608284950256
400;[3.480447769165039, 3.786463975906372, 4.1966376304626465, 4.269798755645752, 4.343018054962158, 4.49270486831665];[0.4406643807888031, 0.5249359607696533, 0.5688837170600891, 0.5766043663024902, 0.6042141318321228, 0.6289648413658142];[-2.1900761127471924, -2.3926165103912354, -2.6174614429473877, -2.642035722732544, -2.6975553035736084, -2.7771565914154053];[];258.9882049560547
450;[3.629896402359009, 3.1846559047698975, 4.055349349975586, 5.00498628616333, 5.802221298217773, 6.435413837432861];[0.42785149812698364, 0.37742069363594055, 0.585389256477356, 0.8390561938285828, 0.9710087776184082, 1.0917807817459106];[-2.2236576080322266, -2.0267021656036377, -2.6913516521453857, -4.436120986938477, -6.746749401092529, -8.906045913696289];[];256.261750459671
500;[3.3648812770843506, 3.149597406387329, 2.833981990814209, 2.760275363922119, 2.655205726623535, 2.6198320388793945];[0.44050097465515137, 0.5162420272827148, 0.49054980278015137, 0.5166133046150208, 0.5256860852241516, 0.4933379292488098];[-2.117938995361328, -2.4031827449798584, -2.3120949268341064, -2.4638726711273193, -2.4938955307006836, -2.51641845703125];[];260.23152208328247
